"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Stefan BOROWSKI";"Cezary Andrzej JURKIEWICZ"
"1f21-f836-192b-085b-af91-2c9b-041e-bdaa";"146507";"42";"411";"miasto";"stały";"Przedszkole 230 (wejście od ul. Romea i Julii), Praga-Południe ul. Szaserów 118A, 04-386 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1488";"1700";"246";"1242";"4";"27";"0";"0";"0";"0";"0";"0";"0";"1242";"0";"0";"1242";"45";"17";"28";"0";"1197";"753";"444"
"ace5-034d-eed0-fe55-516e-96ef-5410-f17a";"146507";"42";"412";"miasto";"stały";"Przedszkole Nr 249, Praga-Południe ul. Kobielska 5, 04-386 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1486";"1652";"229";"1257";"1";"17";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"43";"12";"31";"0";"1201";"737";"464"
"0a02-5406-ef42-2eee-6017-0b38-0c9f-fd2f";"146507";"42";"413";"miasto";"stały";"Straż Miejska m. st. Warszawy VII Oddział Terenowy, Praga-Południe ul. Kobielska 5, 04-386 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1409";"1572";"151";"1258";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1257";"0";"3";"1254";"36";"17";"19";"0";"1218";"777";"441"
"e68a-2d88-791d-99dd-65e1-37cd-79a3-08b5";"146507";"42";"414";"miasto";"stały";"Przedszkole nr 48, Praga-Południe ul. Szaserów 119, 04-349 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1458";"1686";"210";"1267";"1";"14";"0";"0";"0";"0";"0";"0";"0";"1248";"0";"0";"1248";"47";"6";"41";"0";"1201";"747";"454"
"8102-021c-75fc-4221-2509-994e-06ba-8255";"146507";"42";"415";"miasto";"stały";"Młodzieżowy Ośrodek Socjoterapii nr 7, Praga-Południe ul. Osowska 81, 04-359 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1450";"1649";"261";"1189";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1189";"0";"0";"1189";"23";"10";"13";"0";"1166";"713";"453"
"e14d-2076-c57b-92a4-44fa-af72-1fe9-d337";"146507";"42";"416";"miasto";"stały";"Szkoła Podstawowa nr 141, Praga-Południe ul. Szaserów 117, 04-359 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1720";"1911";"237";"1483";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1483";"0";"0";"1483";"39";"15";"24";"0";"1444";"910";"534"
"2c5b-3744-941b-e174-0298-3708-edcf-f295";"146507";"42";"417";"miasto";"stały";"Szkoła Podstawowa nr 141, Praga-Południe ul. Szaserów 117, 04-249 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1289";"1462";"175";"1114";"1";"29";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"2";"1110";"42";"16";"26";"0";"1068";"718";"350"
"702c-4112-fca3-b1e7-bfb8-3415-31b6-d258";"146507";"42";"418";"miasto";"stały";"Zespół Szkół nr 90, Praga-Południe ul. A. Kordeckiego 54, 04-351 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1820";"2046";"268";"1552";"2";"24";"0";"0";"0";"0";"0";"0";"0";"1553";"0";"2";"1551";"55";"19";"36";"0";"1496";"1014";"482"
"a630-fe2c-bbeb-f5ec-053b-4c48-12da-f089";"146507";"42";"419";"miasto";"stały";"Szkoła Podstawowa 374, Praga-Południe ul. Boremlowska 6/12, 04-349 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1710";"1826";"332";"1378";"2";"20";"0";"0";"0";"0";"0";"0";"0";"1378";"0";"0";"1378";"36";"11";"25";"0";"1342";"809";"533"
"f640-5720-b962-cf08-187b-8cee-6706-2011";"146507";"42";"420";"miasto";"stały";"AN nr 7, Praga-Południe ul. Hetmańska 25, 04-349 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1400";"1557";"305";"1095";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"0";"1095";"42";"10";"32";"0";"1053";"682";"371"
