"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Margareta BUDNER";"Maciej Dariusz SYTEK";"Liczba obwodów"
"300900";"kolski";"wielkopolskie";63609;68876;25107;38502;26;153;0;0;0;0;0;0;0;38490;0;0;38490;1319;314;1005;0;37171;23339;13832;62
"301000";"koniński";"wielkopolskie";93901;102226;36912;56997;76;284;2;2;0;0;0;0;2;56985;2;2;56983;1855;522;1333;0;55128;35190;19938;96
"302700";"turecki";"wielkopolskie";60682;66340;22044;38678;40;136;5;5;0;0;0;0;5;38666;5;2;38664;1223;327;896;0;37441;23343;14098;58
"306200";"Konin";"wielkopolskie";54086;58244;17277;36808;17;183;13;13;1;0;0;0;12;36817;12;1;36816;1220;371;849;0;35596;16245;19351;47
