"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota CZUDOWSKA";"Tymoteusz Dominik MYRDA";"Elżbieta Krystyna STĘPIEŃ";"Liczba obwodów"
"020300";"głogowski";"dolnośląskie";62952;68354;21747;41205;34;215;2;2;0;0;0;0;2;41201;2;4;41197;864;205;659;0;40333;18221;7147;14965;53
"020900";"legnicki";"dolnośląskie";39101;42459;14632;24469;21;87;1;1;0;0;0;0;1;24466;1;2;24464;527;102;425;0;23937;11931;3618;8388;46
"021100";"lubiński";"dolnośląskie";75499;81539;24657;50843;49;200;2;2;0;0;0;0;2;50831;2;0;50831;975;274;701;0;49856;23150;12390;14316;75
"021600";"polkowicki";"dolnośląskie";43780;47759;16108;27672;42;136;1;1;0;0;0;0;1;27670;1;0;27670;681;208;473;0;26989;14764;4978;7247;43
"026200";"Legnica";"dolnośląskie";68737;74607;24031;44705;35;239;6;6;0;0;0;0;6;44705;6;2;44703;876;240;636;0;43827;18246;6815;18766;49
