"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew ADAMCZYK";"Ryszard Jakub BOBER";"Andrzej Tadeusz MIODUSZEWSKI";"Marek NOWAK";"Robert ZADURA";"Liczba obwodów"
"040200";"brodnicki";"kujawsko-pomorskie";54947;60537;22111;32837;29;182;3;3;0;0;0;0;3;32836;3;0;32836;569;162;407;0;32267;1479;15278;11860;1938;1712;59
"040500";"golubsko-dobrzyński";"kujawsko-pomorskie";32248;35446;13759;18489;22;93;3;3;0;0;0;0;3;18491;3;0;18491;412;116;296;0;18079;1225;6616;8005;1259;974;32
"040600";"grudziądzki";"kujawsko-pomorskie";28008;30837;12745;15263;11;42;0;0;0;0;0;0;0;15261;0;0;15261;305;86;219;0;14956;1015;4748;5983;2492;718;42
"041200";"rypiński";"kujawsko-pomorskie";31316;34326;14007;17309;24;91;1;1;0;0;0;0;1;17307;1;0;17307;408;94;314;0;16899;1161;6166;7551;1079;942;45
"041700";"wąbrzeski";"kujawsko-pomorskie";24223;26536;10774;13449;18;47;0;0;0;0;0;0;0;13444;0;0;13444;308;59;249;0;13136;858;5672;4403;1141;1062;29
"046200";"Grudziądz";"kujawsko-pomorskie";64290;68777;24744;39546;37;188;6;6;0;0;0;0;6;39544;6;0;39544;842;277;565;0;38702;2731;14139;12366;7104;2362;54
