"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław PUCEK";"Jadwiga Kazimiera ROTNICKA"
"13e7-923f-d8ac-ac20-f347-1292-6bd3-ca40";"302112";"90";"7";"wieś";"stały";"Świetlica Wiejska w Stęszewku, Stęszewko Wiejska 3a, 62-010 Pobiedziska";"gm. Pobiedziska";"poznański";"wielkopolskie";"537";"599";"159";"378";"0";"5";"0";"0";"0";"0";"0";"0";"0";"378";"0";"0";"378";"11";"4";"7";"0";"367";"97";"270"
"e8c7-469d-2b2d-4b36-3320-166f-8ca6-8051";"302112";"90";"8";"wieś";"stały";"Centrum Integracji Społecznej, Łagiewniki 5, 62-010 Pobiedziska";"gm. Pobiedziska";"poznański";"wielkopolskie";"899";"975";"472";"427";"2";"1";"0";"0";"0";"0";"0";"0";"0";"427";"0";"2";"425";"15";"7";"8";"0";"410";"225";"185"
"802d-fc3c-6b55-2775-20e0-44a3-e03b-f68b";"302112";"90";"9";"wieś";"stały";"Szkoła Podstawowa im. Maksymiliana Jackowskiego we Wronczynie, Wronczyn 1a, 62-010 Pobiedziska";"gm. Pobiedziska";"poznański";"wielkopolskie";"1119";"1245";"360";"759";"1";"8";"0";"0";"0";"0";"0";"0";"0";"759";"0";"1";"758";"22";"5";"17";"0";"736";"276";"460"
"7ec7-a326-e06e-4499-4fe7-dfa1-9c12-32bc";"302112";"90";"10";"miasto";"stały";"Szkoła Podstawowa im. Królowej Jadwigi, Jerzykowo ul. Spokojna 3, 62-007 Biskupice";"gm. Pobiedziska";"poznański";"wielkopolskie";"1320";"1444";"263";"1055";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1055";"0";"0";"1055";"32";"3";"29";"0";"1023";"289";"734"
"a0f6-171e-4f44-53de-dacf-c746-27ff-411e";"302112";"90";"11";"miasto";"stały";"Zespół Szkoła Podstawowa i Przedszkole im. Bolesława Chrobrego w Biskupicach, ul. Szkolna 2, 62-007 Biskupice";"gm. Pobiedziska";"poznański";"wielkopolskie";"1710";"1900";"294";"1416";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1416";"0";"0";"1416";"38";"12";"26";"0";"1378";"437";"941"
"90da-15b9-b12b-5bae-2286-1c13-958f-b044";"302112";"90";"12";"miasto";"oddział zewnętrzny aresztu śledczego";"Oddział Zewnętrzny w Pobiedziskach Zakładu Karnego w Gębarzewie, ul. Władysława Jagiełły 34, 62-010 Pobiedziska";"gm. Pobiedziska";"poznański";"wielkopolskie";"75";"74";"22";"53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53";"0";"0";"53";"6";"0";"6";"0";"47";"11";"36"
"8e6d-046a-db24-a0a0-012b-1640-e75f-d2d1";"302113";"90";"1";"wieś";"stały";"Szkoła Podstawowa, im. Jana Brzechwy, ul. Szkolna 3c, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"2138";"2454";"95";"2043";"0";"18";"0";"0";"0";"0";"0";"0";"0";"2041";"0";"1";"2040";"36";"7";"29";"0";"2004";"474";"1530"
"dacd-b6a3-c1b5-886b-0444-1565-2f60-6af6";"302113";"90";"2";"wieś";"stały";"Szkoła Podstawowa, im. Jana Brzechwy, ul. Szkolna 3c, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"2563";"2882";"405";"2158";"2";"15";"0";"0";"0";"0";"0";"0";"0";"2157";"0";"3";"2154";"58";"7";"51";"0";"2096";"540";"1556"
"b651-9487-26f2-1494-d492-ce18-7846-dc1d";"302113";"90";"3";"wieś";"stały";"Szkoła Podstawowa, im. Jana Brzechwy, ul. Trakt Napoleoński 16, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"2295";"2553";"399";"1896";"2";"13";"0";"0";"0";"0";"0";"0";"0";"1896";"0";"0";"1896";"54";"18";"36";"0";"1842";"511";"1331"
"a066-2ad4-36ef-1018-bae7-e735-6721-4704";"302113";"90";"4";"wieś";"stały";"Klub Sołecki w Cerekwicy, Cerekwica ul. Szamotulska 7, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"1950";"2202";"289";"1661";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1661";"0";"0";"1661";"32";"4";"28";"0";"1629";"368";"1261"
"e861-9f3f-8e26-eb54-4256-2e50-2f59-c51d";"302113";"90";"5";"wieś";"stały";"Świetlica wiejska, Krzyszkowo ul. Koszycy 107, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"794";"890";"143";"651";"0";"2";"0";"0";"0";"0";"0";"0";"0";"651";"0";"0";"651";"23";"4";"19";"0";"628";"180";"448"
"9ee5-fc51-16a1-d332-c7f2-985c-ac49-527c";"302113";"90";"6";"wieś";"stały";"Świetlica wiejska, Żydowo Rostworowska 5, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"620";"670";"221";"399";"0";"2";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"9";"0";"9";"0";"390";"140";"250"
"4662-86cf-5902-ea56-3d36-a164-fad3-41be";"302113";"90";"7";"wieś";"stały";"Świetlica Wiejska (budynek Remizy Strażackiej), Napachanie ul. Poznańska, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"1065";"1203";"202";"863";"2";"6";"0";"0";"0";"0";"0";"0";"0";"862";"0";"2";"860";"20";"6";"14";"0";"840";"266";"574"
"f176-8ab0-62de-cb2d-6c94-018c-7adf-15ab";"302113";"90";"8";"wieś";"stały";"PUK Sp. z o. o., Bytkowo Topolowa 6, 62-090 Rokietnica";"gm. Rokietnica";"poznański";"wielkopolskie";"500";"553";"124";"376";"0";"1";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"8";"1";"7";"0";"368";"80";"288"
"ed2e-afa5-8479-6d99-4637-bfea-1e1e-690c";"302114";"90";"1";"miasto";"stały";"Budynek oświatowy-Przedszkole, ul. Korczaka 2, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1452";"1593";"352";"1100";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1100";"0";"0";"1100";"34";"7";"27";"0";"1066";"347";"719"
"f451-a96b-663f-1ab2-5f19-a702-93e9-7f44";"302114";"90";"2";"miasto";"stały";"Hala widowiskowo-sportowa, ul. Poznańska 22A, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1432";"1596";"357";"1075";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1074";"0";"2";"1072";"38";"11";"27";"0";"1034";"304";"730"
"8f41-0d6e-425f-1de5-c6e7-1c3b-e429-b643";"302114";"90";"3";"miasto";"stały";"Szkoła Podstawowa, ul. Szkolna 1, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1280";"1404";"364";"916";"1";"1";"0";"0";"0";"0";"0";"0";"0";"916";"0";"0";"916";"34";"1";"33";"0";"882";"334";"548"
"cbae-7876-897b-812b-3911-e20c-69b6-33ef";"302114";"90";"4";"wieś";"stały";"Szkoła Podstawowa, ul. Poznańska 25, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1420";"1560";"409";"1012";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"37";"8";"29";"0";"974";"342";"632"
"1132-de78-daff-6ee7-af64-82ae-ef53-73da";"302114";"90";"5";"wieś";"stały";"Budynek byłej szkoły, Łódź ul. Szkolna 24, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1491";"1647";"602";"889";"2";"3";"0";"0";"0";"0";"0";"0";"0";"889";"0";"0";"889";"43";"11";"32";"0";"846";"306";"540"
"1480-e9fd-7a5f-217d-09ca-94a3-9e0f-9680";"302114";"90";"6";"wieś";"stały";"Szkoła Podstawowa, Modrze ul. Kościuszki 14, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"957";"1043";"377";"580";"0";"0";"0";"0";"0";"0";"0";"0";"0";"580";"0";"0";"580";"26";"0";"26";"0";"554";"250";"304"
"d1e3-3f99-e27b-f575-c235-3855-c7b4-7518";"302114";"90";"7";"wieś";"stały";"Świetlica Wiejska, Strykowo ul. Bukowska 2, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1070";"1172";"379";"691";"0";"0";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"22";"5";"17";"0";"669";"258";"411"
"f097-2ddf-4039-f558-5a08-5cc4-76d4-d64b";"302114";"90";"8";"wieś";"stały";"Szkoła Podstawowa, Jeziorki ul. Pocztowa 12, 62-060 Stęszew";"gm. Stęszew";"poznański";"wielkopolskie";"1640";"1811";"520";"1120";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1120";"0";"0";"1120";"31";"4";"27";"0";"1089";"433";"656"
"c389-610e-fcc8-b1a3-6a97-a187-ca5c-0435";"302115";"90";"1";"wieś";"stały";"Dom Osiedlowy, ul. Zjednoczenia 4, 62-003 Biedrusko";"gm. Suchy Las";"poznański";"wielkopolskie";"1831";"2045";"252";"1579";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1577";"0";"0";"1577";"28";"3";"25";"0";"1549";"365";"1184"
"40ea-2bc9-3728-776a-eee3-67c0-47ca-6645";"302115";"90";"2";"wieś";"stały";"Zespół Szkół im. Ojca Mariana Żelazka, ul. Szkolna 3, 62-001 Chludowo";"gm. Suchy Las";"poznański";"wielkopolskie";"1384";"1530";"282";"1102";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1102";"0";"1";"1101";"36";"5";"31";"0";"1065";"439";"626"
"d13d-3151-97ab-577a-51d7-90fc-11c5-06f3";"302115";"90";"3";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, ul. Wojciecha Bogusławskiego 36, 62-002 Suchy Las";"gm. Suchy Las";"poznański";"wielkopolskie";"1720";"1911";"114";"1607";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1606";"0";"0";"1606";"37";"13";"24";"0";"1569";"385";"1184"
"4057-e6dd-602e-0092-b664-db9b-a859-c8f7";"302115";"90";"4";"wieś";"stały";"Szkoła Podstawowa im. Wojciecha Bogusławskiego, ul. Szkolna 15, 62-002 Suchy Las";"gm. Suchy Las";"poznański";"wielkopolskie";"1502";"1558";"244";"1258";"4";"20";"0";"0";"0";"0";"0";"0";"0";"1258";"0";"7";"1251";"27";"4";"23";"0";"1224";"275";"949"
"c679-3deb-3f49-58a2-e385-d0a2-8171-6194";"302115";"90";"5";"wieś";"stały";"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Poziomkowa 11, 62-002 Suchy Las";"gm. Suchy Las";"poznański";"wielkopolskie";"1648";"1890";"172";"1475";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1476";"0";"0";"1476";"38";"6";"32";"0";"1438";"338";"1100"
"5e74-e36e-82ac-208d-a3ea-a28c-e67d-5699";"302115";"90";"6";"wieś";"stały";"Świetlica osiedlowa, Złotniki Plac Grzybowy 16, 62-002 Suchy Las";"gm. Suchy Las";"poznański";"wielkopolskie";"1443";"1583";"118";"1327";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1324";"0";"0";"1324";"25";"2";"23";"0";"1299";"230";"1069"
"eb6a-bd72-a580-e71b-b5fa-2f4b-7cba-3cd7";"302115";"90";"7";"wieś";"stały";"Świetlica osiedlowa, Złotniki ul. Żukowa 14, 62-002 Suchy Las";"gm. Suchy Las";"poznański";"wielkopolskie";"1520";"1694";"191";"1328";"3";"10";"0";"0";"0";"0";"0";"0";"0";"1327";"0";"0";"1327";"31";"8";"23";"0";"1296";"351";"945"
"4a42-d169-f3e6-e4bf-4c3f-ad34-4517-2b6a";"302115";"90";"8";"wieś";"stały";"Świetlica wiejska, Golęczewo ul. Dworcowa 61A, 62-001 Chludowo";"gm. Suchy Las";"poznański";"wielkopolskie";"871";"948";"137";"734";"0";"2";"0";"0";"0";"0";"0";"0";"0";"734";"0";"0";"734";"15";"3";"12";"0";"719";"265";"454"
"dd0c-143d-4836-82ea-bc75-e45c-ade8-a961";"302116";"90";"1";"miasto";"stały";"Szkoła Podstawowa nr 5, os. Mielżyńskiego 3a, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1767";"1918";"403";"1364";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1364";"0";"0";"1364";"41";"10";"31";"0";"1323";"445";"878"
"503b-2aa6-7934-89eb-60b8-05de-8003-4f47";"302116";"90";"2";"miasto";"stały";"Szkoła Podstawowa nr 5, os. Mielżyńskiego 3a, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1697";"1836";"276";"1421";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1421";"0";"0";"1421";"41";"3";"38";"0";"1380";"351";"1029"
"dc96-4976-6655-5e49-57a2-0e16-0888-090b";"302116";"90";"3";"miasto";"stały";"Szkoła Podstawowa nr 5, os. Mielżyńskiego 3a, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1553";"1568";"291";"1262";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1261";"0";"0";"1261";"30";"12";"18";"0";"1231";"306";"925"
"6755-38ab-e7d7-110a-0158-c835-b1df-ced8";"302116";"90";"4";"miasto";"stały";"Szkoła Podstawowa nr 5, os. Mielżyńskiego 3a, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1179";"1319";"105";"1074";"1";"11";"1";"1";"1";"0";"0";"0";"0";"1073";"0";"0";"1073";"26";"2";"24";"0";"1047";"276";"771"
"7c29-c30a-2e5d-3698-50ac-1ded-bb3b-cc75";"302116";"90";"5";"miasto";"stały";"Ośrodek Kultury, ul. Poznańska 14, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1637";"1811";"506";"1131";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1131";"0";"0";"1131";"41";"7";"34";"0";"1090";"406";"684"
"f9df-276b-d997-69a8-bb7e-3d46-6ee7-0183";"302116";"90";"6";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Polna 21, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1600";"1772";"288";"1312";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1312";"0";"0";"1312";"39";"12";"27";"0";"1273";"363";"910"
"9382-a743-ed1b-f292-7f7b-d5f2-45b6-fde9";"302116";"90";"7";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Polna 21, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1702";"1890";"395";"1307";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1303";"0";"0";"1303";"46";"21";"25";"0";"1257";"437";"820"
"a83b-648c-e137-2263-4b7d-4b87-d062-68b3";"302116";"90";"8";"miasto";"stały";"Cech Stolarzy, ul. Wrzesińska 41, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1610";"1783";"378";"1232";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1232";"0";"0";"1232";"42";"11";"31";"0";"1190";"418";"772"
"bb08-3d25-2f21-27c1-6692-1981-2539-6b2a";"302116";"90";"9";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Zamkowa 20, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1432";"1575";"479";"953";"1";"3";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"37";"8";"29";"0";"916";"341";"575"
"e659-af8d-5d43-e802-023e-d8c7-0425-cd70";"302116";"90";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3, os. Czwartaków 1, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1130";"1239";"270";"860";"1";"2";"0";"0";"0";"0";"0";"0";"0";"860";"0";"0";"860";"25";"5";"20";"0";"835";"276";"559"
"5166-7b6b-db71-f391-9ed7-cae9-6481-4b63";"302116";"90";"11";"miasto";"stały";"Szkoła Podstawowa Nr 3, os. Czwartaków 1, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1274";"1407";"253";"1021";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1020";"0";"0";"1020";"44";"10";"34";"0";"976";"329";"647"
"889e-2c2c-986c-8813-913d-9e2b-d373-5f32";"302116";"90";"12";"miasto";"stały";"Szkoła Podstawowa Nr 4, os. Kościuszkowców 4, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1386";"1507";"294";"1092";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1092";"0";"0";"1092";"33";"7";"26";"0";"1059";"365";"694"
"11c8-55db-3198-e337-e65d-a859-4aac-92ed";"302116";"90";"13";"miasto";"stały";"Szkoła Podstawowa Nr 4, os. Kościuszkowców 4, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1565";"1708";"334";"1231";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1231";"0";"0";"1231";"34";"7";"27";"0";"1197";"436";"761"
"c55e-87e4-1c65-c709-d5a3-c864-2f6f-2f75";"302116";"90";"14";"miasto";"stały";"Przedszkole nr 2, os. Czwartaków 8, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1364";"1500";"308";"1056";"1";"7";"1";"0";"0";"0";"0";"0";"0";"1056";"0";"0";"1056";"36";"11";"25";"0";"1020";"295";"725"
"45b8-758a-7a3e-a360-9574-344b-f4f2-5862";"302116";"90";"15";"wieś";"stały";"Świetlica Wiejska, Jasin ul. Wrzesińska 152, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1110";"1247";"199";"911";"0";"2";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"31";"7";"24";"0";"880";"242";"638"
"be6d-0c91-bf97-30eb-d5f7-edbc-862c-889c";"302116";"90";"16";"wieś";"stały";"Szkoła Podstawowa Nr 1, ul. Zamkowa 20, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"934";"1050";"163";"771";"0";"3";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"21";"5";"16";"0";"750";"241";"509"
"9ac2-5cbf-ad35-5748-ab0e-a903-0e0e-10e2";"302116";"90";"17";"wieś";"stały";"Szkoła Podstawowa nr 1 w Zalasewie, Zalasewo ul. Planetarna 7, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"2122";"2246";"311";"1811";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1811";"0";"0";"1811";"47";"10";"37";"0";"1764";"437";"1327"
"46c7-d97f-3e41-cab1-bb7a-6ba7-d1af-e7d8";"302116";"90";"18";"wieś";"stały";"Szkoła Podstawowa nr 2 w Zalasewie, Zalasewo ul. Jana Heweliusza 26, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1203";"1391";"166";"1037";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1037";"0";"1";"1036";"29";"14";"15";"0";"1007";"258";"749"
"6ec9-25ce-212c-bf30-ca6f-8c5a-d1c5-13b7";"302116";"90";"19";"wieś";"stały";"Szkoła Podstawowa, Wierzonka ul. Karłowicka 3, 62-006 Kobylnica";"gm. Swarzędz";"poznański";"wielkopolskie";"744";"833";"349";"395";"0";"0";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"18";"3";"15";"0";"377";"163";"214"
"5e73-4627-0a50-a20a-2e5e-ab22-968c-c540";"302116";"90";"20";"wieś";"stały";"Szkoła Podstawowa, ul. Szkolna 16, 62-021 Paczkowo";"gm. Swarzędz";"poznański";"wielkopolskie";"1417";"1574";"271";"1146";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1146";"0";"0";"1146";"35";"5";"30";"0";"1111";"353";"758"
"b9fb-7a88-6c9b-cde5-c5c4-8a72-65d2-bf30";"302116";"90";"21";"wieś";"stały";"Świetlica Wiejska, Gruszczyn ul. Swarzędzka 40, 62-006 Kobylnica";"gm. Swarzędz";"poznański";"wielkopolskie";"1741";"1957";"224";"1517";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1516";"0";"3";"1513";"36";"7";"29";"0";"1477";"342";"1135"
"50cd-e4b7-6cba-0475-6ced-e916-1573-87b2";"302116";"90";"22";"wieś";"stały";"Szkoła Podstawowa, ul. Poznańska 50, 62-006 Kobylnica";"gm. Swarzędz";"poznański";"wielkopolskie";"1484";"1629";"409";"1075";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1071";"0";"0";"1071";"38";"19";"19";"0";"1033";"404";"629"
"560b-8a00-28c0-1e64-e09c-028f-a2d6-0db4";"302116";"90";"23";"wieś";"stały";"Świetlica Wiejska, Bogucin ul. Wrzosowa 81, 62-006 Kobylnica";"gm. Swarzędz";"poznański";"wielkopolskie";"1119";"1211";"246";"873";"1";"4";"1";"1";"0";"0";"0";"0";"1";"874";"1";"0";"874";"28";"8";"20";"0";"846";"295";"551"
"0e5d-a9bb-35fc-9a62-dd71-c3c1-814c-8f7c";"302116";"90";"24";"wieś";"stały";"Szkoła Podstawowa Nr 2, Zalasewo ul. Jana Heweliusza 26, 62-020 Swarzędz";"gm. Swarzędz";"poznański";"wielkopolskie";"1479";"1676";"17";"1462";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1462";"0";"0";"1462";"25";"10";"15";"0";"1437";"292";"1145"
"2d11-3540-3b59-6212-6652-210c-b7c5-1fc9";"302117";"90";"1";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Jana Pawła II, ul. Szkolna 5, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1657";"1909";"186";"1471";"2";"24";"0";"0";"0";"0";"0";"0";"0";"1471";"0";"0";"1471";"40";"17";"23";"0";"1431";"432";"999"
"6f02-35fc-2df6-7de6-8435-8597-78f3-eae2";"302117";"90";"2";"wieś";"stały";"Świetlica Wiejska, Lusowo ul. Ogrodowa 13, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1258";"1454";"77";"1181";"0";"18";"0";"0";"0";"0";"0";"0";"0";"1181";"0";"0";"1181";"27";"8";"19";"0";"1154";"263";"891"
"5d60-535a-57b3-58af-3693-d855-cee7-6827";"302117";"90";"3";"wieś";"stały";"Hala Sportowa OSiR, ul. Kościelna 46/48, 62-081 Przeźmierowo";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1677";"1851";"217";"1460";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1460";"0";"0";"1460";"43";"11";"32";"0";"1417";"389";"1028"
"7961-ee21-d133-adc4-d190-745f-a773-72cb";"302117";"90";"4";"wieś";"stały";"Świetlica Wiejska, Jankowice ul. Wiśniowa 2a, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1114";"1227";"299";"815";"0";"0";"0";"0";"0";"0";"0";"0";"0";"815";"0";"0";"815";"35";"4";"31";"0";"780";"302";"478"
"a825-a911-5523-2e3b-556c-5ba3-8e36-b112";"302117";"90";"5";"wieś";"stały";"Szkoła Podstawowa im. Polskich Noblistów, Baranowo ul. Wypoczynkowa 93, 62-081 Przeźmierowo";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1887";"2111";"212";"1675";"1";"24";"0";"0";"0";"0";"0";"0";"0";"1675";"0";"0";"1675";"28";"9";"19";"0";"1647";"377";"1270"
"4269-acbd-6d61-bfa5-11dc-38a6-7b42-3f06";"302117";"90";"6";"wieś";"stały";"Hala Sportowa OSiR, ul. Kościelna 46/48, 62-081 Przeźmierowo";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1910";"2121";"345";"1565";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1565";"0";"0";"1565";"41";"10";"31";"0";"1524";"480";"1044"
"1c3b-b1e0-60c7-ad95-ce5f-1c24-0cd1-8ab2";"302117";"90";"7";"wieś";"stały";"GOK SEZAM, ul. Ogrodowa 14, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1460";"1620";"286";"1174";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1173";"0";"1";"1172";"32";"10";"22";"0";"1140";"349";"791"
"be50-6ccd-67aa-facc-268e-f712-daa7-cb81";"302117";"90";"8";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Jana Pawła II, ul. Szkolna 5, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1345";"1528";"123";"1222";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1222";"0";"0";"1222";"21";"5";"16";"0";"1201";"270";"931"
"6923-cc3c-168b-a171-ae83-b3bc-c3ad-5e31";"302117";"90";"9";"wieś";"stały";"Hala Sportowa OSiR, ul. Kościelna 46/48, 62-081 Przeźmierowo";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1630";"1802";"231";"1399";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1398";"0";"0";"1398";"47";"25";"22";"0";"1351";"422";"929"
"709d-19f1-09ad-5b23-0d7e-7db7-70b6-fac5";"302117";"90";"10";"wieś";"stały";"Szkoła Podstawowa im. Polskich Noblistów, Baranowo ul. Wypoczynkowa 93, 62-081 Przeźmierowo";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"740";"807";"50";"690";"0";"10";"0";"0";"0";"0";"0";"0";"0";"690";"0";"0";"690";"12";"0";"12";"0";"678";"114";"564"
"0391-1970-cf93-b394-07cc-5a0b-9dd4-d4e4";"302117";"90";"11";"wieś";"stały";"Świetlica Wiejska, Batorowo Stefana Batorego 67, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"615";"656";"127";"488";"0";"0";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"13";"2";"11";"0";"474";"144";"330"
"da5b-52ea-7eaa-cf10-3b5a-478e-dc21-4087";"302117";"90";"12";"wieś";"stały";"Szkoła Podstawowa, Lusówko ul. Dopiewska 5, 62-080 Tarnowo Podgórne";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";"1700";"1776";"279";"1421";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1421";"0";"0";"1421";"47";"15";"32";"0";"1374";"311";"1063"
