"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Józef ALEXANDROWICZ";"Marcin Rafał BOSACKI"
"d299-560f-37b5-6cc9-70ce-fd04-637c-b3e7";"306401";"91";"1";"miasto";"stały";"Zespół Szkół nr 5 im. Bolesława Chrobrego, ul. Różana 1/3, 61-577 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"850";"1099";"67";"783";"1";"59";"0";"0";"0";"0";"0";"0";"0";"783";"0";"0";"783";"22";"6";"16";"0";"761";"199";"562"
"283b-1573-4805-7404-93b8-738f-3b6b-00d0";"306401";"91";"2";"miasto";"stały";"Poznańskie Ośrodki Sportu i Rekreacji, ul. Jana Spychalskiego 34, 61-553 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1730";"2111";"174";"1556";"3";"22";"0";"0";"0";"0";"0";"0";"0";"1554";"0";"0";"1554";"43";"18";"25";"0";"1511";"397";"1114"
"bd87-9da9-9dd2-3903-0b66-e045-8a9e-a376";"306401";"91";"3";"miasto";"stały";"Przedszkole nr 87 im. Jacusia i Agatki, ul. św. Czesława 6a, 61-575 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1120";"1298";"309";"811";"4";"22";"0";"0";"0";"0";"0";"0";"0";"811";"0";"0";"811";"27";"3";"24";"0";"784";"195";"589"
"afcc-fc65-ee93-d868-9a17-412b-209f-2f77";"306401";"91";"4";"miasto";"stały";"Zespół Szkół nr 5 im. Bolesława Chrobrego, ul. Różana 1/3, 61-577 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1199";"1466";"193";"1006";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"2";"1004";"26";"6";"20";"0";"978";"260";"718"
"cf52-e60c-4cad-7fe5-6de5-a92f-ed70-e7a1";"306401";"91";"5";"miasto";"stały";"Branżowa Szkoła I Stopnia nr 42 w Poznaniu, ul. św. Jerzego 6/10, 61-546 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1600";"2034";"105";"1495";"3";"21";"1";"1";"0";"0";"0";"0";"1";"1496";"1";"0";"1496";"30";"3";"27";"0";"1466";"297";"1169"
"1b33-cbf4-9c02-47b3-b33c-b66e-6df3-94aa";"306401";"91";"6";"miasto";"stały";"Branżowa Szkoła I Stopnia nr 42 w Poznaniu, ul. św. Jerzego 6/10, 61-546 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1323";"1627";"250";"1073";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1070";"0";"0";"1070";"42";"10";"32";"0";"1028";"282";"746"
"89fd-2631-e3ab-a750-c55d-b83e-df2d-bc47";"306401";"91";"7";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Romualda Traugutta, ul. Romualda Traugutta 42, 61-514 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1288";"1544";"186";"1102";"0";"8";"1";"1";"0";"0";"0";"0";"1";"1103";"1";"0";"1103";"37";"10";"27";"0";"1066";"266";"800"
"e80b-251b-c05e-dcd4-ccb0-9a42-cf67-b930";"306401";"91";"8";"miasto";"stały";"V Liceum Ogólnokształcące im. Klaudyny Potockiej, ul. Zmartwychwstańców 10, 61-501 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1400";"1635";"260";"1140";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1140";"0";"0";"1140";"52";"12";"40";"0";"1088";"291";"797"
"426e-f35b-cb7f-95d1-bb79-b5c2-dadd-00f0";"306401";"91";"9";"miasto";"stały";"Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi, ul. Ignacego Prądzyńskiego 53, 61-527 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1640";"1897";"513";"1126";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1127";"0";"0";"1127";"42";"7";"35";"0";"1085";"315";"770"
"80ac-410d-34c6-f019-330a-626a-9a72-99f0";"306401";"91";"10";"miasto";"stały";"Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi, ul. Ignacego Prądzyńskiego 53, 61-527 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1474";"1813";"276";"1198";"0";"33";"1";"0";"0";"0";"0";"0";"0";"1192";"0";"0";"1192";"39";"13";"26";"0";"1153";"829";"324"
