"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan DOBRZYŃSKI";"Mariusz Krzysztof GROMKO";"Wanda JANKOWSKA";"Zbigniew NIKITOROWICZ"
"f6b8-5676-50f9-0be2-45b3-97c8-511f-d275";"200201";"60";"11";"miasto";"zakład leczniczy";"Samodzielny Publiczny Psychiatryczny Zakład Opieki Zdrowotnej w Choroszczy, ul. Plac Brodowicza 1, 16-070 Choroszcz";"gm. Choroszcz";"białostocki";"podlaskie";"858";"797";"641";"217";"0";"0";"0";"0";"0";"0";"0";"0";"0";"217";"0";"0";"217";"7";"1";"6";"0";"210";"28";"111";"24";"47"
"a472-ca2f-64c3-b385-68dc-056b-3000-1b77";"200202";"60";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. B. Prusa 1, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"1767";"1918";"743";"1024";"6";"2";"0";"0";"0";"0";"0";"0";"0";"1024";"0";"0";"1024";"26";"13";"13";"0";"998";"127";"459";"84";"328"
"f49d-b017-0f4a-2f01-2037-8abc-bf9b-d76a";"200202";"60";"2";"miasto";"stały";"Zespół Szkół, ul. H. Sienkiewicza 7, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"1602";"1716";"571";"1031";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1031";"0";"0";"1031";"12";"4";"8";"0";"1019";"132";"494";"62";"331"
"d8e0-2404-648a-053b-6290-cdd0-74b7-7d3a";"200202";"60";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. R. Traugutta 28, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"1360";"1449";"491";"869";"2";"1";"0";"0";"0";"0";"0";"0";"0";"869";"0";"0";"869";"16";"15";"1";"0";"853";"99";"396";"86";"272"
"db22-7579-c761-aa85-f1f2-0674-3145-e06f";"200202";"60";"4";"miasto";"stały";"Dom Kultury, ul. Kościelna 8, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"1216";"1323";"490";"726";"1";"2";"0";"0";"0";"0";"0";"0";"0";"726";"0";"0";"726";"15";"6";"9";"0";"711";"78";"348";"87";"198"
"545e-ccf7-a960-9158-91a6-4766-c734-5535";"200202";"60";"5";"wieś";"stały";"Wiejski Dom Kultury, Czarna Wieś Kościelna ul. Wesoła 26, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"1029";"1127";"379";"650";"2";"1";"0";"0";"0";"0";"0";"0";"0";"650";"0";"0";"650";"10";"2";"8";"0";"640";"52";"345";"60";"183"
"a059-7964-16e6-381a-e0a8-0109-ab6c-ecad";"200202";"60";"6";"wieś";"stały";"Centrum Rękodzieła Ludowego, Niemczyn 42, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"390";"436";"166";"224";"0";"4";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"4";"0";"4";"0";"220";"28";"138";"13";"41"
"aba6-de07-4921-491f-6003-2b80-ed59-55ab";"200202";"60";"7";"miasto";"stały";"Budynek Przychodni, ul. Torowa 1, 16-020 Czarna Białostocka";"gm. Czarna Białostocka";"białostocki";"podlaskie";"720";"785";"244";"476";"2";"3";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"7";"2";"5";"0";"469";"40";"243";"59";"127"
"67ec-e53d-01fd-7562-d419-c6c0-a3b2-1121";"200203";"60";"1";"wieś";"stały";"Wiejski Dom Kultury w Nowym Aleksandrowie, Nowe Aleksandrowo ul. Pogodna 109, 16-002 Dobrzyniewo Duże";"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";"1894";"2094";"576";"1318";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1318";"0";"0";"1318";"18";"6";"12";"0";"1300";"199";"638";"115";"348"
"e7e7-458b-5611-31ae-30a8-a7a6-099d-e3b9";"200203";"60";"2";"wieś";"stały";"Gminne Centrum Kultury, ul. Lipowa 71, 16-002 Dobrzyniewo Duże";"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";"1129";"1248";"327";"802";"0";"5";"0";"0";"0";"0";"0";"0";"0";"802";"0";"0";"802";"13";"1";"12";"0";"789";"98";"376";"99";"216"
