"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan DOBRZYŃSKI";"Mariusz Krzysztof GROMKO";"Wanda JANKOWSKA";"Zbigniew NIKITOROWICZ"
"b30a-7a48-51c3-a0f3-3cb9-dbbf-f167-6e32";"200206";"60";"4";"wieś";"stały";"Budynek po Szkole Podstawowej w Daniłowie Dużym, Daniłowo Duże 53, 18-112 Poświętne";"gm. Łapy";"białostocki";"podlaskie";"343";"382";"116";"227";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"3";"1";"2";"0";"224";"22";"159";"24";"19"
"4c9c-80c5-3ff0-bab8-6616-359b-625c-1994";"200206";"60";"5";"wieś";"stały";"Wiejski Dom Kultury w Uhowie, Uhowo ul. Kościelna 42, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1061";"1156";"372";"689";"2";"1";"0";"0";"0";"0";"0";"0";"0";"689";"0";"0";"689";"12";"4";"8";"0";"677";"60";"417";"57";"143"
"f18d-5bd1-3292-4016-c16b-fdbb-8b4f-32bc";"200206";"60";"6";"miasto";"stały";"Przedszkole Nr 2 w Łapach, ul. Cmentarna 23, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1340";"1443";"501";"839";"2";"0";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"7";"2";"5";"0";"832";"104";"484";"68";"176"
"7d11-4b35-a25b-7003-8729-a387-9c01-b96a";"200206";"60";"7";"miasto";"stały";"Przedszkole Nr 2 w Łapach, ul. Cmentarna 23, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1660";"1781";"570";"1090";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1090";"0";"0";"1090";"14";"9";"5";"0";"1076";"111";"678";"78";"209"
"4d3d-242f-45d2-ea9b-6696-a1ea-d28f-96f2";"200206";"60";"8";"miasto i wieś";"stały";"Szkoła Podstawowa Nr 2 w Łapach im. M. Kopernika, ul Piękna 17, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1530";"1657";"414";"1116";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1116";"0";"0";"1116";"6";"3";"3";"0";"1110";"97";"785";"75";"153"
"a5c5-4f10-43b8-0d3f-3e37-0b52-d668-fe5d";"200206";"60";"9";"miasto";"stały";"Gimnazjum Nr 1 w Łapach im. Ppłk. Stanisława Nilskiego-Łapińskiego, ul. Jana Matejki 19, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1180";"1258";"386";"794";"3";"4";"0";"0";"0";"0";"0";"0";"0";"794";"0";"0";"794";"11";"5";"6";"0";"783";"96";"444";"67";"176"
"565b-8465-3ce3-e56e-6b87-2fbd-3f92-7260";"200206";"60";"10";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Łapach im. Papieża Jana Pawła II, ul. Polna 9, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1600";"1715";"536";"1064";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1064";"0";"0";"1064";"13";"1";"12";"0";"1051";"93";"660";"74";"224"
"b6f0-0aff-4745-3c61-a461-413d-183b-dd24";"200206";"60";"11";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej w Łapach, ul. Główna 50, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1072";"1152";"377";"695";"2";"3";"0";"0";"0";"0";"0";"0";"0";"695";"0";"0";"695";"7";"3";"4";"0";"688";"77";"414";"76";"121"
"35a0-e47e-276b-5c88-3c10-4550-cbe9-4a6f";"200206";"60";"12";"miasto";"stały";"I Liceum Ogólnokształcące w Łapach, ul. Bohaterów Westerplatte 10, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"971";"1043";"378";"593";"2";"4";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"13";"5";"8";"0";"580";"59";"349";"59";"113"
"a23d-a068-6809-46c3-a88d-b241-3744-2353";"200206";"60";"13";"miasto";"stały";"Przedszkole Nr 1 w Łapach, ul. Polna 27, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"731";"835";"211";"520";"2";"6";"1";"1";"0";"0";"0";"0";"1";"521";"1";"0";"521";"5";"2";"3";"0";"516";"49";"300";"44";"123"
"a8eb-d3d1-010d-a156-3a27-7dfa-d20a-719a";"200206";"60";"14";"miasto";"stały";"Ośrodek Przedsiębiorczości w Łapach, gen. Wł. Sikorskiego 22a, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1140";"1229";"466";"674";"0";"2";"0";"0";"0";"0";"0";"0";"0";"674";"0";"0";"674";"16";"0";"16";"0";"658";"56";"421";"41";"140"
"aaad-6643-d0ab-1920-4a4a-6e0f-caeb-31b6";"200206";"60";"15";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Uhowie, Uhowo ul. Surażska 67, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"152";"116";"85";"67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"67";"0";"0";"67";"6";"1";"5";"0";"61";"12";"30";"11";"8"
"850a-fb44-5b04-0c03-209b-ef41-31e9-34a4";"200206";"60";"16";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Janusza Korczaka 23, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"152";"82";"131";"21";"0";"2";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"1";"0";"1";"0";"20";"2";"11";"3";"4"
"3ad7-6d93-c1bb-f152-29f9-658f-94b2-e1ea";"200207";"60";"1";"miasto";"stały";"Gminny Ośrodek Kultury w Michałowie, ul. Białostocka 19, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"949";"1051";"432";"517";"2";"4";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"9";"1";"8";"0";"508";"65";"188";"70";"185"
"445e-1133-ab68-9fe7-717f-548a-01ff-21f6";"200207";"60";"2";"miasto";"stały";"Szkoła Podstawowa w Michałowie, ul. Sienkiewicza 21, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"1089";"1201";"490";"599";"2";"4";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"599";"14";"3";"11";"0";"585";"64";"204";"61";"256"
"4fdb-bd20-9b3c-51bc-f3a5-a1d5-c47c-f931";"200207";"60";"3";"miasto";"stały";"Urząd Miejski w Michałowie, Białostocka 11, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"650";"697";"313";"337";"4";"2";"0";"0";"0";"0";"0";"0";"0";"337";"0";"0";"337";"5";"3";"2";"0";"332";"43";"114";"49";"126"
"6d21-53e4-db31-5f01-c610-9667-71aa-d4fc";"200207";"60";"4";"wieś";"stały";"Dom Ludowy w Sokolu, Sokole 59, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"242";"254";"107";"135";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135";"0";"0";"135";"1";"1";"0";"0";"134";"15";"48";"13";"58"
"c20c-05bc-138c-5423-2af6-ff57-4c06-7370";"200207";"60";"5";"wieś";"stały";"Świetlica w Topolanach, Topolany 29, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"173";"192";"95";"78";"0";"2";"0";"0";"0";"0";"0";"0";"0";"78";"0";"0";"78";"3";"1";"2";"0";"75";"14";"35";"8";"18"
"9211-c86c-4911-7cba-7a33-c5c7-3dfe-58b5";"200207";"60";"6";"wieś";"stały";"Remiza OSP w Nowej Woli, Nowa Wola 80, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"354";"393";"202";"152";"0";"1";"0";"0";"0";"0";"0";"0";"0";"152";"0";"0";"152";"2";"1";"1";"0";"150";"16";"42";"12";"80"
"78ab-5fc1-8b29-b99b-473c-6d1e-915b-fee0";"200207";"60";"7";"wieś";"stały";"Ośrodek Zdrowia w Juszkowym Grodzie, Juszkowy Gród 20, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"365";"401";"212";"153";"0";"3";"0";"0";"0";"0";"0";"0";"0";"153";"0";"0";"153";"3";"1";"2";"0";"150";"9";"68";"16";"57"
"8e50-29d1-74ec-737d-7475-36fd-7da9-78c1";"200207";"60";"8";"wieś";"stały";"Świetlica na Osiedlu Bondary, Osiedle Bondary Blok nr 5, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"397";"382";"247";"150";"0";"2";"0";"0";"0";"0";"0";"0";"0";"150";"0";"0";"150";"11";"1";"10";"0";"139";"13";"26";"19";"81"
"e01b-956d-f92e-b7e2-2328-1763-e84c-1d20";"200207";"60";"9";"wieś";"stały";"Ośrodek Zdrowia w Szymkach, Szymki 104, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"465";"511";"249";"216";"0";"2";"0";"0";"0";"0";"0";"0";"0";"216";"0";"0";"216";"1";"0";"1";"0";"215";"21";"112";"20";"62"
"5a77-013c-0fc3-e0ff-7f4f-1aad-75c2-d626";"200207";"60";"10";"wieś";"stały";"Remiza OSP w Jałówce, Jałówka Dworna 20, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"262";"249";"180";"82";"0";"2";"0";"0";"0";"0";"0";"0";"0";"82";"0";"0";"82";"1";"0";"1";"0";"81";"4";"53";"7";"17"
"5b4c-57a4-4362-da5e-c1d3-856b-4b16-6d43";"200207";"60";"11";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej ”Spokojna Przystań” w Garbarach, Garbary 1, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"99";"97";"47";"52";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52";"0";"0";"52";"8";"6";"2";"0";"44";"5";"25";"6";"8"
"327b-57d4-582a-d6f2-93fc-1959-2789-c7f6";"200207";"60";"12";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej „Jawor” w Jałówce, Jałówka ul. Leśna 11, 16-050 Michałowo";"gm. Michałowo";"białostocki";"podlaskie";"66";"66";"50";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"16";"0";"0";"0";"0";"16";"2";"9";"3";"2"
"63c0-571d-d912-04de-20f0-5ecb-e3ba-0464";"200208";"60";"1";"wieś";"stały";"Wiejski Dom Kultury w Poświętnem, Poświętne 21A, 18-112 Poświętne";"gm. Poświętne";"białostocki";"podlaskie";"985";"1070";"340";"645";"1";"0";"0";"0";"0";"0";"0";"0";"0";"645";"0";"0";"645";"10";"9";"1";"0";"635";"76";"477";"34";"48"
"29ff-d4e0-ddf2-d2f2-3d73-35da-262f-6595";"200208";"60";"2";"wieś";"stały";"Świetlica Wiejska w Brzozowie Starym, Brzozowo Stare 35, 18-112 Poświętne";"gm. Poświętne";"białostocki";"podlaskie";"893";"955";"360";"533";"0";"0";"0";"0";"0";"0";"0";"0";"0";"533";"0";"0";"533";"5";"3";"2";"0";"528";"58";"386";"35";"49"
"7fcc-e1ef-9f00-ba6d-3794-9452-06a8-4043";"200208";"60";"3";"wieś";"stały";"Remiza OSP w Pietkowie, Pietkowo 49, 18-112 Poświętne";"gm. Poświętne";"białostocki";"podlaskie";"670";"730";"286";"384";"1";"0";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"6";"4";"2";"0";"378";"39";"290";"24";"25"
"40af-d458-5e0d-de52-cd37-9375-241d-59d2";"200209";"60";"1";"miasto";"stały";"Sportowa Szkoła Podstawowa w Supraślu, ul. Józefa Piłsudskiego 1, 16-030 Supraśl";"gm. Supraśl";"białostocki";"podlaskie";"1422";"1546";"494";"928";"2";"14";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"22";"2";"20";"0";"906";"87";"381";"98";"340"
"7019-25f3-9634-29cd-7a04-a625-d556-de56";"200209";"60";"2";"miasto";"stały";"Sportowa Szkoła Podstawowa w Supraślu, ul. Józefa Piłsudskiego 1, 16-030 Supraśl";"gm. Supraśl";"białostocki";"podlaskie";"1175";"1290";"280";"895";"5";"31";"0";"0";"0";"0";"0";"0";"0";"895";"0";"0";"895";"15";"5";"10";"0";"880";"66";"347";"90";"377"
"f056-f09c-ad7b-9a2e-4ac0-8071-3b5c-3869";"200209";"60";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Ogrodniczkach, Ogrodniczki ul. Zagórna 7, 16-030 Supraśl";"gm. Supraśl";"białostocki";"podlaskie";"1572";"1736";"413";"1159";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1159";"0";"0";"1159";"17";"1";"16";"0";"1142";"128";"390";"126";"498"
"619e-91ac-49e9-9994-6e5b-a666-e181-b470";"200209";"60";"4";"wieś";"stały";"Świetlica Strażnicy OSP, Sokołda 16, 16-030 Supraśl";"gm. Supraśl";"białostocki";"podlaskie";"191";"213";"79";"112";"0";"0";"0";"0";"0";"0";"0";"0";"0";"112";"0";"0";"112";"2";"1";"1";"0";"110";"11";"46";"11";"42"
"d646-0be2-d532-bd5f-ee52-025f-6411-ae55";"200209";"60";"5";"wieś";"stały";"Szkoła Podstawowa w Sobolewie, Sobolewo ul. Podlaska 8, 15-509 Białystok";"gm. Supraśl";"białostocki";"podlaskie";"1340";"1489";"395";"944";"2";"3";"0";"0";"0";"0";"0";"0";"0";"945";"0";"0";"945";"5";"1";"4";"0";"940";"83";"359";"113";"385"
"a02c-07e0-c48a-67ed-f5d3-1d19-f9de-17bc";"200209";"60";"6";"wieś";"stały";"ADAMPOL S. A., Zaścianki ul. Usługowa 3, 15-521 Białystok";"gm. Supraśl";"białostocki";"podlaskie";"1836";"2003";"514";"1322";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1322";"0";"0";"1322";"25";"5";"20";"0";"1297";"97";"428";"131";"641"
"9ac8-3bc7-b276-e086-bb23-72f6-e8a2-f23b";"200209";"60";"7";"wieś";"stały";"Przedszkole Samorządowe w Grabówce, Grabówka ul. Leszczynowa 14, 15-523 Białystok";"gm. Supraśl";"białostocki";"podlaskie";"1578";"1744";"377";"1202";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1202";"0";"0";"1202";"21";"8";"13";"0";"1181";"81";"328";"145";"627"
"f557-e92d-8099-71c7-c6f7-35ff-d34d-3c0f";"200209";"60";"8";"wieś";"stały";"Przedszkole Samorządowe w Grabówce, Grabówka ul. Leszczynowa 14/1, 15-523 Białystok";"gm. Supraśl";"białostocki";"podlaskie";"1012";"1120";"241";"771";"0";"1";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"9";"4";"5";"0";"762";"53";"228";"79";"402"
"6153-bcc3-2808-5b50-993e-0ab2-4c29-8dd7";"200209";"60";"9";"miasto";"stały";"Sportowa Szkoła Podstawowa w Supraślu, ul. Józefa Piłsudskiego 1, 16-030 Supraśl";"gm. Supraśl";"białostocki";"podlaskie";"889";"959";"295";"594";"1";"2";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"15";"1";"14";"0";"579";"72";"233";"55";"219"
"52b6-9a79-a61e-9e36-2b78-a840-b528-9e6b";"200209";"60";"10";"miasto";"zakład leczniczy";"Szpital Uzdrowiskowy w Supraślu, ul. Uroczysko Pustelnia 1, 16-030 Supraśl";"gm. Supraśl";"białostocki";"podlaskie";"202";"142";"69";"133";"0";"19";"0";"0";"0";"0";"0";"0";"0";"133";"0";"0";"133";"2";"1";"1";"0";"131";"5";"68";"12";"46"
"2ed0-a3a0-fd79-b2c8-4d9a-5cf2-651a-b17e";"200210";"60";"1";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Surażu, ul. Bielska 4, 18-105 Suraż";"gm. Suraż";"białostocki";"podlaskie";"786";"846";"272";"514";"0";"2";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"4";"0";"4";"0";"510";"48";"324";"43";"95"
"5b58-2b1d-81cc-47c2-cec2-968b-3083-b9e3";"200210";"60";"2";"wieś";"stały";"Świetlica Wiejska, Zawyki 79, 18-105 Suraż";"gm. Suraż";"białostocki";"podlaskie";"263";"289";"83";"180";"0";"1";"0";"0";"0";"0";"0";"0";"0";"180";"0";"0";"180";"3";"1";"2";"0";"177";"12";"132";"13";"20"
"c60b-b82b-a404-8876-edb8-9232-e0fe-69eb";"200210";"60";"3";"wieś";"stały";"Świetlica Wiejska, Rynki 3, 18-105 Suraż";"gm. Suraż";"białostocki";"podlaskie";"190";"215";"59";"131";"1";"0";"0";"0";"0";"0";"0";"0";"0";"131";"0";"0";"131";"3";"0";"3";"0";"128";"17";"102";"2";"7"
"30c3-685d-9811-a95c-cf6e-03ba-344b-213d";"200210";"60";"4";"wieś";"stały";"Siedziba Stowarzyszenia ""Zielona Szkoła "", Doktorce 1, 18-105 Suraż";"gm. Suraż";"białostocki";"podlaskie";"200";"220";"61";"139";"0";"0";"0";"0";"0";"0";"0";"0";"0";"139";"0";"0";"139";"2";"0";"2";"0";"137";"11";"95";"6";"25"
"0e6d-e204-f6f5-e978-9469-8de5-db6a-a7f5";"200211";"60";"1";"wieś";"stały";"Urząd Gminy w Turośni Kościelnej, ul. Białostocka 5, 18-106 Turośń Kościelna";"gm. Turośń Kościelna";"białostocki";"podlaskie";"1318";"1447";"366";"952";"4";"4";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"23";"4";"19";"0";"929";"131";"593";"65";"140"
"5520-a866-7d60-ad0e-e9c9-438a-a096-7fa5";"200211";"60";"2";"wieś";"stały";"Szkoła Podstawowa w Turośni Dolnej, Turośń Dolna 20, 18-106 Turośń Kościelna";"gm. Turośń Kościelna";"białostocki";"podlaskie";"720";"801";"199";"521";"1";"2";"0";"0";"0";"0";"0";"0";"0";"521";"0";"0";"521";"12";"2";"10";"0";"509";"58";"351";"31";"69"
"221a-f496-ae8c-f5d8-dfd4-e4ad-9ccb-bfbd";"200211";"60";"3";"wieś";"stały";"Szkoła Podstawowa w Tołczach, Tołcze 6, 18-106 Turośń Kościelna";"gm. Turośń Kościelna";"białostocki";"podlaskie";"1051";"1174";"360";"691";"2";"2";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"4";"3";"1";"0";"687";"78";"386";"74";"149"
"0e32-cf78-47f6-5f28-9bd0-2f74-4c07-9d2d";"200211";"60";"4";"wieś";"stały";"Świetlica wiejska w Baciutach, Baciuty 41, 18-106 Turośń Kościelna";"gm. Turośń Kościelna";"białostocki";"podlaskie";"390";"441";"134";"256";"0";"0";"0";"0";"0";"0";"0";"0";"0";"256";"0";"0";"256";"6";"1";"5";"0";"250";"27";"112";"41";"70"
"50ed-4fcb-f116-7f06-a9ec-3515-cae5-5f56";"200211";"60";"5";"wieś";"stały";"Świetlica wiejska w Niewodnicy Koryckiej, Niewodnica Korycka ul. Tadeusza Kościuszki 52, 18-106 Turośń Kościelna";"gm. Turośń Kościelna";"białostocki";"podlaskie";"1075";"1175";"195";"880";"0";"4";"0";"0";"0";"0";"0";"0";"0";"878";"0";"0";"878";"13";"4";"9";"0";"865";"85";"284";"102";"394"
"a872-d24e-17c8-d13b-70e2-b0a1-a9b8-7d83";"200212";"60";"1";"miasto";"stały";"Zespół Szkół i Przedszkole w Tykocinie, ul. Kochanowskiego 1, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"1463";"1599";"537";"926";"2";"11";"0";"0";"0";"0";"0";"0";"0";"926";"0";"0";"926";"23";"5";"18";"0";"903";"136";"488";"88";"191"
"6e67-b90c-eec9-5a76-a8f4-71fd-ea7f-3bbc";"200212";"60";"2";"wieś";"stały";"Budynek OSP, Jeżewo Stare 28, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"590";"646";"263";"327";"0";"2";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"3";"0";"3";"0";"323";"25";"233";"24";"41"
"fbe6-0e01-69c7-3d80-d642-878a-c9a1-1dd6";"200212";"60";"3";"wieś";"stały";"Budynek OSP, Saniki 18A, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"384";"421";"120";"264";"1";"0";"0";"0";"0";"0";"0";"0";"0";"264";"0";"0";"264";"4";"0";"4";"0";"260";"43";"192";"19";"6"
"2047-78d9-a971-b5d4-5b49-8279-d938-7ea0";"200212";"60";"4";"wieś";"stały";"Świetlica wiejska, Łaziuki 23, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"451";"487";"245";"206";"0";"0";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"2";"0";"2";"0";"204";"30";"129";"17";"28"
"b113-c02a-fc40-5361-078e-47f3-2e6c-9ffe";"200212";"60";"5";"wieś";"stały";"Budynek OSP, Łopuchowo 14, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"346";"380";"151";"195";"1";"0";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"195";"1";"0";"1";"0";"194";"18";"154";"9";"13"
"e26c-3e2f-81db-b16a-020f-676b-cfe2-5b52";"200212";"60";"6";"wieś";"stały";"Świetlica wiejska, Siekierki 5, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"521";"577";"203";"318";"0";"0";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"1";"0";"1";"0";"317";"24";"250";"27";"16"
"bad0-a763-3b57-896b-cb0d-cd6a-cf93-29f5";"200212";"60";"7";"wieś";"stały";"Szkoła Podstawowa, Radule 87, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"632";"690";"281";"351";"0";"1";"0";"0";"0";"0";"0";"0";"0";"351";"0";"0";"351";"6";"0";"6";"0";"345";"30";"257";"30";"28"
"59ae-4fbc-23ea-3041-fc2f-d895-27e1-8483";"200212";"60";"8";"wieś";"stały";"Świetlica wiejska, Sierki 88, 16-080 Tykocin";"gm. Tykocin";"białostocki";"podlaskie";"203";"224";"55";"148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"148";"0";"0";"148";"4";"1";"3";"0";"144";"9";"116";"7";"12"
"7a58-5c27-80dc-dec9-9fef-b108-237e-50a4";"200213";"60";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Ks. W. Rabczyńskiego, ul. Mickiewicza 2, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"2060";"2316";"544";"1516";"2";"7";"1";"1";"0";"0";"0";"0";"1";"1517";"1";"0";"1517";"33";"8";"25";"0";"1484";"124";"650";"203";"507"
"2ec6-4545-4951-5364-43d4-2154-542e-6bfb";"200213";"60";"2";"miasto";"stały";"Szkoła Podstawowa im. króla Zygmunta Augusta, ul. Polna 1/4a, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"2042";"2288";"733";"1309";"9";"2";"0";"0";"0";"0";"0";"0";"0";"1309";"0";"0";"1309";"21";"6";"15";"0";"1288";"123";"598";"144";"423"
"9501-b5e8-20fc-dba0-d8b5-27c4-b56d-6037";"200213";"60";"3";"miasto";"stały";"Szkoła Podstawowa im. króla Zygmunta Augusta, Polna 1/4a, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"1413";"1501";"412";"1001";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1000";"0";"0";"1000";"18";"8";"10";"0";"982";"109";"411";"94";"368"
"42ea-9c95-d8b8-c136-1eb7-0c19-8209-e1eb";"200213";"60";"4";"miasto";"stały";"Przedszkole, ul. Sienkiewicza 24, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"1433";"1599";"484";"949";"3";"4";"0";"0";"0";"0";"0";"0";"0";"949";"0";"0";"949";"15";"5";"10";"0";"934";"79";"416";"105";"334"
"3f98-0e74-7f3d-be61-13d9-00af-e162-c1b7";"200213";"60";"5";"miasto";"stały";"Przedszkole, ul. Polna 1/4c, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"1499";"1653";"472";"1027";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1027";"0";"0";"1027";"20";"4";"16";"0";"1007";"90";"443";"115";"359"
"1c2c-0219-1256-3898-4ec0-6918-cf62-7e50";"200213";"60";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa, Studzianki ul. Supraślska 2, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"1209";"1358";"470";"739";"0";"8";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"25";"8";"17";"0";"714";"55";"259";"81";"319"
"2e43-0b40-07f6-6852-e3e9-0cf9-ecaf-5b95";"200213";"60";"7";"wieś";"stały";"Szkoła Podstawowa, Sochonie ul. Kościelna 1, 16-010 Wasilków";"gm. Wasilków";"białostocki";"podlaskie";"1914";"2116";"515";"1399";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1399";"0";"0";"1399";"32";"13";"19";"0";"1367";"122";"552";"125";"568"
"1dd6-ad40-1f32-d176-545f-53ae-1c61-2088";"200214";"60";"1";"wieś";"stały";"Szkoła Podstawowa w Zabłudowie, ul. Adama Mickiewicza 20, 16-060 Zabłudów";"gm. Zabłudów";"białostocki";"podlaskie";"394";"431";"166";"228";"0";"2";"0";"0";"0";"0";"0";"0";"0";"228";"0";"0";"228";"3";"0";"3";"0";"225";"22";"98";"20";"85"
"2120-0507-06c2-f0c7-f16d-164e-eb36-dfb2";"200214";"60";"2";"wieś";"stały";"Szkoła Podstawowa w Dobrzyniówce, Dobrzyniówka 40, 16-060 Zabłudów";"gm. Zabłudów";"białostocki";"podlaskie";"820";"896";"362";"458";"0";"3";"0";"0";"0";"0";"0";"0";"0";"458";"0";"0";"458";"11";"1";"10";"0";"447";"59";"237";"44";"107"
"30ba-258c-61ff-b497-7ac5-b561-663f-8c07";"200214";"60";"3";"wieś";"stały";"Szkoła Podstawowa w Rafałówce, Rafałówka 64, 16-060 Zabłudów";"gm. Zabłudów";"białostocki";"podlaskie";"765";"837";"310";"455";"1";"3";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"6";"0";"6";"0";"449";"61";"215";"55";"118"
"4461-1559-2fb2-66b9-09f6-dfb8-8513-237f";"200214";"60";"4";"wieś";"stały";"Świetlica Wiejska w Kurianach, Kuriany 29, 15-588 Białystok";"gm. Zabłudów";"białostocki";"podlaskie";"552";"621";"197";"355";"0";"2";"0";"0";"0";"0";"0";"0";"0";"355";"0";"0";"355";"6";"2";"4";"0";"349";"42";"148";"46";"113"
