"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dawid Adam KOSTEMPSKI";"Henryk Krzysztof MERCIK";"Leon SWACZYNA";"Dorota Jolanta TOBISZOWSKA";"Liczba obwodów"
"246300";"Chorzów";"śląskie";73276;79689;25130;48145;54;222;8;8;0;0;0;1;7;48148;7;1;48147;887;217;670;0;47260;9686;15455;6924;15195;63
"247100";"Piekary Śląskie";"śląskie";38863;42370;12734;26128;33;97;3;3;0;0;0;0;3;26125;3;1;26124;560;141;419;0;25564;4772;6253;3179;11360;32
"247200";"Ruda Śląska";"śląskie";95629;104865;32525;63106;46;225;2;2;0;0;0;0;2;63102;2;0;63102;1059;299;760;0;62043;9696;16693;8864;26790;78
"247400";"Siemianowice Śląskie";"śląskie";46128;50692;14100;32028;30;111;3;3;0;0;0;0;3;32026;3;7;32019;580;130;450;0;31439;6952;8794;4731;10962;40
"247600";"Świętochłowice";"śląskie";33996;37258;12859;21137;12;47;3;3;0;0;0;0;3;21140;3;0;21140;361;107;254;0;20779;5846;4922;2566;7445;26
