"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota Irvina ARCISZEWSKA-MIELEWCZYK";"Kazimierz Mariusz KLEINA";"Liczba obwodów"
"220800";"lęborski";"pomorskie";45893;49089;17080;28811;25;398;3;3;0;0;0;0;3;28808;3;0;28808;977;317;660;0;27831;10838;16993;46
"221200";"słupski";"pomorskie";69912;74506;30656;39256;54;959;4;4;0;0;0;0;4;39255;4;0;39255;1240;270;970;0;38015;15561;22454;88
"221500";"wejherowski";"pomorskie";145386;157388;44060;101324;74;646;13;13;1;0;0;0;12;101312;12;4;101308;3093;974;2119;0;98215;40273;57942;105
"226300";"Słupsk";"pomorskie";65431;68457;22786;42645;43;325;9;8;4;0;0;0;4;42640;4;8;42632;1426;509;917;0;41206;15404;25802;47
