"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Daria Urszula BALON";"Ryszard Wiesław SKOTNICZNY";"Alicja Maria ZAJĄC"
"dba9-28bf-c253-b62e-bef9-9973-1466-6529";"180201";"57";"13";"wieś";"stały";"Szkoła Podstawowa w Starej Wsi, Stara Wieś 790, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1260";"1327";"468";"792";"4";"6";"0";"0";"0";"0";"0";"0";"0";"792";"0";"0";"792";"12";"5";"7";"0";"780";"100";"57";"623"
"1d25-fa81-4845-7a58-259b-0f0f-ddba-aa29";"180201";"57";"14";"wieś";"stały";"Zespół Szkół Nr 1 w Przysietnicy, Przysietnica 198, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1570";"1704";"588";"982";"1";"2";"0";"0";"0";"0";"0";"0";"0";"982";"0";"0";"982";"15";"0";"15";"0";"967";"85";"65";"817"
"9a1c-3414-13cc-667b-3043-90b6-68b5-4890";"180201";"57";"15";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Przysietnicy, Przysietnica 514, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1219";"1330";"470";"749";"3";"1";"0";"0";"0";"0";"0";"0";"0";"749";"0";"0";"749";"17";"5";"12";"0";"732";"60";"44";"628"
"f900-4ce4-c0fe-5183-1b64-e3d5-7767-2955";"180201";"57";"16";"miasto";"zakład leczniczy";"Budynek Szpitala, ul. Ks. J. Bielawskiego 18, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"150";"125";"98";"52";"0";"2";"0";"0";"0";"0";"0";"0";"0";"52";"0";"0";"52";"1";"0";"1";"0";"51";"11";"2";"38"
"5120-9f18-244d-904a-9873-7571-1457-9ab1";"180201";"57";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Brzozowie, ul. W. Witosa 13, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"79";"80";"48";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"1";"0";"1";"0";"30";"3";"8";"19"
"3be0-77c4-d8ec-c452-f750-1bcf-b962-1ab6";"180202";"57";"1";"wieś";"stały";"Szkoła Podstawowa w Baryczy, Barycz 238, 36-230 Domaradz";"gm. Domaradz";"brzozowski";"podkarpackie";"710";"769";"249";"461";"0";"3";"0";"0";"0";"0";"0";"0";"0";"461";"0";"0";"461";"13";"4";"9";"0";"448";"40";"36";"372"
"879b-c31a-3001-032f-a83f-2241-7e5a-37e9";"180202";"57";"2";"wieś";"stały";"Szkoła Podstawowa Nr 2 w Domaradzu, Domaradz 651, 36-230 Domaradz";"gm. Domaradz";"brzozowski";"podkarpackie";"620";"670";"194";"426";"0";"0";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"8";"3";"5";"0";"418";"31";"26";"361"
"b75e-c62c-01c0-0fe9-8a8c-9e28-126c-95ca";"180202";"57";"3";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Domaradzu, Domaradz 349, 36-230 Domaradz";"gm. Domaradz";"brzozowski";"podkarpackie";"1410";"1533";"548";"862";"2";"8";"0";"0";"0";"0";"0";"0";"0";"862";"0";"0";"862";"17";"2";"15";"0";"845";"125";"80";"640"
"3229-f3ef-1f56-624b-ceb4-9234-4658-8bd9";"180202";"57";"4";"wieś";"stały";"Dom Strażaka w Domaradzu (Poręby), Domaradz 897 A, 36-230 Domaradz";"gm. Domaradz";"brzozowski";"podkarpackie";"210";"224";"94";"116";"0";"0";"0";"0";"0";"0";"0";"0";"0";"116";"0";"0";"116";"4";"1";"3";"0";"112";"11";"10";"91"
"53f9-35f6-82d3-8a05-bfcb-c2ac-ba50-85c2";"180202";"57";"5";"wieś";"stały";"Zespół Szkół w Golcowej, Golcowa 456, 36-230 Domaradz";"gm. Domaradz";"brzozowski";"podkarpackie";"950";"1026";"398";"552";"0";"0";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"11";"3";"8";"0";"541";"33";"63";"445"
"c349-7d22-4d3d-7bc2-e691-39f3-1c83-d419";"180202";"57";"6";"wieś";"stały";"Szkoła Podstawowa Nr 2 w Golcowej, Golcowa 284, 36-230 Domaradz";"gm. Domaradz";"brzozowski";"podkarpackie";"560";"617";"228";"332";"0";"0";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"7";"0";"7";"0";"325";"19";"8";"298"
"187f-b03f-d185-2e1b-e16b-c339-5d4b-5fe6";"180203";"57";"1";"wieś";"stały";"Szkoła Podstawowa im. Świętej Królowej Jadwigi w Dydni, Dydnia 221, 36-204 Dydnia";"gm. Dydnia";"brzozowski";"podkarpackie";"1090";"1198";"462";"628";"0";"3";"0";"0";"0";"0";"0";"0";"0";"628";"0";"0";"628";"13";"1";"12";"0";"615";"95";"68";"452"
"32f0-a6f5-1336-5c9d-69de-9c62-51fa-c6cb";"180203";"57";"2";"wieś";"stały";"Dom Ludowy w Grabówce, Grabówka 66, 36-207 Brzozów";"gm. Dydnia";"brzozowski";"podkarpackie";"410";"442";"172";"238";"0";"0";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"8";"0";"8";"0";"230";"17";"39";"174"
"466f-0c8e-b5bb-8da2-cd21-0571-ac48-f51e";"180203";"57";"3";"wieś";"stały";"Dom Ludowy w Jabłonce, Jabłonka 47, 36-204 Dydnia";"gm. Dydnia";"brzozowski";"podkarpackie";"780";"853";"334";"446";"0";"4";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"10";"0";"10";"0";"436";"58";"30";"348"
"f58a-70ee-dc7e-cdee-4c8d-3be9-629a-25a2";"180203";"57";"4";"wieś";"stały";"Dom Ludowy w Witryłowie, Witryłów 21, 36-204 Dydnia";"gm. Dydnia";"brzozowski";"podkarpackie";"390";"422";"208";"182";"0";"2";"0";"0";"0";"0";"0";"0";"0";"182";"0";"0";"182";"6";"1";"5";"0";"176";"29";"18";"129"
