"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof KWIATKOWSKI";"Marek Sławomir MARKIEWICZ";"Małgorzata Krystyna NIEWIADOMSKA-CUDAK";"Liczba obwodów"
"100602";"gmina wiejska";"gm. Andrespol";"łódzki wschodni";"łódzkie";9967;11158;2275;7692;7;50;0;0;0;0;0;0;0;7692;0;0;7692;138;49;89;0;7554;2611;3076;1867;15
"100603";"gmina wiejska";"gm. Brójce";"łódzki wschodni";"łódzkie";4849;5269;1160;3689;3;11;0;0;0;0;0;0;0;3688;0;0;3688;68;26;42;0;3620;1148;1861;611;6
"100607";"gmina miejsko-wiejska";"gm. Koluszki";"łódzki wschodni";"łódzkie";16994;18456;4783;12211;4;53;0;0;0;0;0;0;0;12210;0;0;12210;220;67;153;0;11990;4044;5429;2517;26
"100608";"gmina wiejska";"gm. Nowosolna";"łódzki wschodni";"łódzkie";3828;3991;878;2950;1;37;0;0;0;0;0;0;0;2950;0;0;2950;59;21;38;0;2891;1333;927;631;6
"100610";"gmina miejsko-wiejska";"gm. Rzgów";"łódzki wschodni";"łódzkie";7161;7987;1321;5840;5;44;0;0;0;0;0;0;0;5839;0;0;5839;132;37;95;0;5707;1948;2565;1194;7
"100611";"gmina miejsko-wiejska";"gm. Tuszyn";"łódzki wschodni";"łódzkie";9156;9995;2904;6251;6;35;0;0;0;0;0;0;0;6251;0;0;6251;123;38;85;0;6128;1861;2857;1410;17
"102101";"gmina miejska";"m. Brzeziny";"brzeziński";"łódzkie";9141;9810;3110;6031;6;23;0;0;0;0;0;0;0;6028;0;0;6028;113;30;83;0;5915;2078;2633;1204;9
"102102";"gmina wiejska";"gm. Brzeziny";"brzeziński";"łódzkie";4064;4527;1107;2957;5;9;0;0;0;0;0;0;0;2957;0;0;2957;73;19;54;0;2884;826;1498;560;5
"102103";"gmina wiejska";"gm. Dmosin";"brzeziński";"łódzkie";3340;3663;1118;2222;8;9;0;0;0;0;0;0;0;2222;0;0;2222;59;9;50;0;2163;552;1211;400;8
"102104";"gmina wiejska";"gm. Jeżów";"brzeziński";"łódzkie";2485;2717;828;1657;3;9;0;0;0;0;0;0;0;1657;0;0;1657;42;14;28;0;1615;436;958;221;10
"102105";"gmina wiejska";"gm. Rogów";"brzeziński";"łódzkie";3409;3779;1134;2275;3;39;0;0;0;0;0;0;0;2275;0;0;2275;41;9;32;0;2234;706;1174;354;7
"106101";"gmina miejska";"m. Łódź";"Łódź";"łódzkie";210934;229718;52791;158135;150;895;30;30;1;0;0;0;29;158121;29;20;158101;2508;904;1604;0;155593;61805;49711;44077;135
