"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Tadeusz DUDA";"Jerzy Feliks FEDOROWICZ"
"5625-78ca-b458-1616-3687-490f-347a-1c94";"126101";"32";"34";"miasto";"stały";"VIII Liceum Ogólnokształcące, ul. Grzegórzecka 24, 31-531 Kraków";"m. Kraków";"Kraków";"małopolskie";"959";"1066";"224";"735";"0";"40";"3";"3";"0";"0";"0";"0";"3";"738";"3";"0";"738";"25";"8";"17";"0";"713";"250";"463"
"ae19-29ee-8118-f31d-ff65-9b7d-6332-ea8d";"126101";"32";"35";"miasto";"stały";"Szkoła Podstawowa nr 10, ul. Księdza Blachnickiego 1, 31-535 Kraków";"m. Kraków";"Kraków";"małopolskie";"1189";"1349";"237";"952";"0";"30";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"39";"16";"23";"0";"913";"291";"622"
"176d-6687-4579-b470-f555-f62d-cbe2-e57d";"126101";"32";"36";"miasto";"stały";"VIII Liceum Ogólnokształcące, ul. Grzegórzecka 24, 31-531 Kraków";"m. Kraków";"Kraków";"małopolskie";"970";"1163";"86";"884";"2";"50";"0";"0";"0";"0";"0";"0";"0";"883";"0";"0";"883";"21";"7";"14";"0";"862";"195";"667"
"2b7e-d641-7745-8a99-36f4-572e-fca6-e0f8";"126101";"32";"37";"miasto";"stały";"Bursa Szkolnictwa Ponadpodstawowego Nr 1, ul. Rzeźnicza 4, 31-540 Kraków";"m. Kraków";"Kraków";"małopolskie";"1117";"1287";"177";"940";"0";"59";"0";"0";"0";"0";"0";"0";"0";"940";"0";"0";"940";"22";"8";"14";"0";"918";"269";"649"
"4d6f-6694-0c41-edaa-d352-c689-e14d-dee2";"126101";"32";"38";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Półkole 11, 31-559 Kraków";"m. Kraków";"Kraków";"małopolskie";"1380";"1614";"159";"1221";"2";"26";"0";"0";"0";"0";"0";"0";"0";"1221";"0";"0";"1221";"53";"20";"33";"0";"1168";"366";"802"
"d8dd-5fed-634a-700d-119e-6d71-b699-4cc5";"126101";"32";"39";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Półkole 11, 31-559 Kraków";"m. Kraków";"Kraków";"małopolskie";"1019";"1122";"218";"801";"1";"31";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"37";"9";"28";"0";"764";"315";"449"
"bae7-ca38-9005-2e50-b298-0b3e-f1eb-ba43";"126101";"32";"40";"miasto";"stały";"Szkoła Podstawowa Nr 39, ul. Jachowicza 5, 31-564 Kraków";"m. Kraków";"Kraków";"małopolskie";"1877";"2095";"434";"1443";"4";"51";"2";"2";"0";"0";"0";"0";"2";"1445";"2";"0";"1445";"42";"10";"32";"0";"1403";"547";"856"
"ea3a-597b-dabd-898f-09bc-c82f-ca43-1065";"126101";"32";"41";"miasto";"stały";"Szkoła Podstawowa Nr 39, ul. Jachowicza 5, 31-564 Kraków";"m. Kraków";"Kraków";"małopolskie";"1368";"1534";"127";"1241";"0";"31";"2";"2";"0";"0";"0";"0";"2";"1243";"2";"5";"1238";"50";"19";"31";"0";"1188";"301";"887"
"1ca7-000e-f844-01a2-ef8c-f4e4-20d7-6c58";"126101";"32";"42";"miasto";"stały";"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, 31-443 Kraków";"m. Kraków";"Kraków";"małopolskie";"1380";"1708";"145";"1235";"0";"63";"0";"0";"0";"0";"0";"0";"0";"1235";"0";"0";"1235";"50";"17";"33";"0";"1185";"348";"837"
"beec-26b0-d5e1-d644-03e6-b5be-bb16-f76d";"126101";"32";"43";"miasto";"stały";"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, 31-443 Kraków";"m. Kraków";"Kraków";"małopolskie";"1340";"1529";"90";"1250";"1";"57";"0";"0";"0";"0";"0";"0";"0";"1245";"0";"0";"1245";"32";"7";"25";"0";"1213";"287";"926"
"e33d-5ce1-f260-12df-4c17-fc18-b88c-a212";"126101";"32";"44";"miasto";"stały";"Zespół Szkół Nr 1, ul. Ułanów 3, 31-450 Kraków";"m. Kraków";"Kraków";"małopolskie";"1010";"1122";"278";"732";"3";"18";"1";"1";"0";"0";"0";"0";"1";"732";"1";"0";"732";"18";"5";"13";"0";"714";"291";"423"
"bcce-a01f-664f-0242-bda3-e9e8-b4aa-9ebd";"126101";"32";"45";"miasto";"stały";"Zespół Szkół Nr 1, ul. Ułanów 3, 31-450 Kraków";"m. Kraków";"Kraków";"małopolskie";"990";"1127";"214";"776";"1";"12";"0";"0";"0";"0";"0";"0";"0";"776";"0";"0";"776";"29";"4";"25";"0";"747";"282";"465"
"aaff-20cb-e731-e227-0f4b-8e65-a25e-496f";"126101";"32";"46";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 9, ul. Seniorów Lotnictwa 5, 31-445 Kraków";"m. Kraków";"Kraków";"małopolskie";"1150";"1284";"220";"930";"0";"14";"0";"0";"0";"0";"0";"0";"0";"929";"0";"0";"929";"34";"14";"20";"0";"895";"310";"585"
"6199-bba3-16f9-4908-6186-04c3-46dd-6eb4";"126101";"32";"47";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 9, ul. Seniorów Lotnictwa 5, 31-445 Kraków";"m. Kraków";"Kraków";"małopolskie";"1020";"1107";"201";"819";"0";"7";"0";"0";"0";"0";"0";"0";"0";"818";"0";"0";"818";"24";"15";"9";"0";"794";"281";"513"
"6863-58d3-3bb8-3796-b5d5-0d93-13ab-1e6f";"126101";"32";"48";"miasto";"stały";"Szkoła Muzyczna I Stopnia Nr 1, ul. Pilotów 51, 31-462 Kraków";"m. Kraków";"Kraków";"małopolskie";"1709";"1927";"186";"1515";"0";"38";"0";"0";"0";"0";"0";"0";"0";"1522";"0";"0";"1522";"54";"10";"44";"0";"1468";"464";"1004"
"c7ac-85ca-d0ab-0715-9e19-f6f6-42da-356f";"126101";"32";"49";"miasto";"stały";"Społeczna Szkoła Podstawowa Nr 7 STO, ul. Stanisława ze Skalbmierza 7, 31-436 Kraków";"m. Kraków";"Kraków";"małopolskie";"1170";"1293";"213";"957";"4";"5";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"24";"8";"16";"0";"930";"307";"623"
"c9bb-1ad4-d0ed-7878-a3da-a825-3eaa-bbb9";"126101";"32";"50";"miasto";"stały";"Społeczna Szkoła Podstawowa Nr 7 STO, ul. Stanisława ze Skalbmierza 7, 31-436 Kraków";"m. Kraków";"Kraków";"małopolskie";"1580";"1793";"431";"1149";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1149";"0";"0";"1149";"41";"11";"30";"0";"1108";"436";"672"
"4646-9be9-869e-bf08-1832-c28c-6565-2b0e";"126101";"32";"51";"miasto";"stały";"Społeczna Szkoła Podstawowa Nr 7 STO, ul. Stanisława ze Skalbmierza 7, 31-436 Kraków";"m. Kraków";"Kraków";"małopolskie";"1190";"1296";"344";"846";"1";"9";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"26";"8";"18";"0";"819";"330";"489"
"e8ab-3556-9488-01ea-78d6-3e25-b6d0-e0a3";"126101";"32";"52";"miasto";"stały";"Samorządowe Przedszkole Nr 14, ul. Młyńska Boczna 4, 31-470 Kraków";"m. Kraków";"Kraków";"małopolskie";"960";"1044";"260";"700";"0";"12";"0";"0";"0";"0";"0";"0";"0";"700";"0";"0";"700";"33";"8";"25";"0";"667";"310";"357"
"ca63-7cf7-c566-cd26-0457-1b1f-ebf1-c835";"126101";"32";"53";"miasto";"stały";"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, 31-465 Kraków";"m. Kraków";"Kraków";"małopolskie";"1510";"1669";"311";"1199";"3";"17";"0";"0";"0";"0";"0";"0";"0";"1197";"0";"0";"1197";"21";"10";"11";"0";"1176";"463";"713"
"ced5-4c79-cf28-e664-19d5-3213-c8f5-2ce5";"126101";"32";"54";"miasto";"stały";"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, 31-465 Kraków";"m. Kraków";"Kraków";"małopolskie";"1088";"1246";"61";"1027";"0";"47";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"31";"5";"26";"0";"995";"309";"686"
"f080-a318-d10e-1ff4-04a7-780e-55d9-d52e";"126101";"32";"55";"miasto";"stały";"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, 31-465 Kraków";"m. Kraków";"Kraków";"małopolskie";"950";"1040";"206";"744";"1";"20";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"19";"9";"10";"0";"725";"321";"404"
"8516-8eb2-37c4-944e-890e-b231-38bc-cf14";"126101";"32";"56";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";"m. Kraków";"Kraków";"małopolskie";"1660";"1965";"199";"1461";"0";"41";"1";"1";"0";"0";"0";"0";"1";"1462";"1";"0";"1462";"40";"15";"25";"0";"1422";"448";"974"
"ad1c-f37d-3b3a-320c-48e2-859e-337a-790b";"126101";"32";"57";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";"m. Kraków";"Kraków";"małopolskie";"1940";"2391";"105";"1835";"1";"20";"1";"1";"0";"0";"0";"0";"1";"1836";"1";"0";"1836";"57";"25";"32";"0";"1779";"578";"1201"
"ad1d-b98c-b3ff-5af2-2935-ecdc-c40e-a0c8";"126101";"32";"58";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";"m. Kraków";"Kraków";"małopolskie";"1390";"1525";"279";"1111";"1";"14";"2";"2";"0";"0";"0";"0";"2";"1113";"2";"0";"1113";"29";"6";"23";"0";"1084";"408";"676"
"360c-b453-2e9b-bc0e-f948-11b3-30c7-c128";"126101";"32";"59";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";"m. Kraków";"Kraków";"małopolskie";"1648";"1782";"433";"1215";"2";"9";"1";"1";"0";"0";"0";"0";"1";"1216";"1";"0";"1216";"19";"1";"18";"0";"1197";"468";"729"
"c196-6883-9ae0-bd41-df56-4de1-5c2c-e0e6";"126101";"32";"60";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";"m. Kraków";"Kraków";"małopolskie";"1590";"1709";"360";"1230";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1230";"0";"0";"1230";"40";"7";"33";"0";"1190";"459";"731"
"4b6b-67f3-eb37-50d0-58d1-e8ec-e350-b1d5";"126101";"32";"61";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 13, ul. Kazimierza Odnowiciela 2, 31-481 Kraków";"m. Kraków";"Kraków";"małopolskie";"1740";"1887";"360";"1380";"2";"14";"1";"1";"0";"0";"0";"0";"1";"1381";"1";"0";"1381";"56";"16";"40";"0";"1325";"518";"807"
"bd34-9c48-05b1-1bdb-9e8f-6a03-f632-a6d2";"126101";"32";"62";"miasto";"stały";"Samorządowe Przedszkole Nr 178, ul. Sudolska 3, 31-423 Kraków";"m. Kraków";"Kraków";"małopolskie";"1140";"1238";"231";"909";"1";"13";"0";"0";"0";"0";"0";"0";"0";"910";"0";"1";"909";"32";"6";"26";"0";"877";"305";"572"
"1f23-1350-6d28-63ca-09aa-42cc-9a5d-ade5";"126101";"32";"63";"miasto";"stały";"Samorządowe Przedszkole Nr 178, ul. Sudolska 3, 31-423 Kraków";"m. Kraków";"Kraków";"małopolskie";"1290";"1408";"260";"1030";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1030";"0";"0";"1030";"37";"13";"24";"0";"993";"366";"627"
"62cc-836c-08cd-979f-3dfb-f044-9bce-5927";"126101";"32";"64";"miasto";"stały";"Krakowskie Forum Kultury Klub Malwa, ul. Dobrego Pasterza 6, 31-416 Kraków";"m. Kraków";"Kraków";"małopolskie";"1119";"1310";"110";"1009";"8";"31";"3";"3";"0";"0";"0";"0";"3";"1012";"3";"0";"1012";"33";"10";"23";"0";"979";"347";"632"
"d2f6-6a4b-df4e-5cdc-847e-625f-3436-7501";"126101";"32";"65";"miasto";"stały";"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";"m. Kraków";"Kraków";"małopolskie";"1169";"1363";"266";"903";"0";"14";"0";"0";"0";"0";"0";"0";"0";"903";"0";"0";"903";"18";"9";"9";"0";"885";"355";"530"
"36e6-2b07-be7f-c306-b0dc-180d-93f5-d415";"126101";"32";"66";"miasto";"stały";"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";"m. Kraków";"Kraków";"małopolskie";"1380";"1600";"260";"1120";"1";"11";"1";"1";"0";"0";"0";"0";"1";"1121";"1";"0";"1121";"41";"11";"30";"0";"1080";"404";"676"
"135f-1f83-77a7-e871-5b75-a2b5-3630-5305";"126101";"32";"67";"miasto";"stały";"Oddziały Samorządowego Przedszkola Nr 162, ul. Duchacka 3, 31-426 Kraków";"m. Kraków";"Kraków";"małopolskie";"1620";"1770";"403";"1217";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1217";"0";"3";"1214";"48";"13";"35";"0";"1166";"428";"738"
"1e2b-3368-668d-0385-3bc2-d48c-b87d-3590";"126101";"32";"68";"miasto";"stały";"Młodzieżowy Dom Kultury, al. 29 Listopada 102, 31-406 Kraków";"m. Kraków";"Kraków";"małopolskie";"850";"997";"83";"766";"0";"8";"0";"0";"0";"0";"0";"0";"0";"766";"0";"0";"766";"15";"9";"6";"0";"751";"243";"508"
"187b-2a68-28f2-0752-4a40-5aae-0f90-af71";"126101";"32";"69";"miasto";"stały";"Samorządowe Przedszkole Nr 66, ul. Arcybiskupa Felińskiego 35, 31-236 Kraków";"m. Kraków";"Kraków";"małopolskie";"1618";"2042";"125";"1493";"0";"42";"0";"0";"0";"0";"0";"0";"0";"1492";"0";"0";"1492";"45";"23";"22";"0";"1447";"469";"978"
"aa12-b863-a618-b040-445d-7e24-5d16-c64a";"126101";"32";"70";"miasto";"stały";"Młodzieżowy Dom Kultury, al. 29 Listopada 102, 31-406 Kraków";"m. Kraków";"Kraków";"małopolskie";"1230";"1411";"372";"858";"0";"28";"0";"0";"0";"0";"0";"0";"0";"858";"0";"0";"858";"32";"10";"22";"0";"826";"289";"537"
"63fd-137d-669c-50c8-38a5-75a3-d6a0-8b9b";"126101";"32";"71";"miasto";"stały";"Młodzieżowy Dom Kultury, al. 29 Listopada 102, 31-406 Kraków";"m. Kraków";"Kraków";"małopolskie";"970";"1090";"136";"834";"0";"3";"0";"0";"0";"0";"0";"0";"0";"833";"0";"0";"833";"27";"11";"16";"0";"806";"217";"589"
"2bc2-561a-4a17-5342-ed63-169a-da94-65fb";"126101";"32";"72";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, ul. Porzeczkowa 3, 31-234 Kraków";"m. Kraków";"Kraków";"małopolskie";"1078";"1204";"167";"911";"1";"12";"0";"0";"0";"0";"0";"0";"0";"910";"0";"0";"910";"27";"11";"16";"0";"883";"267";"616"
"adb9-443d-d64a-bf25-dbbd-8a9b-6a41-9758";"126101";"32";"73";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, ul. Porzeczkowa 3, 31-234 Kraków";"m. Kraków";"Kraków";"małopolskie";"1330";"1459";"253";"1077";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1077";"0";"0";"1077";"28";"7";"21";"0";"1049";"399";"650"
"cf76-065e-43fa-6bfb-1340-8f3b-6af3-0568";"126101";"32";"74";"miasto";"stały";"Szkoła Podstawowa Nr 58, ul. Pigonia 2, 31-230 Kraków";"m. Kraków";"Kraków";"małopolskie";"1518";"1737";"243";"1275";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1284";"0";"8";"1276";"36";"10";"26";"0";"1240";"463";"777"
"44dd-4f63-a5dd-47b2-44b4-c431-e003-0233";"126101";"32";"75";"miasto";"stały";"Szkoła Podstawowa Nr 58, ul. Pigonia 2, 31-230 Kraków";"m. Kraków";"Kraków";"małopolskie";"1528";"1656";"239";"1289";"0";"52";"0";"0";"0";"0";"0";"0";"0";"1286";"0";"5";"1281";"31";"6";"25";"0";"1250";"420";"830"
"0f3b-45e1-f9bc-b2ef-70d2-a775-f5fe-8eab";"126101";"32";"76";"miasto";"stały";"Zespół Szkół Nr 5, ul. Mackiewicza 15, 31-214 Kraków";"m. Kraków";"Kraków";"małopolskie";"1440";"1573";"305";"1135";"3";"10";"2";"2";"0";"0";"0";"0";"2";"1135";"2";"0";"1135";"15";"3";"12";"0";"1120";"397";"723"
"6ba0-c86a-bc10-a687-38a6-be6e-0e99-a31e";"126101";"32";"77";"miasto";"stały";"Zespół Szkół Nr 5, ul. Mackiewicza 15, 31-214 Kraków";"m. Kraków";"Kraków";"małopolskie";"1199";"1154";"113";"1086";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1086";"0";"0";"1086";"16";"9";"7";"0";"1070";"240";"830"
"6528-f2ef-4171-8c23-1b54-2eb3-22aa-0df0";"126101";"32";"78";"miasto";"stały";"Zespół Szkół Nr 5, ul. Mackiewicza 15, 31-214 Kraków";"m. Kraków";"Kraków";"małopolskie";"920";"1011";"112";"808";"0";"15";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"27";"9";"18";"0";"781";"221";"560"
"a8f1-d753-4cd0-b01e-7f7b-bb50-deed-691e";"126101";"32";"79";"miasto";"stały";"Zespół Szkół Nr 5, ul. Mackiewicza 15, 31-214 Kraków";"m. Kraków";"Kraków";"małopolskie";"1449";"1600";"283";"1166";"6";"29";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"0";"1166";"28";"10";"18";"0";"1138";"388";"750"
"e1e0-1a6c-45b4-649f-2c23-def2-3a2e-9a1a";"126101";"32";"80";"miasto";"stały";"Zespół Szkół Nr 5, ul. Mackiewicza 15, 31-214 Kraków";"m. Kraków";"Kraków";"małopolskie";"1629";"1755";"323";"1306";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1306";"0";"0";"1306";"42";"18";"24";"0";"1264";"494";"770"
"af6f-0dc3-26f5-8912-60e0-fcf9-4fbd-ec1d";"126101";"32";"81";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Intergracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";"m. Kraków";"Kraków";"małopolskie";"1780";"2050";"194";"1586";"0";"43";"0";"0";"0";"0";"0";"0";"0";"1586";"0";"0";"1586";"53";"15";"38";"0";"1533";"414";"1119"
"14df-af62-7561-f305-c4c0-a232-394e-1d24";"126101";"32";"82";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";"m. Kraków";"Kraków";"małopolskie";"1208";"1374";"147";"1061";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1061";"0";"0";"1061";"38";"10";"28";"0";"1023";"291";"732"
"9d6a-122b-c784-9275-53fe-18b7-16fa-fd3f";"126101";"32";"83";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";"m. Kraków";"Kraków";"małopolskie";"1350";"1616";"117";"1233";"1";"26";"0";"0";"0";"0";"0";"0";"0";"1233";"0";"0";"1233";"32";"10";"22";"0";"1201";"385";"816"
"374c-7104-97c4-7502-9b46-ab6e-1941-92ca";"126101";"32";"84";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";"m. Kraków";"Kraków";"małopolskie";"1980";"2263";"394";"1582";"1";"43";"1";"1";"0";"0";"0";"0";"1";"1583";"1";"0";"1583";"46";"18";"28";"0";"1537";"521";"1016"
"c684-a64f-2db8-0414-8e0b-90b4-0d91-f0c3";"126101";"32";"85";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";"m. Kraków";"Kraków";"małopolskie";"1433";"1670";"228";"1213";"1";"8";"1";"1";"0";"0";"0";"0";"1";"1214";"1";"0";"1214";"40";"11";"29";"0";"1174";"336";"838"
"7148-a95c-968c-f1c8-cec7-c230-0d14-4777";"126101";"32";"86";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";"m. Kraków";"Kraków";"małopolskie";"1278";"1407";"333";"943";"5";"11";"1";"1";"0";"0";"0";"0";"1";"945";"1";"0";"945";"43";"14";"29";"0";"902";"355";"547"
"1439-463d-4810-14f9-4e36-dd46-1acb-81d8";"126101";"32";"87";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";"m. Kraków";"Kraków";"małopolskie";"1480";"1723";"157";"1319";"0";"42";"1";"1";"0";"0";"0";"0";"1";"1323";"1";"0";"1323";"59";"22";"37";"0";"1264";"424";"840"
"773b-5643-d75b-964f-1c0a-6d16-3e97-3c14";"126101";"32";"88";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";"m. Kraków";"Kraków";"małopolskie";"1310";"1453";"260";"1050";"0";"12";"1";"1";"0";"0";"0";"0";"1";"1051";"1";"0";"1051";"38";"9";"29";"0";"1013";"386";"627"
"72bc-78c7-2906-fdf6-ca0a-4b2c-a006-a121";"126101";"32";"89";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Batalionu „Skała” AK 12, 31-273 Kraków";"m. Kraków";"Kraków";"małopolskie";"1400";"1544";"287";"1113";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1111";"0";"0";"1111";"46";"13";"33";"0";"1065";"406";"659"
"2dbd-aaf0-9195-042a-f475-8157-1d0c-af12";"126101";"32";"90";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Batalionu „Skała” AK 12, 31-273 Kraków";"m. Kraków";"Kraków";"małopolskie";"1600";"1779";"243";"1352";"1";"10";"2";"2";"0";"0";"0";"0";"2";"1356";"2";"1";"1355";"39";"15";"24";"0";"1316";"447";"869"
"c2fc-8778-7fb5-553e-c80c-1d5b-6159-7ace";"126101";"32";"91";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Batalionu „Skała” AK 12, 31-273 Kraków";"m. Kraków";"Kraków";"małopolskie";"1837";"2099";"265";"1572";"0";"26";"2";"2";"0";"0";"0";"0";"2";"1572";"2";"0";"1572";"48";"13";"35";"0";"1524";"468";"1056"
"e13a-85b5-bb2b-441d-0faa-5c8d-1106-d513";"126101";"32";"92";"miasto";"stały";"Samorządowe Przedszkole Nr 165, ul. Danka 1, 31-229 Kraków";"m. Kraków";"Kraków";"małopolskie";"1617";"1897";"285";"1332";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1332";"0";"0";"1332";"37";"9";"28";"0";"1295";"448";"847"
"41f7-7c14-3680-798a-7a1a-07fd-6a04-01f7";"126101";"32";"93";"miasto";"stały";"Szkoła Podstawowa Nr 67, ul. Kaczorówka 4, 31-264 Kraków";"m. Kraków";"Kraków";"małopolskie";"1660";"1909";"285";"1375";"0";"21";"0";"0";"0";"0";"0";"0";"0";"1375";"0";"0";"1375";"33";"11";"22";"0";"1342";"494";"848"
"fbd9-4d5c-d9de-4ec5-8d18-fd55-c7ee-c1b7";"126101";"32";"94";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 53, ul. Stawowa 179, 31-364 Kraków";"m. Kraków";"Kraków";"małopolskie";"1625";"1838";"215";"1410";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1410";"0";"0";"1410";"41";"14";"27";"0";"1369";"498";"871"
"3502-b749-9c3e-418a-c370-0129-4629-0769";"126101";"32";"95";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 53, ul. Stawowa 179, 31-328 Kraków";"m. Kraków";"Kraków";"małopolskie";"1337";"1434";"222";"1115";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1115";"0";"0";"1115";"29";"10";"19";"0";"1086";"320";"766"
"efcf-e74d-2c2f-b3bc-b819-51b3-3bd6-4f47";"126101";"32";"96";"miasto";"stały";"Publiczna Katolicka Szkoła Podstawowa im. św. Joanny Beretty Molli, ul. Stelmachów 137, 31-349 Kraków";"m. Kraków";"Kraków";"małopolskie";"1510";"1752";"71";"1439";"0";"24";"0";"0";"0";"0";"0";"0";"0";"1436";"0";"0";"1436";"37";"16";"21";"0";"1399";"301";"1098"
"f67d-1762-0880-94bb-70c9-5821-9142-689f";"126101";"32";"97";"miasto";"stały";"Szkoła Podstawowa Nr 119, ul. Czerwieńskiego 1, 31-319 Kraków";"m. Kraków";"Kraków";"małopolskie";"1170";"1403";"39";"1131";"0";"61";"0";"0";"0";"0";"0";"0";"0";"1129";"0";"0";"1129";"36";"12";"24";"0";"1093";"255";"838"
"cf56-d805-8832-537c-ec54-f7f1-3da7-2f4e";"126101";"32";"98";"miasto";"stały";"Szkoła Podstawowa Nr 119, ul. Czerwieńskiego 1, 31-319 Kraków";"m. Kraków";"Kraków";"małopolskie";"1120";"1378";"71";"1049";"1";"30";"0";"0";"0";"0";"0";"0";"0";"1049";"0";"0";"1049";"39";"20";"19";"0";"1010";"309";"701"
"5784-a996-f3e7-4b32-d985-9b37-6e50-f820";"126101";"32";"99";"miasto";"stały";"Szkoła Podstawowa Nr 119, ul. Czerwieńskiego 1, 31-319 Kraków";"m. Kraków";"Kraków";"małopolskie";"1460";"1582";"477";"983";"1";"12";"0";"0";"0";"0";"0";"0";"0";"983";"0";"0";"983";"35";"5";"30";"0";"948";"426";"522"
"1be7-bb9b-7172-a17e-5ef0-7cec-8562-d3ae";"126101";"32";"100";"miasto";"stały";"Szkoła Podstawowa Nr 119, ul. Czerwieńskiego 1, 31-319 Kraków";"m. Kraków";"Kraków";"małopolskie";"989";"1077";"309";"680";"1";"3";"0";"0";"0";"0";"0";"0";"0";"680";"0";"0";"680";"32";"8";"24";"0";"648";"239";"409"
"7988-8152-2a9f-36e6-3a80-ce5d-f592-b264";"126101";"32";"101";"miasto";"stały";"Szkoła Podstawowa Nr 119, ul. Czerwieńskiego 1, 31-319 Kraków";"m. Kraków";"Kraków";"małopolskie";"1389";"1506";"449";"940";"0";"1";"1";"0";"0";"0";"0";"0";"0";"940";"0";"0";"940";"28";"9";"19";"0";"912";"351";"561"
