"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Tadeusz DUDA";"Jerzy Feliks FEDOROWICZ"
"ad78-dbc8-97cf-74d0-4473-64ed-d2cd-e204";"126101";"32";"417";"miasto";"zakład leczniczy";"SP ZOZ Szpital Uniwersytecki w Krakowie, ul. Śniadeckich 10, 31-531 Kraków";"m. Kraków";"Kraków";"małopolskie";"485";"258";"350";"135";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135";"0";"0";"135";"4";"3";"1";"0";"131";"75";"56"
"e27d-6cdd-d0b2-6af9-fc9c-117e-3e2b-4e8c";"126101";"32";"418";"miasto";"dom pomocy społecznej";"Zakład Opiekuńczo-Leczniczy prowadzony przez Zgromadzenie Sióstr Felicjanek, ul. Kołłątaja 7, 31-502 Kraków";"m. Kraków";"Kraków";"małopolskie";"72";"69";"48";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"0";"0";"0";"0";"24";"22";"2"
"7332-d8dd-eae2-0e0d-2045-fbe3-90db-92ba";"126101";"32";"419";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Rozrywka 1, 31-419 Kraków";"m. Kraków";"Kraków";"małopolskie";"55";"54";"39";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"16";"0";"0";"0";"0";"16";"14";"2"
"a29c-ee2a-92a7-d422-bc2f-5c19-c793-071b";"126101";"32";"420";"miasto";"zakład leczniczy";"Krakowski Szpital Specjalistyczny im. Jana Pawła II, ul. Prądnicka 80, 31-202 Kraków";"m. Kraków";"Kraków";"małopolskie";"384";"341";"215";"169";"0";"2";"0";"0";"0";"0";"0";"0";"0";"169";"0";"0";"169";"6";"1";"5";"0";"163";"95";"68"
"284a-9045-3edd-3357-5646-176a-8a82-7f98";"126101";"32";"421";"miasto";"zakład leczniczy";"Szpital Miejski Specjalistyczny im. Gabriela Narutowicza w Krakowie, ul. Prądnicka 35 - 37, 31-202 Kraków";"m. Kraków";"Kraków";"małopolskie";"400";"355";"286";"114";"0";"3";"0";"0";"0";"0";"0";"0";"0";"114";"0";"0";"114";"5";"4";"1";"0";"109";"53";"56"
"e435-4cec-37c7-6878-21d8-45e0-f6d2-e452";"126101";"32";"422";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Kluzeka 6, 31-222 Kraków";"m. Kraków";"Kraków";"małopolskie";"89";"89";"40";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"0";"0";"49";"3";"0";"3";"0";"46";"36";"10"
"0523-1815-be42-0120-2706-2a34-b8fd-d05b";"126101";"32";"423";"miasto";"zakład leczniczy";"Zakład Opiekuńczo-Leczniczy BONA-MED Sp. z o. o., ul. Księdza Siemaszki 17C, 31-207 Kraków";"m. Kraków";"Kraków";"małopolskie";"99";"99";"80";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"19";"0";"0";"0";"0";"19";"9";"10"
"a4e5-270a-31c8-32b5-e7f3-f1af-4ba6-27ec";"126101";"32";"441";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej im. Władysława Godynia w Krakowie, ul. Sołtysowska 13D, 31-589 Kraków";"m. Kraków";"Kraków";"małopolskie";"70";"69";"25";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"0";"0";"45";"5";"1";"4";"0";"40";"27";"13"
"4a90-fd82-4897-41f2-2c7d-a5f4-8318-9348";"126101";"32";"442";"miasto";"zakład leczniczy";"Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o. o., os. Złotej Jesieni 1, 31-826 Kraków";"m. Kraków";"Kraków";"małopolskie";"200";"177";"88";"112";"0";"0";"0";"0";"0";"0";"0";"0";"0";"112";"0";"0";"112";"5";"2";"3";"0";"107";"69";"38"
"6d06-23ba-7622-bb0b-df37-4ad2-2ada-bf3e";"126101";"32";"443";"miasto";"zakład leczniczy";"Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o. o., os. Złotej Jesieni 1, 31-826 Kraków";"m. Kraków";"Kraków";"małopolskie";"200";"210";"96";"104";"0";"2";"0";"0";"0";"0";"0";"0";"0";"104";"0";"0";"104";"2";"0";"2";"0";"102";"59";"43"
