"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BOGUCKI";"Igor ŁUKASZUK";"Aldona Anna SKIRGIEŁŁO"
"4a60-1311-7b9f-7c87-24a1-1cb3-6aa9-40af";"200301";"61";"1";"miasto";"stały";"Liceum Ogólnokształcące im. Tadeusza Kościuszki, ul. 11 Listopada 6, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"946";"1043";"447";"499";"0";"1";"1";"1";"0";"0";"0";"0";"1";"500";"1";"0";"500";"9";"6";"3";"0";"491";"181";"287";"23"
"07d9-ec05-7bb9-c96e-671e-f315-2c85-0d36";"200301";"61";"2";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Szarych Szeregów, ul. Tadeusza Kościuszki 21, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"988";"1096";"407";"581";"0";"4";"0";"0";"0";"0";"0";"0";"0";"581";"0";"0";"581";"6";"1";"5";"0";"575";"234";"315";"26"
"c47e-53b3-e4a6-863e-7ae6-e284-7b01-3b4c";"200301";"61";"3";"miasto";"stały";"Budynek użyteczności publicznej (obiekt po Szkole Postawowej nr 5), ul. Kopernika 3, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1338";"1467";"540";"798";"2";"8";"0";"0";"0";"0";"0";"0";"0";"798";"0";"0";"798";"5";"1";"4";"0";"793";"271";"492";"30"
"6e30-4e3e-d385-0e2a-4c9b-3524-3e9f-eda6";"200301";"61";"4";"miasto";"stały";"Zespół Szkół Nr 1 im. Józefa Klemensa Piłsudskiego, ul. Szkolna 12, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1530";"1680";"571";"959";"1";"3";"0";"0";"0";"0";"0";"0";"0";"959";"0";"0";"959";"12";"3";"9";"0";"947";"420";"497";"30"
"3c67-880a-b06e-5aac-62f2-6bd9-5568-948f";"200301";"61";"5";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Adama Mickiewicza (wejście od ul. Widowskiej), ul. Adama Mickiewicza 126, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1747";"1927";"689";"1058";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"9";"4";"5";"0";"1049";"363";"655";"31"
"f4bf-e0ca-c33d-3c60-873f-f628-43e0-a973";"200301";"61";"6";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Adama Mickiewicza (wejście od ul. Adama Mickiewicza), A. Mickiewicza 126, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1160";"1281";"509";"651";"1";"4";"0";"0";"0";"0";"0";"0";"0";"651";"0";"0";"651";"8";"3";"5";"0";"643";"158";"452";"33"
"36e0-db8e-9d21-ce38-5f43-0a7f-bb8e-1950";"200301";"61";"7";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Kazimierzowska 14, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1709";"1870";"682";"1027";"2";"7";"1";"1";"0";"0";"0";"0";"1";"1028";"1";"0";"1028";"16";"7";"9";"0";"1012";"302";"664";"46"
"481a-d5d2-270c-48b7-d264-f131-8ac1-f5fb";"200301";"61";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3 z DNJB, ul. Józefa Poniatowskiego 9, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1779";"1947";"690";"1089";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1089";"0";"0";"1089";"15";"3";"12";"0";"1074";"303";"725";"46"
"5035-c671-6d06-6f7a-0233-e742-c1c3-1003";"200301";"61";"9";"miasto";"stały";"Przedszkole Nr 3 z Odziałami Integracyjnymi, ul. S. Żeromskiego 3, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1098";"1209";"390";"708";"2";"3";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"14";"3";"11";"0";"694";"266";"401";"27"
"0e8f-bb02-20ca-a93b-9aaf-64f2-673d-1a16";"200301";"61";"10";"miasto";"stały";"Zespół Szkół Nr 4 im. Ziemi Podlaskiej, ul. Hołowieska 18, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1819";"1999";"661";"1158";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"0";"1158";"11";"8";"3";"0";"1147";"275";"816";"56"
