"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Paweł HELIS";"Wojciech Piotr PIECHA";"Grzegorz Wojciech WOLNIK"
"4ee2-81c5-e92d-5f6d-e4b9-4cab-64e9-b481";"241204";"73";"8";"wieś";"stały";"Ochotnicza Straż Pożarna w Suminie, Sumina ul. Rybnicka 25c, 44-295 Lyski";"gm. Lyski";"rybnicki";"śląskie";"697";"750";"251";"446";"0";"1";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"1";"0";"1";"0";"445";"83";"173";"189"
"9aca-2546-bb93-15e7-9934-21b3-e13e-2e80";"241204";"73";"9";"wieś";"stały";"Filia Ośrodka Wspierania Rodziny, Zwonowice (budynek Przedszkola) ul. Sumińska 1, 44-292 Rybnik";"gm. Lyski";"rybnicki";"śląskie";"1048";"1132";"364";"684";"0";"0";"0";"0";"0";"0";"0";"0";"0";"684";"0";"0";"684";"12";"6";"6";"0";"672";"106";"330";"236"
"dce4-daee-0d58-8e1b-0a5c-84b1-3d34-1f6b";"241204";"73";"10";"wieś";"stały";"Filia Ośrodka Wspierania Rodziny, Żytna (budynek Przedszkola) ul. Rybnicka 21, 47-435 Raszczyce";"gm. Lyski";"rybnicki";"śląskie";"451";"488";"165";"286";"0";"2";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"286";"6";"3";"3";"0";"280";"56";"143";"81"
"e873-448f-5067-7947-f05b-efea-d904-3460";"241204";"73";"11";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Rybnicka 7, 44-295 Lyski";"gm. Lyski";"rybnicki";"śląskie";"150";"90";"103";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"47";"2";"0";"2";"0";"45";"9";"28";"8"
"889d-bbda-a320-fd91-5de8-fe32-ca7e-5f58";"241205";"73";"1";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Ludwika Holesza w Świerklanach, ul. Boryńska 6, 44-266 Świerklany";"gm. Świerklany";"rybnicki";"śląskie";"1750";"1896";"414";"1336";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1335";"0";"0";"1335";"16";"3";"13";"0";"1319";"201";"753";"365"
"c5d6-46c7-4395-377d-6272-d5e8-34d2-9bf0";"241205";"73";"2";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Ludwika Holesza w Świerklanach, ul. Boryńska 6, 44-266 Świerklany";"gm. Świerklany";"rybnicki";"śląskie";"1351";"1444";"371";"980";"1";"1";"0";"0";"0";"0";"0";"0";"0";"980";"0";"0";"980";"17";"9";"8";"0";"963";"136";"599";"228"
"376c-f7ee-b350-b1ff-e4c1-3f0d-b289-8bb4";"241205";"73";"3";"wieś";"stały";"Szkoła Podstawowa nr 2 im. Św. Jadwigi w Świerklanach, ul. 3 Maja 18, 44-266 Świerklany";"gm. Świerklany";"rybnicki";"śląskie";"1550";"1693";"483";"1067";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1066";"0";"0";"1066";"13";"1";"12";"0";"1053";"152";"686";"215"
"51ec-1d5e-b4ce-f06b-be28-6efb-2978-89a9";"241205";"73";"4";"wieś";"stały";"Szkoła Podstawowa nr 2 im. Św. Jadwigi w Świerklanach, ul. 3 Maja 18, 44-266 Świerklany";"gm. Świerklany";"rybnicki";"śląskie";"1050";"1133";"283";"767";"1";"3";"0";"0";"0";"0";"0";"0";"0";"767";"0";"0";"767";"8";"2";"6";"0";"759";"100";"511";"148"
"335e-8e06-808c-83ae-deb9-d685-3f72-865c";"241205";"73";"5";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Staszica w Jankowicach, ul. Równoległa 5, 44-264 Jankowice";"gm. Świerklany";"rybnicki";"śląskie";"1700";"1851";"559";"1141";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1141";"0";"0";"1141";"20";"6";"14";"0";"1121";"162";"629";"330"
"ac6c-073b-5b72-4dc5-c9c4-9142-95ea-dadc";"241205";"73";"6";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Staszica w Jankowicach, ul. Równoległa 5, 44-264 Jankowice";"gm. Świerklany";"rybnicki";"śląskie";"1249";"1363";"333";"916";"0";"2";"0";"0";"0";"0";"0";"0";"0";"916";"0";"0";"916";"17";"2";"15";"0";"899";"158";"500";"241"
"4e11-191b-62a0-0ef7-b7f4-7168-9b37-8fc2";"247301";"73";"1";"miasto";"stały";"Powiatowa i Miejska Biblioteka Publiczna, ul. Księdza Szafranka 7, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1246";"1321";"412";"834";"0";"10";"0";"0";"0";"0";"0";"0";"0";"834";"0";"0";"834";"18";"4";"14";"0";"816";"130";"279";"407"
"343f-de8e-ce6e-f208-369c-4315-5429-1a5b";"247301";"73";"2";"miasto";"stały";"Powiatowy Urząd Pracy, ul. Jankowicka 1, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1150";"1252";"377";"773";"0";"5";"0";"0";"0";"0";"0";"0";"0";"773";"0";"0";"773";"14";"7";"7";"0";"759";"106";"278";"375"
"893e-cd84-01e6-b723-a4a6-bb1d-d0bf-ea1e";"247301";"73";"3";"miasto";"stały";"Zespół Szkół Technicznych, ul. Tadeusza Kościuszki 5, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1398";"1477";"445";"953";"3";"8";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"17";"2";"15";"0";"936";"141";"317";"478"
"950b-7ba9-f78b-c71a-bdd8-580e-768a-db10";"247301";"73";"4";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Mistrzostwa Sportowego nr 9 im. Adama Mickiewicza, ul. Cmentarna 1, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1544";"1646";"475";"1069";"4";"1";"1";"1";"0";"0";"0";"0";"1";"1070";"1";"0";"1070";"25";"10";"15";"0";"1045";"169";"375";"501"
"82f0-8689-c24f-e5f7-81cc-88b8-7a9d-ee6c";"247301";"73";"5";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Mistrzostwa Sportowego nr 9 im. Adama Mickiewicza, ul. Cmentarna 1, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1450";"1546";"455";"995";"5";"9";"2";"2";"0";"0";"0";"0";"2";"997";"2";"0";"997";"14";"5";"9";"0";"983";"141";"314";"528"
"b286-0b55-4720-4dcc-538f-99bb-8ef1-f0ce";"247301";"73";"6";"miasto";"stały";"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. A. Frycza Modrzewskiego, ul. Mikołowska 19, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1751";"1858";"516";"1235";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1235";"0";"0";"1235";"29";"4";"25";"0";"1206";"161";"425";"620"
"08ed-167f-c4a6-08e0-9597-3474-188e-e0d1";"247301";"73";"7";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 5, ul. Doktora Mariana Różańskiego 14A, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1400";"1393";"418";"982";"1";"3";"0";"0";"0";"0";"0";"0";"0";"982";"0";"0";"982";"16";"3";"13";"0";"966";"148";"321";"497"
"c8b8-46fc-7d09-7293-ad03-88ec-adf7-5223";"247301";"73";"8";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 5, ul. Doktora Mariana Różańskiego 14A, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1147";"1222";"266";"882";"0";"2";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"19";"2";"17";"0";"863";"111";"267";"485"
"6859-7027-af50-be04-a0c9-23fc-740b-f158";"247301";"73";"9";"miasto";"stały";"Szkoła Podstawowa nr 28 im. Alojzego Szewczyka, ul. Alojzego Szewczyka 6, 44-213 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1650";"1777";"475";"1175";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1175";"0";"0";"1175";"18";"7";"11";"0";"1157";"159";"572";"426"
"78b8-56d7-ac94-4481-11ea-4f10-ad9a-c2b7";"247301";"73";"10";"miasto";"stały";"Szkoła Podstawowa nr 28 im. Alojzego Szewczyka, ul. Alojzego Szewczyka 6, 44-213 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1599";"1725";"459";"1140";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1140";"0";"0";"1140";"16";"4";"12";"0";"1124";"183";"524";"417"
"b795-746c-13f7-ae96-3c7c-f598-f01e-6044";"247301";"73";"11";"miasto";"stały";"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi nr 1, ul. Gliwicka 105, 44-207 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1444";"1551";"431";"1013";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1013";"0";"0";"1013";"9";"3";"6";"0";"1004";"132";"473";"399"
"7b63-65ab-1588-e00c-e9ea-ec94-2422-9ae4";"247301";"73";"12";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7, ul. Borki 37D, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1452";"1600";"331";"1121";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"0";"1121";"18";"3";"15";"0";"1103";"155";"543";"405"
"f6b3-26a9-c0cd-9cbc-1a2b-7126-36c0-6de7";"247301";"73";"13";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7, ul. Borki 37D, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1149";"1251";"334";"815";"1";"2";"0";"0";"0";"0";"0";"0";"0";"815";"0";"0";"815";"17";"5";"12";"0";"798";"111";"423";"264"
"5178-5a9e-eaef-8c88-163d-6c30-626c-0ccf";"247301";"73";"14";"miasto";"stały";"Szkoła Podstawowa nr 15 im. Ks. Prałata Konrada Szwedy, ul. Rybacka 55, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1250";"1360";"309";"941";"0";"3";"0";"0";"0";"0";"0";"0";"0";"941";"0";"0";"941";"21";"4";"17";"0";"920";"136";"355";"429"
"52b6-ae08-e530-d23b-9dfd-b84f-0f2f-96bf";"247301";"73";"15";"miasto";"stały";"Przedszkole nr 37 im. Juliana Tuwima, ul. Świętego Maksymiliana 24, 44-207 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1343";"1443";"376";"967";"0";"2";"3";"3";"0";"0";"0";"0";"3";"970";"3";"0";"970";"15";"0";"15";"0";"955";"138";"402";"415"
"6fe9-42bd-b046-3ca4-57d2-0c1c-fb31-cd5c";"247301";"73";"16";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4, ul. Komisji Edukacji Narodowej 29, 44-207 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1649";"1794";"382";"1267";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1267";"0";"0";"1267";"15";"1";"14";"0";"1252";"184";"670";"398"
"4c30-9684-8eb1-0fae-f6a0-35f3-19a8-fd4a";"247301";"73";"17";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4, ul. Komisji Edukacji Narodowej 29, 44-207 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"550";"595";"182";"368";"0";"0";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"7";"0";"7";"0";"361";"38";"236";"87"
"7d26-fccd-869d-91bb-e126-0d2e-3d0b-45a0";"247301";"73";"18";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 15, ul. Gzelska 7, 44-292 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1350";"1453";"399";"951";"0";"10";"0";"0";"0";"0";"0";"0";"0";"951";"0";"0";"951";"13";"0";"13";"0";"938";"126";"549";"263"
"99db-2527-13be-19a1-18be-c756-e266-b319";"247301";"73";"19";"miasto";"stały";"Budynek Ochotniczej Straży Pożarnej, ul. Zwonowicka 5, 44-292 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"450";"478";"196";"254";"0";"0";"0";"0";"0";"0";"0";"0";"0";"254";"0";"0";"254";"1";"0";"1";"0";"253";"31";"144";"78"
"6844-d33f-1721-4fd1-0c69-1d95-ffa0-ddc0";"247301";"73";"20";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 3 im. Jana Pawła II, ul. Bernarda Kuglera 8A, 44-207 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1446";"1585";"380";"1066";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1066";"0";"0";"1066";"11";"2";"9";"0";"1055";"122";"517";"416"
"274c-e427-9dc8-6816-f2e5-3978-cc0a-2327";"247301";"73";"21";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Św. Stanisława Kostki, ul. Wolna 17, 44-203 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1490";"1635";"520";"970";"1";"1";"0";"0";"0";"0";"0";"0";"0";"969";"0";"0";"969";"17";"0";"17";"0";"952";"120";"444";"388"
"47fc-3321-f073-782b-fcab-e58d-8c0c-3853";"247301";"73";"22";"miasto";"stały";"Przedszkole nr 3, ul. Za Torem 3B, 44-203 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1649";"1785";"572";"1077";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1076";"0";"0";"1076";"22";"2";"20";"0";"1054";"127";"410";"517"
"3f7c-7de4-f675-e9b4-0423-266b-3bb5-ed97";"247301";"73";"23";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Jana Pawła II, ul. Karola Miarki 74, 44-203 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1400";"1488";"433";"967";"2";"3";"0";"0";"0";"0";"0";"0";"0";"967";"0";"0";"967";"13";"6";"7";"0";"954";"140";"392";"422"
"5ddb-7ede-d1ff-cfde-551c-4f78-acb9-726e";"247301";"73";"24";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Jana Pawła II, ul. Karola Miarki 74, 44-203 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1500";"1608";"407";"1093";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1093";"0";"0";"1093";"9";"5";"4";"0";"1084";"178";"467";"439"
"00bc-9870-e854-b766-9150-851b-0a64-ce62";"247301";"73";"25";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 20 im. Harcerzy Buchalików, ul. Ziołowa 3, 44-251 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1349";"1456";"376";"973";"0";"2";"0";"0";"0";"0";"0";"0";"0";"973";"0";"0";"973";"33";"9";"24";"0";"940";"159";"486";"295"
"a0e3-0c97-ee2a-fbf7-da1d-96d4-8b1c-d02a";"247301";"73";"26";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 20 im. Harcerzy Buchalików, ul. Ziołowa 3, 44-251 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1248";"1344";"354";"894";"0";"3";"0";"0";"0";"0";"0";"0";"0";"894";"0";"0";"894";"19";"8";"11";"0";"875";"129";"460";"286"
"a834-4b5f-3745-5e7e-343c-125c-2681-f99d";"247301";"73";"27";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 6, ul. Stanisława Małachowskiego 44, 44-251 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1899";"2052";"452";"1447";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1447";"0";"0";"1447";"19";"5";"14";"0";"1428";"251";"720";"457"
"25f5-ff70-3fa6-78a3-a79d-41bb-012b-39d4";"247301";"73";"28";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 6, ul. Stanisława Małachowskiego 44, 44-251 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1648";"1759";"482";"1166";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"0";"1166";"20";"4";"16";"0";"1146";"170";"615";"361"
"952c-bce9-2463-9aeb-39fd-37fb-d191-65be";"247301";"73";"29";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 36 im. Czesława Miłosza, ul. Sztolniowa 29B, 44-251 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1897";"2049";"642";"1255";"1";"5";"1";"1";"0";"0";"0";"0";"1";"1256";"1";"0";"1256";"24";"9";"15";"0";"1232";"188";"630";"414"
"cc1c-ac2d-2ee6-826d-4fe7-283f-eacf-6ae5";"247301";"73";"30";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 18 im. Jana Brzechwy, ul. Żurawia 8, 44-253 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1349";"1433";"636";"713";"0";"1";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"10";"4";"6";"0";"703";"98";"413";"192"
"a65c-08a6-dd90-9a4c-a706-acb6-759f-4934";"247301";"73";"31";"miasto";"stały";"Przedszkole z Oddziałami Integracyjnymi nr 39, Osiedle Południe 20, 44-253 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1549";"1702";"462";"1087";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1087";"0";"0";"1087";"25";"6";"19";"0";"1062";"153";"571";"338"
"1ebb-8cdc-235e-af11-8615-22a3-9db7-02e7";"247301";"73";"32";"miasto";"stały";"Przedszkole z Oddziałami Integracyjnymi nr 39, Osiedle Południe 20, 44-253 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1398";"1485";"734";"664";"1";"5";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"12";"3";"9";"0";"652";"90";"367";"195"
"71e3-20c5-7c99-f2e0-c78d-e1c7-09df-766b";"247301";"73";"33";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 18 im. Jana Brzechwy, ul. Józefa Lompy 6, 44-253 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1494";"1630";"806";"688";"0";"6";"0";"0";"0";"0";"0";"0";"0";"688";"0";"0";"688";"16";"4";"12";"0";"672";"87";"398";"187"
"4d8b-7663-da42-c281-5e92-e1db-f0a0-3a7f";"247301";"73";"34";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 18 im. Jana Brzechwy, ul. Józefa Lompy 6, 44-253 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1697";"1797";"847";"850";"0";"0";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"14";"2";"12";"0";"836";"120";"485";"231"
"b2a4-12e2-bfb7-ebb4-7051-89b8-126e-30c9";"247301";"73";"35";"miasto";"stały";"Szkoła Podstawowa nr 19, ul. Włościańska 39E, 44-251 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1897";"2042";"703";"1194";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1194";"0";"0";"1194";"17";"2";"15";"0";"1177";"180";"743";"254"
"cc89-b389-8e73-b475-ab9e-5541-599b-a378";"247301";"73";"36";"miasto";"stały";"Zespół Szkół Budowlanych, ul. Świerklańska 42, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"950";"989";"278";"672";"0";"1";"0";"0";"0";"0";"0";"0";"0";"672";"0";"0";"672";"15";"5";"10";"0";"657";"102";"246";"309"
"bef8-a66a-6ecb-9eb6-d866-2e8f-b672-4379";"247301";"73";"37";"miasto";"stały";"Zespół Szkół Budowlanych, ul. Świerklańska 42, 44-200 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"949";"1032";"270";"679";"2";"1";"0";"0";"0";"0";"0";"0";"0";"679";"0";"0";"679";"13";"5";"8";"0";"666";"99";"261";"306"
"af5b-49f5-7feb-a237-1dad-1fe6-8213-90cf";"247301";"73";"38";"miasto";"stały";"Szkoła Podstawowa nr 35 im. Ks. Franciszka Blachnickiego, ul. Śląska 18A, 44-206 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1796";"1936";"636";"1160";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1160";"0";"0";"1160";"18";"5";"13";"0";"1142";"150";"632";"360"
"51e6-c578-6d67-fe19-a957-4dfb-d6d1-8f40";"247301";"73";"39";"miasto";"stały";"IV Liceum Ogólnokształcące im. Mikołaja Kopernika, ul. 1 Maja 91A, 44-206 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1792";"1901";"707";"1085";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1085";"0";"0";"1085";"29";"8";"21";"0";"1056";"186";"528";"342"
"7bc9-64a2-ae04-5d0a-b936-dc17-1a7a-3355";"247301";"73";"40";"miasto";"stały";"Szkoła Podstawowa nr 13 im. Bohaterskich Harcerzy Rybnika-Chwałowic, ul. 1 Maja 51, 44-206 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1749";"1908";"637";"1112";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"0";"1112";"17";"3";"14";"0";"1095";"196";"554";"345"
"67b7-2826-805e-f72e-7ae7-fcf7-9865-e1be";"247301";"73";"41";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 14, ul. Kręta 20, 44-274 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1350";"1441";"454";"896";"0";"1";"0";"0";"0";"0";"0";"0";"0";"896";"0";"0";"896";"23";"10";"13";"0";"873";"138";"477";"258"
"49ba-3830-eb38-981d-84ba-1b23-31ca-13cd";"247301";"73";"42";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 14, ul. Leopolda Staffa 42A, 44-274 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1150";"1239";"354";"796";"0";"1";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"20";"3";"17";"0";"776";"131";"336";"309"
"fcde-6ff1-47d1-a741-e523-bfee-0d8c-8894";"247301";"73";"43";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 14, ul. Leopolda Staffa 42A, 44-274 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1245";"1354";"424";"821";"0";"1";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"18";"5";"13";"0";"803";"152";"326";"325"
"9670-ffe4-5923-5cff-61a7-cedc-a58a-251f";"247301";"73";"44";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Przedszkolnymi nr 22 im. Juliusza Słowackiego, ul. Boczna 17, 44-270 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1449";"1564";"512";"937";"2";"3";"0";"0";"0";"0";"0";"0";"0";"937";"0";"0";"937";"21";"5";"16";"0";"916";"146";"457";"313"
"c220-fc1c-dd18-6f46-73f1-cc42-fe66-a9ce";"247301";"73";"45";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Przedszkolnymi nr 22 im. Juliusza Słowackiego, ul. Boczna 17, 44-270 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1351";"1455";"572";"779";"2";"2";"0";"0";"0";"0";"0";"0";"0";"779";"0";"0";"779";"18";"2";"16";"0";"761";"129";"339";"293"
"409e-fa14-4ab3-9a47-18b3-ce0b-ee04-1d6a";"247301";"73";"46";"miasto";"stały";"Zespół Szkół nr 5 im. Józefa Rymera, ul. Józefa Rymera 24A, 44-270 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1250";"1355";"565";"685";"0";"0";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"12";"5";"7";"0";"673";"88";"372";"213"
"bc71-17c4-5312-bc8c-9289-b645-96f0-1a88";"247301";"73";"47";"miasto";"stały";"Zespół Szkół nr 5 im. Józefa Rymera, ul. Józefa Rymera 24A, 44-270 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1300";"1380";"479";"821";"0";"2";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"10";"7";"3";"0";"811";"141";"388";"282"
"b396-a123-6dcf-4f08-438c-4c79-a039-c592";"247301";"73";"48";"miasto";"stały";"Szkoła Podstawowa nr 21 im. Karola Miarki, ul. Niedobczycka 191, 44-270 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1750";"1884";"475";"1275";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1275";"0";"0";"1275";"32";"6";"26";"0";"1243";"232";"533";"478"
"a883-a24c-aa41-72b2-d168-60a2-ca41-029b";"247301";"73";"49";"miasto";"stały";"Szkoła Podstawowa nr 21 im. Karola Miarki, ul. Niedobczycka 191, 44-270 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1600";"1721";"612";"988";"0";"0";"1";"1";"0";"0";"0";"0";"1";"989";"1";"0";"989";"26";"3";"23";"0";"963";"170";"434";"359"
"e3b1-e0d6-aa03-3d43-290f-e55b-71e2-1eb0";"247301";"73";"50";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2 im. Janusza Korczaka, ul. Gustawa Morcinka 18, 44-273 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1549";"1693";"618";"931";"1";"6";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"17";"1";"16";"0";"914";"171";"461";"282"
"a67d-3ecd-4212-d385-ddc1-c08b-3b19-955e";"247301";"73";"51";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Przedszkolnymi nr 23 im. Górniczego Stanu, ul. Sportowa 52, 44-273 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1848";"2030";"660";"1188";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1188";"0";"0";"1188";"10";"1";"9";"0";"1178";"234";"495";"449"
"9116-175c-9d8c-db82-1833-dd01-d6f1-a8ee";"247301";"73";"52";"miasto";"stały";"Zespół Szkół nr 3, ul. Orzepowicka 15A, 44-217 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1848";"2003";"650";"1198";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1197";"0";"0";"1197";"14";"2";"12";"0";"1183";"174";"487";"522"
"9c74-6eb0-4f32-73da-9e78-1d72-2117-916b";"247301";"73";"53";"miasto";"stały";"Zespół Szkół nr 3, ul. Orzepowicka 15A, 44-217 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1749";"1868";"543";"1206";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1206";"0";"0";"1206";"18";"5";"13";"0";"1188";"169";"460";"559"
"c2df-adad-ff3c-4268-72c8-77df-903d-9827";"247301";"73";"54";"miasto";"stały";"Zespół Szkół nr 3, ul. Orzepowicka 15A, 44-217 Rybnik";"m. Rybnik";"Rybnik";"śląskie";"1299";"1356";"408";"891";"0";"3";"1";"1";"0";"0";"0";"0";"1";"891";"1";"1";"890";"11";"2";"9";"0";"879";"109";"356";"414"
