"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Maria GAWĘDA";"Marek Henryk MIGALSKI";"Liczba obwodów"
"241100";"raciborski";"śląskie";79561;83590;37755;41806;42;174;7;7;1;0;0;0;6;41806;6;1;41805;1212;344;868;0;40593;19264;21329;71
"241500";"wodzisławski";"śląskie";113602;120718;40357;73254;80;187;2;2;0;0;0;0;2;73231;2;5;73226;2049;657;1392;0;71177;40432;30745;99
"246700";"Jastrzębie-Zdrój";"śląskie";64450;68314;22831;41620;43;158;1;1;0;0;0;0;1;41611;1;4;41607;1386;377;1009;0;40221;23582;16639;39
"247900";"Żory";"śląskie";43127;46109;13982;29143;25;111;3;3;0;0;0;0;3;29134;3;0;29134;883;304;579;0;28251;14134;14117;25
