"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław Wojciech OBREMSKI";"Dariusz Paweł STASIAK";"Bogdan Andrzej ZDROJEWSKI";"Liczba obwodów"
"020400";"górowski";"dolnośląskie";24890;27176;11192;13696;18;50;1;1;0;0;0;0;1;13696;1;0;13696;275;62;213;0;13421;6580;2010;4831;23
"021300";"milicki";"dolnośląskie";26564;29020;10390;16172;16;85;0;0;0;0;0;0;0;16166;0;0;16166;300;97;203;0;15866;7241;2631;5994;27
"021400";"oleśnicki";"dolnośląskie";76310;83154;28150;48157;46;227;3;3;0;0;0;0;3;48151;3;0;48151;838;207;631;0;47313;19270;6607;21436;67
"021500";"oławski";"dolnośląskie";54045;59018;16827;37218;30;166;1;1;0;0;0;0;1;37217;1;1;37216;576;109;467;0;36640;15524;4652;16464;51
"021700";"strzeliński";"dolnośląskie";32411;35487;12287;20123;26;105;0;0;0;0;0;0;0;20123;0;0;20123;319;59;260;0;19804;9685;2153;7966;39
"021800";"średzki";"dolnośląskie";38365;42476;13647;24717;11;81;0;0;0;0;0;0;0;24713;0;0;24713;366;86;280;0;24347;10877;3009;10461;36
"022000";"trzebnicki";"dolnośląskie";60552;66445;20476;40067;45;235;5;5;0;0;0;0;5;40073;5;2;40071;673;140;533;0;39398;16760;4516;18122;60
"022200";"wołowski";"dolnośląskie";35156;38256;13940;21216;26;101;0;0;0;0;0;0;0;21210;0;1;21209;384;85;299;0;20825;9429;2463;8933;33
"022300";"wrocławski";"dolnośląskie";101446;112460;24457;76973;41;647;3;3;0;0;0;0;3;76968;3;6;76962;1105;372;733;0;75857;27270;9420;39167;85
