"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Eryk MARTYNOWSKI";"Waldemar PAWLAK";"Liczba obwodów"
"140401";"gmina miejska";"m. Gostynin";"gostyniński";"mazowieckie";13651;14733;4893;8758;15;40;2;2;0;0;0;0;2;8757;2;0;8757;280;85;195;0;8477;4066;4411;16
"140402";"gmina wiejska";"gm. Gostynin";"gostyniński";"mazowieckie";9068;9900;3835;5233;4;29;0;0;0;0;0;0;0;5232;0;0;5232;183;58;125;0;5049;3018;2031;13
"140403";"gmina wiejska";"gm. Pacyna";"gostyniński";"mazowieckie";2667;2932;1069;1598;3;9;0;0;0;0;0;0;0;1598;0;0;1598;53;13;40;0;1545;935;610;5
"140404";"gmina miejsko-wiejska";"gm. Sanniki";"gostyniński";"mazowieckie";4456;4949;1626;2830;13;6;0;0;0;0;0;0;0;2830;0;0;2830;67;11;56;0;2763;1782;981;11
"140405";"gmina wiejska";"gm. Szczawin Kośc.";"gostyniński";"mazowieckie";3640;4052;1596;2044;2;3;0;0;0;0;0;0;0;2044;0;0;2044;68;11;57;0;1976;1215;761;4
"141901";"gmina wiejska";"gm. Bielsk";"płocki";"mazowieckie";6388;7062;2481;3907;4;12;0;0;0;0;0;0;0;3907;0;0;3907;95;32;63;0;3812;2376;1436;7
"141902";"gmina wiejska";"gm. Bodzanów";"płocki";"mazowieckie";5954;6560;2402;3552;6;12;0;0;0;0;0;0;0;3552;0;0;3552;94;30;64;0;3458;2078;1380;9
"141903";"gmina wiejska";"gm. Brudzeń Duży";"płocki";"mazowieckie";5910;6543;2384;3526;0;13;0;0;0;0;0;0;0;3525;0;0;3525;115;31;84;0;3410;2290;1120;10
"141904";"gmina wiejska";"gm. Bulkowo";"płocki";"mazowieckie";4090;4510;1679;2411;3;4;0;0;0;0;0;0;0;2411;0;0;2411;76;27;49;0;2335;1619;716;6
"141905";"gmina miejsko-wiejska";"gm. Drobin";"płocki";"mazowieckie";5622;6192;2654;2968;21;9;0;0;0;0;0;0;0;2968;0;3;2965;92;22;70;0;2873;1800;1073;6
