"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Tomasz Paweł GRODZKI";"Małgorzata Anna JACYNA-WITT";"Liczba obwodów"
"321101";"gmina wiejska";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";15314;17039;2880;12444;15;112;0;0;0;0;0;0;0;12442;0;0;12442;324;104;220;0;12118;9169;2949;9
"321102";"gmina wiejska";"gm. Kołbaskowo";"policki";"zachodniopomorskie";8357;9414;2189;6168;6;56;1;1;0;0;0;0;1;6169;1;0;6169;208;49;159;0;5961;4269;1692;6
"321103";"gmina miejsko-wiejska";"gm. Nowe Warpno";"policki";"zachodniopomorskie";1197;1293;425;772;0;10;0;0;0;0;0;0;0;772;0;0;772;34;10;24;0;738;477;261;2
"321104";"gmina miejsko-wiejska";"gm. Police";"policki";"zachodniopomorskie";27910;30372;9258;18648;8;85;0;0;0;0;0;0;0;18644;0;3;18641;670;164;506;0;17971;10770;7201;26
"326201";"gmina miejska";"m. Szczecin";"Szczecin";"zachodniopomorskie";270149;296850;72408;197685;207;1958;36;36;5;0;0;1;30;197605;30;16;197589;6754;2230;4524;0;190835;124560;66275;206
