"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni MĘŻYDŁO";"Zbigniew RASIELEWSKI";"Liczba obwodów"
"040401";"gmina miejska";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";13425;14452;5241;8183;16;39;1;1;0;0;0;0;1;8182;1;0;8182;314;77;237;0;7868;5018;2850;17
"040402";"gmina wiejska";"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";4119;4550;1991;2128;0;8;0;0;0;0;0;0;0;2128;0;0;2128;97;13;84;0;2031;1101;930;4
"040403";"gmina wiejska";"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";3150;3462;1228;1922;3;4;0;0;0;0;0;0;0;1920;0;0;1920;102;9;93;0;1818;948;870;5
"040404";"gmina wiejska";"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";3625;3927;1575;2050;3;4;0;0;0;0;0;0;0;2050;0;0;2050;53;17;36;0;1997;927;1070;5
"040405";"gmina wiejska";"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";3041;3359;1527;1514;1;10;0;0;0;0;0;0;0;1514;0;0;1514;47;7;40;0;1467;706;761;5
"040406";"gmina wiejska";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";3638;4039;1618;2020;1;8;0;0;0;0;0;0;0;2020;0;0;2020;84;15;69;0;1936;989;947;6
"040407";"gmina wiejska";"gm. Unisław";"chełmiński";"kujawsko-pomorskie";4779;5269;2073;2706;5;7;0;0;0;0;0;0;0;2706;0;0;2706;107;26;81;0;2599;1411;1188;5
"041501";"gmina miejska";"m. Chełmża";"toruński";"kujawsko-pomorskie";9919;10778;4268;5651;8;23;0;0;0;0;0;0;0;5650;0;1;5649;214;41;173;0;5435;3058;2377;8
"041502";"gmina wiejska";"gm. Chełmża";"toruński";"kujawsko-pomorskie";7038;7608;3374;3664;4;5;1;1;0;0;0;0;1;3663;1;0;3663;139;34;105;0;3524;1692;1832;10
"041503";"gmina wiejska";"gm. Czernikowo";"toruński";"kujawsko-pomorskie";6340;6957;2908;3432;14;13;0;0;0;0;0;0;0;3431;0;0;3431;131;26;105;0;3300;1637;1663;6
"041504";"gmina wiejska";"gm. Lubicz";"toruński";"kujawsko-pomorskie";13566;14962;4295;9271;3;31;0;0;0;0;0;0;0;9270;0;0;9270;281;78;203;0;8989;5047;3942;15
"041505";"gmina wiejska";"gm. Łubianka";"toruński";"kujawsko-pomorskie";4882;5450;1576;3306;0;18;0;0;0;0;0;0;0;3305;0;0;3305;119;24;95;0;3186;1761;1425;5
"041506";"gmina wiejska";"gm. Łysomice";"toruński";"kujawsko-pomorskie";6931;7718;2285;4646;4;26;0;0;0;0;0;0;0;4646;0;0;4646;144;52;92;0;4502;2674;1828;5
"041507";"gmina wiejska";"gm. Obrowo";"toruński";"kujawsko-pomorskie";11513;12805;3571;7941;5;38;1;1;0;0;0;0;1;7942;1;0;7942;262;68;194;0;7680;4400;3280;7
"041508";"gmina wiejska";"gm. Wielka Nieszawka";"toruński";"kujawsko-pomorskie";3522;3770;1147;2375;2;27;1;1;0;0;0;0;1;2373;1;0;2373;76;18;58;0;2297;1447;850;6
"041509";"gmina wiejska";"gm. Zławieś Wielka";"toruński";"kujawsko-pomorskie";9555;10610;3206;6349;4;30;0;0;0;0;0;0;0;6349;0;0;6349;216;31;185;0;6133;3737;2396;8
"046301";"gmina miejska";"m. Toruń";"Toruń";"kujawsko-pomorskie";138354;151161;37623;100729;89;1126;28;28;0;0;0;0;28;100682;28;38;100644;3346;1110;2236;0;97298;62146;35152;125
