"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zdzisław Stanisław PUPA";"Tadeusz Bronisław URBAN"
"64bd-c71b-de56-94e7-c4d6-90c3-24d1-37ff";"180306";"55";"15";"wieś";"stały";"Dom Ludowy w Słotowej, Słotowa 182 B, 39-223 Strzegocice";"gm. Pilzno";"dębicki";"podkarpackie";"771";"845";"231";"540";"0";"0";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"13";"6";"7";"0";"527";"459";"68"
"1912-9bdc-fdea-6f21-44ca-3e34-4f28-1b51";"180306";"55";"16";"wieś";"stały";"Publiczna Szkoła Podstawowa w Zwierniku, Zwiernik 256, 39-223 Łęki Górne";"gm. Pilzno";"dębicki";"podkarpackie";"723";"908";"200";"523";"0";"0";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"11";"4";"7";"0";"512";"451";"61"
"80da-e363-a57e-46ea-ad01-e91a-ecbb-dba0";"180306";"55";"17";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Parkoszu, Parkosz 26, 39-220 Pilzno";"gm. Pilzno";"dębicki";"podkarpackie";"104";"93";"84";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"4";"0";"4";"0";"16";"11";"5"
"e908-a35d-4e27-d3a6-b6e4-11ea-526e-2d3d";"180307";"55";"1";"wieś";"stały";"Zespół Szkół w Żyrakowie, Żyraków 77, 39-204 Żyraków";"gm. Żyraków";"dębicki";"podkarpackie";"1212";"1324";"339";"873";"4";"2";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"29";"6";"23";"0";"844";"625";"219"
"133e-5dce-1b0a-46ef-d4b4-4210-5d62-cb9b";"180307";"55";"2";"wieś";"stały";"Centrum Kultury i Promocji w Żyrakowie, Wola Żyrakowska 73A, 39-204 Żyraków";"gm. Żyraków";"dębicki";"podkarpackie";"542";"590";"156";"386";"0";"0";"0";"0";"0";"0";"0";"0";"0";"385";"0";"0";"385";"12";"2";"10";"0";"373";"293";"80"
"df7d-71db-7af6-e142-ef37-d43c-5ab8-095e";"180307";"55";"3";"wieś";"stały";"Zespół Szkół w Bobrowej, Bobrowa 131, 39-203 Nagoszyn";"gm. Żyraków";"dębicki";"podkarpackie";"1100";"1190";"405";"695";"0";"0";"0";"0";"0";"0";"0";"0";"0";"695";"0";"0";"695";"27";"7";"20";"0";"668";"528";"140"
"9d4d-e159-2c5e-cd6d-523f-b56b-11d0-5520";"180307";"55";"4";"wieś";"stały";"Szkoła Podstawowa w Korzeniowie, Korzeniów 77A, 39-203 Nagoszyn";"gm. Żyraków";"dębicki";"podkarpackie";"549";"607";"212";"337";"0";"0";"0";"0";"0";"0";"0";"0";"0";"337";"0";"0";"337";"4";"0";"4";"0";"333";"261";"72"
"a462-0632-07d0-b3a4-84f2-2e48-8cb3-aa6f";"180307";"55";"5";"wieś";"stały";"Świetlica Wiejska w Bobrowej Woli, Bobrowa Wola 21, 39-203 Nagoszyn";"gm. Żyraków";"dębicki";"podkarpackie";"280";"301";"95";"185";"0";"0";"0";"0";"0";"0";"0";"0";"0";"185";"0";"0";"185";"13";"4";"9";"0";"172";"146";"26"
"1960-395c-c0a6-ec55-5299-ff92-6106-5ee9";"180307";"55";"6";"wieś";"stały";"Zespół Szkół w Nagoszynie, Nagoszyn 93, 39-203 Nagoszyn";"gm. Żyraków";"dębicki";"podkarpackie";"1160";"1276";"440";"720";"3";"2";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"16";"2";"14";"0";"704";"592";"112"
"83de-9338-8738-e03d-5e08-7213-a0aa-94c1";"180307";"55";"7";"wieś";"stały";"Szkoła Podstawowa im. Adama Mickiewicza w Mokrem, Mokre 136, 39-209 Zasów";"gm. Żyraków";"dębicki";"podkarpackie";"460";"503";"147";"313";"0";"0";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"8";"3";"5";"0";"305";"280";"25"
"6987-e8ef-d455-59e1-604a-a001-6b7a-6a49";"180307";"55";"8";"wieś";"stały";"Szkoła Podstawowa im. Rodziny Łubieńskich w Zasowie, Zasów 207, 39-209 Zasów";"gm. Żyraków";"dębicki";"podkarpackie";"639";"707";"267";"372";"0";"0";"0";"0";"0";"0";"0";"0";"0";"372";"0";"0";"372";"5";"2";"3";"0";"367";"329";"38"
"1361-a8f9-e53f-a1a5-f369-3632-fb3f-e7ba";"180307";"55";"9";"wieś";"stały";"Szkoła Podstawowa im. Stefana Żeromskiego w Wiewiórce, Wiewiórka 122, 39-209 Zasów";"gm. Żyraków";"dębicki";"podkarpackie";"660";"729";"172";"488";"0";"4";"0";"0";"0";"0";"0";"0";"0";"488";"0";"0";"488";"14";"0";"14";"0";"474";"416";"58"
"e684-2be1-8ae7-bfc7-ef0d-971c-3da6-7841";"180307";"55";"10";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Mroczki w Górze Motycznej, Góra Motyczna 31, 39-204 Żyraków";"gm. Żyraków";"dębicki";"podkarpackie";"779";"849";"235";"544";"1";"0";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"18";"7";"11";"0";"526";"441";"85"
"b13e-e212-78e5-e149-bead-2f88-f8a0-4221";"180307";"55";"11";"wieś";"stały";"Zespół Szkół w Straszęcinie, Straszęcin 115, 39-218 Straszęcin";"gm. Żyraków";"dębicki";"podkarpackie";"1550";"1677";"574";"976";"1";"4";"0";"0";"0";"0";"0";"0";"0";"976";"0";"0";"976";"41";"11";"30";"0";"935";"665";"270"
"7575-ffa8-e0af-8f67-d7ed-c6c7-d5b4-a2ba";"180307";"55";"12";"wieś";"stały";"Szkoła Podstawowa w Woli Wielkiej, Wola Wielka 31A, 39-218 Straszęcin";"gm. Żyraków";"dębicki";"podkarpackie";"461";"516";"113";"348";"0";"1";"0";"0";"0";"0";"0";"0";"0";"348";"0";"0";"348";"10";"3";"7";"0";"338";"295";"43"
"b948-b675-b1f3-db20-4268-3dab-8fb1-ebdf";"180307";"55";"13";"wieś";"stały";"Gminny Żłobek w Żyrakowie, Zawierzbie 62A, 39-204 Żyraków";"gm. Żyraków";"dębicki";"podkarpackie";"739";"793";"236";"503";"0";"6";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"22";"5";"17";"0";"481";"306";"175"
"ca1a-06d9-2e7e-f493-9e64-c85e-cb6f-42cc";"180307";"55";"14";"wieś";"zakład leczniczy";"Zespół Opieki Zdrowotnej w Dębicy-Oddziały w Straszęcinie, Straszęcin 295, 39-218 Straszęcin";"gm. Żyraków";"dębicki";"podkarpackie";"178";"134";"114";"64";"0";"1";"0";"0";"0";"0";"0";"0";"0";"63";"0";"0";"63";"3";"0";"3";"0";"60";"44";"16"
"8f8e-8be9-8c8f-9691-6cf1-8c0b-80c7-9b1e";"180601";"55";"1";"wieś";"stały";"Samorządowy Ośrodek Kultury w Cmolasie, Cmolas 212a, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"850";"924";"306";"544";"1";"0";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"9";"1";"8";"0";"535";"445";"90"
"3c2a-fb9a-f46d-955f-ac18-5e0e-50e6-9a5e";"180601";"55";"2";"wieś";"stały";"Szkoła Podstawowa w Cmolasie, Cmolas 269a, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"1288";"1390";"454";"834";"1";"3";"0";"0";"0";"0";"0";"0";"0";"834";"0";"0";"834";"25";"8";"17";"0";"809";"615";"194"
"5819-b52b-d57a-f21e-6d1f-a5c4-a270-d1cc";"180601";"55";"3";"wieś";"stały";"Szkoła Podstawowa w Trzęsówce, Trzęsówka 231, 36-106 Trzęsówka";"gm. Cmolas";"kolbuszowski";"podkarpackie";"992";"1089";"291";"701";"0";"1";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"14";"4";"10";"0";"687";"577";"110"
"6aa2-6606-1b55-a75d-8c1d-d013-f333-86d9";"180601";"55";"4";"wieś";"stały";"Centrum Edukacji Ekologicznej ""Puszcza Sandomierska"" w Ostrowach Tuszowskich, Ostrowy Tuszowskie 100a, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"758";"811";"323";"435";"0";"1";"0";"0";"0";"0";"0";"0";"0";"435";"0";"0";"435";"11";"2";"9";"0";"424";"346";"78"
"f8b9-e35a-840a-cf64-0245-b18a-73fe-4601";"180601";"55";"5";"wieś";"stały";"Szkoła Podstawowa w Ostrowach Baranowskich, Ostrowy Baranowskie 106, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"450";"496";"191";"259";"1";"0";"0";"0";"0";"0";"0";"0";"0";"259";"0";"0";"259";"9";"0";"9";"0";"250";"208";"42"
"2c2f-16b4-d168-5127-59cd-d8d9-a731-f3a5";"180601";"55";"6";"wieś";"stały";"Dom Strażaka w Jagodniku, Jagodnik 84b, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"350";"390";"130";"220";"3";"1";"0";"0";"0";"0";"0";"0";"0";"220";"0";"0";"220";"7";"1";"6";"0";"213";"178";"35"
"ee93-b195-7b18-dea1-42bc-8ea3-d4ef-fa8a";"180601";"55";"7";"wieś";"stały";"Dom Strażaka w Hadykówce, Hadykówka 104, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"589";"636";"236";"353";"0";"0";"0";"0";"0";"0";"0";"0";"0";"353";"0";"0";"353";"11";"2";"9";"0";"342";"290";"52"
"681d-a10f-3fd5-eed6-e9e0-54f9-20a6-d670";"180601";"55";"8";"wieś";"stały";"Szkoła Podstawowa w Porębach Dymarskich, Poręby Dymarskie 157b, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"600";"653";"276";"324";"0";"2";"0";"0";"0";"0";"0";"0";"0";"324";"0";"0";"324";"13";"1";"12";"0";"311";"266";"45"
"6739-815e-66ca-495b-1aba-919a-f14d-e3bf";"180601";"55";"9";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej im. Ks. Wojciecha Borowiusza w Cmolasie (obwód odrębny), Cmolas 274, 36-105 Cmolas";"gm. Cmolas";"kolbuszowski";"podkarpackie";"58";"58";"12";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"46";"1";"1";"0";"0";"45";"36";"9"
"d254-3f64-0bf6-8a9e-1ab8-906c-fef9-c6fa";"180602";"55";"1";"miasto";"stały";"Miejski Dom Kultury w Kolbuszowej, ul. Obrońców Pokoju 66, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1190";"1270";"408";"782";"3";"3";"0";"0";"0";"0";"0";"0";"0";"782";"0";"0";"782";"31";"14";"17";"0";"751";"495";"256"
"92cc-6aec-51d1-770c-e7e0-0a76-3463-88ea";"180602";"55";"2";"miasto";"stały";"Miejski Dom Kultury w Kolbuszowej, ul. Obrońców Pokoju 66, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1129";"1201";"406";"723";"4";"3";"1";"1";"0";"0";"0";"0";"1";"724";"1";"0";"724";"22";"12";"10";"0";"702";"417";"285"
"3ccd-ba3a-deb2-7a18-1983-54fb-ec27-73f6";"180602";"55";"3";"miasto";"stały";"Zespół Szkół Technicznych w Kolbuszowej, ul. Janka Bytnara 2, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1038";"1115";"411";"627";"4";"6";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"20";"3";"17";"0";"607";"348";"259"
"ff47-1b88-7140-152b-57b2-a88d-2984-2db8";"180602";"55";"4";"miasto";"stały";"Miejska i Powiatowa Biblioteka Publiczna w Kolbuszowej, ul. Józefa Piłsudskiego 7, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1110";"1187";"460";"650";"2";"4";"0";"0";"0";"0";"0";"0";"0";"650";"0";"0";"650";"22";"8";"14";"0";"628";"357";"271"
"1b65-3ba4-b4ec-6be2-a0c8-a288-e1d2-57f3";"180602";"55";"5";"miasto";"stały";"Miejska i Powiatowa Biblioteka Publiczna w Kolbuszowej, ul. Józefa Piłsudskiego 7, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"970";"1041";"380";"590";"0";"1";"0";"0";"0";"0";"0";"0";"0";"590";"0";"0";"590";"33";"15";"18";"0";"557";"311";"246"
"29b0-f77b-fa5e-7d20-c81b-e0c1-571b-b742";"180602";"55";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Kolbuszowej, ul. Tadeusza Kościuszki 1, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1189";"1290";"471";"718";"2";"1";"1";"1";"0";"0";"0";"0";"1";"719";"1";"0";"719";"24";"8";"16";"0";"695";"432";"263"
"e0a4-9bea-4277-f0aa-1db9-ac53-07c1-8169";"180602";"55";"7";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Kolbuszowej, ul. Tadeusza Kościuszki 1, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"809";"872";"326";"483";"1";"7";"0";"0";"0";"0";"0";"0";"0";"483";"0";"0";"483";"14";"6";"8";"0";"469";"291";"178"
"a8de-2311-8644-7ae4-2f32-10c4-ddb1-1b70";"180602";"55";"8";"wieś";"stały";"Zespół Szkół Specjalnych w Kolbuszowej Dolnej, Kolbuszowa Dolna ul. Wiejska 90, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"809";"872";"301";"508";"0";"0";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"12";"4";"8";"0";"496";"299";"197"
"83c9-b54e-d24f-546a-8bfc-028b-c100-e830";"180602";"55";"9";"wieś";"stały";"Szkoła Podstawowa w Zarębkach, Zarębki 73, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"650";"696";"219";"431";"0";"1";"0";"0";"0";"0";"0";"0";"0";"431";"0";"0";"431";"8";"0";"8";"0";"423";"339";"84"
"e431-9232-ec56-5ba7-5386-6643-4161-eea9";"180602";"55";"10";"wieś";"stały";"Dom Ludowy w Weryni, Werynia 105, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1068";"1180";"363";"705";"1";"2";"0";"0";"0";"0";"0";"0";"0";"705";"0";"0";"705";"26";"8";"18";"0";"679";"531";"148"
"5ab8-924d-cccd-9557-ef6e-9a0d-cce6-6ae5";"180602";"55";"11";"wieś";"stały";"Filia Miejskiego Domu Kultury w Kolbuszowej Górnej, Kolbuszowa Górna 380, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1160";"1247";"366";"794";"0";"3";"0";"0";"0";"0";"0";"0";"0";"794";"0";"0";"794";"23";"14";"9";"0";"771";"585";"186"
"2242-d2a0-9da1-f7ab-0bc4-6143-a334-1d70";"180602";"55";"12";"wieś";"stały";"Filia Miejskiego Domu Kultury w Kolbuszowej Górnej, Kolbuszowa Górna 380, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"928";"992";"365";"563";"0";"1";"0";"0";"0";"0";"0";"0";"0";"563";"0";"0";"563";"13";"3";"10";"0";"550";"381";"169"
"7c27-f65c-615c-5fc3-651f-1247-0fee-9f33";"180602";"55";"13";"wieś";"stały";"Szkoła Podstawowa w Bukowcu, Bukowiec 37, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"291";"308";"116";"175";"0";"0";"0";"0";"0";"0";"0";"0";"0";"175";"0";"0";"175";"2";"0";"2";"0";"173";"138";"35"
"0c15-6905-d695-7411-a5a7-0948-bdda-2bb7";"180602";"55";"14";"wieś";"stały";"Remiza OSP w Hucie Przedborskiej, Huta Przedborska 19, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"211";"228";"58";"153";"0";"1";"0";"0";"0";"0";"0";"0";"0";"153";"0";"0";"153";"4";"1";"3";"0";"149";"135";"14"
"1049-c176-b8f8-a68e-18df-f647-80fc-1093";"180602";"55";"15";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Kłapówce, Kłapówka 41, 36-145 Widełka";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"161";"179";"77";"84";"0";"1";"0";"0";"0";"0";"0";"0";"0";"84";"0";"0";"84";"5";"3";"2";"0";"79";"58";"21"
"9b6b-98b9-8d3c-cc67-73d4-5683-7036-2a22";"180602";"55";"16";"wieś";"stały";"Remiza OSP w Porębach Kupieńskich, Poręby Kupieńskie 47, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"199";"213";"84";"115";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"0";"0";"115";"5";"1";"4";"0";"110";"100";"10"
"212a-8d2e-1e5d-9580-2c7a-cd3f-3564-475b";"180602";"55";"17";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Świerczowie, Świerczów 39, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"430";"453";"163";"267";"0";"0";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"7";"1";"6";"0";"260";"180";"80"
"2eb9-a764-6e7b-9b07-e44e-7263-b190-d8d1";"180602";"55";"18";"wieś";"stały";"Szkoła Podstawowa w Widełce, Widełka 191, 36-145 Widełka";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"891";"962";"354";"537";"0";"0";"0";"0";"0";"0";"0";"0";"0";"537";"0";"0";"537";"9";"5";"4";"0";"528";"407";"121"
"385d-17b8-bfa0-c777-2c18-c9f0-059d-4005";"180602";"55";"19";"wieś";"stały";"Szkoła Podstawowa w Widełce, Widełka 191, 36-145 Widełka";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"830";"895";"354";"476";"0";"1";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"23";"3";"20";"0";"453";"382";"71"
"86cd-3e66-afa1-ceed-cda7-0d7d-05e5-a8ce";"180602";"55";"20";"wieś";"stały";"Szkoła Podstawowa w Kupnie, Kupno 81, 36-145 Widełka";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"1163";"1236";"528";"635";"0";"0";"0";"0";"0";"0";"0";"0";"0";"634";"0";"0";"634";"17";"4";"13";"0";"617";"516";"101"
"5d4d-b384-266b-62f9-6abc-81d3-b0ed-cc64";"180602";"55";"21";"wieś";"stały";"Szkoła Podstawowa w Domatkowie, Domatków 198, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"759";"815";"312";"447";"0";"0";"0";"0";"0";"0";"0";"0";"0";"447";"0";"0";"447";"9";"1";"8";"0";"438";"376";"62"
"7aaa-408f-66cd-a04a-1cf5-4a97-bce3-050b";"180602";"55";"22";"wieś";"stały";"Szkoła Podstawowa w Przedborzu, Przedbórz 153, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"639";"705";"243";"396";"0";"4";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"15";"3";"12";"0";"381";"334";"47"
"8c18-a54a-c86e-981f-6c0d-0bbe-425f-61aa";"180602";"55";"23";"wieś";"stały";"Remiza OSP w Nowej Wsi, Nowa Wieś 92, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"578";"620";"229";"350";"0";"2";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"16";"2";"14";"0";"334";"216";"118"
"61f6-28a0-97a8-f855-5ddf-2cd2-d048-4829";"180602";"55";"24";"miasto";"zakład leczniczy";"Szpital SP ZOZ w Kolbuszowej, ul. Grunwaldzka 4, 36-100 Kolbuszowa";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";"251";"150";"204";"47";"0";"1";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"47";"1";"0";"1";"0";"46";"36";"10"
"3910-3a5b-893c-5bc8-0ecd-febe-e3e0-67f1";"180603";"55";"1";"wieś";"stały";"Urząd Gminy Majdan Królewski, ul. Rynek 1A, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"2066";"2257";"879";"1187";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1187";"0";"0";"1187";"30";"6";"24";"0";"1157";"927";"230"
"47ac-6510-9f20-bfcd-a7d6-7905-7ed8-d36d";"180603";"55";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Krzątce, Krzątka 27, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"1039";"1129";"491";"548";"2";"1";"1";"1";"0";"0";"0";"0";"1";"549";"1";"0";"549";"13";"2";"11";"0";"536";"466";"70"
"8771-d99c-c3c4-9da3-9f86-677b-0d7d-a132";"180603";"55";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Klatkach, Krzątka 202, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"540";"585";"237";"303";"0";"0";"0";"0";"0";"0";"0";"0";"0";"303";"0";"0";"303";"2";"1";"1";"0";"301";"265";"36"
"bb15-956e-4394-a69f-c5c5-2897-4f92-0915";"180603";"55";"4";"wieś";"stały";"Remiza OSP Rusinów, Rusinów 24A, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"170";"181";"45";"125";"0";"0";"0";"0";"0";"0";"0";"0";"0";"125";"0";"0";"125";"3";"0";"3";"0";"122";"106";"16"
"5b81-6607-4593-16d0-81ca-fe64-3c18-a2a2";"180603";"55";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Brzostowej Górze, Brzostowa Góra 110, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"670";"728";"269";"401";"0";"0";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"12";"2";"10";"0";"389";"337";"52"
"d7b1-66e1-cf05-4962-cbaa-bf96-5ab7-2349";"180603";"55";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa w Woli Rusinowskiej, Wola Rusinowska 69, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"679";"723";"251";"428";"0";"0";"0";"0";"0";"0";"0";"0";"0";"428";"0";"0";"428";"14";"2";"12";"0";"414";"392";"22"
"ceb2-0b52-01e6-6db9-7e8e-0b1e-9a25-bb96";"180603";"55";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa w Komorowie, Komorów 116, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"1020";"1107";"435";"585";"3";"2";"0";"0";"0";"0";"0";"0";"0";"585";"0";"0";"585";"25";"4";"21";"0";"560";"455";"105"
"96fa-009b-d112-55c3-091d-0a8a-f4b8-8192";"180603";"55";"8";"wieś";"stały";"Publiczna Szkoła Podstawowa w Hucie Komorowskiej, Huta Komorowska 102, 36-110 Majdan Królewski";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";"1037";"1125";"480";"557";"0";"2";"0";"0";"0";"0";"0";"0";"0";"557";"0";"0";"557";"11";"0";"11";"0";"546";"445";"101"
"b0a7-5a78-530a-e953-4bc6-43c5-86fa-268d";"180604";"55";"1";"wieś";"stały";"Urząd Gminy Niwiska, Niwiska 430, 36-147 Niwiska";"gm. Niwiska";"kolbuszowski";"podkarpackie";"1134";"1232";"495";"639";"3";"0";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"27";"4";"23";"0";"612";"463";"149"
"d520-18b5-5d87-8b1c-3a69-fd3c-d9f7-d122";"180604";"55";"2";"wieś";"stały";"Szkoła Podstawowa w Hucinie, Hucina ul. Wspólna 54, 36-147 Niwiska";"gm. Niwiska";"kolbuszowski";"podkarpackie";"330";"359";"108";"222";"0";"3";"0";"0";"0";"0";"0";"0";"0";"222";"0";"0";"222";"5";"1";"4";"0";"217";"167";"50"
"62d1-c633-5408-bb40-6001-e9bb-d4df-87f4";"180604";"55";"3";"wieś";"stały";"Szkoła Podstawowa w Przyłęku, Przyłęk 216, 36-107 Przyłęk";"gm. Niwiska";"kolbuszowski";"podkarpackie";"540";"589";"166";"374";"0";"1";"0";"0";"0";"0";"0";"0";"0";"374";"0";"0";"374";"9";"3";"6";"0";"365";"313";"52"
"39b8-39a4-701a-3e47-a312-a8bd-ee61-e02b";"180604";"55";"4";"wieś";"stały";"Szkoła Podstawowa w Kosowach, Kosowy ul. Szkolna 108, 36-147 Przyłęk";"gm. Niwiska";"kolbuszowski";"podkarpackie";"632";"684";"264";"368";"0";"0";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"8";"4";"4";"0";"360";"299";"61"
"b807-9799-6812-323c-461c-7ddd-584d-8701";"180604";"55";"5";"wieś";"stały";"Szkoła Podstawowa w Siedlance, Siedlanka 72, 36-147 Niwiska";"gm. Niwiska";"kolbuszowski";"podkarpackie";"540";"585";"166";"374";"0";"1";"0";"0";"0";"0";"0";"0";"0";"374";"0";"0";"374";"9";"3";"6";"0";"365";"314";"51"
"c502-4a15-215a-d44c-d69b-ae51-377c-1232";"180604";"55";"6";"wieś";"stały";"Szkoła Podstawowa w Trześni, Trześń 173, 36-147 Niwiska";"gm. Niwiska";"kolbuszowski";"podkarpackie";"490";"533";"204";"286";"0";"0";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"286";"10";"1";"9";"0";"276";"199";"77"
"a381-cb68-370d-3fe1-e17c-30b6-fa37-51b4";"180604";"55";"7";"wieś";"stały";"Szkoła Podstawowa w Hucisku, Hucisko 51, 36-147 Niwiska";"gm. Niwiska";"kolbuszowski";"podkarpackie";"320";"348";"141";"179";"0";"0";"0";"0";"0";"0";"0";"0";"0";"179";"0";"0";"179";"3";"0";"3";"0";"176";"145";"31"
"bc78-0223-6e32-0d9b-9491-4ff9-ec43-b470";"180604";"55";"8";"wieś";"stały";"Świetlica Wiejska w Leszczach, Leszcze 62A, 36-147 Niwiska";"gm. Niwiska";"kolbuszowski";"podkarpackie";"200";"217";"66";"134";"0";"1";"0";"0";"0";"0";"0";"0";"0";"134";"0";"0";"134";"6";"2";"4";"0";"128";"114";"14"
