"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Aleksander August POCIEJ";"Piotr Zbigniew RADZISZEWSKI";"Liczba obwodów"
"146502";"dzielnica w m.st. Warszawa";"Bemowo";"Warszawa";"mazowieckie";85714;95372;9353;76358;58;940;2;2;0;0;0;0;2;76223;2;16;76207;2267;717;1550;0;73940;51724;22216;50
"146506";"dzielnica w m.st. Warszawa";"Ochota";"Warszawa";"mazowieckie";58892;65896;9039;49842;100;1182;17;17;0;0;0;0;17;49802;17;10;49792;1670;550;1120;0;48122;33119;15003;47
"146512";"dzielnica w m.st. Warszawa";"Ursus";"Warszawa";"mazowieckie";39113;44418;4684;34425;30;386;2;2;0;0;0;0;2;34393;2;2;34391;1011;391;620;0;33380;20559;12821;22
"146517";"dzielnica w m.st. Warszawa";"Włochy";"Warszawa";"mazowieckie";28972;33170;3223;25746;22;625;3;3;1;0;0;0;2;25739;2;3;25736;851;275;576;0;24885;16245;8640;25
"146518";"dzielnica w m.st. Warszawa";"Wola";"Warszawa";"mazowieckie";100501;113648;16092;84403;94;1838;19;17;12;0;0;0;5;84331;5;25;84306;2684;860;1824;0;81622;54013;27609;64
