"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Stefan BOROWSKI";"Cezary Andrzej JURKIEWICZ";"Liczba obwodów"
"146507";"dzielnica w m.st. Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";130338;145781;19334;111018;93;1722;18;17;1;0;0;0;16;110933;16;32;110901;3105;918;2187;0;107796;72785;35011;85
"146508";"dzielnica w m.st. Warszawa";"Praga-Północ";"Warszawa";"mazowieckie";43593;49514;9688;33905;30;615;5;5;0;0;0;0;5;33900;5;20;33880;966;276;690;0;32914;20494;12420;31
"146509";"dzielnica w m.st. Warszawa";"Rembertów";"Warszawa";"mazowieckie";16301;18109;2517;13795;10;134;0;0;0;0;0;0;0;13778;0;0;13778;362;123;239;0;13416;8539;4877;13
"146511";"dzielnica w m.st. Warszawa";"Targówek";"Warszawa";"mazowieckie";88361;97222;16661;71747;54;640;9;9;1;0;0;0;9;71666;8;75;71591;1981;784;1197;0;69610;42535;27075;44
"146515";"dzielnica w m.st. Warszawa";"Wesoła";"Warszawa";"mazowieckie";16998;18904;1759;15239;17;160;3;3;1;0;0;0;2;15240;2;1;15239;424;131;293;0;14815;9641;5174;11
