"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Izabela Dorota LESZCZYNA - nr na liście 1";"Andrzej SZEWIŃSKI - nr na liście 2";"Marta Maria SALWIERAK - nr na liście 3";"Halina Leokadia ROZPONDEK - nr na liście 4";"Gabriel Jan PODBIOŁ - nr na liście 5";"Jolanta Małgorzata URBAŃSKA - nr na liście 6";"Dominik Bogusz KABUS - nr na liście 7";"Marzena Monika MANISZEWSKA - nr na liście 8";"Tomasz Artur STEFAŃCZYK - nr na liście 9";"Marcin BIERNAT - nr na liście 10";"Renata Maria STASIAK-BETLEJEWSKA - nr na liście 11";"Marcin ŚWITAŁA - nr na liście 12";"Edyta Wiesława CIURA - nr na liście 13";"Jarosław Wacław LASECKI - nr na liście 14";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Włodzimierz Bogdan SKALIK - nr na liście 1";"Jacek Adam PAWLIKOWSKI - nr na liście 2";"Bogusław Józef ADAMOWICZ - nr na liście 3";"Bartłomiej Michał BIEGAS - nr na liście 4";"Paweł KLIMCZAK - nr na liście 5";"Zofia SUROWIEC - nr na liście 6";"Władysława Bożena RYNKIEWICZ - nr na liście 7";"Agata Aneta POLAK - nr na liście 8";"Barbara Ewa PIĄTEK - nr na liście 9";"Cecylia Iwona MUSIALIK - nr na liście 10";"Grażyna Teresa MATUSIAK - nr na liście 11";"Katarzyna Anna ERMER - nr na liście 12";"Rafał Adrian GAWENDA - nr na liście 13";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Henryk KIEPURA - nr na liście 1";"Krzysztof SMELA - nr na liście 2";"Stanisław GMITRUK - nr na liście 3";"Bartłomiej Przemysław DOBRZYNIEWICZ - nr na liście 4";"Andrzej KUBAT - nr na liście 5";"Anna Marta SOCHA-KORENDO - nr na liście 6";"Anna Barbara GRUS - nr na liście 7";"Monika Aleksandra KUMOR - nr na liście 8";"Edyta Jolanta MŁYŃSKA - nr na liście 9";"Krystian KOTYNIA - nr na liście 10";"Jerzy Józef CYRULIK - nr na liście 11";"Iwona Izabela LISEK - nr na liście 12";"Anna NOWICKA - nr na liście 13";"Michał Olaf DZWONNIK - nr na liście 14";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Szymon Stanisław GIŻYŃSKI - nr na liście 1";"Lidia Ewa BURZYŃSKA - nr na liście 2";"Mariusz Wiesław TREPKA - nr na liście 3";"Andrzej Janusz GAWRON - nr na liście 4";"Monika FAJER - nr na liście 5";"Piotr DEREJCZYK - nr na liście 6";"Anna Janina KAPTACZ - nr na liście 7";"Tomasz MAJ - nr na liście 8";"Łukasz Artur LANGE - nr na liście 9";"Paweł Jan RUKSZA - nr na liście 10";"Magdalena Anna PIETRULEWICZ - nr na liście 11";"Danuta Elżbieta SŁUŻAŁEK-JAWORSKA - nr na liście 12";"Andrzej Piotr SOWA - nr na liście 13";"Urszula ZALESKA - nr na liście 14";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Zdzisław WOLSKI - nr na liście 1";"Zbigniew Paweł NIESMACZNY - nr na liście 2";"Rafał Tadeusz KĘPSKI - nr na liście 3";"Ewelina Tacjana KOTKOWSKA - nr na liście 4";"Małgorzata IŻYŃSKA - nr na liście 5";"Łukasz Tadeusz KOT - nr na liście 6";"Ewa Katarzyna KSIĄŻEK - nr na liście 7";"Rafał Krzysztof JURECZKO - nr na liście 8";"Ewa LEWANDOWSKA - nr na liście 9";"Paweł Piotr ŁAPETA - nr na liście 10";"Joanna Janina GÓRNA - nr na liście 11";"Emilia Maria SKRZYPCZYŃSKA - nr na liście 12";"Marlena Sonia KAREWICZ - nr na liście 13";"Marcin Antoni GOŁDA - nr na liście 14";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Marcin MARANDA - nr na liście 1";"Mariusz Michał SPIECHOWICZ - nr na liście 2";"Grażyna Marianna KLAMEK - nr na liście 3";"Mariusz Józef POGODA - nr na liście 4";"Adam ZAMORA - nr na liście 5";"Beata BOGUS - nr na liście 6";"Wojciech Stanisław SOCHA - nr na liście 7";"Zbigniew Stanisław MIZGALSKI - nr na liście 8";"Krystyna Jadwiga KOSARGA - nr na liście 9";"Łukasz Mateusz SŁAWEK - nr na liście 10";"Piotr Mateusz PTAK - nr na liście 11";"Aleksandra Zdzisława STANIOWSKA - nr na liście 12";"Piotr Paweł STRACH - nr na liście 13";"Magdalena Mirosława CZAJA - nr na liście 14";"Liczba obwodów"
"240400";"częstochowski";"śląskie";100258;109379;34114;66142;65;359;7;7;0;0;0;0;7;66141;7;2;66139;907;651;256;0;65232;12157;6272;2305;828;576;55;195;68;317;86;286;56;52;95;966;3851;2204;376;175;175;197;106;55;227;90;47;33;37;129;7336;955;2768;857;91;816;120;61;86;575;51;25;265;145;521;32353;9849;12612;1884;797;2774;407;551;1017;313;543;201;172;441;792;8204;3708;547;290;256;578;548;444;78;377;470;169;311;142;286;1331;480;115;46;83;63;90;63;37;45;57;40;27;62;123;120
"240600";"kłobucki";"śląskie";62793;69009;22336;40457;44;255;5;5;0;0;0;0;5;40455;5;0;40455;593;429;164;0;39862;5722;3375;660;419;268;31;81;35;43;40;99;37;55;38;541;2392;1325;219;142;84;116;45;45;221;65;16;18;17;79;7642;6238;113;223;38;125;46;40;53;32;350;53;41;214;76;18856;7237;3127;614;723;1774;2279;360;404;109;251;1085;70;237;586;4472;1668;203;114;1334;210;212;91;33;219;39;61;84;44;160;778;199;35;41;47;53;103;22;19;11;19;121;18;22;68;64
"240700";"lubliniecki";"śląskie";56849;61467;22940;33909;43;197;2;1;0;0;0;0;1;33907;1;0;33907;542;339;203;0;33365;8022;3141;511;135;410;2841;108;65;65;44;84;40;83;21;474;2077;940;236;161;110;118;85;44;127;77;26;26;15;112;2637;819;111;165;44;225;61;630;67;36;17;279;54;87;42;16454;1867;833;207;11330;728;97;141;190;108;270;90;34;260;299;2753;1149;131;108;169;141;101;87;426;124;37;54;45;35;146;1422;167;31;59;707;84;95;28;46;23;14;23;14;38;93;61
"240900";"myszkowski";"śląskie";52293;57145;18983;33310;51;228;0;0;0;0;0;0;0;33303;0;0;33303;435;320;115;0;32868;6274;3261;549;132;206;33;73;54;39;31;67;23;35;20;1751;2114;1106;250;146;89;111;57;51;110;43;39;13;22;77;2350;419;103;354;27;98;917;35;189;27;17;10;42;53;59;16023;2688;1252;8774;322;784;260;246;185;51;65;46;903;125;322;5091;984;158;2921;103;123;105;71;23;109;68;57;211;26;132;1016;116;20;26;38;587;36;27;13;13;13;27;15;32;53;56
"246400";"Częstochowa";"śląskie";159708;173075;45694;114006;127;825;28;27;0;0;0;0;27;113985;27;12;113973;783;402;381;0;113190;32199;20217;5998;1929;1046;70;561;143;91;203;288;177;77;109;1290;6844;4700;557;303;176;209;89;90;287;109;51;45;65;163;4739;1332;799;820;172;321;168;100;85;88;64;35;106;176;473;42304;20684;6848;1402;716;5600;320;1289;465;343;2237;256;140;943;1061;23834;11018;1944;276;552;3171;2658;280;127;947;197;551;1023;302;788;3270;1966;83;123;94;71;129;62;160;40;54;61;44;198;185;135
