"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Rafał Michał AMBROZIK";"Artur Jan BAGIEŃSKI";"Liczba obwodów"
"100700";"opoczyński";"łódzkie";55661;60719;17055;38604;59;186;4;3;0;0;0;0;3;38598;3;2;38596;798;223;575;0;37798;18442;19356;74
"101300";"rawski";"łódzkie";35231;38735;12562;22669;21;105;0;0;0;0;0;0;0;22669;0;3;22666;805;206;599;0;21861;13584;8277;29
"101500";"skierniewicki";"łódzkie";27505;30335;8920;18584;22;107;0;0;0;0;0;0;0;18581;0;0;18581;574;115;459;0;18007;11759;6248;39
"101600";"tomaszowski";"łódzkie";84445;91479;27947;56522;56;271;1;1;0;0;0;0;1;56516;1;18;56498;2099;598;1501;0;54399;28857;25542;78
"106300";"Skierniewice";"łódzkie";33919;36858;9297;24621;21;122;3;3;0;0;0;0;3;24613;3;2;24611;960;281;679;0;23651;10382;13269;27
