"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Beniamin Wincenty GODYLA";"Roman Jacek KOLEK";"Bogdan Stanisław TOMASZEK";"Liczba obwodów"
"160200";"głubczycki";"opolskie";34089;36712;15258;18830;21;91;1;1;0;0;0;0;1;18828;1;0;18828;483;79;404;0;18345;6989;1185;10171;54
"160300";"kędzierzyńsko-kozielski";"opolskie";67175;72793;29328;37846;27;137;6;6;0;0;0;0;6;37840;6;3;37837;884;283;601;0;36953;17745;6635;12573;65
"160500";"krapkowicki";"opolskie";46207;50162;23058;23149;17;108;0;0;0;0;0;0;0;23144;0;0;23144;508;100;408;0;22636;8993;7025;6618;52
"160800";"oleski";"opolskie";47704;51954;22127;25577;26;176;0;0;0;0;0;0;0;25573;0;0;25573;636;139;497;0;24937;11102;4140;9695;54
"161100";"strzelecki";"opolskie";55492;60447;27280;28212;26;117;1;1;0;0;0;0;1;28210;1;0;28210;618;127;491;0;27592;8183;11236;8173;72
