"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek Henryk BUBEL";"Andrzej MACIEJEWSKI";"Jarosław Marek SŁOMA";"Lidia Ewa STAROŃ"
"7feb-a43f-ac0e-78aa-22fb-20a3-2bb0-99ba";"281401";"86";"14";"wieś";"stały";"Niepubliczny Zespół Szkół i Placówek w Ramsowie, Ramsowo 87, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"629";"699";"347";"282";"0";"4";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"9";"0";"9";"0";"273";"12";"72";"47";"142"
"3fb2-9a19-a9f3-6748-6829-401b-4497-a374";"281401";"86";"15";"wieś";"stały";"Świetlica wiejska w Nikielkowie, Nikielkowo ul. Jana Grzymały 8, 10-376 Olsztyn";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"450";"505";"83";"367";"0";"2";"0";"0";"0";"0";"0";"0";"0";"367";"0";"0";"367";"3";"0";"3";"0";"364";"7";"79";"122";"156"
"7280-f530-2c64-579d-3bd9-79cc-f06f-7686";"281401";"86";"16";"wieś";"stały";"Świetlica wiejska w Wójtowie, Wójtowo ul. Wierzbowa 1, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"922";"988";"187";"735";"0";"8";"0";"0";"0";"0";"0";"0";"0";"735";"0";"0";"735";"6";"2";"4";"0";"729";"13";"85";"269";"362"
"3d0d-a99a-4c29-7633-90ac-4718-3ea3-44ce";"281401";"86";"17";"wieś";"stały";"Świetlica wiejska w Ruszajnach, Ruszajny 34, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"600";"657";"262";"338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"338";"0";"0";"338";"11";"7";"4";"0";"327";"6";"62";"91";"168"
"58ab-ab31-dc56-fa1e-c5eb-9770-2c57-4dee";"281401";"86";"18";"wieś";"stały";"Szkoła Podstawowa w Bartołtach Wielkich, Bartołty Wielkie 5, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"369";"416";"207";"162";"0";"4";"0";"0";"0";"0";"0";"0";"0";"162";"0";"0";"162";"3";"1";"2";"0";"159";"6";"27";"36";"90"
"39a2-61eb-d490-4a6a-93eb-e650-9e4d-f72c";"281401";"86";"19";"wieś";"stały";"Świetlica wiejska w Jedzbarku, Jedzbark 64, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"490";"540";"302";"188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"188";"0";"0";"188";"5";"0";"5";"0";"183";"13";"31";"40";"99"
"a5dd-7607-0f4a-4c55-d127-6f35-8560-3d30";"281401";"86";"20";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Kraszewskiego 17, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"131";"133";"100";"31";"0";"1";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"8";"0";"8";"0";"23";"4";"4";"4";"11"
"0c2d-bd1e-2af3-c433-8320-b027-86a2-fa3b";"281401";"86";"21";"miasto";"zakład karny";"Zakład Karny w Barczewie, ul. Klasztorna 7, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"761";"671";"417";"344";"0";"0";"0";"0";"0";"0";"0";"0";"0";"344";"0";"0";"344";"9";"1";"8";"0";"335";"24";"38";"153";"120"
"b924-d2be-031b-7dfa-3ce6-c6cf-afd4-4a27";"281401";"86";"22";"miasto";"zakład leczniczy";"Maltańskie Centrum Pomocy pw. bł. Gerarda Fundacji Polskich Kawalerów Maltańskich w Warszawie „Pomoc Maltańska” Oddział w Barczewie, ul. Niepodległości 9, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"69";"48";"63";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"6";"0";"0";"0";"0";"6";"1";"0";"1";"4"
"5dac-33fd-7059-8940-0107-c641-d14b-84bd";"281402";"86";"1";"miasto";"stały";"Centrum Kultury, Turystyki i Sportu w Biskupcu (sala 103), ul. Jana Matejki 5, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"838";"898";"298";"540";"0";"1";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"8";"0";"8";"0";"532";"7";"69";"118";"338"
"8e24-af21-8731-c9cb-def4-c0e3-d1f1-0945";"281402";"86";"2";"miasto";"stały";"Centrum Kultury, Turystyki i Sportu w Biskupcu (sala 104), ul. Jana Matejki 5, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"962";"1025";"379";"583";"2";"3";"1";"1";"0";"0";"0";"0";"1";"584";"1";"0";"584";"5";"1";"4";"0";"579";"18";"74";"145";"342"
"a407-1f5d-7523-4cc6-a6af-09e2-49a9-26d4";"281402";"86";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Biskupcu (sala nr 1), ul. Bolesława Chrobrego 15, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"990";"1077";"406";"585";"0";"11";"0";"0";"0";"0";"0";"0";"0";"584";"0";"0";"584";"14";"0";"14";"0";"570";"11";"79";"140";"340"
"2ca7-8aea-312b-dd3b-ad4d-4a15-6bcc-c8b2";"281402";"86";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Biskupcu (sala nr 16), ul. Adama Mickiewicza 8, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"750";"810";"298";"452";"1";"4";"0";"0";"0";"0";"0";"0";"0";"452";"0";"0";"452";"7";"1";"6";"0";"445";"9";"40";"104";"292"
"2f0c-7b14-c5e2-fc42-54bd-6495-5cf7-ad91";"281402";"86";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2 (sala nr 18), ul. Adama Mickiewicza 8, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"982";"1050";"390";"592";"0";"1";"1";"1";"0";"0";"0";"0";"1";"593";"1";"0";"593";"21";"3";"18";"0";"572";"21";"52";"143";"356"
"be4e-5e16-9134-9024-ddd1-bead-8441-f417";"281402";"86";"6";"miasto";"stały";"Szkoła Podstawowa Nr 2 (sala nr 15), ul. Adama Mickiewicza 8, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"730";"773";"282";"448";"3";"1";"0";"0";"0";"0";"0";"0";"0";"448";"0";"0";"448";"15";"5";"10";"0";"433";"6";"54";"91";"282"
"9f1b-b971-229b-41fb-93ed-4050-90db-2601";"281402";"86";"7";"miasto";"stały";"Niepubliczna Szkoła Podstawowa im. Janusza Korczaka w Biskupcu (sala nr 10), ul. Ludowa 5, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"1182";"1293";"412";"770";"1";"1";"0";"0";"0";"0";"0";"0";"0";"770";"0";"0";"770";"10";"3";"7";"0";"760";"25";"76";"196";"463"
"dcbf-2641-efb1-3d2e-deb3-f3fb-4c2c-914f";"281402";"86";"8";"miasto";"stały";"Niepubliczna Szkoła Podstawowa im. Janusza Korczaka w Biskupcu (sala nr 12), ul. Ludowa 5, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"1031";"1119";"324";"707";"2";"7";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"11";"2";"9";"0";"696";"17";"75";"154";"450"
"32e4-2a96-1f64-4966-528e-7822-e2c0-3fb5";"281402";"86";"9";"wieś";"stały";"Szkoła Podstawowa Nr 3 (sala nr 2), ul. Bolesława Chrobrego 15, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"851";"904";"459";"392";"0";"0";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"12";"2";"10";"0";"380";"10";"45";"74";"251"
"bae8-ef0d-e752-7653-d9a1-ade4-5f59-f00f";"281402";"86";"10";"wieś";"stały";"Szkoła Podstawowa w Czerwonce, Czerwonka 15, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"960";"1023";"491";"469";"0";"0";"0";"0";"0";"0";"0";"0";"0";"469";"0";"0";"469";"15";"1";"14";"0";"454";"16";"67";"86";"285"
"b5ca-22df-e31b-c404-579f-4617-30a6-da9f";"281402";"86";"11";"wieś";"stały";"Świetlica wiejska Biesowo, Biesowo 26, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"280";"300";"124";"156";"0";"4";"0";"0";"0";"0";"0";"0";"0";"156";"0";"0";"156";"7";"2";"5";"0";"149";"4";"28";"28";"89"
"340e-b50f-0441-882a-565e-e04b-f035-5f8d";"281402";"86";"12";"wieś";"stały";"Świetlica wiejska Stryjewo, Stryjewo 28A, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"562";"608";"299";"263";"1";"0";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"5";"2";"3";"0";"258";"8";"63";"45";"142"
"0308-8886-4bf7-319b-e6e9-ba1d-f376-270f";"281402";"86";"13";"wieś";"stały";"Społeczna Szkoła Podstawowa Bredynki, Bredynki 24, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"591";"635";"337";"254";"0";"0";"0";"0";"0";"0";"0";"0";"0";"254";"0";"0";"254";"9";"0";"9";"0";"245";"9";"50";"39";"147"
"72e7-94b3-cf03-fb69-10a3-87b1-93ef-8976";"281402";"86";"14";"wieś";"stały";"Szkoła Podstawowa Nr 3 (sala nr 8), ul. Bolesława Chrobrego 15, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"290";"299";"170";"120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"120";"0";"0";"120";"0";"0";"0";"0";"120";"7";"21";"16";"76"
"eeda-881e-8c4c-6ae8-8862-aa48-8111-3c6c";"281402";"86";"15";"wieś";"stały";"Świetlica wiejska Borki Wielkie, Borki Wielkie 37, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"440";"488";"234";"206";"0";"1";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"8";"0";"8";"0";"198";"10";"32";"36";"120"
"3fad-73f1-a272-c899-a8d1-54b7-1bc4-d1cf";"281402";"86";"16";"wieś";"stały";"Świetlica wiejska Kobułty, Kobułty 82, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"542";"591";"311";"231";"0";"2";"0";"0";"0";"0";"0";"0";"0";"231";"0";"0";"231";"4";"0";"4";"0";"227";"11";"52";"33";"131"
"6710-5127-1b5c-4697-926a-5978-71a0-07cb";"281402";"86";"17";"wieś";"stały";"Świetlica wiejska Parleza Wielka, Parleza Wielka 38, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"311";"336";"177";"134";"0";"0";"0";"0";"0";"0";"0";"0";"0";"134";"0";"0";"134";"3";"0";"3";"0";"131";"8";"25";"16";"82"
"cb76-6b29-d0ac-1927-ede2-4ee5-faab-ef25";"281402";"86";"18";"wieś";"stały";"Świetlica wiejska Dymer, Dymer 8, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"440";"484";"251";"189";"1";"1";"0";"0";"0";"0";"0";"0";"0";"189";"0";"0";"189";"8";"1";"7";"0";"181";"14";"25";"25";"117"
"8ea0-e4a3-115b-82fa-171d-33bc-a23f-69cd";"281402";"86";"19";"wieś";"stały";"Świetlica wiejska Rzeck, Rzeck 79, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"760";"826";"495";"265";"0";"4";"0";"0";"0";"0";"0";"0";"0";"265";"0";"0";"265";"16";"2";"14";"0";"249";"22";"49";"32";"146"
"ed1f-5844-b409-8ceb-1a34-0b0c-3e36-95e1";"281402";"86";"20";"miasto";"zakład leczniczy";"Szpital Powiatowy im. Jana Mikulicza w Biskupcu, ul. Armii Krajowej 8, 11-300 Biskupiec";"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";"99";"62";"48";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"51";"0";"0";"51";"1";"0";"1";"0";"50";"2";"7";"12";"29"
"0cce-b8dc-b632-ea4d-188c-e7ab-4ee7-563e";"281403";"86";"1";"miasto";"stały";"Remiza Ochotniczej Straży Pożarnej w Dobrym Mieście, ul. Gen. T. Kościuszki 2D, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"740";"803";"272";"468";"0";"1";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"10";"4";"6";"0";"458";"25";"61";"107";"265"
"f2e3-6753-14f9-a915-17da-1bc7-7a5b-39dd";"281403";"86";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Dobrym Mieście, ul. Garnizonowa 20, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"1210";"1319";"413";"797";"0";"0";"0";"0";"0";"0";"0";"0";"0";"798";"0";"0";"798";"18";"4";"14";"0";"780";"32";"86";"233";"429"
"052e-8edc-53c7-f6de-5d2e-ccdd-d50c-472f";"281403";"86";"3";"miasto";"stały";"Centrum Kulturalno-Biblioteczne w Dobrym Mieście, ul. Górna 1a, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"1340";"1440";"628";"712";"0";"6";"0";"0";"0";"0";"0";"0";"0";"712";"0";"0";"712";"13";"3";"10";"0";"699";"11";"84";"161";"443"
"dfd7-4eda-b86d-f2d1-0805-0114-2bcf-61c5";"281403";"86";"4";"miasto";"stały";"Zespół Szkół w Dobrym Mieście, ul. Fabryczna 6, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"783";"844";"335";"448";"0";"0";"0";"0";"0";"0";"0";"0";"0";"448";"0";"0";"448";"10";"3";"7";"0";"438";"18";"81";"98";"241"
"3b95-6527-707f-8fc8-18f0-fb08-a82f-ac4d";"281403";"86";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Dobrym Mieście, ul. Gdańska 13, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"1541";"1651";"642";"899";"0";"5";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"25";"1";"24";"0";"874";"30";"127";"184";"533"
"7e03-5b8b-7157-93d1-04f5-d7c8-77fa-74e7";"281403";"86";"6";"miasto";"stały";"Przedszkole Samorządowe Nr 1 w Dobrym Mieście, ul. Warszawska 7A, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"1685";"1830";"613";"1072";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1071";"0";"0";"1071";"31";"2";"29";"0";"1040";"30";"168";"287";"555"
"6caf-51eb-9a04-1193-0e41-4b92-2a65-4414";"281403";"86";"7";"wieś";"stały";"Szkoła Podstawowa w Barcikowie, Barcikowo 12a, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"480";"537";"222";"258";"0";"0";"0";"0";"0";"0";"0";"0";"0";"258";"0";"0";"258";"9";"4";"5";"0";"249";"12";"34";"65";"138"
"31f9-0e4e-45ee-6d57-f8d6-ef10-6a71-533b";"281403";"86";"8";"wieś";"stały";"Świetlica wiejska, Cerkiewnik 16, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"420";"461";"161";"259";"0";"5";"0";"0";"0";"0";"0";"0";"0";"259";"0";"0";"259";"8";"0";"8";"0";"251";"9";"40";"55";"147"
"5ba9-5281-8e2c-c59d-9569-1db4-8b17-d838";"281403";"86";"9";"wieś";"stały";"Świetlica wiejska, Głotowo 44b, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"351";"379";"155";"196";"1";"1";"0";"0";"0";"0";"0";"0";"0";"196";"0";"0";"196";"2";"1";"1";"0";"194";"8";"38";"20";"128"
"5ea1-1d8e-5c87-2aa1-b5c4-734c-3cb9-e20d";"281403";"86";"10";"wieś";"stały";"Świetlica wiejska, Knopin 39, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"309";"345";"130";"179";"0";"2";"0";"0";"0";"0";"0";"0";"0";"179";"0";"0";"179";"8";"2";"6";"0";"171";"6";"28";"36";"101"
"6478-0ebc-5f52-8c42-77e4-0950-4228-ac6b";"281403";"86";"11";"wieś";"stały";"Świetlica wiejska, Łęgno 18, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"491";"535";"221";"270";"1";"0";"0";"0";"0";"0";"0";"0";"0";"270";"0";"0";"270";"3";"1";"2";"0";"267";"11";"48";"54";"154"
"3918-0f26-fe02-a8fb-4862-b9b6-79d1-9b6e";"281403";"86";"12";"wieś";"stały";"Świetlica wiejska, Praslity 16A, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"292";"322";"176";"116";"0";"0";"0";"0";"0";"0";"0";"0";"0";"116";"0";"0";"116";"5";"1";"4";"0";"111";"5";"16";"25";"65"
"b015-f413-a9e7-a6d6-8aab-3707-b429-bdb8";"281403";"86";"13";"wieś";"stały";"Środowiskowy Dom Samopomocy w Piotraszewie, Piotraszewo 7, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"310";"346";"185";"125";"0";"2";"0";"0";"0";"0";"0";"0";"0";"125";"0";"0";"125";"1";"0";"1";"0";"124";"4";"21";"16";"83"
"4163-499a-a0e9-e28c-cc33-646d-f532-f6d7";"281403";"86";"14";"wieś";"stały";"Świetlica wiejska, Smolajny 4, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"480";"516";"183";"297";"0";"0";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"8";"0";"8";"0";"289";"10";"39";"56";"184"
"e8ef-1ff5-f21b-1605-3de3-4cc7-ff3f-7657";"281403";"86";"15";"wieś";"stały";"Szkoła Filialna w Orzechowie, Orzechowo 26, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"370";"409";"212";"158";"0";"2";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"3";"0";"3";"0";"155";"8";"17";"29";"101"
"b293-f6eb-784e-fbcc-0c49-a56d-ab6c-5cf6";"281403";"86";"16";"wieś";"stały";"Świetlica wiejska, Jesionowo 1D, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"510";"559";"275";"235";"0";"1";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"4";"0";"4";"0";"231";"11";"56";"35";"129"
"5c82-a277-ef36-de1b-508a-dd44-acef-44e0";"281403";"86";"17";"miasto";"zakład leczniczy";"Zespół Zakładów Opieki Zdrowotnej w Dobrym Mieście, ul. Grunwaldzka 10 B, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"89";"68";"88";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"9ef1-1d93-aa4e-f3ae-ea2b-4659-2527-6553";"281403";"86";"18";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Dobrym Mieście, ul. Łużycka 73, 11-040 Dobre Miasto";"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";"16";"15";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"8";"0";"0";"0";"0";"8";"2";"4";"0";"2"
"d042-9fbd-3c63-dfeb-c3c1-4fa6-983f-c5c5";"281404";"86";"1";"wieś";"stały";"Urząd Gminy Dywity segment C Wejście do Sali Urzędu Stanu Cywilnego od strony parkingu Urzędu Gminy (Sala USC), ul. Olsztyńska 32, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"1298";"1453";"330";"968";"0";"15";"0";"0";"0";"0";"0";"0";"0";"968";"0";"0";"968";"4";"3";"1";"0";"964";"28";"92";"293";"551"
"b351-9800-4087-abcb-7f0a-c118-dbb4-77b8";"281404";"86";"2";"wieś";"stały";"Urząd Gminy Dywity segment C Wejście od strony Targowiska Wiejskiego Stodoła (Sala konferencyjna), ul. Olsztyńska 32, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"1278";"1456";"282";"996";"0";"7";"0";"0";"0";"0";"0";"0";"0";"995";"0";"0";"995";"11";"6";"5";"0";"984";"24";"90";"341";"529"
"1973-df6c-2a0d-ebf5-cd67-d18d-509b-82ba";"281404";"86";"3";"wieś";"stały";"Świetlica Wiejska w Spręcowie, Spręcowo 106, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"890";"998";"345";"545";"1";"3";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"19";"6";"13";"0";"526";"22";"49";"139";"316"
"f2cd-3ac8-b2ea-088d-368b-8a8d-5d43-e596";"281404";"86";"4";"wieś";"stały";"Szkoła Podstawowa w Tuławkach, Tuławki 31, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"657";"735";"243";"414";"0";"3";"0";"0";"0";"0";"0";"0";"0";"414";"0";"0";"414";"7";"0";"7";"0";"407";"10";"56";"91";"250"
"71bf-1f1b-0c46-6500-650d-7757-13d1-2240";"281404";"86";"5";"wieś";"stały";"Świetlica wiejska w Gradkach, Gradki 32b, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"491";"545";"243";"248";"0";"1";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"5";"0";"5";"0";"243";"6";"27";"42";"168"
"cfcf-d375-0fa1-789e-9d74-f4dc-c5a1-471d";"281404";"86";"6";"wieś";"stały";"Świetlica Wiejska w Barkwedzie, Barkweda 14, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"702";"778";"319";"383";"0";"3";"0";"0";"0";"0";"0";"0";"0";"383";"0";"0";"383";"7";"0";"7";"0";"376";"16";"39";"86";"235"
"d212-522b-b38e-65a7-4122-1263-e7d1-74e5";"281404";"86";"7";"wieś";"stały";"Świetlica Wiejska w Słupach, Słupy 44, 10-381 Olsztyn";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"580";"647";"182";"398";"1";"3";"0";"0";"0";"0";"0";"0";"0";"398";"0";"0";"398";"7";"2";"5";"0";"391";"7";"43";"89";"252"
"9990-7168-aa54-0674-65e4-2eb5-6bae-212f";"281404";"86";"8";"wieś";"stały";"Świetlica wiejska w Kieźlinach, Kieźliny ul. Ks. Jakuba Jagałły 3a, 10-371 Olsztyn";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"1418";"1585";"350";"1068";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1068";"0";"0";"1068";"20";"3";"17";"0";"1048";"22";"115";"359";"552"
"a705-4b4f-900a-d03f-e881-2d68-3564-7dd0";"281404";"86";"9";"wieś";"stały";"Świetlica wiejska w Różnowie, Różnowo 17, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"1028";"1144";"276";"752";"0";"6";"0";"0";"0";"0";"0";"0";"0";"752";"0";"0";"752";"3";"2";"1";"0";"749";"13";"85";"260";"391"
"68a5-8f0d-3f59-53d8-1841-4ea3-8ab8-3143";"281404";"86";"10";"wieś";"dom pomocy społecznej";"Dom Opieki Społecznej ""Dom Nad Doliną"" w Różnowie, Różnowo 70A, 11-001 Dywity";"gm. Dywity";"olsztyński";"warmińsko-mazurskie";"60";"75";"34";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"3";"0";"3";"0";"23";"3";"6";"4";"10"
"4052-6a75-7a8d-5d63-9507-53c9-99d1-d70c";"281405";"86";"1";"wieś";"stały";"Świetlica wiejska ""Pod Lipą"" w Gronitach, Gronity ul. Olsztyńska 21, 11-036 Gietrzwałd";"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";"948";"1038";"228";"720";"0";"6";"1";"1";"0";"0";"0";"0";"1";"721";"1";"0";"721";"13";"2";"11";"0";"708";"8";"49";"284";"367"
"1604-fad2-aebc-4c56-27f9-adcf-d68e-fceb";"281405";"86";"2";"wieś";"stały";"Szkoła Podstawowa w Sząbruku, Sząbruk ul. Samulowskiego 1, 11-036 Gietrzwałd";"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";"732";"824";"225";"507";"0";"12";"0";"0";"0";"0";"0";"0";"0";"507";"0";"0";"507";"5";"1";"4";"0";"502";"12";"57";"143";"290"
"1015-ff20-f30f-d485-ff93-40d9-fdd5-a647";"281405";"86";"3";"wieś";"stały";"Świetlica wiejska w Unieszewie, Unieszewo ul. Lipowa 2, 11-036 Gietrzwałd";"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";"629";"695";"259";"370";"0";"2";"0";"0";"0";"0";"0";"0";"0";"370";"0";"0";"370";"3";"2";"1";"0";"367";"8";"28";"93";"238"
"2e31-926e-40cf-26f5-fb93-e4c4-6343-8bcf";"281405";"86";"4";"wieś";"stały";"Gietrzwałdzki Ośrodek Kultury w Gietrzwałdzie, ul. Kościelna 1, 11-036 Gietrzwałd";"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";"1267";"1439";"369";"898";"0";"42";"0";"0";"0";"0";"0";"0";"0";"898";"0";"3";"895";"17";"5";"12";"0";"878";"26";"95";"213";"544"
"2e99-b357-d762-5b27-03a9-077e-67ea-bd8f";"281405";"86";"5";"wieś";"stały";"Szkoła Podstawowa w Biesalu, Biesal 59, 11-036 Gietrzwałd";"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";"1040";"1165";"546";"494";"1";"2";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"11";"1";"10";"0";"484";"19";"81";"121";"263"
