"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek Henryk BUBEL";"Andrzej MACIEJEWSKI";"Jarosław Marek SŁOMA";"Lidia Ewa STAROŃ"
"7331-924c-b8d3-8e90-d5aa-216a-8b2d-4280";"281103";"86";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Kozłowie sala 4A parter, ul. Szkolna 6, 13-124 Kozłowo";"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";"821";"887";"377";"444";"1";"4";"0";"0";"0";"0";"0";"0";"0";"444";"0";"0";"444";"4";"0";"4";"0";"440";"15";"75";"71";"279"
"ac67-30ef-610c-0c88-2147-7482-b68b-618e";"281103";"86";"3";"wieś";"stały";"Szkoła Podstawowa w Zaborowie, Zaborowo 2, 13-124 Kozłowo";"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";"719";"783";"442";"277";"1";"0";"0";"0";"0";"0";"0";"0";"0";"277";"0";"0";"277";"7";"1";"6";"0";"270";"20";"38";"20";"192"
"7ea3-8223-1f97-e052-9a87-3303-4224-8f9e";"281103";"86";"4";"wieś";"stały";"Świetlica wiejska w Krokowie, Krokowo 30A, 13-124 Kozłowo";"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";"330";"358";"198";"132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"132";"0";"0";"132";"1";"0";"1";"0";"131";"4";"16";"6";"105"
"508a-b9c8-c09e-148f-2ab0-e057-0590-e03a";"281103";"86";"5";"wieś";"stały";"Szkoła Podstawowa w Szkotowie, Szkotowo 51, 13-124 Kozłowo";"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";"1010";"1118";"667";"343";"0";"3";"0";"0";"0";"0";"0";"0";"0";"343";"0";"0";"343";"16";"2";"14";"0";"327";"18";"37";"58";"214"
"12ed-3928-7e23-18a9-ecc8-5fcd-3554-b638";"281103";"86";"6";"wieś";"stały";"Szkoła Podstawowa w Rogożu, Rogóż 4, 13-124 Kozłowo";"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";"781";"844";"448";"333";"0";"2";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"16";"2";"14";"0";"317";"26";"82";"33";"176"
"ca2b-13f4-10a6-9788-92c5-d13e-37bf-8b9f";"281104";"86";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi im. Michała Kajki w Nidzicy, ul. Barke 3, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1910";"2059";"756";"1154";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1154";"0";"0";"1154";"23";"19";"4";"0";"1131";"33";"94";"198";"806"
"72a7-2a7f-881f-55d4-bd1c-69de-9d46-abcd";"281104";"86";"2";"miasto";"stały";"Przedszkole Nr 4 „KRAINA ODKRYWCÓW” w Nidzicy, ul. Krzywa 7, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"809";"883";"315";"494";"0";"3";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"14";"1";"13";"0";"480";"14";"56";"81";"329"
"e80c-1e16-3865-0e95-c848-9fb0-1023-600d";"281104";"86";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika w Nidzicy, ul. Kopernika 1, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1380";"1490";"553";"827";"4";"3";"0";"0";"0";"0";"0";"0";"0";"827";"0";"0";"827";"16";"2";"14";"0";"811";"19";"82";"112";"598"
"9eb3-e634-d752-d453-6169-9cf4-3de4-bca6";"281104";"86";"4";"miasto";"stały";"Zespół Szkół Ogólnokształcących w Nidzicy, ul. Władysława Jagiełły 1, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1488";"1616";"552";"936";"2";"5";"0";"0";"0";"0";"0";"0";"0";"936";"0";"0";"936";"13";"1";"12";"0";"923";"17";"109";"133";"664"
"04aa-36d3-44c4-688d-85e6-058c-1f1d-ccfb";"281104";"86";"5";"miasto";"stały";"Zespół Szkół Zawodowych i Ogólnokształcących im. Stanisława Staszica w Nidzicy, ul. Władysława Jagiełły 3, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1310";"1402";"552";"758";"2";"1";"0";"0";"0";"0";"0";"0";"0";"758";"0";"0";"758";"14";"0";"14";"0";"744";"16";"80";"119";"529"
