"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Henryk KIERZKOWSKI";"Józef Marian LEWANDOWSKI";"Jerzy Jan WENDERLICH";"Łukasz ZBONIKOWSKI";"Józef Mikołaj ŁYCZAK";"Liczba obwodów"
"040100";"aleksandrowski";"kujawsko-pomorskie";41056;46311;14678;26379;34;2285;3;3;0;0;0;0;3;26374;3;0;26374;460;132;328;0;25914;1448;1636;9266;2190;11374;56
"040800";"lipnowski";"kujawsko-pomorskie";46601;51622;21266;25334;53;99;0;0;0;0;0;0;0;25334;0;0;25334;645;176;469;0;24689;1719;1466;8215;2138;11151;68
"041100";"radziejowski";"kujawsko-pomorskie";30149;33084;13208;16941;51;97;3;3;0;0;0;0;3;16939;3;0;16939;381;106;275;0;16558;1139;1016;4467;1539;8397;51
"041800";"włocławski";"kujawsko-pomorskie";62560;69187;27770;34790;56;505;1;1;0;0;0;0;1;34789;1;0;34789;754;222;532;0;34035;3600;2110;10060;3582;14683;80
"046400";"Włocławek";"kujawsko-pomorskie";79231;85539;29094;50137;78;268;12;12;0;0;0;0;12;50148;12;1;50147;878;322;556;0;49269;3626;3656;23266;3894;14827;68
