"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Andrzej PĘCHERZ";"Andrzej Franciszek WOJTYŁA"
"2b96-e140-38d7-0d95-ca85-3caf-738c-5c79";"300601";"96";"1";"wieś";"stały";"Świetlica wiejska, Cerekwica Stara 48, 63-233 Jaraczewo";"gm. Jaraczewo";"jarociński";"wielkopolskie";"490";"540";"182";"308";"0";"0";"0";"0";"0";"0";"0";"0";"0";"308";"0";"0";"308";"16";"1";"15";"0";"292";"111";"181"
"6b70-1d47-d8db-40f0-3f56-7e56-cbeb-26ad";"300601";"96";"2";"wieś";"stały";"Szkoła Podstawowa, Góra ul. Jarocińska 6, 63-233 Jaraczewo";"gm. Jaraczewo";"jarociński";"wielkopolskie";"1709";"1884";"524";"1185";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1185";"0";"0";"1185";"34";"10";"24";"0";"1151";"378";"773"
"bc4f-3d4a-3ea0-ac29-0f8e-5db2-fb6b-5795";"300601";"96";"3";"miasto";"stały";"Urząd Miasta i Gminy, ul. Jarocińska 1, 63-233 Jaraczewo";"gm. Jaraczewo";"jarociński";"wielkopolskie";"1380";"1503";"526";"854";"2";"1";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"48";"13";"35";"0";"805";"333";"472"
"b9d6-2ee2-6b93-fcdc-9386-29be-c2e0-d9d4";"300601";"96";"4";"wieś";"stały";"Szkoła Podstawowa, Nosków ul. Szkolna 28, 63-233 Jaraczewo";"gm. Jaraczewo";"jarociński";"wielkopolskie";"700";"769";"229";"471";"1";"4";"0";"0";"0";"0";"0";"0";"0";"471";"0";"0";"471";"29";"6";"23";"0";"442";"164";"278"
"653a-1264-0f5a-16ce-0bcd-8e6a-bb2b-86f6";"300601";"96";"5";"wieś";"stały";"Zespół Szkół, Rusko ul. Szkolna 29, 63-233 Jaraczewo";"gm. Jaraczewo";"jarociński";"wielkopolskie";"1000";"1101";"430";"570";"0";"0";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"27";"3";"24";"0";"543";"214";"329"
"8b62-1a02-c0f3-b711-8da7-8203-8369-2cc5";"300601";"96";"6";"wieś";"stały";"Świetlica wiejska, Wojciechowo 11a, 63-233 Jaraczewo";"gm. Jaraczewo";"jarociński";"wielkopolskie";"490";"529";"180";"310";"1";"0";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"7";"1";"6";"0";"303";"123";"180"
"c3c2-d924-1b75-d4e5-28f0-bf7d-13ca-787f";"300602";"96";"1";"wieś";"stały";"Szkoła Podstawowa, Cielcza ul. Szkolna 16, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1650";"1814";"612";"1038";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"49";"8";"41";"0";"989";"466";"523"
"4c3d-4796-adb5-5ae7-d188-a72e-bc17-8e03";"300602";"96";"2";"wieś";"stały";"Szkoła Podstawowa, Golina ul. Jarocińska 32, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"2110";"2314";"798";"1312";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1312";"0";"0";"1312";"57";"15";"42";"0";"1255";"627";"628"
"ddc4-561f-7174-f3b3-76e6-3c88-cf2f-1ebc";"300602";"96";"3";"wieś";"stały";"Publiczne Przedszkole, Mieszków ul. Dworcowa 10c, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1980";"2168";"740";"1240";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1239";"0";"0";"1239";"33";"5";"28";"0";"1206";"461";"745"
"e346-ac85-3a48-c793-96c4-5533-dbad-ebfb";"300602";"96";"4";"wieś";"stały";"Niepubliczna Szkoła Podstawowa, Siedlemin ul. Główna 36, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1910";"2105";"802";"1108";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1107";"0";"0";"1107";"30";"6";"24";"0";"1077";"459";"618"
"54ec-b6a0-11e8-1bf4-efc0-3f4c-2b54-88d1";"300602";"96";"5";"wieś";"stały";"Niepubliczna Szkoła Podstawowa, Wilkowyja ul. Powstańców Wielkopolskich 41, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"2740";"3014";"1123";"1617";"0";"5";"1";"1";"0";"0";"0";"0";"1";"1618";"1";"0";"1618";"52";"14";"38";"0";"1566";"670";"896"
"8bf5-cba4-ee3d-c008-2311-18be-3bd0-9e96";"300602";"96";"6";"wieś";"stały";"Zespół Szkół, ul. Szkolna 1a, 63-230 Witaszyce";"gm. Jarocin";"jarociński";"wielkopolskie";"1640";"1771";"561";"1079";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1079";"0";"0";"1079";"52";"6";"46";"0";"1027";"490";"537"
"520a-b500-6390-781d-f303-25c7-6b50-e5ee";"300602";"96";"7";"wieś";"stały";"Zespół Szkół, Szkolna 1a, 63-230 Witaszyce";"gm. Jarocin";"jarociński";"wielkopolskie";"1759";"1912";"698";"1061";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1061";"0";"0";"1061";"64";"14";"50";"0";"997";"503";"494"
"e207-26ae-d6cc-391a-17f6-44d9-a2af-2056";"300602";"96";"8";"miasto";"stały";"Ratusz, ul. Rynek 1, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"2551";"2740";"840";"1711";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1711";"0";"0";"1711";"70";"14";"56";"0";"1641";"977";"664"
