"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Tomasz Piotr NOWAK - nr na liście 1";"Miłosława Dorota STĘPIEŃ - nr na liście 2";"Paulina HENNIG-KLOSKA - nr na liście 3";"Artur Piotr MOKRACKI - nr na liście 4";"Ireneusz NIEWIAROWSKI - nr na liście 5";"Grzegorz Józef CIESIELSKI - nr na liście 6";"Andrzej SZURGOT - nr na liście 7";"Barbara KUBIAK - nr na liście 8";"Piotr GAŁAN - nr na liście 9";"Hieronim Michał URBANEK - nr na liście 10";"Danuta WINIARSKA - nr na liście 11";"Inez Magdalena NISZCZAK - nr na liście 12";"Piotr KUBISIAK - nr na liście 13";"Alicja Teresa MAREK - nr na liście 14";"Stefan Julian ŚMIGASZEWSKI - nr na liście 15";"Żanetta Magdalena MATLEWSKA - nr na liście 16";"Mariola BUDZIŃSKA - nr na liście 17";"Dariusz Józef PILAK - nr na liście 18";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"Zdzisław Kazimierz JANKOWSKI - nr na liście 1";"Eugeniusz MACIEJEWSKI - nr na liście 2";"Mirosław Sławomir PATERKIEWICZ - nr na liście 3";"Julia URBANOWSKA - nr na liście 4";"Mariola Ewa KRENZ - nr na liście 5";"Milena CIESIELSKA - nr na liście 6";"Andrzej RUSIN - nr na liście 7";"Danuta MISIAK - nr na liście 8";"Mieczysław Piotr GÓRA - nr na liście 9";"Piotr ŚWIĄTEK - nr na liście 10";"Urszula Halina KURCZEWSKA - nr na liście 11";"Agnieszka Joanna DOROSZUK - nr na liście 12";"Tomasz HYBIAK - nr na liście 13";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Anna Mirosława BRYŁKA - nr na liście 1";"Maciej JÓŹWIAK - nr na liście 2";"Eryk KORZENIEWSKI - nr na liście 3";"Paweł Rafał RUSIN - nr na liście 4";"Przemysław Tomasz GRONEK - nr na liście 5";"Łukasz JANKOWIAK - nr na liście 6";"Karolina Zofia WIŚNIEWSKA - nr na liście 7";"Andrzej Zbigniew SMOLAREK - nr na liście 8";"Kinga WIŚNIEWSKA - nr na liście 9";"Jolanta Elżbieta NOWICKA - nr na liście 10";"Monika PODOLSKA - nr na liście 11";"Katarzyna Antonina SADZISZ - nr na liście 12";"Izabela GŁOWACKA - nr na liście 13";"Jakub Michał RAKOWSKI - nr na liście 14";"Mirosław Eugeniusz STRZELECKI - nr na liście 15";"Anna PINIŃSKA - nr na liście 16";"Jakub Michał TALENT-DOMINIAK - nr na liście 17";"Wojciech Maciej ZIĘTKOWSKI - nr na liście 18";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Jacek Jerzy TOMCZAK - nr na liście 1";"Anna MAJDA - nr na liście 2";"Mirosława Katarzyna KAŹMIERCZAK - nr na liście 3";"Władysław KOCAJ - nr na liście 4";"Marek Stanisław TOMICKI - nr na liście 5";"Piotr ŁYKOWSKI - nr na liście 6";"Teodor STĘPA - nr na liście 7";"Marek Kazimierz WESOŁOWSKI - nr na liście 8";"Michał PYRZYK - nr na liście 9";"Paweł Jerzy GUZIK - nr na liście 10";"Barbara ZIELIŃSKA - nr na liście 11";"Izabela STAJKOWSKA - nr na liście 12";"Urszula Barbara REMISZ - nr na liście 13";"Krzysztof Grzegorz CZAJKOWSKI - nr na liście 14";"Bożena Alina FRANKOWSKA - nr na liście 15";"Irena Elżbieta MACIEJEWSKA - nr na liście 16";"Bernard Marek BRZOSKI - nr na liście 17";"Jerzy Andrzej BERLIK - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Zbigniew Grzegorz HOFFMANN - nr na liście 1";"Witold Wojciech CZARNECKI - nr na liście 2";"Zbigniew DOLATA - nr na liście 3";"Ryszard BARTOSIK - nr na liście 4";"Leszek Ryszard GALEMBA - nr na liście 5";"Krzysztof Jan OSTROWSKI - nr na liście 6";"Marek Henryk WASZKOWIAK - nr na liście 7";"Robert Adam POPKOWSKI - nr na liście 8";"Anna WOŹNIAK - nr na liście 9";"Paweł WOJNA - nr na liście 10";"Anita Aldona SZYKOWNA - nr na liście 11";"Małgorzata WIŚNIEWSKA-ZABŁOCKA - nr na liście 12";"Emilia DERUCKA-KOŁATA - nr na liście 13";"Łukasz GRABOWSKI - nr na liście 14";"Małgorzata Marta CICHACKA - nr na liście 15";"Jacek Dariusz BARTKOWIAK - nr na liście 16";"Halina MUSIAŁEK - nr na liście 17";"Zofia Mariola ITMAN - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Paulina NOWAK - nr na liście 1";"Tadeusz TOMASZEWSKI - nr na liście 2";"Andrzej Jacek WNUK - nr na liście 3";"Ryszard Piotr NAWROCKI - nr na liście 4";"Robert GALĘBA - nr na liście 5";"Joanna Maria MACIEJEWSKA - nr na liście 6";"Paweł KLECZEWSKI - nr na liście 7";"Krystyna KUBICKA-SZTUL - nr na liście 8";"Jadwiga Elżbieta JARONIEWSKA - nr na liście 9";"Marek SIKORSKI - nr na liście 10";"Kacper PAROL - nr na liście 11";"Leszek Grzegorz STAWICKI - nr na liście 12";"Sylwia PRZYBYŁA - nr na liście 13";"Martyna BUNALSKA - nr na liście 14";"Paweł BARTKOWIAK - nr na liście 15";"Tomasz CZAPCZYK - nr na liście 16";"Anna BĄK - nr na liście 17";"Dariusz WILCZEWSKI - nr na liście 18";"Liczba obwodów"
"300902";"gmina wiejska";"gm. Babiak";"kolski";"wielkopolskie";5784;6327;2368;3416;0;24;0;0;0;0;0;0;0;3414;0;0;3414;73;49;24;0;3341;256;100;28;30;4;51;2;20;5;1;1;1;3;2;3;0;4;0;1;13;7;2;0;0;0;1;0;0;1;0;0;0;2;139;72;23;7;5;2;1;3;3;4;5;1;1;1;3;1;2;2;3;514;44;23;5;4;399;0;0;6;1;4;4;4;1;3;3;2;7;4;2079;517;186;27;72;938;41;8;90;51;16;11;27;6;22;5;4;34;24;340;77;21;5;6;200;5;2;3;6;1;3;2;4;0;0;0;4;1;5
"300903";"gmina wiejska";"gm. Chodów";"kolski";"wielkopolskie";2365;2578;1070;1295;0;8;0;0;0;0;0;0;0;1295;0;0;1295;33;27;6;0;1262;84;25;6;3;1;22;2;8;8;0;0;2;2;1;1;0;0;2;1;6;0;0;1;1;0;0;0;1;1;0;1;1;0;72;38;7;1;3;2;2;1;1;2;3;1;1;2;1;1;1;0;5;218;25;12;6;2;19;2;1;0;0;3;3;0;0;1;0;0;142;2;795;215;99;17;17;346;9;3;21;26;6;1;4;1;5;5;1;11;8;87;37;13;2;5;15;3;1;1;2;0;0;0;2;0;2;0;2;2;4
"300904";"gmina miejsko-wiejska";"gm. Dąbie";"kolski";"wielkopolskie";4680;5121;1855;2825;1;19;0;0;0;0;0;0;0;2825;0;0;2825;49;34;15;0;2776;238;87;16;35;9;33;2;41;5;4;0;1;2;0;0;1;0;1;1;14;4;3;0;1;0;3;0;1;0;1;1;0;0;125;55;11;8;16;7;3;4;3;1;2;2;2;2;2;1;2;1;3;228;65;52;12;1;69;1;2;1;0;5;1;2;2;4;0;6;1;4;1954;472;163;33;53;973;46;11;38;57;10;7;18;6;17;18;0;21;11;217;66;25;2;26;65;3;0;5;4;5;0;0;7;1;0;0;2;6;5
"300905";"gmina wiejska";"gm. Grzegorzew";"kolski";"wielkopolskie";4114;4516;1607;2507;5;6;0;0;0;0;0;0;0;2507;0;0;2507;43;28;15;0;2464;308;74;22;49;4;74;6;56;4;3;0;2;3;2;5;0;0;4;0;9;3;2;2;1;0;0;0;0;0;0;1;0;0;123;52;12;4;13;3;9;5;6;6;5;2;1;1;1;0;0;0;3;222;54;56;8;2;58;3;3;1;2;3;5;2;2;6;1;2;12;2;1605;431;123;25;62;735;22;8;42;52;10;12;9;2;4;8;12;32;16;197;59;23;5;5;71;3;2;7;3;1;1;1;1;2;2;0;7;4;5
"300906";"gmina miejsko-wiejska";"gm. Kłodawa";"kolski";"wielkopolskie";9318;10214;3876;5442;4;14;0;0;0;0;0;0;0;5440;0;0;5440;104;80;24;0;5336;878;170;25;42;4;547;6;41;13;6;1;4;4;4;3;1;0;4;3;18;4;1;2;4;0;5;0;0;0;2;0;0;0;310;205;19;6;17;6;12;7;12;7;3;2;2;0;3;0;4;0;5;420;128;111;7;2;61;7;3;5;8;2;20;3;2;4;5;4;46;2;3103;907;302;48;58;1333;65;17;96;56;9;9;15;4;18;16;7;47;96;607;154;41;11;8;220;10;2;6;127;5;6;0;2;0;2;3;8;2;11
"300907";"gmina wiejska";"gm. Koło";"kolski";"wielkopolskie";5567;5971;2047;3520;2;11;0;0;0;0;0;0;0;3520;0;0;3520;33;16;17;0;3487;585;106;14;97;5;52;3;281;6;1;1;4;4;2;4;0;0;4;1;12;2;1;2;1;0;1;0;2;0;0;0;1;2;201;94;13;12;33;1;7;7;4;6;1;3;1;6;3;0;1;1;8;281;75;71;8;1;70;2;0;3;0;1;7;2;0;1;6;23;6;5;2061;325;108;18;79;1201;57;10;82;35;3;12;13;14;12;11;7;58;16;347;79;37;5;16;140;9;3;3;4;3;0;4;9;1;3;2;14;15;4
"300908";"gmina wiejska";"gm. Kościelec";"kolski";"wielkopolskie";4867;5344;1805;3062;2;14;0;0;0;0;0;0;0;3062;0;0;3062;63;44;19;0;2999;358;90;18;83;1;59;10;58;4;4;4;7;3;1;4;0;1;7;4;13;6;0;0;1;0;1;2;1;0;0;0;0;2;150;55;19;8;14;4;6;5;5;7;3;1;0;6;3;2;1;5;6;291;59;107;8;4;50;2;3;7;4;4;22;3;3;4;1;3;6;1;1914;378;162;25;139;883;57;24;60;39;8;6;19;5;9;15;4;60;21;273;96;20;8;9;97;9;3;2;4;2;3;0;4;2;2;0;7;5;4
"300909";"gmina wiejska";"gm. Olszówka";"kolski";"wielkopolskie";3317;3641;1395;1922;0;0;0;0;0;0;0;0;0;1922;0;0;1922;48;31;17;0;1874;147;31;2;15;1;46;5;39;3;1;0;0;0;0;0;0;2;1;1;9;4;0;0;1;1;1;0;0;0;1;0;0;1;105;40;11;6;10;0;10;3;5;5;4;2;0;2;1;0;2;1;3;168;52;29;8;0;41;2;2;5;0;1;8;2;1;5;0;1;9;2;1318;338;131;21;26;673;16;1;22;35;5;3;6;2;3;9;2;14;11;127;45;9;2;3;37;6;0;1;13;4;6;0;0;0;0;0;1;0;3
"300910";"gmina wiejska";"gm. Osiek Mały";"kolski";"wielkopolskie";4385;4782;1780;2605;0;6;0;0;0;0;0;0;0;2605;0;0;2605;29;23;6;0;2576;221;64;7;54;3;33;5;41;2;1;0;1;1;1;0;0;2;3;3;3;0;0;0;0;0;1;1;0;0;1;0;0;0;197;64;14;12;33;7;3;7;24;9;6;6;0;1;3;1;2;1;4;285;62;43;10;1;109;1;2;3;1;3;21;3;4;1;1;2;16;2;1683;238;141;24;55;921;32;13;63;66;3;8;16;2;6;12;4;63;16;187;62;9;2;0;83;3;1;2;1;4;0;1;6;4;1;0;4;4;3
"300911";"gmina miejsko-wiejska";"gm. Przedecz";"kolski";"wielkopolskie";3035;3283;1389;1646;2;12;0;0;0;0;0;0;0;1646;0;0;1646;41;25;16;0;1605;164;60;15;13;3;46;2;13;5;0;1;1;1;0;1;0;2;0;1;6;1;1;0;1;0;0;1;0;0;1;1;0;0;98;73;10;1;1;1;1;1;0;2;2;0;0;2;1;1;0;1;1;186;75;27;3;0;25;0;1;2;2;5;3;3;0;6;1;4;28;1;976;276;145;32;19;338;23;2;14;30;17;3;8;0;7;8;3;5;46;175;65;15;6;7;50;3;3;2;7;2;3;0;4;0;3;0;1;4;3
"301001";"gmina miejsko-wiejska";"gm. Golina";"koniński";"wielkopolskie";8809;9603;3284;5525;10;24;0;0;0;0;0;0;0;5524;0;0;5524;68;54;14;0;5456;1112;325;75;116;11;98;10;7;14;8;1;7;5;4;4;1;421;4;1;30;10;1;2;1;0;1;5;1;2;2;0;0;5;312;137;35;19;24;2;20;15;11;11;4;2;1;1;6;2;3;8;11;483;188;60;15;33;13;5;3;28;17;13;19;9;4;31;24;5;5;11;2930;977;353;109;126;261;57;121;270;121;19;61;29;23;16;23;25;24;315;589;217;84;11;88;56;14;7;3;3;9;9;3;15;9;6;2;14;39;7
"301002";"gmina wiejska";"gm. Grodziec";"koniński";"wielkopolskie";3754;4096;1672;2082;4;11;0;0;0;0;0;0;0;2082;0;0;2082;34;26;8;0;2048;234;103;19;14;5;54;8;2;7;1;1;2;1;0;3;3;3;4;4;15;6;2;1;1;0;2;0;0;0;1;0;0;2;94;42;7;6;7;1;5;3;6;2;0;2;0;0;1;0;0;8;4;208;77;39;6;10;5;4;0;1;3;7;8;2;1;13;22;2;1;7;1269;346;209;178;280;16;16;43;64;35;2;9;11;5;10;4;4;1;36;228;46;8;6;35;7;3;2;1;2;2;1;1;4;0;2;103;1;4;4
"301003";"gmina wiejska";"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";8267;9024;2963;5304;4;18;0;0;0;0;0;0;0;5304;0;0;5304;83;42;41;0;5221;947;450;100;133;7;116;24;9;15;7;3;7;8;4;6;0;39;13;6;27;11;3;0;0;2;1;2;1;1;1;2;1;2;287;129;23;20;16;4;15;10;16;7;6;5;3;4;9;3;3;9;5;560;174;48;8;19;13;5;3;46;6;11;10;5;1;168;24;10;5;4;2767;940;421;52;68;210;116;100;259;265;19;21;23;6;7;23;7;23;207;633;255;66;19;85;63;21;4;5;6;10;9;3;12;5;0;2;20;48;6
"301004";"gmina miejsko-wiejska";"gm. Kleczew";"koniński";"wielkopolskie";7274;7889;2794;4480;12;31;1;1;0;0;0;0;1;4481;1;0;4481;101;79;22;0;4380;426;201;32;53;5;59;4;10;10;5;0;8;2;3;7;1;14;6;6;22;5;2;2;2;1;4;2;0;0;1;0;0;3;269;63;18;121;8;3;8;10;3;4;4;1;2;3;1;2;5;6;7;531;74;26;3;15;9;1;3;338;5;11;6;3;2;15;6;11;0;3;2765;746;241;137;75;87;144;48;184;856;11;28;16;14;13;20;8;20;117;367;137;57;9;29;22;15;26;1;2;13;7;0;9;0;2;1;14;23;7
"301005";"gmina wiejska";"gm. Kramsk";"koniński";"wielkopolskie";8081;8906;3066;5015;6;11;0;0;0;0;0;0;0;5014;0;0;5014;71;48;23;0;4943;710;371;75;80;10;94;9;11;14;5;1;7;6;3;1;2;9;6;6;35;13;1;1;6;0;2;3;1;0;1;1;0;6;291;103;32;17;32;8;14;10;16;14;4;7;3;3;1;7;1;10;9;432;189;52;2;43;14;6;2;18;4;7;15;6;4;23;26;9;1;11;2977;817;360;88;66;761;45;88;352;97;17;14;12;9;25;17;13;17;179;498;168;64;15;45;67;14;9;7;4;3;18;0;8;3;5;1;11;56;9
"301006";"gmina wiejska";"gm. Krzymów";"koniński";"wielkopolskie";5695;6268;2115;3580;3;15;0;0;0;0;0;0;0;3580;0;2;3578;51;39;12;0;3527;562;358;52;40;2;51;12;8;7;5;2;4;1;2;3;1;12;0;2;15;3;2;1;1;0;1;2;1;1;0;0;1;2;210;64;17;14;12;1;61;6;5;7;3;2;2;3;1;1;3;5;3;219;77;50;4;7;14;3;1;9;4;6;13;3;3;10;12;0;1;2;2259;619;253;122;140;313;36;108;313;74;6;9;10;11;23;12;11;12;187;262;95;24;11;48;28;6;1;0;1;1;9;1;0;4;4;1;6;22;5
"301007";"gmina miejsko-wiejska";"gm. Rychwał";"koniński";"wielkopolskie";5994;6565;2346;3648;2;21;0;0;0;0;0;0;0;3647;0;0;3647;62;39;23;0;3585;350;194;39;23;5;35;11;9;6;0;4;5;2;4;0;0;5;6;2;25;17;0;0;3;1;0;3;0;0;0;0;0;1;171;72;13;11;11;4;15;11;7;4;1;6;1;4;3;1;1;3;3;337;168;54;3;25;9;4;1;4;3;5;12;1;2;19;13;7;1;6;2276;764;385;227;151;73;103;74;196;74;11;17;17;10;12;22;8;19;113;426;79;51;6;70;16;10;3;4;1;6;6;1;7;4;2;132;13;15;7
"301008";"gmina wiejska";"gm. Rzgów";"koniński";"wielkopolskie";5211;5606;2039;3172;1;3;0;0;0;0;0;0;0;3172;0;0;3172;44;31;13;0;3128;501;246;28;57;5;72;7;1;10;2;2;3;0;5;8;2;15;35;3;19;7;2;1;5;0;2;1;0;0;0;1;0;0;196;78;21;10;14;9;19;9;10;5;2;3;1;6;1;2;0;2;4;269;105;33;12;8;15;7;2;5;5;3;13;7;3;18;23;6;1;3;1803;553;309;102;176;105;94;32;175;65;11;23;8;6;7;14;9;7;107;340;128;30;8;108;17;10;3;0;1;3;1;0;7;3;2;4;5;10;4
"301009";"gmina wiejska";"gm. Skulsk";"koniński";"wielkopolskie";4492;4899;2137;2355;4;8;0;0;0;0;0;0;0;2355;0;0;2355;58;39;19;0;2297;308;105;30;29;3;94;9;11;9;2;0;6;0;2;1;0;2;3;2;12;3;0;0;0;0;0;4;0;1;0;1;1;2;139;53;18;8;21;2;7;7;5;3;4;1;1;2;0;1;3;1;2;260;81;18;9;52;4;7;1;13;3;6;9;2;6;8;27;7;1;6;1399;537;282;104;24;61;27;28;137;47;7;18;14;5;15;5;13;13;62;179;85;20;10;14;9;5;3;0;1;1;4;0;5;2;6;2;5;7;9
"301010";"gmina miejsko-wiejska";"gm. Sompolno";"koniński";"wielkopolskie";7560;8292;3125;4435;6;12;1;1;0;0;0;0;1;4435;1;0;4435;100;67;33;0;4335;473;190;34;51;8;86;2;36;17;5;3;4;6;10;4;1;4;4;8;16;10;1;0;1;0;1;0;0;0;1;0;0;2;260;107;29;17;16;4;14;15;8;7;6;7;2;0;6;2;1;9;10;366;132;47;15;27;56;5;4;11;3;4;22;4;6;7;7;9;4;3;2756;656;423;162;101;688;75;34;358;87;17;23;16;7;17;13;5;17;57;464;191;50;6;27;111;8;2;5;6;5;5;3;6;5;4;1;12;17;7
"301011";"gmina wiejska";"gm. Stare Miasto";"koniński";"wielkopolskie";8609;9388;2804;5805;5;29;0;0;0;0;0;0;0;5804;0;0;5804;94;69;25;0;5710;986;478;98;182;10;109;17;23;17;3;5;6;2;9;4;0;13;6;4;20;6;2;0;1;1;1;2;2;1;3;0;0;1;326;135;41;20;24;7;20;8;8;9;4;6;3;6;5;2;1;18;9;434;182;92;15;22;12;3;3;12;11;6;13;4;4;13;22;9;7;4;2789;816;488;148;333;137;29;116;325;105;15;19;22;9;24;20;15;19;149;1155;166;36;13;774;40;9;4;3;2;9;18;2;8;5;3;5;12;46;8
"301012";"gmina miejsko-wiejska";"gm. Ślesin";"koniński";"wielkopolskie";10256;11249;4015;6241;15;76;0;0;0;0;0;0;0;6241;0;0;6241;116;83;33;0;6125;948;521;122;92;10;105;13;7;15;5;1;6;10;2;0;1;13;12;13;29;8;3;1;3;1;2;3;1;0;0;1;2;4;293;138;35;16;13;2;20;8;9;5;3;1;1;6;3;4;3;14;12;928;84;31;8;708;19;4;1;12;3;1;9;6;4;13;13;6;2;4;3396;1146;464;241;111;350;60;74;439;128;9;22;29;9;15;29;19;22;229;531;245;44;19;70;49;17;4;4;4;8;7;1;7;5;3;1;16;27;10
"301013";"gmina wiejska";"gm. Wierzbinek";"koniński";"wielkopolskie";5171;5646;2345;2826;0;5;0;0;0;0;0;0;0;2826;0;0;2826;56;37;19;0;2770;205;87;14;19;3;32;5;14;13;1;1;2;0;3;1;0;4;5;1;11;4;2;0;1;1;0;0;0;1;0;0;0;2;70;28;9;4;8;2;0;4;3;2;2;1;0;1;1;0;1;2;2;275;91;29;7;88;21;2;2;8;3;3;7;0;0;8;4;2;0;0;2082;646;311;190;99;199;96;31;219;83;8;29;27;2;20;16;6;23;77;127;47;17;6;10;12;4;1;4;3;0;2;0;5;2;1;1;6;6;7
"301014";"gmina wiejska";"gm. Wilczyn";"koniński";"wielkopolskie";4432;4795;1903;2529;4;17;0;0;0;0;0;0;0;2529;0;0;2529;78;59;19;0;2451;216;114;23;17;3;21;4;0;9;2;0;6;4;1;2;1;5;4;0;10;1;3;1;0;0;0;4;1;0;0;0;0;0;107;46;16;15;3;1;3;6;1;4;1;0;0;2;0;0;1;4;4;307;127;21;10;40;5;1;1;35;2;8;5;1;2;33;6;3;2;5;1627;480;274;181;60;44;56;50;162;193;8;19;15;3;10;14;6;15;37;184;92;17;5;15;10;8;2;1;1;8;2;0;2;2;3;0;4;12;6
"302301";"gmina miejska";"m. Słupca";"słupecki";"wielkopolskie";9992;10776;3276;6716;5;29;1;1;0;0;0;0;1;6717;1;0;6717;83;63;20;0;6634;1412;570;80;185;14;64;16;12;32;129;3;12;16;7;249;1;5;8;9;35;10;2;1;1;1;2;3;3;1;4;0;2;5;341;164;39;20;18;5;10;12;15;10;7;3;1;9;6;7;6;2;7;1144;175;31;7;5;4;2;1;14;866;6;8;3;4;3;0;8;1;6;2638;858;340;216;36;25;263;40;81;63;18;269;15;11;18;14;323;14;34;1064;571;251;24;19;43;10;6;6;4;5;13;5;42;7;17;0;17;24;8
"302302";"gmina wiejska";"gm. Lądek";"słupecki";"wielkopolskie";4217;4615;1725;2492;4;10;0;0;0;0;0;0;0;2492;0;0;2492;28;22;6;0;2464;345;147;24;44;12;29;9;3;14;26;0;3;2;5;6;2;10;6;3;10;4;0;0;1;1;0;0;0;0;2;1;0;1;131;44;14;11;5;4;10;8;6;8;5;3;0;1;4;1;2;2;3;351;100;27;9;7;3;1;3;12;159;2;5;2;0;8;6;4;1;2;1374;427;179;129;29;25;113;30;89;39;4;175;14;9;14;13;50;3;32;253;116;54;14;10;6;4;7;6;1;6;2;0;9;1;6;1;5;5;3
"302303";"gmina wiejska";"gm. Orchowo";"słupecki";"wielkopolskie";2780;3020;1207;1573;1;6;0;0;0;0;0;0;0;1573;0;0;1573;36;23;13;0;1537;238;101;21;35;7;37;5;5;4;2;4;5;2;1;2;0;2;0;5;13;2;4;2;0;1;0;1;0;0;2;0;0;1;114;47;8;15;3;1;8;6;5;4;2;3;3;1;0;0;3;2;3;221;89;28;5;2;0;15;3;2;45;6;7;5;1;1;6;3;1;2;761;198;109;168;13;7;89;7;16;31;12;49;5;5;16;4;15;5;12;190;59;95;6;8;1;7;2;0;1;2;1;1;1;1;0;2;2;1;5
"302304";"gmina wiejska";"gm. Ostrowite";"słupecki";"wielkopolskie";3788;4200;1774;2014;3;13;2;2;1;0;0;0;1;2015;1;0;2015;45;35;10;0;1970;215;109;11;21;4;28;6;4;5;14;1;0;2;2;4;0;2;0;2;8;3;0;0;0;1;1;0;0;1;1;0;1;0;93;34;8;19;6;2;9;1;4;4;0;1;1;2;0;0;1;0;1;217;57;20;9;1;6;2;0;22;78;8;3;1;4;0;1;4;0;1;1234;342;183;173;81;16;94;24;32;37;3;120;11;4;8;8;73;8;17;203;106;56;4;3;5;4;1;0;2;3;1;0;7;0;2;0;3;6;4
"302305";"gmina wiejska";"gm. Powidz";"słupecki";"wielkopolskie";1656;1890;430;1226;0;36;0;0;0;0;0;0;0;1226;0;0;1226;25;16;9;0;1201;238;66;16;104;4;15;1;3;8;5;1;6;1;0;1;0;2;2;3;10;3;0;0;0;1;2;0;1;0;0;1;1;1;77;21;19;7;4;1;3;8;1;4;3;1;0;0;2;0;0;0;3;104;36;23;4;1;4;1;3;4;16;0;2;1;2;0;2;1;0;4;551;122;71;79;11;4;142;7;24;14;8;16;3;4;14;3;22;1;6;221;43;152;1;3;3;3;0;1;0;2;2;1;0;0;2;0;5;3;2
"302306";"gmina wiejska";"gm. Słupca";"słupecki";"wielkopolskie";6907;7594;2707;4200;4;8;0;0;0;0;0;0;0;4200;0;0;4200;86;60;26;0;4114;537;243;37;74;12;15;14;6;14;39;0;6;6;3;34;0;20;4;10;24;10;0;0;4;1;2;1;2;2;1;0;0;1;247;92;32;19;13;2;10;12;7;19;7;3;1;9;4;2;1;4;10;521;129;34;12;2;6;1;2;20;283;7;5;3;2;2;3;5;0;5;2386;764;325;252;64;40;152;36;83;94;15;328;19;10;9;12;136;9;38;399;189;87;22;6;15;9;0;6;4;7;7;3;20;1;8;3;7;5;6
"302307";"gmina wiejska";"gm. Strzałkowo";"słupecki";"wielkopolskie";7263;7922;2637;4626;1;13;0;0;0;0;0;0;0;4626;0;0;4626;76;46;30;0;4550;838;221;35;80;21;26;6;3;17;368;2;3;18;2;15;1;4;10;6;34;8;5;1;2;0;2;1;5;1;1;3;1;4;343;131;43;24;17;12;15;20;14;9;9;2;4;5;4;5;5;5;19;582;118;41;16;5;4;4;3;9;163;4;15;8;3;9;6;169;1;4;2189;555;283;337;32;18;194;17;50;65;23;390;34;4;20;23;83;21;40;564;254;150;11;15;8;16;10;5;3;6;8;6;36;3;12;2;13;6;7
"302308";"gmina miejsko-wiejska";"gm. Zagórów";"słupecki";"wielkopolskie";6587;7132;2969;3618;7;9;0;0;0;0;0;0;0;3618;0;0;3618;66;45;21;0;3552;414;209;34;35;16;23;10;6;17;13;1;5;2;7;6;2;7;12;9;18;7;0;0;2;0;3;1;2;1;1;1;0;0;198;66;31;5;8;2;11;11;11;14;4;4;0;6;3;4;2;6;10;423;166;54;11;5;3;3;2;10;113;4;12;4;1;7;13;6;4;5;1940;545;289;296;40;21;218;41;89;66;13;130;15;9;13;30;69;5;51;559;105;223;8;3;6;9;3;1;1;6;4;3;170;2;3;1;5;6;6
"302501";"gmina wiejska";"gm. Dominowo";"średzki";"wielkopolskie";2137;2368;765;1372;0;6;0;0;0;0;0;0;0;1372;0;0;1372;41;29;12;0;1331;151;74;14;14;8;1;1;1;10;0;2;4;8;7;0;1;0;2;4;10;3;0;0;2;0;0;0;1;0;0;2;0;2;194;34;52;2;1;3;2;3;0;4;3;1;0;4;2;2;2;0;79;209;38;13;123;0;4;4;13;4;3;0;0;2;1;1;1;1;0;1;595;202;83;121;13;14;30;5;13;15;5;6;55;1;4;9;10;5;4;172;45;43;33;4;4;5;1;19;1;3;5;2;1;2;1;0;1;2;3
