"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy CZERWIŃSKI";"Adam Józef MAZGUŁA";"Janusz Antoni SANOCKI";"Jan Franciszek WOŹNIAK";"Liczba obwodów"
"160100";"brzeski";"opolskie";64465;69849;25189;39277;43;185;2;2;0;0;0;0;2;39274;2;0;39274;789;213;576;0;38485;17849;2603;4439;13594;79
"160400";"kluczborski";"opolskie";48244;52271;21632;26606;41;114;0;0;0;0;0;0;0;26608;0;0;26608;733;129;604;0;25875;11302;2038;2745;9790;63
"160600";"namysłowski";"opolskie";31344;33838;12620;18723;12;78;0;0;0;0;0;0;0;18724;0;0;18724;423;94;329;0;18301;8532;1311;1834;6624;56
"160700";"nyski";"opolskie";102303;110473;43524;58772;100;460;6;6;0;0;0;0;6;58778;6;6;58772;1193;309;884;0;57579;25568;5633;6707;19671;120
"161000";"prudnicki";"opolskie";40570;43544;18816;21754;31;88;1;1;0;0;0;0;1;21756;1;0;21756;751;180;571;0;21005;10175;1712;2302;6816;70
