"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni MĘŻYDŁO";"Zbigniew RASIELEWSKI"
"f865-ac29-6869-fc98-c47f-3c60-ea5e-7b85";"040401";"11";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Szkolna 6, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"890";"978";"394";"496";"0";"7";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"23";"2";"21";"0";"472";"311";"161"
"4b42-1771-68fe-74e2-09e3-0092-10ed-e873";"040401";"11";"2";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 1, ul. Dominikańska 35, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"821";"849";"428";"393";"1";"3";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"11";"3";"8";"0";"382";"193";"189"
"ac81-f142-d9d0-b8c4-51a9-632d-6c2a-5e81";"040401";"11";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 1, ul. Dominikańska 35, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"763";"942";"360";"403";"3";"2";"0";"0";"0";"0";"0";"0";"0";"403";"0";"0";"403";"20";"11";"9";"0";"383";"210";"173"
"9a5e-22ad-8dac-caa5-8a26-b05c-2f08-13b8";"040401";"11";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. 22 Stycznia 4, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"849";"924";"457";"392";"0";"5";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"16";"4";"12";"0";"376";"239";"137"
"ac13-d915-ce99-3443-505d-1cbb-8a59-25cb";"040401";"11";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Szkolna 6, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"960";"1041";"318";"642";"0";"0";"0";"0";"0";"0";"0";"0";"0";"642";"0";"0";"642";"30";"10";"20";"0";"612";"407";"205"
"4ea9-090f-7a66-98b9-8132-bd92-c484-8a98";"040401";"11";"6";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. 22 Stycznia 4, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"931";"1010";"282";"649";"1";"1";"0";"0";"0";"0";"0";"0";"0";"649";"0";"0";"649";"18";"2";"16";"0";"631";"444";"187"
"dd09-dd24-d87e-5d9a-1d82-126f-b7f4-816e";"040401";"11";"7";"miasto";"stały";"Miejski Ośrodek Profilaktyki i Rozwiązywania Problemów Uzależnień, ul. Kamionka 3, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"841";"920";"369";"472";"0";"5";"0";"0";"0";"0";"0";"0";"0";"472";"0";"0";"472";"21";"2";"19";"0";"451";"271";"180"
"e7cd-60b3-6a40-00e2-23a0-0514-f0ab-855c";"040401";"11";"8";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Kościuszki 11, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"759";"820";"240";"519";"6";"2";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"19";"5";"14";"0";"500";"325";"175"
"3229-b8e2-3376-e17b-1a4f-0a33-2782-df80";"040401";"11";"9";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Kościuszki 11, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"779";"851";"248";"531";"1";"0";"0";"0";"0";"0";"0";"0";"0";"531";"0";"0";"531";"24";"5";"19";"0";"507";"316";"191"
"1dcb-4155-68e3-6fa6-9635-11d3-3336-3f5f";"040401";"11";"10";"miasto";"stały";"Szkoła Podstawowa nr 4, os. M. C. Skłodowskiej 16, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"1000";"1091";"258";"742";"0";"0";"0";"0";"0";"0";"0";"0";"0";"742";"0";"0";"742";"21";"2";"19";"0";"721";"520";"201"
"0074-68e7-a129-f613-c372-5d7a-b1b9-4aec";"040401";"11";"11";"miasto";"stały";"Spółdzielnia Mieszkaniowa, ul. Młyńska 7, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"910";"976";"306";"604";"1";"1";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"604";"27";"8";"19";"0";"577";"383";"194"
"47e0-f5c5-2479-8cf3-8628-53eb-eaf6-acf9";"040401";"11";"12";"miasto";"stały";"Szkoła Podstawowa Nr 4, os. M. C. Skłodowskiej 16, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"851";"916";"283";"568";"0";"2";"1";"1";"0";"0";"0";"0";"1";"568";"1";"0";"568";"19";"2";"17";"0";"549";"351";"198"
"7563-227f-24bb-8015-f435-888e-384b-3ba2";"040401";"11";"13";"miasto";"stały";"Szkoła Podstawowa Nr 4, os. M. C. Skłodowskiej 16, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"860";"947";"267";"593";"1";"4";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"19";"5";"14";"0";"574";"362";"212"
"bacf-0e13-7074-4db0-509c-70eb-abb6-b74b";"040401";"11";"14";"miasto";"stały";"Szkoła Podstawowa Specjalna, ul. Dworcowa 20/22, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"1021";"1102";"381";"639";"1";"2";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"26";"12";"14";"0";"613";"363";"250"
"c51f-cb43-4a86-31e0-538e-02c3-f735-0535";"040401";"11";"15";"miasto";"stały";"Szkoła Podstawowa Specjalna, ul. Dworcowa 20/22, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"871";"953";"401";"470";"1";"2";"0";"0";"0";"0";"0";"0";"0";"470";"0";"0";"470";"20";"4";"16";"0";"450";"290";"160"
"5ed5-226b-5416-32d1-d428-db24-e4f4-d87a";"040401";"11";"16";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zespół Opieki Zdrowotnej, Plac dr Rydygiera 1, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"167";"91";"122";"45";"0";"3";"0";"0";"0";"0";"0";"0";"0";"45";"0";"0";"45";"0";"0";"0";"0";"45";"19";"26"
"28c0-f5e8-ea05-8659-9753-a46c-36de-d27f";"040401";"11";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Dominikańska 40, 86-200 Chełmno";"m. Chełmno";"chełmiński";"kujawsko-pomorskie";"152";"41";"127";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"25";"0";"0";"0";"0";"25";"14";"11"
"96e2-c675-21f2-7fa4-21bb-2f9e-b9d1-0645";"040402";"11";"1";"wieś";"stały";"Szkoła Podstawowa im. Ireny Sendlerowej, Starogród 33, 86-200 Chełmno";"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";"1120";"1226";"506";"614";"0";"2";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"33";"3";"30";"0";"581";"304";"277"
"14ad-4046-227c-3ef1-03a8-8935-ff52-4bf6";"040402";"11";"2";"wieś";"stały";"Szkoła Podstawowa im. Mikołaja Kopernika, Kolno 33, 86-200 Chełmno";"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";"1120";"1247";"575";"545";"0";"2";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"15";"0";"15";"0";"530";"287";"243"
"1df6-644d-a505-eeba-abd4-d266-925b-ab5d";"040402";"11";"3";"wieś";"stały";"Szkoła Podstawowa im. Ziemi Chełmińskiej, Podwiesk 43, 86-200 Chełmno";"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";"839";"934";"445";"394";"0";"3";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"19";"6";"13";"0";"375";"183";"192"
"3e47-a45a-54ad-2a58-053a-1942-b1da-570b";"040402";"11";"4";"wieś";"stały";"Szkoła Podstawowa im. Bronisława Malinowskiego, Małe Łunawy 21, 86-200 Chełmno";"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";"1040";"1143";"465";"575";"0";"1";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"30";"4";"26";"0";"545";"327";"218"
"9d8b-36ea-2413-b70a-c9ff-9a26-5db5-ca37";"040403";"11";"1";"wieś";"stały";"Szkoła Podstawowa, Brzozowo ul. Miodowa 2, 86-200 Chełmno";"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";"690";"760";"239";"451";"0";"3";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"21";"1";"20";"0";"430";"276";"154"
