"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni MĘŻYDŁO";"Zbigniew RASIELEWSKI"
"0382-35ca-5b6e-ac1c-cccb-aacc-f2a3-f1e4";"040403";"11";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Św. Wawrzyńca 6, 86-253 Kijewo Królewskie";"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";"1011";"1109";"361";"650";"1";"1";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"31";"6";"25";"0";"617";"322";"295"
"3290-dde9-5ac9-1152-7fb4-d38b-0465-5f28";"040403";"11";"3";"wieś";"stały";"Świetlica Wiejska, Płutowo, 86-253 Kijewo Królewskie";"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";"550";"603";"234";"316";"0";"0";"0";"0";"0";"0";"0";"0";"0";"316";"0";"0";"316";"7";"1";"6";"0";"309";"124";"185"
"bb63-7c34-105f-919c-746f-c884-f384-055d";"040403";"11";"4";"wieś";"stały";"Szkoła Podstawowa, Trzebczyk 2, 86-253 Kijewo Królewskie";"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";"430";"478";"184";"246";"0";"0";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"13";"1";"12";"0";"233";"104";"129"
"bb64-11d8-5efc-ba0d-c357-9e72-d939-bab9";"040403";"11";"5";"wieś";"stały";"Szkoła Podstawowa im. Jana Slaskiego, Trzebcz Szlachecki 18, 86-253 Kijewo Królewskie";"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";"469";"512";"210";"259";"2";"0";"0";"0";"0";"0";"0";"0";"0";"259";"0";"0";"259";"30";"0";"30";"0";"229";"122";"107"
"3b6f-b0a7-04f2-a347-7cb2-6321-4bc5-76f5";"040404";"11";"1";"wieś";"stały";"Szkoła Podstawowa, Krusin 53, 86-230 Lisewo";"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";"762";"847";"358";"404";"0";"0";"0";"0";"0";"0";"0";"0";"0";"404";"0";"0";"404";"16";"4";"12";"0";"388";"160";"228"
"c651-7bfb-84a9-4070-e4fa-762c-660c-df33";"040404";"11";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny (Sala Gimnastyczna), ul. Toruńska 16, 86-230 Lisewo";"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";"1210";"1301";"446";"764";"1";"0";"0";"0";"0";"0";"0";"0";"0";"764";"0";"0";"764";"24";"7";"17";"0";"740";"424";"316"
"a271-9ae8-7608-5265-90a3-f0b5-596c-101d";"040404";"11";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny (Aula), ul. Toruńska 17, 86-230 Lisewo";"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";"829";"941";"385";"444";"1";"2";"0";"0";"0";"0";"0";"0";"0";"444";"0";"0";"444";"9";"5";"4";"0";"435";"183";"252"
"02ea-6812-73a6-4a1f-6e66-7e9f-68dc-8558";"040404";"11";"4";"wieś";"stały";"Świetlica, Pniewite 1, 86-230 Lisewo";"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";"740";"819";"317";"423";"1";"2";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"4";"1";"3";"0";"419";"149";"270"
"9e74-2ac1-4ca7-e969-7727-b201-ba19-8f84";"040404";"11";"5";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Mgoszcz 54, 86-230 Lisewo";"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";"84";"19";"69";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"0";"0";"0";"0";"15";"11";"4"
"c131-0cd8-98d3-753e-732e-fa4c-f574-5327";"040405";"11";"1";"wieś";"stały";"Szkoła Podstawowa im. Mikołaja Kopernika, Dubielno 14, 86-221 Papowo Biskupie";"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";"480";"526";"230";"250";"0";"0";"0";"0";"0";"0";"0";"0";"0";"250";"0";"0";"250";"14";"2";"12";"0";"236";"110";"126"
"75b9-61f7-3bae-553f-d634-fede-9e65-4a32";"040405";"11";"2";"wieś";"stały";"Świetlica Wiejska, Nowy Dwór Królewski 41, 86-221 Papowo Biskupie";"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";"520";"578";"294";"226";"0";"2";"0";"0";"0";"0";"0";"0";"0";"226";"0";"0";"226";"8";"0";"8";"0";"218";"95";"123"
"17ac-023f-8817-2257-134a-a558-25ed-bf4e";"040405";"11";"3";"wieś";"stały";"Szkoła Podstawowa im. Noblistów Polskich, Papowo Biskupie 127A, 86-221 Papowo Biskupie";"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";"1020";"1134";"442";"578";"0";"5";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"15";"1";"14";"0";"563";"271";"292"
"49e1-2f46-93ed-29a8-0ac0-c8ba-03fe-be7a";"040405";"11";"4";"wieś";"stały";"Szkoła Podstawowa im. Romualda Traugutta, Zegartowice 13, 86-221 Papowo Biskupie";"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";"510";"554";"253";"257";"1";"2";"0";"0";"0";"0";"0";"0";"0";"257";"0";"0";"257";"8";"4";"4";"0";"249";"133";"116"
"7c1d-c03e-e4cf-1c6b-4531-84e4-85d0-0b34";"040405";"11";"5";"wieś";"stały";"Świetlica Wiejska, Jeleniec 61, 86-221 Papowo Biskupie";"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";"511";"567";"308";"203";"0";"1";"0";"0";"0";"0";"0";"0";"0";"203";"0";"0";"203";"2";"0";"2";"0";"201";"97";"104"
"4f8a-0a08-1593-3bc2-5409-9163-518e-7d16";"040406";"11";"1";"wieś";"stały";"Świetlica wiejska, Cepno 38, 86-212 Stolno";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";"370";"409";"224";"146";"0";"2";"0";"0";"0";"0";"0";"0";"0";"146";"0";"0";"146";"7";"1";"6";"0";"139";"60";"79"
"263e-68a6-8e74-8476-b67d-631b-942a-de98";"040406";"11";"2";"wieś";"stały";"Świetlica wiejska, Małe Czyste 40A, 86-212 Stolno";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";"390";"431";"181";"209";"0";"1";"0";"0";"0";"0";"0";"0";"0";"209";"0";"0";"209";"16";"1";"15";"0";"193";"107";"86"
"cc82-c59d-be80-5c4f-265e-aaf1-28e6-0d5e";"040406";"11";"3";"wieś";"stały";"Świetlica wiejska, Grubno, 86-212 Stolno";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";"450";"506";"144";"306";"1";"0";"0";"0";"0";"0";"0";"0";"0";"306";"0";"0";"306";"15";"1";"14";"0";"291";"198";"93"
"e0dc-fb1a-a38d-c4c1-5e99-2f41-374d-4415";"040406";"11";"4";"wieś";"stały";"Szkoła Podstawowa, Stolno 88, 86-212 Stolno";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";"870";"963";"402";"468";"0";"1";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"22";"6";"16";"0";"446";"222";"224"
"7873-27db-071b-3114-9929-85f2-be03-a01a";"040406";"11";"5";"wieś";"stały";"Świetlica wiejska, Wabcz, 86-212 Stolno";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";"548";"617";"258";"290";"0";"0";"0";"0";"0";"0";"0";"0";"0";"290";"0";"0";"290";"9";"2";"7";"0";"281";"159";"122"
"a937-8ef7-5f4c-f8a2-ae4c-7e9e-a700-4dc0";"040406";"11";"6";"wieś";"stały";"Szkoła Podstawowa, Robakowo 95, 86-212 Stolno";"gm. Stolno";"chełmiński";"kujawsko-pomorskie";"1010";"1113";"409";"601";"0";"4";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"15";"4";"11";"0";"586";"243";"343"
"b802-7dd4-9660-3273-c094-e211-04d7-15dd";"040407";"11";"1";"wieś";"stały";"Hala Widowiskowo-Sportowa (wejście boczne od strony Zespołu Szkół), ul. Spokojna 16, 86-260 Unisław";"gm. Unisław";"chełmiński";"kujawsko-pomorskie";"1249";"1378";"449";"800";"0";"0";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"30";"3";"27";"0";"770";"430";"340"
"1d43-c097-eb26-1ddd-e103-f8ed-a8d7-668a";"040407";"11";"2";"wieś";"stały";"Hala Widowiskowo-Sportowa (wejście główne od strony ul. Spokojnej), ul. Spokojna 16, 86-260 Unisław";"gm. Unisław";"chełmiński";"kujawsko-pomorskie";"1010";"1114";"501";"509";"2";"2";"0";"0";"0";"0";"0";"0";"0";"509";"0";"0";"509";"17";"5";"12";"0";"492";"282";"210"
"84ec-19d0-fe6a-cad9-23df-497e-9a76-57f0";"040407";"11";"3";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Parkowa 22, 86-260 Unisław";"gm. Unisław";"chełmiński";"kujawsko-pomorskie";"1000";"1094";"456";"544";"1";"3";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"25";"8";"17";"0";"519";"255";"264"
"d0a1-6bc8-9d68-479b-ec5f-4eea-ffd8-64df";"040407";"11";"4";"wieś";"stały";"Szkoła Podstawowa, Kokocko 32, 86-260 Unisław";"gm. Unisław";"chełmiński";"kujawsko-pomorskie";"530";"599";"289";"241";"0";"2";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"8";"1";"7";"0";"233";"127";"106"
"a4ad-80fe-9fb0-09f2-1c77-5abd-034c-6d36";"040407";"11";"5";"wieś";"stały";"Przedszkole Gminne Krasnoludek, ul. Lipowa 31, 86-260 Unisław";"gm. Unisław";"chełmiński";"kujawsko-pomorskie";"990";"1084";"378";"612";"2";"0";"0";"0";"0";"0";"0";"0";"0";"612";"0";"0";"612";"27";"9";"18";"0";"585";"317";"268"
"30a0-9766-d91e-d221-5223-5ed9-3c3f-51d9";"041501";"11";"1";"miasto";"stały";"Pomieszczenia Urzędu Miasta, ul. Tumska 12, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"1850";"1999";"905";"945";"2";"10";"0";"0";"0";"0";"0";"0";"0";"945";"0";"1";"944";"47";"6";"41";"0";"897";"482";"415"
"489c-9862-5da0-fe49-c71c-aa6b-9f3a-abf2";"041501";"11";"2";"miasto";"stały";"Pomieszczenia byłej Szkoły Podstawowej Nr 3 - oficyna, ul. Gen. J. Hallera 21, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"1250";"1356";"651";"599";"1";"2";"0";"0";"0";"0";"0";"0";"0";"598";"0";"0";"598";"23";"6";"17";"0";"575";"326";"249"
"f8c5-5be0-8bfe-c92b-2d95-82ef-4aaa-ce36";"041501";"11";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Ks. Piotra Skargi 1, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"1360";"1473";"582";"778";"2";"4";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"778";"35";"11";"24";"0";"743";"391";"352"
"b74b-1fd0-6ce9-b860-c8b3-6638-0abb-f0d3";"041501";"11";"4";"miasto";"stały";"Zakład Gospodarki Komunalnej Sp. z o. o., ul. Toruńska 1, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"1978";"2184";"821";"1157";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1157";"0";"0";"1157";"44";"8";"36";"0";"1113";"630";"483"
"c996-ddfe-ac16-163f-01c3-4f03-b9f7-2813";"041501";"11";"5";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Wyszyńskiego 5, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"671";"740";"233";"438";"1";"5";"0";"0";"0";"0";"0";"0";"0";"438";"0";"0";"438";"21";"3";"18";"0";"417";"269";"148"
"1d63-a9a2-51a9-6b8a-dc11-abf3-de6c-08b1";"041501";"11";"6";"miasto";"stały";"Zespół Szkół im. Unii Europejskiej, ul. Wyszyńskiego 7, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"1278";"1404";"432";"846";"0";"1";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"27";"4";"23";"0";"819";"434";"385"
"adef-d8de-6c2e-3931-d57b-6eca-d204-6a94";"041501";"11";"7";"miasto";"stały";"Przystań Chełmżyńskiego Towarzystwa Wioślarskiego 1927, ul. 3 Maja 14, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"1440";"1587";"567";"873";"0";"1";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"17";"3";"14";"0";"856";"522";"334"
"e7ec-8122-4904-b095-144d-de4a-5aaa-8cf8";"041501";"11";"8";"miasto";"zakład leczniczy";"Szpital Powiatowy Sp. z o. o., ul. Szewska 23, 87-140 Chełmża";"m. Chełmża";"toruński";"kujawsko-pomorskie";"92";"35";"77";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"0";"0";"0";"0";"15";"4";"11"
"8e57-d174-5828-d818-05d0-3c26-444a-1bfe";"041502";"11";"1";"wieś";"stały";"Szkoła Podstawowa w Kończewicach-budynek w Głuchowie, Głuchowo 3A, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"740";"813";"351";"389";"0";"1";"0";"0";"0";"0";"0";"0";"0";"389";"0";"0";"389";"14";"1";"13";"0";"375";"192";"183"
"790c-03a9-4f1a-8f26-68bd-06ae-f4c2-a25a";"041502";"11";"2";"wieś";"stały";"Szkoła Podstawowa, Kończewice 12A, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"966";"1072";"444";"522";"2";"0";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"18";"3";"15";"0";"504";"257";"247"
"4d7a-b549-e31b-fb06-4448-2035-89f0-b908";"041502";"11";"3";"wieś";"stały";"Szkoła Podstawowa, Grzywna 110A, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"1580";"1639";"721";"859";"1";"1";"0";"0";"0";"0";"0";"0";"0";"857";"0";"0";"857";"29";"8";"21";"0";"828";"423";"405"
"7625-332d-a974-12b6-a7e5-b66b-cf28-68c7";"041502";"11";"4";"wieś";"stały";"Szkoła Podstawowa, Sławkowo 4, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"961";"1053";"475";"486";"0";"0";"0";"0";"0";"0";"0";"0";"0";"486";"0";"0";"486";"17";"8";"9";"0";"469";"198";"271"
"1c56-e124-6f46-8907-683a-123d-503e-0ffd";"041502";"11";"5";"wieś";"stały";"Szkoła Podstawowa w Zelgnie-budynek w Pluskowęsach, Pluskowęsy 71A, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"437";"487";"197";"240";"0";"1";"0";"0";"0";"0";"0";"0";"0";"240";"0";"0";"240";"7";"1";"6";"0";"233";"116";"117"
"4945-804c-0d96-bcd1-5322-736d-08b0-ec58";"041502";"11";"6";"wieś";"stały";"Szkoła Podstawowa, Zelgno 12, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"1161";"1274";"612";"549";"1";"1";"1";"1";"0";"0";"0";"0";"1";"550";"1";"0";"550";"22";"5";"17";"0";"528";"215";"313"
"47eb-a769-0636-9438-b460-9323-c47e-95fe";"041502";"11";"7";"wieś";"stały";"Świetlica wiejska, Grzegorz 35/1, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"550";"604";"237";"313";"0";"1";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"16";"5";"11";"0";"297";"149";"148"
"44da-8b15-919c-b2bb-9840-2486-1417-f52e";"041502";"11";"8";"wieś";"stały";"Biblioteka Samorządowa filia w Skąpem, Skąpe 26a, 87-140 Chełmża";"gm. Chełmża";"toruński";"kujawsko-pomorskie";"441";"483";"189";"252";"0";"0";"0";"0";"0";"0";"0";"0";"0";"252";"0";"0";"252";"11";"2";"9";"0";"241";"126";"115"
