"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bronisław DUTKA";"Jan Wincenty HAMERSKI";"Bogusław WAKSMUNDZKI";"Liczba obwodów"
"120701";"gmina miejska";"m. Limanowa";"limanowski";"małopolskie";11048;11762;3430;7618;12;86;1;1;1;0;0;0;0;7618;0;0;7618;204;81;123;0;7414;1809;4492;1113;15
"120702";"gmina miejska";"m. Mszana Dolna";"limanowski";"małopolskie";5767;6120;2041;3726;12;23;0;0;0;0;0;0;0;3726;0;0;3726;76;18;58;0;3650;968;2237;445;4
"120703";"gmina wiejska";"gm. Dobra";"limanowski";"małopolskie";7128;7696;2746;4382;2;26;3;3;1;0;0;0;2;4384;2;0;4384;85;26;59;0;4299;975;2979;345;9
"120704";"gmina wiejska";"gm. Jodłownik";"limanowski";"małopolskie";6173;6613;2327;3846;1;20;0;0;0;0;0;0;0;3846;0;0;3846;107;22;85;0;3739;865;2633;241;10
"120705";"gmina wiejska";"gm. Kamienica";"limanowski";"małopolskie";5569;5898;2091;3478;6;38;0;0;0;0;0;0;0;3477;0;1;3476;116;22;94;0;3360;594;2511;255;6
"120706";"gmina wiejska";"gm. Laskowa";"limanowski";"małopolskie";5540;6077;1320;4220;8;27;0;0;0;0;0;0;0;4220;0;0;4220;75;14;61;0;4145;554;3375;216;7
"120707";"gmina wiejska";"gm. Limanowa";"limanowski";"małopolskie";17796;19107;5369;12427;6;58;2;2;0;0;1;0;1;12428;1;0;12428;321;66;255;0;12107;2482;8646;979;19
"120708";"gmina wiejska";"gm. Łukowica";"limanowski";"małopolskie";7029;7458;2301;4728;5;27;0;0;0;0;0;0;0;4728;0;0;4728;113;27;86;0;4615;959;3394;262;7
"120709";"gmina wiejska";"gm. Mszana Dolna";"limanowski";"małopolskie";12342;13229;4345;7997;13;46;3;3;0;0;0;0;3;8000;3;0;8000;142;31;111;0;7858;1212;6091;555;14
"120710";"gmina wiejska";"gm. Niedźwiedź";"limanowski";"małopolskie";5144;5427;2358;2786;3;41;0;0;0;0;0;0;0;2786;0;0;2786;77;25;52;0;2709;468;2007;234;4
"120711";"gmina wiejska";"gm. Słopnice";"limanowski";"małopolskie";4553;4880;1502;3051;0;14;0;0;0;0;0;0;0;3051;0;0;3051;59;12;47;0;2992;406;2376;210;5
"120712";"gmina wiejska";"gm. Tymbark";"limanowski";"małopolskie";4628;4945;1342;3286;7;10;0;0;0;0;0;0;0;3286;0;0;3286;71;18;53;0;3215;559;2385;271;5
"121101";"gmina miejska";"m. Nowy Targ";"nowotarski";"małopolskie";24074;25924;9053;15021;13;131;4;4;0;0;0;0;4;15025;4;0;15025;272;59;213;0;14753;3746;7006;4001;22
"121102";"gmina miejsko-wiejska";"gm. Szczawnica";"nowotarski";"małopolskie";5335;6501;1504;3831;7;689;1;1;0;0;0;0;1;3832;1;0;3832;72;11;61;0;3760;888;1954;918;6
"121103";"gmina wiejska";"gm. Czarny Dunajec";"nowotarski";"małopolskie";16333;17404;8404;7929;2;112;0;0;0;0;0;0;0;7929;0;0;7929;160;39;121;0;7769;941;5729;1099;23
"121104";"gmina wiejska";"gm. Czorsztyn";"nowotarski";"małopolskie";5384;6049;2036;3348;1;173;0;0;0;0;0;0;0;3348;0;0;3348;55;13;42;0;3293;604;1862;827;7
