"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Michał Tomasz KAMIŃSKI";"Konstanty RADZIWIŁŁ";"Liczba obwodów"
"140500";"grodziski";"mazowieckie";65581;71976;14923;50657;59;401;37;37;0;0;0;0;37;50666;37;3;50663;1546;517;1029;0;49117;28902;20215;51
"141700";"otwocki";"mazowieckie";86848;95692;19590;67253;68;529;2;2;0;0;0;0;2;67248;2;4;67244;2232;727;1505;0;65012;32513;32499;87
"141800";"piaseczyński";"mazowieckie";123167;137697;22896;100266;71;1240;9;8;0;0;0;0;8;100249;8;18;100231;3416;1029;2387;0;96815;59935;36880;112
"142100";"pruszkowski";"mazowieckie";114701;125728;21279;93413;67;880;30;30;1;0;0;0;29;93414;29;13;93401;2964;960;2004;0;90437;55146;35291;87
