"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Beniamin Wincenty GODYLA";"Roman Jacek KOLEK";"Bogdan Stanisław TOMASZEK"
"9582-d40a-5e6a-6208-18b5-c866-60e6-92c7";"160501";"53";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2, ul. Strzelecka 39, 47-320 Gogolin";"gm. Gogolin";"krapkowicki";"opolskie";"1300";"1461";"724";"576";"0";"6";"0";"0";"0";"0";"0";"0";"0";"576";"0";"0";"576";"16";"1";"15";"0";"560";"251";"121";"188"
"97b7-ffdd-164c-98df-93ba-f0a7-cb96-fc6f";"160501";"53";"3";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3, ul. Krapkowicka 141, 47-320 Gogolin";"gm. Gogolin";"krapkowicki";"opolskie";"1124";"1235";"483";"641";"0";"4";"0";"0";"0";"0";"0";"0";"0";"641";"0";"0";"641";"6";"1";"5";"0";"635";"304";"208";"123"
"6acc-b166-cc04-f5a7-d70b-f7d6-5daa-ae5e";"160501";"53";"4";"wieś";"stały";"Świetlica, ul. Wiejska 4, 47-316 Górażdże";"gm. Gogolin";"krapkowicki";"opolskie";"609";"673";"306";"303";"0";"1";"0";"0";"0";"0";"0";"0";"0";"303";"0";"0";"303";"3";"0";"3";"0";"300";"115";"99";"86"
"15ad-616e-f0bc-6505-02ca-2811-d9a1-986a";"160501";"53";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa-świetlica, Malnia ul. Podgórna 3, 47-316 Górażdże";"gm. Gogolin";"krapkowicki";"opolskie";"510";"562";"268";"242";"0";"0";"0";"0";"0";"0";"0";"0";"0";"242";"0";"0";"242";"2";"1";"1";"0";"240";"82";"107";"51"
"32d9-501e-5e88-fc95-2a25-80ae-5b11-5c03";"160501";"53";"6";"wieś";"stały";"Filia Publicznej Szkoły Podstawowej Nr 3 w Gogolinie, Zakrzów ul. Mickiewicza 3, 47-330 Zdzieszowice";"gm. Gogolin";"krapkowicki";"opolskie";"450";"493";"263";"187";"0";"0";"0";"0";"0";"0";"0";"0";"0";"187";"0";"0";"187";"7";"2";"5";"0";"180";"60";"69";"51"
"207b-ad00-4367-ba07-79ed-fe48-8e0e-c497";"160501";"53";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa, Kamień Śląski ul. Klasztorna 2, 47-325 Gogolin";"gm. Gogolin";"krapkowicki";"opolskie";"989";"1104";"528";"461";"1";"13";"0";"0";"0";"0";"0";"0";"0";"461";"0";"0";"461";"9";"2";"7";"0";"452";"131";"91";"230"
"99fc-b949-c3ef-118e-f774-93b3-7365-95a6";"160501";"53";"8";"wieś";"stały";"DSS Święta Barbara, Kamionek ul. Polna 24, 47-325 Gogolin";"gm. Gogolin";"krapkowicki";"opolskie";"500";"545";"289";"211";"0";"1";"0";"0";"0";"0";"0";"0";"0";"211";"0";"0";"211";"7";"0";"7";"0";"204";"51";"75";"78"
"5599-59d7-4af6-d476-535c-e8f7-9f6b-7c78";"160501";"53";"9";"wieś";"stały";"Remiza Strażacka, Obrowiec ul. Łąkowa 1, 47-320 Gogolin";"gm. Gogolin";"krapkowicki";"opolskie";"380";"408";"221";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"4";"0";"4";"0";"155";"55";"73";"27"
"0709-2015-4d58-ead4-cd45-317b-c45e-c660";"160501";"53";"10";"wieś";"stały";"Centrum Aktywacji Wiejskiej, Odrowąż ul. Wiejska 58A, 47-316 Górażdże";"gm. Gogolin";"krapkowicki";"opolskie";"430";"470";"216";"214";"0";"0";"0";"0";"0";"0";"0";"0";"0";"214";"0";"0";"214";"4";"0";"4";"0";"210";"74";"79";"57"
"a2a7-fcf9-65f2-c9ba-78d3-09bb-5ec5-5296";"160501";"53";"11";"miasto";"stały";"Świetlica, ul. Plebiscytowa 1, 47-320 Gogolin";"gm. Gogolin";"krapkowicki";"opolskie";"589";"601";"400";"189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"189";"0";"0";"189";"5";"0";"5";"0";"184";"55";"75";"54"
"35ff-d8a3-2e34-c17d-51b2-a4a0-e94f-f6bc";"160501";"53";"12";"wieś";"stały";"Centrum Aktywacji Wiejskiej, Chorula ul. Opolska 66, 47-316 Górażdże";"gm. Gogolin";"krapkowicki";"opolskie";"430";"473";"242";"188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"188";"0";"0";"188";"5";"1";"4";"0";"183";"56";"72";"55"
"4f19-eb1f-c4c8-ba89-5837-4f20-62ba-d57b";"160502";"53";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 4 w Krapkowicach, ul. Żeromskiego 34, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1619";"1757";"591";"1028";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1028";"0";"0";"1028";"15";"5";"10";"0";"1013";"463";"232";"318"
"f063-fabb-d4f6-e8ec-ef4a-328f-64a0-8b8a";"160502";"53";"2";"miasto";"stały";"Urząd Miasta i Gminy w Krapkowicach, ul. 3 Maja 17, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"929";"1009";"421";"508";"0";"3";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"8";"0";"8";"0";"500";"194";"161";"145"
"f6ca-db51-8c64-7832-9d0d-bb35-f60d-0ec3";"160502";"53";"3";"miasto";"stały";"Miejska i Gminna Biblioteka Publiczna w Krapkowicach, Filia Nr 2, ul. Mickiewicza 1, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1509";"1626";"753";"756";"2";"0";"0";"0";"0";"0";"0";"0";"0";"756";"0";"0";"756";"11";"1";"10";"0";"745";"414";"95";"236"
"491c-3c5a-cbbb-c934-3881-6621-8472-7aad";"160502";"53";"4";"miasto";"stały";"Publiczna Sportowa Szkoła Podstawowa Nr 5 w Krapkowicach, świetlica, Osiedle XXX lecia 24, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1190";"1278";"450";"740";"0";"3";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"12";"4";"8";"0";"726";"409";"92";"225"
"8901-89b1-4ce0-af55-7f3b-3f19-58eb-4b40";"160502";"53";"5";"miasto";"stały";"Publiczna Sportowa Szkoła Podstawowa Nr 5 w Krapkowicach, sala nr 19, ul. Osiedle XXX lecia 24, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1120";"1206";"417";"703";"0";"4";"0";"0";"0";"0";"0";"0";"0";"703";"0";"0";"703";"24";"8";"16";"0";"679";"308";"94";"277"
"36c0-93ec-b8b3-f761-762f-cbbc-98a3-1565";"160502";"53";"6";"miasto";"stały";"Krapkowicki Dom Kultury, ul. Prudnicka 7, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1548";"1671";"906";"642";"0";"6";"0";"0";"0";"0";"0";"0";"0";"642";"0";"0";"642";"16";"5";"11";"0";"626";"311";"117";"198"
"6a80-19f4-67bb-fcdb-384c-b7b8-3cce-d29e";"160502";"53";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 w Krapkowicach, ul. Szkolna 3, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1578";"1712";"673";"905";"2";"1";"0";"0";"0";"0";"0";"0";"0";"904";"0";"0";"904";"24";"5";"19";"0";"880";"461";"162";"257"
"4722-da0d-e8ec-7522-c35f-8071-8c0b-af8c";"160502";"53";"8";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 w Krapkowicach, ul. Kwiatowa 7, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"1649";"1786";"673";"976";"0";"0";"0";"0";"0";"0";"0";"0";"0";"976";"0";"0";"976";"12";"2";"10";"0";"964";"471";"176";"317"
"522d-0967-de76-c800-5ccb-8ca1-32d5-3f05";"160502";"53";"9";"miasto";"stały";"Zespół Szkół im. Jana Kilińskiego w Krapkowicach, ul. Księdza Duszy 7, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"739";"795";"316";"423";"1";"1";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"10";"3";"7";"0";"413";"190";"54";"169"
"0314-00b8-6dc0-19f5-61c3-445b-9a52-ae43";"160502";"53";"10";"wieś";"stały";"Publiczna Szkoła Podstawowa w Dąbrówce Górnej, Dąbrówka Górna ul. Opolska 64, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"650";"709";"327";"323";"0";"1";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"8";"0";"8";"0";"315";"91";"152";"72"
"3cf9-a3bf-90f7-9f50-5acd-e01e-5c24-609f";"160502";"53";"11";"wieś";"stały";"Publiczna Szkoła Podstawowa w Rogowie Opolskim, Rogów Opolski ul. Chrobrego 15, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"779";"849";"410";"369";"0";"4";"0";"0";"0";"0";"0";"0";"0";"369";"0";"0";"369";"5";"0";"5";"0";"364";"108";"185";"71"
"4c75-2e9f-ac1a-0440-1f8b-bcaa-5100-e1b9";"160502";"53";"12";"wieś";"stały";"Publiczna Szkoła Podstawowa w Żywocicach, Żywocice ul. Średnia 48, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"878";"954";"440";"438";"0";"1";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"8";"1";"7";"0";"429";"113";"208";"108"
"5f30-6f1d-89b2-1b09-50bb-76a1-6973-0411";"160502";"53";"13";"wieś";"stały";"Świetlica, Pietna ul. Łąkowa 1, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"360";"398";"176";"184";"0";"0";"0";"0";"0";"0";"0";"0";"0";"184";"0";"0";"184";"3";"0";"3";"0";"181";"68";"63";"50"
"93aa-823e-d227-a19b-4c02-e989-274d-7fff";"160502";"53";"14";"wieś";"stały";"Publiczne Przedszkole w Żywocicach Oddział w Żużeli, ul. Szkolna 3, 47-341 Żużela";"gm. Krapkowice";"krapkowicki";"opolskie";"420";"454";"224";"196";"0";"0";"0";"0";"0";"0";"0";"0";"0";"196";"0";"0";"196";"2";"0";"2";"0";"194";"32";"127";"35"
"bda0-7963-cdd1-7616-3111-5eb6-dd2c-24a8";"160502";"53";"15";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Kórnicy, Kórnica ul. Główna 2, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"566";"619";"303";"263";"0";"2";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"1";"0";"1";"0";"262";"49";"157";"56"
"3293-8c8c-5f19-c0a2-bc9f-f388-2f68-23ce";"160502";"53";"16";"wieś";"stały";"Świetlica OSP, Ściborowice ul. Szkolna 3, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"280";"307";"184";"96";"0";"0";"0";"0";"0";"0";"0";"0";"0";"96";"0";"0";"96";"2";"0";"2";"0";"94";"28";"45";"21"
"1e33-f513-042f-a416-10f1-d155-e5e8-fa80";"160502";"53";"17";"wieś";"stały";"Stowarzyszeniowa Publiczna Szkoła Podstawowa w Steblowie, Steblów ul. Szkolna 2, 47-300 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"740";"810";"364";"376";"1";"0";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"8";"1";"7";"0";"368";"83";"174";"111"
"02f8-cdc7-3c7e-71cf-a519-fc25-1b0c-83f5";"160502";"53";"18";"miasto";"zakład leczniczy";"Krapkowickie Centrum Zdrowia Sp. z o. o., Osiedle XXX-lecia 21, 47-303 Krapkowice";"gm. Krapkowice";"krapkowicki";"opolskie";"100";"47";"90";"10";"0";"1";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"10";"0";"0";"0";"0";"10";"5";"2";"3"
"ab76-920d-33d5-0f01-0fb5-8040-7b22-b583";"160503";"53";"1";"wieś";"stały";"Gminny Ośrodek Kultury w Strzeleczkach, Rynek 4, 47-364 Strzeleczki";"gm. Strzeleczki";"krapkowicki";"opolskie";"1169";"1284";"605";"564";"1";"3";"0";"0";"0";"0";"0";"0";"0";"564";"0";"0";"564";"11";"4";"7";"0";"553";"151";"270";"132"
"3759-81f2-7284-3636-15f8-7e4c-c477-5e65";"160503";"53";"2";"wieś";"stały";"Szkoła Podstawowa w Racławiczkach, Racławiczki ul. Szkolna 6, 47-370 Zielina";"gm. Strzeleczki";"krapkowicki";"opolskie";"1351";"1486";"758";"593";"0";"2";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"24";"2";"22";"0";"569";"123";"297";"149"
"720f-0269-c634-bcda-acb4-b8c8-1554-b8b3";"160503";"53";"3";"wieś";"stały";"Szkoła Podstawowa w Zielinie, ul. Prudnicka 8, 47-370 Zielina";"gm. Strzeleczki";"krapkowicki";"opolskie";"1190";"1310";"684";"506";"0";"1";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"10";"0";"10";"0";"496";"143";"223";"130"
"d84b-74cc-f350-0076-4508-3250-d26b-3744";"160503";"53";"4";"wieś";"stały";"Szkoła Podstawowa w Komornikach, Komorniki ul. Szkolna 4, 47-364 Strzeleczki";"gm. Strzeleczki";"krapkowicki";"opolskie";"1121";"1230";"677";"444";"0";"0";"0";"0";"0";"0";"0";"0";"0";"444";"0";"0";"444";"16";"2";"14";"0";"428";"109";"220";"99"
"8748-a532-775b-ff2d-a522-72c0-976a-4627";"160503";"53";"5";"wieś";"stały";"Szkoła Podstawowa w Dobrej, Dobra ul. Szkolna 37, 47-364 Strzeleczki";"gm. Strzeleczki";"krapkowicki";"opolskie";"580";"639";"298";"282";"0";"0";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"4";"0";"4";"0";"278";"60";"147";"71"
"559c-31f4-b716-f49d-e0da-b89c-cfc4-908c";"160503";"53";"6";"wieś";"zakład leczniczy";"Centrum Terapii Nerwic w Mosznej Sp. z o. o., ul. Zamkowa 1A, 47-370 Moszna";"gm. Strzeleczki";"krapkowicki";"opolskie";"120";"66";"54";"66";"0";"12";"0";"0";"0";"0";"0";"0";"0";"66";"0";"0";"66";"7";"1";"6";"0";"59";"29";"6";"24"
"ddf7-9a18-b754-6aed-8dfb-68bb-133c-c5d2";"160504";"53";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Lipowa 2, 47-344 Walce";"gm. Walce";"krapkowicki";"opolskie";"947";"1027";"548";"399";"0";"0";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"6";"4";"2";"0";"393";"93";"219";"81"
"8c30-d2ea-3647-7654-0cad-5f96-03c8-3f55";"160504";"53";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa, Brożec ul. Reymonta 65, 47-341 Żużela";"gm. Walce";"krapkowicki";"opolskie";"930";"1022";"487";"443";"0";"0";"0";"0";"0";"0";"0";"0";"0";"443";"0";"0";"443";"10";"2";"8";"0";"433";"86";"271";"76"
"0f5d-abb4-6aad-4102-6841-0439-67bc-1b35";"160504";"53";"3";"wieś";"stały";"Budynek Wielofunkcyjny, Rozkochów ul. Wiejska 19 a, 47-344 Walce";"gm. Walce";"krapkowicki";"opolskie";"390";"423";"260";"130";"0";"0";"0";"0";"0";"0";"0";"0";"0";"130";"0";"0";"130";"4";"1";"3";"0";"126";"39";"53";"34"
"5b7f-67b7-ced3-93b2-0b69-9ff7-4db5-cfd6";"160504";"53";"4";"wieś";"stały";"Remiza OSP, Stradunia ul. Opolska 31, 47-341 Żużela";"gm. Walce";"krapkowicki";"opolskie";"640";"710";"366";"274";"0";"2";"0";"0";"0";"0";"0";"0";"0";"274";"0";"0";"274";"5";"0";"5";"0";"269";"75";"125";"69"
"fa97-b9f3-ac78-eb38-0c1f-5b83-2b3a-1403";"160504";"53";"5";"wieś";"stały";"Budynek gminny-świetlica wiejska, Dobieszowice ul. Główna 22, 47-344 Walce";"gm. Walce";"krapkowicki";"opolskie";"351";"377";"231";"120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"120";"0";"0";"120";"0";"0";"0";"0";"120";"28";"74";"18"
"a716-0f68-f00c-7965-e2f6-5a18-d061-b059";"160504";"53";"6";"wieś";"stały";"Gminny Ośrodek Kultury, Opolska 23a, 47-344 Walce";"gm. Walce";"krapkowicki";"opolskie";"818";"908";"455";"363";"1";"2";"0";"0";"0";"0";"0";"0";"0";"363";"0";"0";"363";"3";"0";"3";"0";"360";"69";"213";"78"
"9356-767e-6966-6700-1f7c-3553-f27e-32e0";"160505";"53";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 - sala gimnastyczna, ul. Bolesława Chrobrego 36, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1124";"1220";"578";"546";"1";"2";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"10";"2";"8";"0";"536";"207";"181";"148"
"3f89-8ca2-13a1-8d44-ec0a-011a-e914-4538";"160505";"53";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2, ul. Plac 1 Maja 1, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1482";"1622";"652";"830";"1";"3";"0";"0";"0";"0";"0";"0";"0";"830";"0";"0";"830";"24";"12";"12";"0";"806";"378";"171";"257"
"22a7-9b5d-cca9-b49d-4458-7fe7-4e06-3e9b";"160505";"53";"3";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3, ul. Nowa 3, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1564";"1670";"831";"733";"0";"5";"0";"0";"0";"0";"0";"0";"0";"733";"0";"0";"733";"21";"3";"18";"0";"712";"384";"95";"233"
"7ed8-87c2-5d19-d568-4869-a672-36f6-2bee";"160505";"53";"4";"miasto";"stały";"Zespół Szkół im. Jana Pawła II, ul. Góry św. Anny 21a, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1406";"1511";"523";"883";"1";"3";"0";"0";"0";"0";"0";"0";"0";"883";"0";"0";"883";"27";"3";"24";"0";"856";"456";"149";"251"
"07eb-9b30-0094-d98a-1644-5d08-7749-1270";"160505";"53";"5";"miasto";"stały";"Ośrodek Profilaktyki i Wspierania Rodziny, ul. Bolesława Chrobrego 18, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1063";"1147";"490";"573";"0";"2";"0";"0";"0";"0";"0";"0";"0";"573";"0";"0";"573";"19";"3";"16";"0";"554";"289";"63";"202"
"c22d-36f0-e171-5105-7275-0bfd-c4bc-195d";"160505";"53";"6";"miasto";"stały";"Żłobek Samorządowy, ul. Piastów 20, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1240";"1334";"529";"711";"0";"2";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"17";"3";"14";"0";"693";"354";"63";"276"
"744a-698b-1c41-3b74-a401-605f-1802-b280";"160505";"53";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa, Januszkowice ul. Lesiańska 6, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"786";"853";"366";"420";"0";"3";"0";"0";"0";"0";"0";"0";"0";"420";"0";"0";"420";"4";"0";"4";"0";"416";"138";"161";"117"
"1b7d-23fe-8c9a-c525-0f95-8749-2be5-d631";"160505";"53";"8";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Rozwadza ul. Szkolna 36, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"710";"778";"375";"335";"1";"1";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"5";"2";"3";"0";"330";"132";"115";"83"
"6e31-22d6-84c8-910a-59b9-882d-5a1d-33a1";"160505";"53";"9";"wieś";"stały";"Publiczna Szkoła Podstawowa, Żyrowa ul. Wojska Polskiego 4, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"1010";"1096";"496";"514";"0";"0";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"20";"2";"18";"0";"494";"171";"225";"98"
"2055-1d4a-62db-7bf9-6644-73c7-b5bf-82cf";"160505";"53";"10";"wieś";"stały";"Publiczna Szkoła Podstawowa, Krępna ul. Zdzieszowicka 35, 47-330 Zdzieszowice";"gm. Zdzieszowice";"krapkowicki";"opolskie";"540";"577";"344";"196";"1";"0";"0";"0";"0";"0";"0";"0";"0";"196";"0";"0";"196";"6";"0";"6";"0";"190";"70";"75";"45"
"9c4c-fe72-7444-085d-8ef9-29ec-123d-fd44";"160801";"53";"1";"miasto";"stały";"Zespół Szkół w Dobrodzieniu, ul. Oleska 7, 46-380 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"1258";"1383";"620";"638";"1";"9";"0";"0";"0";"0";"0";"0";"0";"637";"0";"0";"637";"20";"9";"11";"0";"617";"277";"157";"183"
"268a-1eda-83af-cdc2-75cc-b3db-60db-129f";"160801";"53";"2";"miasto i wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Piastowska 17, 46-380 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"1110";"1202";"663";"447";"0";"5";"0";"0";"0";"0";"0";"0";"0";"447";"0";"0";"447";"16";"6";"10";"0";"431";"164";"109";"158"
"e08f-f3e3-ad67-1cf5-cff1-9628-260c-bd71";"160801";"53";"3";"miasto i wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Piastowska 49, 46-380 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"1361";"1480";"734";"627";"0";"2";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"24";"6";"18";"0";"603";"240";"206";"157"
"55a4-1c82-4a8d-77bb-0c8f-2b32-b238-27fe";"160801";"53";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa, Pludry ul. Aleja Wyzwolenia 4b, 46-375 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"1530";"1657";"807";"723";"0";"2";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"13";"2";"11";"0";"710";"210";"166";"334"
"eeaf-f948-03fb-9db8-8aaf-b656-2ad8-f364";"160801";"53";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa, Szemrowice ul. Wiejska 2, 46-380 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"579";"638";"327";"252";"0";"0";"0";"0";"0";"0";"0";"0";"0";"252";"0";"0";"252";"6";"1";"5";"0";"246";"101";"90";"55"
"89db-9ea1-e3cb-1384-279c-92dc-3d63-2f9e";"160801";"53";"6";"wieś";"stały";"Budynek byłej Szkoły Podstawowej, Rzędowice ul. Dobrodzieńska 8, 46-380 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"690";"763";"370";"320";"0";"3";"0";"0";"0";"0";"0";"0";"0";"320";"0";"0";"320";"4";"0";"4";"0";"316";"84";"101";"131"
"ccf4-fe10-ebc7-58f1-869c-6177-a96e-373c";"160801";"53";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa, Turza ul. Kolejowa 27, 46-380 Dobrodzień";"gm. Dobrodzień";"oleski";"opolskie";"710";"774";"435";"275";"1";"5";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"7";"1";"6";"0";"268";"89";"81";"98"
"5be9-0b46-a649-7acd-3215-357d-a0c9-add7";"160802";"53";"1";"wieś";"stały";"Świetlica środowiskowa, Wojska Polskiego 17, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"391";"436";"215";"176";"0";"5";"0";"0";"0";"0";"0";"0";"0";"176";"0";"0";"176";"5";"2";"3";"0";"171";"68";"42";"61"
"8058-b5a1-4c45-419e-e2e9-c277-bdfe-2ebf";"160802";"53";"2";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Gorzowie Śląskim (sala widowiskowa), Rynek 4, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"991";"1074";"468";"523";"0";"6";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"7";"0";"7";"0";"516";"258";"109";"149"
"494f-9f84-5a14-2b46-47fb-f1e9-b159-fb4b";"160802";"53";"3";"miasto";"stały";"Hala widowiskowo-sportowa w Gorzowie Śląskim, Byczyńska 13, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"859";"942";"392";"467";"1";"3";"0";"0";"0";"0";"0";"0";"0";"467";"0";"0";"467";"10";"4";"6";"0";"457";"191";"112";"154"
"2fe3-0c94-d9a7-3c08-6cdc-30f7-bc13-2f17";"160802";"53";"4";"wieś";"stały";"Budynek Publicznego Przedszkola., Jastrzygowice 23, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"470";"508";"276";"194";"0";"0";"0";"0";"0";"0";"0";"0";"0";"194";"0";"0";"194";"5";"0";"5";"0";"189";"68";"56";"65"
"bd37-f942-d77c-9364-ab60-0df7-6da4-6daa";"160802";"53";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa., Kozłowice ul. Nowa 2, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"1061";"1187";"510";"551";"0";"26";"0";"0";"0";"0";"0";"0";"0";"550";"0";"0";"550";"16";"3";"13";"0";"534";"260";"131";"143"
"3489-54e1-7932-342d-df1b-e9cb-b99c-db20";"160802";"53";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa., Uszyce 35, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"630";"689";"339";"291";"0";"1";"0";"0";"0";"0";"0";"0";"0";"291";"0";"0";"291";"6";"1";"5";"0";"285";"146";"34";"105"
"01b5-a17f-f8e3-65c5-a8fe-095e-a0de-a8e1";"160802";"53";"7";"wieś";"stały";"Publiczne Przedszkole, Zdziechowice 98, 46-310 Gorzów Śląski";"gm. Gorzów Śląski";"oleski";"opolskie";"969";"1062";"568";"401";"0";"3";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"17";"2";"15";"0";"384";"172";"42";"170"
