"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Radosław SAŁATA";"Michał SEWERYŃSKI";"Andrzej URBANIAK";"Jacek WALCZAK"
"5b2d-1f9a-5e1f-bbd7-b2f3-7524-e959-c081";"100901";"27";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Janusza Korczaka, ul. Zamkowa 1, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"1865";"1996";"657";"1208";"6";"3";"0";"0";"0";"0";"0";"0";"0";"1207";"0";"0";"1207";"29";"8";"21";"0";"1178";"137";"676";"46";"319"
"c1d4-c0f5-c7cf-ef52-9199-0f99-ede3-eb76";"100901";"27";"2";"wieś";"stały";"Szkoła Filialna w Szczytach, Szczyty ul. Szkolna 2, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"614";"651";"202";"412";"0";"1";"0";"0";"0";"0";"0";"0";"0";"412";"0";"0";"412";"5";"1";"4";"0";"407";"56";"246";"25";"80"
"9bcc-18d4-fac4-ea3b-4bb4-1b7a-809c-b417";"100901";"27";"3";"wieś";"stały";"Szkoła Podstawowa im. Marii Konopnickiej w Raciszynie, Raciszyn ul. Działoszyńska 65, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"985";"1069";"373";"612";"1";"0";"0";"0";"0";"0";"0";"0";"0";"612";"0";"0";"612";"17";"6";"11";"0";"595";"71";"389";"44";"91"
"2304-a320-a18b-ceba-e111-91a3-9269-0117";"100901";"27";"4";"wieś";"stały";"Zespół Szkół w Trębaczewie, Trębaczew ul. Szkolna 5, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"2014";"2185";"728";"1286";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1286";"0";"0";"1286";"43";"12";"31";"0";"1243";"150";"679";"70";"344"
"8aa3-3f18-f905-81ae-7226-82cd-6c1a-d136";"100901";"27";"5";"wieś";"stały";"Szkoła Filialna w Kolonii Lisowice, Kolonia Lisowice 85, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"706";"772";"244";"462";"1";"5";"0";"0";"0";"0";"0";"0";"0";"461";"0";"0";"461";"12";"4";"8";"0";"449";"65";"294";"24";"66"
"c3c8-ffa6-fd01-c1b8-8615-1484-a339-8559";"100901";"27";"6";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Mikołaja Kopernika w Działoszynie, ul. Ogrodowa 3a, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"1375";"1467";"407";"968";"3";"1";"0";"0";"0";"0";"0";"0";"0";"968";"0";"0";"968";"6";"0";"6";"0";"962";"123";"401";"35";"403"
"e476-3acc-6765-1916-5e0e-9e13-0f7d-64eb";"100901";"27";"7";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Mikołaja Kopernika w Działoszynie, ul. Ogrodowa 3a, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"1613";"1726";"646";"967";"0";"0";"0";"0";"0";"0";"0";"0";"0";"967";"0";"0";"967";"28";"5";"23";"0";"939";"107";"437";"53";"342"
"2331-c84b-6b3d-3ed0-39c5-5cca-ecf1-75d8";"100901";"27";"8";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Bobrownikach, Bobrowniki 50, 98-355 Działoszyn";"gm. Działoszyn";"pajęczański";"łódzkie";"30";"28";"14";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"16";"0";"0";"0";"0";"16";"2";"2";"6";"6"
"8cdc-aa1d-2929-ebe9-1377-6f23-9857-dfda";"100902";"27";"1";"wieś";"stały";"Szkoła Podstawowa w Kiełczygłowie, Tysiąclecia 8, 98-358  Kiełczygłów";"gm. Kiełczygłów";"pajęczański";"łódzkie";"1791";"1944";"545";"1246";"5";"5";"0";"0";"0";"0";"0";"0";"0";"1246";"0";"0";"1246";"30";"7";"23";"0";"1216";"102";"852";"71";"191"
"b7d3-7d36-435e-0908-9bbd-10f3-75ba-5907";"100902";"27";"2";"wieś";"stały";"Budynek OSP, Huta 1a, 98-358 Kiełczygłów";"gm. Kiełczygłów";"pajęczański";"łódzkie";"523";"573";"158";"365";"0";"0";"0";"0";"0";"0";"0";"0";"0";"365";"0";"0";"365";"9";"1";"8";"0";"356";"38";"247";"27";"44"
