"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Elżbieta Agnieszka KOMOSA";"Marta Ewelina MICHALSKA-WILK";"Wojciech SKURKIEWICZ";"Liczba obwodów"
"140900";"lipski";"mazowieckie";25951;28018;11261;14703;19;94;0;0;0;0;0;0;0;14701;0;1;14700;351;63;288;0;14349;1807;3596;8946;42
"142500";"radomski";"mazowieckie";109264;119268;38097;71163;73;225;2;2;0;0;0;0;2;71157;2;7;71150;1309;296;1013;0;69841;7579;16316;45946;114
"143000";"szydłowiecki";"mazowieckie";29090;31679;11276;17814;29;66;2;2;0;0;0;0;2;17812;2;0;17812;403;102;301;0;17409;1936;3836;11637;29
"143600";"zwoleński";"mazowieckie";26839;29293;10685;16154;29;82;0;0;0;0;0;0;0;16154;0;0;16154;343;70;273;0;15811;1872;3763;10176;37
"146300";"Radom";"mazowieckie";148590;160150;44688;103905;92;472;20;19;2;0;0;0;17;103913;17;2;103911;1477;425;1052;0;102434;11001;41842;49591;115
