"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin BEŁBOT";"Sławomir Piotr RYBICKI";"Józef Franciszek WÓJCIK"
"5b2a-803d-41e5-6aed-6aa5-d35e-8bfa-1fb3";"221104";"64";"8";"wieś";"stały";"Świetlica, Tupadły ul. Szkolna 3, 84-104 Jastrzębia Góra";"gm. Władysławowo";"pucki";"pomorskie";"350";"406";"99";"251";"0";"2";"0";"0";"0";"0";"0";"0";"0";"251";"0";"0";"251";"7";"2";"5";"0";"244";"105";"115";"24"
"1c35-16bb-9450-50e9-e35e-c87c-74f1-22cb";"221104";"64";"9";"wieś";"stały";"Hotel Okulski Grand, Rozewie ul. Garnizonowa 40, 84-104 Jastrzębia Góra";"gm. Władysławowo";"pucki";"pomorskie";"200";"225";"57";"143";"0";"11";"0";"0";"0";"0";"0";"0";"0";"143";"0";"0";"143";"2";"1";"1";"0";"141";"23";"89";"29"
"cf38-389b-4794-17b3-c61a-3144-4f74-c81d";"221104";"64";"10";"wieś";"stały";"Szkoła Podstawowa, ul. Słowackiego 4, 84-104 Jastrzębia Góra";"gm. Władysławowo";"pucki";"pomorskie";"949";"1142";"106";"843";"2";"301";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"7";"3";"4";"0";"836";"263";"508";"65"
"e029-530b-939f-82e2-7fba-672d-faed-7913";"221104";"64";"11";"wieś";"stały";"Świetlica, Ostrowo ul. Zabytkowa 2, 84-105 Karwia";"gm. Władysławowo";"pucki";"pomorskie";"498";"556";"171";"327";"0";"12";"0";"0";"0";"0";"0";"0";"0";"327";"0";"0";"327";"5";"2";"3";"0";"322";"120";"170";"32"
"0a3c-0273-f253-ad03-0f5c-1339-c527-3885";"221104";"64";"12";"wieś";"stały";"Szkoła Podstawowa, ul. Wojska Polskiego 47, 84-105 Karwia";"gm. Władysławowo";"pucki";"pomorskie";"748";"818";"209";"539";"0";"19";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"11";"1";"10";"0";"528";"198";"275";"55"
"c987-85f4-3c3f-be58-ce1b-efd0-cf25-f24a";"221105";"64";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Mostach Hala Sportowa, Mosty ul. Szkolna 16, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"2350";"2561";"453";"1897";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1896";"0";"0";"1896";"35";"22";"13";"0";"1861";"531";"1110";"220"
"c734-2aac-98de-7586-a703-ccf7-3ffd-9fb1";"221105";"64";"2";"wieś";"stały";"Przedszkole w Rewie, Rewa Koralowa 1, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"751";"814";"209";"541";"0";"54";"0";"0";"0";"0";"0";"0";"0";"542";"0";"0";"542";"8";"1";"7";"0";"534";"196";"264";"74"
"6b7e-e96d-c7e9-2901-5198-a12e-e2b9-d8df";"221105";"64";"3";"wieś";"stały";"Gminny Dom Kultury w Pierwoszynie, Pierwoszyno ul. Kaszubska 11, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"800";"872";"142";"658";"2";"15";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"8";"2";"6";"0";"650";"179";"394";"77"
"266d-85b5-4e53-b3cf-c0d5-96d8-628d-42c2";"221105";"64";"4";"wieś";"stały";"Biblioteka Publiczna Gminy Kosakowo, Fiołkowa 2A, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"1300";"1423";"202";"1098";"2";"13";"0";"0";"0";"0";"0";"0";"0";"1098";"0";"0";"1098";"16";"2";"14";"0";"1082";"262";"689";"131"
"e461-64c8-b12f-f571-192d-59fe-c001-9c49";"221105";"64";"5";"wieś";"stały";"Szkoła Podstawowa w Dębogórzu, Dębogórze Pomorska 30, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"1649";"1768";"455";"1194";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1194";"0";"0";"1194";"18";"6";"12";"0";"1176";"368";"628";"180"
