"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni SZYMAŃSKI";"Ryszard Jan ŚWILSKI";"Liczba obwodów"
"220401";"gmina miejska";"m. Pruszcz Gdański";"gdański";"pomorskie";20200;22007;5041;15159;27;101;1;1;0;0;0;0;1;15154;1;2;15152;410;140;270;0;14742;4114;10628;16
"220402";"gmina wiejska";"gm. Cedry Wielkie";"gdański";"pomorskie";4721;5165;1979;2742;1;21;0;0;0;0;0;0;0;2742;0;0;2742;89;18;71;0;2653;1037;1616;4
"220403";"gmina wiejska";"gm. Kolbudy";"gdański";"pomorskie";11865;13058;2888;8977;3;71;2;2;0;0;0;0;2;8977;2;0;8977;252;78;174;0;8725;2665;6060;7
"220404";"gmina wiejska";"gm. Pruszcz Gdański";"gdański";"pomorskie";19820;21794;4979;14857;6;149;1;1;0;0;0;0;1;14854;1;0;14854;414;160;254;0;14440;4239;10201;14
"220405";"gmina wiejska";"gm. Przywidz";"gdański";"pomorskie";4071;4503;1438;2633;0;37;0;0;0;0;0;0;0;2633;0;0;2633;84;10;74;0;2549;1075;1474;3
"220406";"gmina wiejska";"gm. Pszczółki";"gdański";"pomorskie";6599;7200;2315;4284;2;14;0;0;0;0;0;0;0;4283;0;0;4283;133;39;94;0;4150;1504;2646;7
"220407";"gmina wiejska";"gm. Suchy Dąb";"gdański";"pomorskie";2970;3228;1329;1641;0;2;0;0;0;0;0;0;0;1641;0;0;1641;59;15;44;0;1582;611;971;3
"220408";"gmina wiejska";"gm. Trąbki Wielkie";"gdański";"pomorskie";7508;8174;3168;4339;3;15;0;0;0;0;0;0;0;4338;0;0;4338;164;42;122;0;4174;1811;2363;5
"221301";"gmina miejsko-wiejska";"gm. Czarna Woda";"starogardzki";"pomorskie";2348;2541;886;1462;1;7;0;0;0;0;0;0;0;1462;0;0;1462;47;2;45;0;1415;803;612;3
"221302";"gmina miejska";"m. Skórcz";"starogardzki";"pomorskie";2451;2681;895;1556;6;8;0;0;0;0;0;0;0;1556;0;0;1556;38;5;33;0;1518;733;785;2
"221303";"gmina miejska";"m. Starogard Gdański";"starogardzki";"pomorskie";33464;35839;12447;21020;17;108;2;2;2;0;0;0;0;21017;0;0;21017;622;178;444;0;20395;9651;10744;24
"221304";"gmina wiejska";"gm. Bobowo";"starogardzki";"pomorskie";2160;2351;952;1208;0;6;0;0;0;0;0;0;0;1208;0;0;1208;50;8;42;0;1158;719;439;4
"221305";"gmina wiejska";"gm. Kaliska";"starogardzki";"pomorskie";3708;4185;1471;2237;1;22;0;0;0;0;0;0;0;2237;0;0;2237;82;13;69;0;2155;1168;987;3
