"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Mieczysław CHRÓŚCIKOWSKI";"Marcin DYBOWSKI";"Józef Jan KUROPATWA"
"26ed-78a9-2931-20a6-a574-056b-ccbf-7f43";"060214";"19";"2";"wieś";"stały";"Urząd Gminy w Turobinie, ul. Rynek 4, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"697";"768";"257";"440";"3";"1";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"9";"4";"5";"0";"431";"366";"17";"48"
"9fbe-fbc6-730f-9306-fbf2-0793-d3aa-4250";"060214";"19";"3";"wieś";"stały";"Remiza OSP w Tarnawie Dużej, Tarnawa Duża 62A, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"261";"287";"93";"168";"0";"2";"0";"0";"0";"0";"0";"0";"0";"168";"0";"0";"168";"7";"0";"7";"0";"161";"131";"12";"18"
"8b46-23fb-3fb1-61de-e3d8-6d8c-941f-d20d";"060214";"19";"4";"wieś";"stały";"Remiza OSP w Guzówce-Kolonii, Guzówka-Kolonia 81, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"350";"381";"111";"239";"1";"1";"0";"0";"0";"0";"0";"0";"0";"239";"0";"0";"239";"2";"1";"1";"0";"237";"194";"16";"27"
"c136-5936-2fc4-820c-1d7d-d3b1-695c-91b6";"060214";"19";"5";"wieś";"stały";"Remiza OSP w Żabnie, Żabno 44B, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"410";"445";"144";"266";"0";"0";"0";"0";"0";"0";"0";"0";"0";"266";"0";"0";"266";"5";"0";"5";"0";"261";"203";"19";"39"
"c781-2df6-fb41-f356-03f2-2fed-2243-025d";"060214";"19";"6";"wieś";"stały";"Szkoła Podstawowa w Gródkach Drugich, Gródki Drugie 100, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"370";"390";"120";"250";"1";"0";"0";"0";"0";"0";"0";"0";"0";"250";"0";"0";"250";"6";"1";"5";"0";"244";"156";"15";"73"
"6aa4-da83-69b5-e22f-2399-9027-5020-2321";"060214";"19";"7";"wieś";"stały";"Remiza OSP w Hucie Turobińskiej, Huta Turobińska 35, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"430";"477";"123";"307";"1";"2";"0";"0";"0";"0";"0";"0";"0";"307";"0";"0";"307";"6";"1";"5";"0";"301";"252";"19";"30"
"dec8-c02b-389c-c9ae-0ece-a895-a547-028f";"060214";"19";"8";"wieś";"stały";"Szkoła Podstawowa w Czernięcinie Głównym, Czernięcin Główny 159, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"460";"496";"163";"297";"2";"0";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"4";"1";"3";"0";"293";"243";"16";"34"
"2569-8a42-af2e-5de2-714a-6fe5-370a-eaec";"060214";"19";"9";"wieś";"stały";"Remiza OSP w Gaju Czernięcińskim, Gaj Czernięciński 12, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"581";"640";"224";"357";"4";"0";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"2";"0";"2";"0";"355";"272";"20";"63"
"2505-9dca-5fd0-01c1-875b-cddf-235e-a0b6";"060214";"19";"10";"wieś";"stały";"Remiza OSP w Nowej Wsi, Nowa Wieś 5, 23-465 Turobin";"gm. Turobin";"biłgorajski";"lubelskie";"200";"218";"93";"107";"0";"0";"0";"0";"0";"0";"0";"0";"0";"107";"0";"0";"107";"1";"0";"1";"0";"106";"81";"10";"15"
"2b4f-dca3-dd59-9a8b-0a01-d24b-f1ce-ce07";"060401";"19";"1";"miasto";"stały";"Miejskie Przedszkole Nr 3, ul. Konopnickiej 4, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"971";"1037";"353";"618";"0";"3";"0";"0";"0";"0";"0";"0";"0";"618";"0";"0";"618";"21";"2";"19";"0";"597";"355";"110";"132"
"7b1b-e826-bcea-38e7-4fa1-049c-e300-a198";"060401";"19";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Żeromskiego 29, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"1821";"2022";"634";"1187";"3";"10";"0";"0";"0";"0";"0";"0";"0";"1187";"0";"0";"1187";"43";"18";"25";"0";"1144";"548";"292";"304"
"5d8c-4dc6-8ec5-2283-bd2d-da55-6d75-237c";"060401";"19";"3";"miasto";"stały";"Świetlica osiedlowa Osiedla ""Jagiellońskie"", ul. Unii Horodelskiej 19, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"980";"965";"452";"528";"0";"3";"1";"1";"0";"0";"0";"0";"1";"529";"1";"0";"529";"20";"8";"12";"0";"509";"293";"77";"139"
"1560-1cbb-bb70-8a7e-8b07-9576-7000-2259";"060401";"19";"4";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Zamojska 16, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"901";"961";"377";"524";"1";"10";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"17";"1";"16";"0";"507";"278";"81";"148"
"200f-4dd1-f965-07ac-2a19-16ca-43db-fd52";"060401";"19";"5";"miasto";"stały";"Powiatowy Zespół Placówek Szkolno-Wychowawczych, ul. Zamojska 16 A, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"878";"929";"368";"510";"1";"4";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"16";"4";"12";"0";"494";"241";"88";"165"
"b5dd-f908-2e7b-68d5-166e-8003-dde0-0419";"060401";"19";"6";"miasto";"stały";"Agencja Restrukturyzacji i Modernizacji Rolnictwa Biuro Powiatowe, ul. Nowa 14, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"1699";"1812";"820";"879";"2";"4";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"38";"13";"25";"0";"842";"473";"141";"228"
"fc6d-65af-5285-dbc3-63b2-8e5d-1787-83a2";"060401";"19";"7";"miasto";"stały";"Dom Nauczyciela, ul. 3 - go Maja. 37, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"870";"935";"398";"472";"2";"3";"0";"0";"0";"0";"0";"0";"0";"472";"0";"0";"472";"13";"5";"8";"0";"459";"221";"86";"152"
"266b-df43-194e-8e50-dcca-6c41-87eb-56f8";"060401";"19";"8";"miasto";"stały";"Hrubieszowski Dom Kultury, ul. 3 - go Maja 7, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"891";"959";"388";"503";"0";"16";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"16";"9";"7";"0";"487";"243";"72";"172"
"692b-c74c-847b-1676-1fca-119b-46fb-95bf";"060401";"19";"9";"miasto";"stały";"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej, ul. Krucza 20, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"831";"892";"332";"499";"0";"8";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"18";"2";"16";"0";"481";"211";"109";"161"
"f9a5-1e0b-c130-bbe1-2ec5-4db0-0a63-c3bb";"060401";"19";"10";"miasto";"stały";"Spółdzielczy Klub Kultury ""Słoneczko"", ul. Polna 19, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"830";"895";"389";"441";"1";"1";"0";"0";"0";"0";"0";"0";"0";"441";"0";"0";"441";"28";"15";"13";"0";"413";"152";"88";"173"
"f814-bc64-7d8f-f4a6-7122-fda0-26fb-73ec";"060401";"19";"11";"miasto";"stały";"Miejskie Przedszkole Nr 5, ul. Listopadowa 6, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"783";"827";"351";"432";"2";"3";"0";"0";"0";"0";"0";"0";"0";"432";"0";"0";"432";"13";"6";"7";"0";"419";"194";"71";"154"
"3f2d-6b37-839a-a2f0-1342-095f-eccb-93aa";"060401";"19";"12";"miasto";"stały";"Miejskie Przedszkole Nr 1, ul. Józefa Piłsudskiego 59, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"816";"866";"326";"491";"0";"4";"0";"0";"0";"0";"0";"0";"0";"491";"0";"0";"491";"7";"3";"4";"0";"484";"243";"92";"149"
"c08b-1bae-3ee2-20fe-b2ef-a4c0-c25e-588c";"060401";"19";"13";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Listopadowa 12, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"851";"917";"327";"524";"0";"5";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"25";"15";"10";"0";"499";"239";"88";"172"
"08ca-841b-d65a-c6d6-5ba9-778f-68ac-0fd2";"060401";"19";"14";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zespół Opieki Zdrowotnej, Józefa Piłsudskiego 11, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"232";"240";"188";"44";"0";"1";"0";"0";"0";"0";"0";"0";"0";"44";"0";"0";"44";"0";"0";"0";"0";"44";"31";"2";"11"
"9beb-b756-1bff-a8fd-f9d1-25cb-70e8-11bf";"060401";"19";"15";"miasto";"zakład karny";"Zakład Karny, ul. Nowa 64, 22-500 Hrubieszów";"m. Hrubieszów";"hrubieszowski";"lubelskie";"484";"523";"255";"229";"0";"0";"0";"0";"0";"0";"0";"0";"0";"229";"0";"0";"229";"11";"0";"11";"0";"218";"64";"40";"114"
"300b-21f5-62be-3328-b7a6-4707-3208-3e72";"060402";"19";"1";"wieś";"stały";"Sala Konferencyjna Urzędu Gminy, ul. Spółdzielcza 2a, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"1109";"1181";"526";"583";"5";"9";"0";"0";"0";"0";"0";"0";"0";"583";"0";"0";"583";"7";"1";"6";"0";"576";"315";"42";"219"
"3056-c05a-6d0d-1bc4-05e3-333e-cfaa-1587";"060402";"19";"2";"wieś";"stały";"Remiza Strażacka, Witków 119, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"350";"371";"187";"163";"0";"0";"0";"0";"0";"0";"0";"0";"0";"163";"0";"0";"163";"3";"3";"0";"0";"160";"87";"14";"59"
"8bcc-ba3a-d0e1-e1bd-2e7f-1486-00b4-efdc";"060402";"19";"3";"wieś";"stały";"Budynek byłej szkoły, Gołębie 38/3, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"251";"273";"134";"117";"0";"4";"0";"0";"0";"0";"0";"0";"0";"117";"0";"0";"117";"2";"0";"2";"0";"115";"60";"4";"51"
"fed9-1c17-b10a-05a0-9b66-5a80-90f7-90b4";"060402";"19";"4";"wieś";"stały";"Warsztaty Terapii Zajęciowej, Oszczów-Kolonia 30, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"530";"563";"264";"266";"0";"0";"0";"0";"0";"0";"0";"0";"0";"266";"0";"0";"266";"8";"1";"7";"0";"258";"172";"25";"61"
"a742-9fdd-e5f7-1986-fa61-247f-6564-d637";"060402";"19";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa, Hulcze 37, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"660";"709";"374";"286";"1";"1";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"286";"2";"0";"2";"0";"284";"159";"28";"97"
"93b9-bddd-2f0a-ebfc-5658-2479-846b-db7c";"060402";"19";"6";"wieś";"stały";"Remiza Strażacka, Chłopiatyn 8, 22-540 Dolhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"360";"397";"191";"169";"1";"1";"0";"0";"0";"0";"0";"0";"0";"169";"0";"0";"169";"1";"0";"1";"0";"168";"70";"8";"90"
"92d3-be12-c8cb-155f-bbb3-9cdb-d579-1035";"060402";"19";"7";"wieś";"stały";"Dom Kultury, Przewodów 24, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"710";"764";"448";"262";"0";"2";"0";"0";"0";"0";"0";"0";"0";"262";"0";"0";"262";"4";"0";"4";"0";"258";"164";"11";"83"
"c0a1-04b7-00ef-2f3d-4620-a8bb-2cff-656d";"060402";"19";"8";"wieś";"stały";"Świetlica Wiejska, Horoszczyce 117, 22-540 Dołhobyczów";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"190";"199";"116";"74";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74";"0";"0";"74";"1";"0";"1";"0";"73";"52";"1";"20"
"bb47-98d5-4e92-6b77-5b25-af27-35a2-45cd";"060403";"19";"1";"wieś";"stały";"Gminny Ośrodek Kultury w Horodle, ul. Hrubieszowska 1, 22-523 Horodło";"gm. Horodło";"hrubieszowski";"lubelskie";"1255";"1359";"653";"602";"0";"8";"0";"0";"0";"0";"0";"0";"0";"602";"0";"0";"602";"10";"5";"5";"0";"592";"382";"59";"151"
"850b-dedf-49ca-0def-4de1-a48b-f9ea-5905";"060403";"19";"2";"wieś";"stały";"Budynek po Szkole Podstawowej w Kopyłowie, Kopyłów 14, 22-523 Horodło";"gm. Horodło";"hrubieszowski";"lubelskie";"300";"331";"165";"135";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135";"0";"0";"135";"1";"1";"0";"0";"134";"80";"21";"33"
"f8df-54c2-f1af-9310-3558-e57b-e941-e9be";"060403";"19";"3";"wieś";"stały";"Świetlica Wiejska w Bereżnicy, Bereżnica 65, 22-523 Horodło";"gm. Horodło";"hrubieszowski";"lubelskie";"589";"639";"312";"277";"0";"0";"0";"0";"0";"0";"0";"0";"0";"277";"0";"0";"277";"8";"1";"7";"0";"269";"161";"24";"84"
"c24f-6e72-5632-8bb9-078a-4e23-0d51-cf6d";"060403";"19";"4";"wieś";"stały";"Świetlica Wiejska w Łuszkowie, Łuszków 28, 22-523 Horodło";"gm. Horodło";"hrubieszowski";"lubelskie";"510";"550";"261";"249";"0";"1";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"10";"0";"10";"0";"239";"138";"22";"79"
"3738-b518-d2ba-1edc-72cd-8f43-45e4-3578";"060403";"19";"5";"wieś";"stały";"Świetlica Wiejska w Strzyżowie, ul. Herbowa 13, 22-525 Strzyżów";"gm. Horodło";"hrubieszowski";"lubelskie";"1240";"1342";"613";"627";"0";"2";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"9";"2";"7";"0";"618";"366";"84";"168"
"1da1-a356-428e-cc24-e77e-dd8a-1596-46a9";"060404";"19";"1";"wieś";"stały";"Świetlica, Czerniczyn 125, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"1060";"1146";"520";"540";"0";"6";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"10";"5";"5";"0";"530";"316";"72";"142"
"5cd0-6635-142f-a44c-bb51-95d2-62fb-c1b4";"060404";"19";"2";"wieś";"stały";"Świetlica, Ślipcze 26A, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"451";"483";"231";"220";"2";"2";"0";"0";"0";"0";"0";"0";"0";"220";"0";"0";"220";"2";"0";"2";"0";"218";"130";"34";"54"
"842b-8afe-7224-498d-97a9-14c6-2265-a35b";"060404";"19";"3";"wieś";"stały";"Szkoła Podstawowa, Kosmów 72, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"540";"588";"291";"249";"1";"2";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"6";"0";"6";"0";"243";"144";"13";"86"
"4a98-d9ed-80b1-98d2-b222-f207-bd18-b36c";"060404";"19";"4";"wieś";"stały";"Szkoła Podstawowa, Mieniany 50, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"370";"403";"202";"168";"1";"3";"0";"0";"0";"0";"0";"0";"0";"168";"0";"0";"168";"2";"1";"1";"0";"166";"99";"19";"48"
"567e-dfad-fbb1-2912-7c36-24eb-60b5-94b4";"060404";"19";"5";"wieś";"stały";"Szkoła Podstawowa, Kozodawy 83, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"481";"517";"240";"241";"0";"1";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"3";"0";"3";"0";"238";"160";"27";"51"
"bdb3-2a49-d2f5-c721-d414-9312-5815-a896";"060404";"19";"6";"wieś";"stały";"Urząd Gminy Hrubieszów, ul. B. Prusa 8, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"690";"751";"341";"349";"0";"3";"0";"0";"0";"0";"0";"0";"0";"349";"0";"0";"349";"6";"1";"5";"0";"343";"217";"49";"77"
"377f-9d83-cbbf-824a-5f54-c001-6f31-d000";"060404";"19";"7";"wieś";"stały";"Szkoła Podstawowa, Husynne 118, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"620";"681";"293";"327";"0";"0";"0";"0";"0";"0";"0";"0";"0";"327";"0";"0";"327";"10";"2";"8";"0";"317";"175";"56";"86"
"88d2-bc80-90f7-0bff-b62f-bc24-6007-ccc5";"060404";"19";"8";"wieś";"stały";"Szkoła Podstawowa, Dziekanów 55, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"550";"580";"255";"295";"0";"0";"0";"0";"0";"0";"0";"0";"0";"295";"0";"0";"295";"8";"1";"7";"0";"287";"172";"45";"70"
"24a3-7a3c-68d0-e88c-05f2-12a2-9299-fd9f";"060404";"19";"9";"wieś";"stały";"Szkoła Podstawowa, Szpikołosy 34, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"860";"930";"395";"465";"1";"0";"0";"0";"0";"0";"0";"0";"0";"465";"0";"0";"465";"15";"2";"13";"0";"450";"280";"43";"127"
"410d-bbc0-806e-32a1-6c34-5c33-6175-922c";"060404";"19";"10";"wieś";"stały";"Świetlica, Moniatycze 81, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"1100";"1181";"518";"582";"2";"9";"0";"0";"0";"0";"0";"0";"0";"582";"0";"0";"582";"16";"6";"10";"0";"566";"415";"43";"108"
"f2f0-6057-2918-8046-81b4-7736-36db-539f";"060404";"19";"11";"wieś";"stały";"Szkoła Podstawowa, Stefankowice 26, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"557";"611";"279";"278";"0";"2";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"10";"1";"9";"0";"268";"191";"24";"53"
"ad95-61eb-b551-7be8-39e8-5dca-c26b-0c62";"060404";"19";"12";"wieś";"stały";"Świetlica, Ubrodowice 46, 22-500 Hrubieszów";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"279";"308";"131";"148";"2";"4";"0";"0";"0";"0";"0";"0";"0";"148";"0";"0";"148";"4";"1";"3";"0";"144";"115";"10";"19"
"ffd9-24e0-bd20-2f49-f276-f96e-07ad-7312";"060405";"19";"1";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Kryłowska 18, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"1098";"1190";"485";"613";"0";"6";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"18";"9";"9";"0";"595";"291";"52";"252"
"1f09-aca7-c513-ba3c-a1aa-08e8-bd86-5419";"060405";"19";"2";"wieś";"stały";"Świetlica Wiejska, Smoligów 75, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"329";"357";"183";"146";"0";"1";"0";"0";"0";"0";"0";"0";"0";"144";"0";"0";"144";"1";"0";"1";"0";"143";"58";"8";"77"
"a8fb-586a-66c5-341d-f41c-96ad-c1d8-81a7";"060405";"19";"3";"wieś";"stały";"Środowiskowy Dom Samopomocy, Modryń 65, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"739";"808";"363";"376";"0";"4";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"11";"2";"9";"0";"365";"201";"25";"139"
"f615-fe9e-68ad-591b-c4da-b342-809d-61df";"060405";"19";"4";"wieś";"stały";"Szkoła Podstawowa, Szychowice ul. Parkowa 39, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"360";"394";"178";"182";"0";"0";"0";"0";"0";"0";"0";"0";"0";"182";"0";"0";"182";"3";"1";"2";"0";"179";"95";"12";"72"
"b7f7-1d20-3276-272a-78fe-07eb-c34f-4600";"060405";"19";"5";"wieś";"stały";"Świetlica Wiejska, Górka-Zabłocie Kościelna 1, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"419";"460";"221";"198";"2";"1";"0";"0";"0";"0";"0";"0";"0";"198";"0";"0";"198";"5";"0";"5";"0";"193";"109";"16";"68"
"dd7a-b375-a782-f11f-1238-2ac7-1733-15f3";"060405";"19";"6";"wieś";"stały";"Szkoła Podstawowa, Kryłów ul. Hrubieszowska 4, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"640";"678";"276";"364";"1";"3";"0";"0";"0";"0";"0";"0";"0";"364";"0";"0";"364";"6";"0";"6";"0";"358";"175";"16";"167"
"b6f4-e786-bfb1-47a1-f790-a8f9-4ebc-3d2b";"060405";"19";"7";"wieś";"stały";"Szkoła Podstawowa, Wiszniów 61, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"370";"399";"218";"152";"0";"1";"0";"0";"0";"0";"0";"0";"0";"152";"0";"0";"152";"6";"4";"2";"0";"146";"69";"12";"65"
"ed42-e8af-4ef5-d9e4-103a-5ee6-8386-ad99";"060405";"19";"8";"wieś";"stały";"Świetlica Wiejska, Stara Wieś 97, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"440";"480";"205";"235";"0";"2";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"4";"2";"2";"0";"231";"136";"16";"79"
"c85c-8eaa-e74d-6ce9-ad11-fa74-ee1b-57fd";"060405";"19";"9";"wieś";"stały";"Świetlica Wiejska, Mołożów 77a, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"450";"490";"234";"216";"0";"4";"0";"0";"0";"0";"0";"0";"0";"216";"0";"0";"216";"9";"4";"5";"0";"207";"139";"11";"57"
"7ff7-5c3c-efbd-beaa-2a13-5bcc-f34c-3a75";"060405";"19";"10";"wieś";"stały";"Wiejski Dom Kultury, Miętkie 17a, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"550";"598";"306";"244";"0";"1";"0";"0";"0";"0";"0";"0";"0";"244";"0";"0";"244";"8";"1";"7";"0";"236";"114";"13";"109"
"b657-ddf1-3c06-e076-f708-bd7a-4319-c249";"060405";"19";"11";"wieś";"dom pomocy społecznej";"Niepubliczny Zakład Opiekuńczo-Leczniczy ""Droga Życia"", Smoligów 71, 22-530 Mircze";"gm. Mircze";"hrubieszowski";"lubelskie";"158";"178";"102";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56";"0";"0";"56";"0";"0";"0";"0";"56";"33";"10";"13"
"3792-416d-dc21-31be-b93a-b406-97ff-7992";"060406";"19";"1";"wieś";"stały";"Świetlica wiejska w Trzeszczanach Pierwszych, Trzeszczany Pierwsze 39, 22-554 Trzeszczany";"gm. Trzeszczany";"hrubieszowski";"lubelskie";"1051";"1149";"490";"561";"16";"3";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"12";"1";"11";"0";"549";"377";"52";"120"
"3d63-88c5-ba05-7054-91d3-c11c-8642-ff4f";"060406";"19";"2";"wieś";"stały";"Szkoła Podstawowa, Mołodiatycze 86, 22-554 Trzeszczany";"gm. Trzeszczany";"hrubieszowski";"lubelskie";"611";"672";"287";"324";"5";"3";"0";"0";"0";"0";"0";"0";"0";"324";"0";"0";"324";"4";"2";"2";"0";"320";"265";"8";"47"
"5465-2494-49df-ab5f-9094-d634-0f55-5d89";"060406";"19";"3";"wieś";"stały";"Szkoła Podstawowa, Nieledew 32, 22-554 Trzeszczany";"gm. Trzeszczany";"hrubieszowski";"lubelskie";"1511";"1632";"744";"767";"2";"2";"0";"0";"0";"0";"0";"0";"0";"767";"0";"0";"767";"12";"3";"9";"0";"755";"484";"102";"169"
"3c6e-1118-b518-b9b2-6c39-16fb-4981-6cbb";"060407";"19";"1";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Partyzantów 1, 22-510 Uchanie";"gm. Uchanie";"hrubieszowski";"lubelskie";"870";"939";"373";"497";"3";"3";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"17";"3";"14";"0";"480";"316";"47";"117"
"6c65-420c-79f2-221a-a95e-a800-9be0-c96b";"060407";"19";"2";"wieś";"stały";"Świetlica, Rozkoszówka 48, 22-510 Uchanie";"gm. Uchanie";"hrubieszowski";"lubelskie";"522";"570";"215";"307";"0";"0";"0";"0";"0";"0";"0";"0";"0";"306";"0";"0";"306";"7";"0";"7";"0";"299";"219";"22";"58"
"d087-4ae4-5c53-2e33-f5fc-c5f1-9b4b-2910";"060407";"19";"3";"wieś";"stały";"Budynek po byłej szkole, Jarosławiec 113, 22-510 Uchanie";"gm. Uchanie";"hrubieszowski";"lubelskie";"399";"436";"203";"196";"0";"4";"0";"0";"0";"0";"0";"0";"0";"196";"0";"0";"196";"4";"1";"3";"0";"192";"121";"24";"47"
"fcc0-d7f2-8e9b-5da9-975b-42f6-b7f5-8543";"060407";"19";"4";"wieś";"stały";"Świetlica, Drohiczany 45A, 22-510 Uchanie";"gm. Uchanie";"hrubieszowski";"lubelskie";"791";"857";"399";"392";"0";"0";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"11";"0";"11";"0";"381";"268";"35";"78"
"1b22-f46b-14ac-aec6-f4a3-0863-ea66-348c";"060407";"19";"5";"wieś";"stały";"Szkoła Podstawowa, Teratyn 127, 22-510 Uchanie";"gm. Uchanie";"hrubieszowski";"lubelskie";"911";"988";"371";"540";"1";"2";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"17";"3";"14";"0";"523";"373";"49";"101"
