"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK";"Liczba obwodów"
"300400";"gostyński";"wielkopolskie";54586;59303;21678;32908;36;92;1;1;0;0;0;0;1;32904;1;0;32904;790;215;575;0;32114;14992;3272;13850;58
"301100";"kościański";"wielkopolskie";57126;61694;20196;36929;27;150;8;8;2;0;0;0;6;36933;6;0;36933;869;218;651;0;36064;13337;3057;19670;53
"301300";"leszczyński";"wielkopolskie";39989;43742;14016;25973;12;153;2;2;0;0;0;0;2;25973;2;0;25973;586;121;465;0;25387;10768;2232;12387;39
"302200";"rawicki";"wielkopolskie";43561;47250;17341;26219;10;112;2;2;0;0;0;0;2;26219;2;0;26219;607;141;466;0;25612;10745;3076;11791;41
"306300";"Leszno";"wielkopolskie";44689;48134;13187;31502;26;132;10;10;0;0;0;0;10;31503;10;0;31503;620;132;488;0;30883;9302;2222;19359;34
