"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław PUCEK";"Jadwiga Kazimiera ROTNICKA";"Liczba obwodów"
"302101";"gmina miejska";"m. Luboń";"poznański";"wielkopolskie";21472;23781;3902;17570;13;105;2;2;0;0;0;0;2;17550;2;0;17550;553;152;401;0;16997;5034;11963;14
"302102";"gmina miejska";"m. Puszczykowo";"poznański";"wielkopolskie";7248;7965;1246;6002;11;42;0;0;0;0;0;0;0;6001;0;3;5998;187;37;150;0;5811;1656;4155;7
"302103";"gmina miejsko-wiejska";"gm. Buk";"poznański";"wielkopolskie";8812;9666;2454;6358;4;49;0;0;0;0;0;0;0;6357;0;0;6357;237;38;199;0;6120;2430;3690;6
"302104";"gmina wiejska";"gm. Czerwonak";"poznański";"wielkopolskie";19078;21020;4067;15011;7;115;3;3;0;0;0;0;3;15013;3;1;15012;466;129;337;0;14546;4414;10132;13
"302105";"gmina wiejska";"gm. Dopiewo";"poznański";"wielkopolskie";18826;19765;3542;15283;15;139;1;1;0;0;0;0;1;15280;1;0;15280;381;97;284;0;14899;3898;11001;13
"302106";"gmina wiejska";"gm. Kleszczewo";"poznański";"wielkopolskie";5934;6312;1256;4678;3;25;0;0;0;0;0;0;0;4675;0;0;4675;128;33;95;0;4547;1539;3008;3
"302107";"gmina wiejska";"gm. Komorniki";"poznański";"wielkopolskie";19494;21302;3227;16266;6;149;2;2;0;0;0;0;2;16264;2;1;16263;441;116;325;0;15822;3815;12007;15
"302108";"gmina miejsko-wiejska";"gm. Kostrzyn";"poznański";"wielkopolskie";12937;14217;4159;8778;2;27;0;0;0;0;0;0;0;8774;0;0;8774;295;83;212;0;8479;3355;5124;11
"302109";"gmina miejsko-wiejska";"gm. Kórnik";"poznański";"wielkopolskie";19526;21167;4211;15314;10;101;0;0;0;0;0;0;0;15308;0;0;15308;480;154;326;0;14828;4694;10134;15
"302110";"gmina miejsko-wiejska";"gm. Mosina";"poznański";"wielkopolskie";22894;24886;5521;17373;7;107;2;2;0;0;0;0;2;17370;2;0;17370;516;123;393;0;16854;5848;11006;22
"302111";"gmina miejsko-wiejska";"gm. Murowana Goślina";"poznański";"wielkopolskie";12558;12925;3938;8623;1;43;0;0;0;0;0;0;0;8622;0;3;8619;302;59;243;0;8317;2676;5641;12
"302112";"gmina miejsko-wiejska";"gm. Pobiedziska";"poznański";"wielkopolskie";13818;15185;3794;10022;11;76;3;3;1;0;0;0;2;10022;2;3;10019;301;72;229;0;9718;3677;6041;12
"302113";"gmina wiejska";"gm. Rokietnica";"poznański";"wielkopolskie";11925;13407;1878;10047;7;68;0;0;0;0;0;0;0;10043;0;6;10037;240;47;193;0;9797;2559;7238;8
"302114";"gmina miejsko-wiejska";"gm. Stęszew";"poznański";"wielkopolskie";10742;11826;3360;7383;4;26;0;0;0;0;0;0;0;7381;0;2;7379;265;47;218;0;7114;2574;4540;8
"302115";"gmina wiejska";"gm. Suchy Las";"poznański";"wielkopolskie";11919;13159;1510;10410;12;73;0;0;0;0;0;0;0;10404;0;8;10396;237;44;193;0;10159;2648;7511;8
"302116";"gmina miejsko-wiejska";"gm. Swarzędz";"poznański";"wielkopolskie";34249;37647;6935;27314;15;129;4;3;2;0;0;0;1;27303;1;4;27299;823;214;609;0;26476;8071;18405;24
"302117";"gmina wiejska";"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";18615;20732;2660;15955;12;123;0;0;0;0;0;0;0;15952;0;1;15951;417;121;296;0;15534;4143;11391;14
