"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zygmunt Mieczysław FRANKIEWICZ";"Krystian Karol PROBIERZ"
"861a-e3cb-fbeb-481c-baf6-b81c-dc0c-f7ea";"240501";"70";"13";"miasto";"stały";"Zespół Szkół im. I. J. Paderewskiego LO, Ul. 1 - go Maja 21/2, 44-190 Knurów";"m. Knurów";"gliwicki";"śląskie";"1051";"1169";"298";"753";"0";"5";"0";"0";"0";"0";"0";"0";"0";"753";"0";"0";"753";"30";"3";"27";"0";"723";"421";"302"
"b898-20d1-a612-438f-a1ac-bc00-76b1-f19f";"240501";"70";"14";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 1 im. Powstańców Śląskich, ul. Ks. Alojzego Koziełka 7/1, 44-190 Knurów";"m. Knurów";"gliwicki";"śląskie";"1200";"1338";"346";"854";"1";"0";"0";"0";"0";"0";"0";"0";"0";"854";"0";"0";"854";"23";"7";"16";"0";"831";"466";"365"
"1fad-f647-325b-eb55-5247-9191-9ff7-e802";"240501";"70";"15";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 1 im. Powstańców Śląskich, ul. Antoniego Słoniny 1/2, 44-190 Knurów";"m. Knurów";"gliwicki";"śląskie";"1450";"1621";"564";"886";"0";"1";"0";"0";"0";"0";"0";"0";"0";"886";"0";"0";"886";"34";"8";"26";"0";"852";"374";"478"
"19a3-4a9e-33cf-cd42-2553-ac82-e213-32fc";"240501";"70";"16";"miasto";"stały";"Fundacja Rozwoju Lokalnego w Knurowie, ul. Dworcowa 38a, 44-190 Knurów";"m. Knurów";"gliwicki";"śląskie";"1000";"1097";"406";"594";"1";"2";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"16";"6";"10";"0";"578";"277";"301"
"3947-ac11-8c20-5245-088e-5903-51b0-07b3";"240501";"70";"17";"miasto";"stały";"Miejska Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 2 im. Karola Miarki, ul. Wilsona 22/2, 44-190 Knurów";"m. Knurów";"gliwicki";"śląskie";"1100";"1240";"234";"866";"0";"4";"0";"0";"0";"0";"0";"0";"0";"866";"0";"0";"866";"22";"5";"17";"0";"844";"523";"321"
"0c0d-f4fb-fac8-b1cb-89a8-4b2d-dcf4-7b47";"240501";"70";"18";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 1 im. Feliksa Michalskiego, ul. Feliksa Michalskiego 27, 44-193 Knurów";"m. Knurów";"gliwicki";"śląskie";"1200";"1324";"334";"866";"0";"0";"0";"0";"0";"0";"0";"0";"0";"866";"0";"0";"866";"21";"13";"8";"0";"845";"482";"363"
"d9a0-1d36-7d92-4519-e566-6556-8229-b000";"240501";"70";"19";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2, ul. Jana Kilińskiego 6/1, 44-193 Knurów";"m. Knurów";"gliwicki";"śląskie";"1550";"1687";"609";"941";"0";"9";"0";"0";"0";"0";"0";"0";"0";"941";"0";"0";"941";"27";"5";"22";"0";"914";"382";"532"
"7c1f-33a6-205c-e725-eff5-04d2-4d81-d08e";"240501";"70";"20";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2, ul. Jana Kilińskiego 6/2, 44-193 Knurów";"m. Knurów";"gliwicki";"śląskie";"1000";"1083";"399";"601";"0";"5";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"18";"4";"14";"0";"583";"241";"342"
"d190-8d25-b9eb-35ff-a42e-2daf-f777-62f0";"240501";"70";"21";"miasto";"stały";"Dom Kultury, ul. Górnicza 1, 44-193 Knurów";"m. Knurów";"gliwicki";"śląskie";"1000";"1085";"458";"542";"0";"2";"0";"0";"0";"0";"0";"0";"0";"542";"0";"0";"542";"9";"5";"4";"0";"533";"232";"301"
"f0ce-29f1-76d9-dfd1-2ac5-9722-ac72-0df9";"240501";"70";"22";"miasto";"zakład leczniczy";"Szpital w Knurowie Sp. z o. o. w budynku głównym Szpitala w Knurowie, ul. Niepodległości 8, 44-190 Knurów";"m. Knurów";"gliwicki";"śląskie";"189";"40";"161";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"0";"0";"0";"0";"28";"12";"16"
