"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Arkadiusz Jakub GRABOWSKI";"Marcin Teodor LAZAR";"Beata Maria MAŁECKA-LIBERA";"Katarzyna Stanisława ZAGAJSKA";"Liczba obwodów"
"240101";"gmina miejska";"m. Będzin";"będziński";"śląskie";39395;43175;11850;27545;26;107;0;0;0;0;0;0;0;27540;0;0;27540;438;136;302;0;27102;8750;5348;11780;1224;29
"240102";"gmina miejska";"m. Czeladź";"będziński";"śląskie";23159;25557;7072;16087;18;43;4;4;0;0;0;0;4;16090;4;2;16088;266;105;161;0;15822;5069;2032;8056;665;22
"240103";"gmina miejska";"m. Wojkowice";"będziński";"śląskie";7529;8100;2580;4949;10;17;2;2;0;0;0;0;2;4951;2;0;4951;82;25;57;0;4869;1458;747;2462;202;7
"240104";"gmina wiejska";"gm. Bobrowniki";"będziński";"śląskie";8889;9770;2657;6232;8;18;0;0;0;0;0;0;0;6231;0;0;6231;97;22;75;0;6134;2214;962;2683;275;10
"240105";"gmina wiejska";"gm. Mierzęcice";"będziński";"śląskie";5599;6153;1873;3726;0;29;0;0;0;0;0;0;0;3726;0;0;3726;47;8;39;0;3679;1522;596;1367;194;8
"240106";"gmina wiejska";"gm. Psary";"będziński";"śląskie";8875;9827;2508;6367;2;27;0;0;0;0;0;0;0;6367;0;0;6367;86;28;58;0;6281;2105;1045;2822;309;9
"240107";"gmina miejsko-wiejska";"gm. Siewierz";"będziński";"śląskie";9187;10014;2966;6221;13;30;0;0;0;0;0;0;0;6221;0;0;6221;79;22;57;0;6142;2688;665;2415;374;8
"240108";"gmina miejska";"m. Sławków";"będziński";"śląskie";5039;5534;1531;3508;5;14;0;0;0;0;0;0;0;3508;0;0;3508;64;25;39;0;3444;1460;367;1440;177;5
"241601";"gmina miejska";"m. Poręba";"zawierciański";"śląskie";6565;7226;2287;4278;14;15;0;0;0;0;0;0;0;4276;0;0;4276;50;15;35;0;4226;1608;423;2019;176;8
"241602";"gmina miejska";"m. Zawiercie";"zawierciański";"śląskie";36554;39523;12263;24291;21;84;4;4;0;0;0;0;4;24295;4;0;24295;370;123;247;0;23925;9697;2617;10600;1011;41
"241603";"gmina wiejska";"gm. Irządze";"zawierciański";"śląskie";2000;2181;728;1272;0;20;0;0;0;0;0;0;0;1271;0;0;1271;15;2;13;0;1256;899;106;209;42;4
"241604";"gmina wiejska";"gm. Kroczyce";"zawierciański";"śląskie";4700;5211;1628;3072;4;42;0;0;0;0;0;0;0;3068;0;0;3068;45;10;35;0;3023;1715;295;918;95;5
"241605";"gmina miejsko-wiejska";"gm. Łazy";"zawierciański";"śląskie";11569;12710;3651;7918;18;20;1;1;0;0;0;0;1;7919;1;0;7919;132;36;96;0;7787;3346;815;3212;414;10
"241606";"gmina miejsko-wiejska";"gm. Ogrodzieniec";"zawierciański";"śląskie";6900;7577;2242;4658;5;41;0;0;0;0;0;0;0;4657;0;0;4657;84;35;49;0;4573;2213;474;1713;173;6
"241607";"gmina miejsko-wiejska";"gm. Pilica";"zawierciański";"śląskie";6419;7090;2000;4419;6;16;0;0;0;0;0;0;0;4419;0;0;4419;66;19;47;0;4353;2776;369;1023;185;7
"241608";"gmina miejsko-wiejska";"gm. Szczekociny";"zawierciański";"śląskie";5897;6402;2227;3670;3;35;0;0;0;0;0;0;0;3668;0;0;3668;64;17;47;0;3604;2302;334;830;138;12
"241609";"gmina wiejska";"gm. Włodowice";"zawierciański";"śląskie";3869;4301;1246;2623;1;23;0;0;0;0;0;0;0;2623;0;0;2623;40;21;19;0;2583;1328;254;890;111;5
"241610";"gmina wiejska";"gm. Żarnowiec";"zawierciański";"śląskie";3409;3762;1085;2324;5;16;0;0;0;0;0;0;0;2324;0;0;2324;62;16;46;0;2262;1622;182;377;81;7
"246501";"gmina miejska";"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";85905;94046;25820;60084;38;238;10;10;0;0;0;0;10;60079;10;0;60079;836;285;551;0;59243;20051;5848;27274;6070;67
