"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Cezary Paweł KASPRZAK";"Marek RUDNICKI";"Kazimierz Michał UJAZDOWSKI";"Liczba obwodów"
"146503";"dzielnica w m.st. Warszawa";"Białołęka";"Warszawa";"mazowieckie";80853;90543;9787;71062;42;932;10;10;0;0;0;0;10;71051;10;9;71042;1277;426;851;0;69765;11008;19723;39034;55
"146504";"dzielnica w m.st. Warszawa";"Bielany";"Warszawa";"mazowieckie";94396;104178;13367;81024;107;1061;12;12;0;0;0;0;12;80937;12;18;80919;1685;520;1165;0;79234;11626;26396;41212;50
"146510";"dzielnica w m.st. Warszawa";"Śródmieście";"Warszawa";"mazowieckie";79920;91567;11399;68510;123;3399;29;25;2;1;1;0;21;68455;21;24;68431;1524;427;1097;0;66907;10766;20042;36099;48
"146519";"dzielnica w m.st. Warszawa";"Żoliborz";"Warszawa";"mazowieckie";38076;42540;3894;34182;86;747;12;12;0;0;0;0;12;34181;12;3;34178;671;233;438;0;33507;5637;9123;18747;19
"149801";"statki";"statki";"statki";"mazowieckie";222;174;49;173;0;21;0;0;0;0;0;0;0;173;0;0;173;3;2;1;0;170;23;43;104;5
"149901";"zagranica";"zagranica";"zagranica";"mazowieckie";424130;349810;107772;316438;0;19215;0;0;0;0;0;0;0;316310;0;45;316265;7259;2371;4888;0;309006;46660;88915;173431;320
