"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof KWIATKOWSKI";"Marek Sławomir MARKIEWICZ";"Małgorzata Krystyna NIEWIADOMSKA-CUDAK"
"c016-f032-3b3b-13ba-a1c4-a169-4c33-cf5c";"106101";"24";"272";"miasto";"stały";"Szkoła Podstawowa nr 149 im. Obrońców Westerplatte, ul. Tatrzańska 69A, 93-219 Łódź";"m. Łódź";"Łódź";"łódzkie";"2550";"2832";"512";"2038";"1";"12";"0";"0";"0";"0";"0";"0";"0";"2038";"0";"0";"2038";"24";"12";"12";"0";"2014";"793";"656";"565"
"9ca0-514f-bdf5-51ae-3565-df4c-8aa4-d527";"106101";"24";"273";"miasto";"stały";"Szkoła Podstawowa nr 149 im. Obrońców Westerplatte, ul. Tatrzańska 69A, 93-291 Łódź";"m. Łódź";"Łódź";"łódzkie";"1997";"2223";"416";"1581";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1581";"0";"0";"1581";"21";"8";"13";"0";"1560";"636";"437";"487"
"c68c-70cd-f142-a7cd-8752-7762-301a-a00f";"106101";"24";"274";"miasto";"stały";"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Małej Piętnastki 1, 93-221 Łódź";"m. Łódź";"Łódź";"łódzkie";"1520";"1660";"387";"1133";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1133";"0";"0";"1133";"12";"6";"6";"0";"1121";"443";"359";"319"
"31e6-495c-651f-bae3-fcd1-c2a5-f82b-e2cc";"106101";"24";"275";"miasto";"stały";"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Małej Piętnastki 1, 93-221 Łódź";"m. Łódź";"Łódź";"łódzkie";"1080";"1183";"220";"860";"0";"6";"0";"0";"0";"0";"0";"0";"0";"860";"0";"0";"860";"11";"1";"10";"0";"849";"377";"283";"189"
"6cb1-7e79-2822-59e1-55bc-1911-f3a2-8d39";"106101";"24";"276";"miasto";"stały";"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Małej Piętnastki 1, 93-221 Łódź";"m. Łódź";"Łódź";"łódzkie";"1059";"1184";"125";"934";"0";"4";"0";"0";"0";"0";"0";"0";"0";"934";"0";"0";"934";"19";"4";"15";"0";"915";"451";"174";"290"
"1a74-92df-9601-923c-43e1-51fc-70d7-538e";"106101";"24";"277";"miasto";"stały";"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Generała Grota-Roweckiego 1, 93-217 Łódź";"m. Łódź";"Łódź";"łódzkie";"1359";"1533";"294";"1065";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1065";"0";"0";"1065";"19";"2";"17";"0";"1046";"414";"325";"307"
"73fe-81d8-3fc7-c592-05dd-a50f-41ad-3b0e";"106101";"24";"278";"miasto";"stały";"Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego, ul. Generała Grota-Roweckiego 1, 93-217 Łódź";"m. Łódź";"Łódź";"łódzkie";"1239";"1380";"273";"966";"0";"0";"0";"0";"0";"0";"0";"0";"0";"965";"0";"0";"965";"19";"4";"15";"0";"946";"365";"326";"255"
"8227-edbd-9beb-85cf-e99e-7f25-d8b6-9313";"106101";"24";"279";"miasto";"stały";"Szkoła Podstawowa nr 158, ul. Janosika 136, 92-108 Łódź";"m. Łódź";"Łódź";"łódzkie";"2050";"2272";"260";"1790";"4";"12";"0";"0";"0";"0";"0";"0";"0";"1789";"0";"0";"1789";"21";"12";"9";"0";"1768";"814";"500";"454"
"38ee-5981-7c64-6137-0eea-9e5f-beeb-4275";"106101";"24";"280";"miasto";"stały";"Szkoła Podstawowa nr 139 im. Wojska Polskiego, ul. Giewont 28, 92-116 Łódź";"m. Łódź";"Łódź";"łódzkie";"1768";"1965";"333";"1435";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1434";"0";"0";"1434";"20";"8";"12";"0";"1414";"561";"462";"391"
"ca9b-d708-34e7-66d5-8d25-796d-e690-b889";"106101";"24";"281";"miasto";"stały";"Szkoła Podstawowa nr 139 im. Wojska Polskiego, ul. Giewont 28, 92-116 Łódź";"m. Łódź";"Łódź";"łódzkie";"1396";"1545";"399";"997";"0";"9";"0";"0";"0";"0";"0";"0";"0";"997";"0";"0";"997";"13";"3";"10";"0";"984";"383";"298";"303"
