"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar Jerzy KRASKA";"Janina Ewa ORZEŁOWSKA"
"0cbe-8583-80fc-590e-2b31-a9b1-3247-188f";"141002";"48";"7";"wieś";"stały";"Budynek po byłej Szkole Podstawowej w Chotyczach, Chotycze 71, 08-200 Łosice";"gm. Łosice";"łosicki";"mazowieckie";"514";"548";"233";"281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"281";"0";"0";"281";"7";"0";"7";"0";"274";"168";"106"
"e2a1-b1ce-6bd7-a282-66ad-a36c-724a-075f";"141002";"48";"8";"wieś";"stały";"Świetlica w Zakrzu, Zakrze 38, 08-200 Łosice";"gm. Łosice";"łosicki";"mazowieckie";"475";"499";"179";"296";"1";"3";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"4";"1";"3";"0";"292";"185";"107"
"8ba1-5216-4b53-1be1-a0b8-2a1d-2c3b-552b";"141002";"48";"9";"miasto";"zakład leczniczy";"Szpital Powiatowy w Łosicach, Słoneczna 1, 08-200 Łosice";"gm. Łosice";"łosicki";"mazowieckie";"117";"105";"71";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"46";"3";"0";"3";"0";"43";"33";"10"
"c11a-e292-bf8e-5b56-e1fc-fb4c-6a99-be7b";"141003";"48";"1";"wieś";"stały";"Szkoła Podstawowa w Olszance, Olszanka 38A, 08-207 Olszanka";"gm. Olszanka";"łosicki";"mazowieckie";"488";"497";"176";"312";"0";"0";"0";"0";"0";"0";"0";"0";"0";"312";"0";"0";"312";"4";"1";"3";"0";"308";"218";"90"
"e9ce-cf8e-87e8-7923-b6e3-88aa-e142-c753";"141003";"48";"2";"wieś";"stały";"Ośrodek Kultury Wiejskiej w Szydłówce, Szydłówka 40, 08-207 Olszanka";"gm. Olszanka";"łosicki";"mazowieckie";"476";"493";"164";"309";"0";"1";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"6";"0";"6";"0";"303";"197";"106"
"dcc1-12a5-b24b-a596-b75e-1f90-925f-168c";"141003";"48";"3";"wieś";"stały";"Szkoła Podstawowa w Hadynowie, Hadynów 1, 08-207 Olszanka";"gm. Olszanka";"łosicki";"mazowieckie";"789";"826";"283";"506";"0";"2";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"16";"2";"14";"0";"490";"325";"165"
"30e6-85a1-ea34-6730-fa8d-d004-b8cf-d4cc";"141003";"48";"4";"wieś";"stały";"Niepubliczna Szkoła Podstawowa w Próchenkach, Próchenki 90, 08-207 Olszanka";"gm. Olszanka";"łosicki";"mazowieckie";"502";"543";"86";"416";"5";"2";"0";"0";"0";"0";"0";"0";"0";"416";"0";"0";"416";"14";"5";"9";"0";"402";"323";"79"
"56f9-c0f0-2df1-b83a-6970-e2ff-f864-1c9b";"141004";"48";"1";"wieś";"stały";"Szkoła Podstawowa w Lipnie, Lipno 25, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"568";"615";"203";"365";"0";"3";"0";"0";"0";"0";"0";"0";"0";"364";"0";"0";"364";"7";"0";"7";"0";"357";"229";"128"
"af0b-bb03-70eb-c48e-efa0-221b-7794-2cf7";"141004";"48";"2";"wieś";"stały";"Gminny Ośrodek Kultury w Platerowie, 3 Maja 13, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"661";"715";"296";"365";"0";"2";"0";"0";"0";"0";"0";"0";"0";"365";"0";"0";"365";"5";"0";"5";"0";"360";"187";"173"
"aff1-b631-3a9c-e8ab-b9aa-841c-4eb2-35bc";"141004";"48";"3";"wieś";"stały";"Szkoła Podstawowa im. Juliusza Słowackiego w Górkach, Górki 4, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"828";"905";"364";"464";"0";"5";"0";"0";"0";"0";"0";"0";"0";"464";"0";"0";"464";"12";"3";"9";"0";"452";"295";"157"
