"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Stanisław GOGACZ";"Arkadiusz KASZNIA";"Wojciech MATEŃKA";"Marcin WALASEK";"Liczba obwodów"
"060800";"lubartowski";"lubelskie";64907;70489;23916;40991;88;211;0;0;0;0;0;0;0;40982;0;2;40980;918;242;676;0;40062;25664;9183;2658;2557;91
"061100";"łukowski";"lubelskie";76484;83226;26880;49604;53;236;1;1;0;0;0;0;1;49599;1;1;49598;969;273;696;0;48629;32651;9736;4306;1936;97
"061200";"opolski";"lubelskie";44694;48455;19278;25416;36;143;1;1;0;0;0;0;1;25415;1;0;25415;530;149;381;0;24885;15895;5892;1617;1481;62
"061400";"puławski";"lubelskie";86030;92349;29854;56170;119;1027;9;9;0;0;1;0;8;56177;8;0;56177;1180;316;864;0;54997;30802;17258;3495;3442;99
"061600";"rycki";"lubelskie";41628;44868;14925;26702;61;170;3;3;0;0;0;0;3;26706;3;0;26706;588;200;388;0;26118;16228;6162;1611;2117;68
