"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Jolanta MATECKA";"Łukasz MIKOŁAJCZYK";"Liczba obwodów"
"300801";"gmina wiejska";"gm. Baranów";"kępiński";"wielkopolskie";5672;6274;1755;3917;3;23;0;0;0;0;0;0;0;3917;0;0;3917;118;12;106;0;3799;1858;1941;6
"300802";"gmina wiejska";"gm. Bralin";"kępiński";"wielkopolskie";4329;4693;1315;3014;5;11;0;0;0;0;0;0;0;3014;0;0;3014;91;4;87;0;2923;1497;1426;7
"300803";"gmina miejsko-wiejska";"gm. Kępno";"kępiński";"wielkopolskie";17555;19083;5782;11773;18;55;1;1;0;0;0;0;1;11774;1;0;11774;419;85;334;0;11355;6374;4981;17
"300804";"gmina wiejska";"gm. Łęka Opatowska";"kępiński";"wielkopolskie";3789;4149;1301;2488;3;13;0;0;0;0;0;0;0;2488;0;0;2488;121;22;99;0;2367;1095;1272;3
"300805";"gmina wiejska";"gm. Perzów";"kępiński";"wielkopolskie";2750;2995;1060;1690;1;5;1;1;0;0;0;0;1;1691;1;0;1691;62;11;51;0;1629;781;848;3
"300806";"gmina wiejska";"gm. Rychtal";"kępiński";"wielkopolskie";2820;3053;1170;1650;2;12;0;0;0;0;0;0;0;1648;0;0;1648;55;6;49;0;1593;700;893;4
"300807";"gmina wiejska";"gm. Trzcinica";"kępiński";"wielkopolskie";3650;3888;1278;2372;1;5;0;0;0;0;0;0;0;2371;0;0;2371;110;13;97;0;2261;948;1313;3
"301201";"gmina miejska";"m. Sulmierzyce";"krotoszyński";"wielkopolskie";2240;2175;981;1259;1;0;0;0;0;0;0;0;0;1259;0;0;1259;53;12;41;0;1206;526;680;1
"301202";"gmina miejsko-wiejska";"gm. Kobylin";"krotoszyński";"wielkopolskie";5780;6281;2406;3374;3;9;0;0;0;0;0;0;0;3374;0;0;3374;136;19;117;0;3238;1401;1837;8
"301203";"gmina miejsko-wiejska";"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";9639;10474;3922;5717;5;24;1;1;0;0;0;0;1;5718;1;0;5718;265;51;214;0;5453;2596;2857;8
"301204";"gmina miejsko-wiejska";"gm. Krotoszyn";"krotoszyński";"wielkopolskie";28809;31205;10181;18618;16;83;2;2;0;0;0;0;2;18617;2;0;18617;696;168;528;0;17921;9400;8521;24
"301205";"gmina wiejska";"gm. Rozdrażew";"krotoszyński";"wielkopolskie";3670;4027;1446;2224;2;5;0;0;0;0;0;0;0;2224;0;0;2224;94;10;84;0;2130;721;1409;3
"301206";"gmina miejsko-wiejska";"gm. Zduny";"krotoszyński";"wielkopolskie";5339;5760;2149;3190;4;9;0;0;0;0;0;0;0;3189;0;0;3189;134;32;102;0;3055;1513;1542;5
