"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Kazimierz Sławomir KLIMEK";"Krzysztof Stanisław MRÓZ";"Jerzy Jan POKÓJ";"Liczba obwodów"
"020500";"jaworski";"dolnośląskie";36854;39924;14905;21952;39;105;2;2;0;0;0;0;2;21944;2;8;21936;610;184;426;0;21326;4288;10686;6352;39
"020600";"karkonoski";"dolnośląskie";46936;52104;16371;30557;60;2381;1;1;0;0;0;0;1;30558;1;10;30548;672;214;458;0;29876;6617;9997;13262;54
"020700";"kamiennogórski";"dolnośląskie";32008;34348;13046;18962;23;175;1;1;0;0;0;0;1;18959;1;0;18959;504;117;387;0;18455;3705;7934;6816;32
"022600";"złotoryjski";"dolnośląskie";32094;34454;13438;18656;23;101;1;0;0;0;0;0;0;18654;0;1;18653;447;89;358;0;18206;3913;8651;5642;43
"026100";"Jelenia Góra";"dolnośląskie";58103;61948;19132;38967;44;549;15;14;6;0;0;0;8;38968;8;1;38967;964;277;687;0;38003;8635;12670;16698;46
