"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Stanisław KARCZEWSKI";"Leszek Janusz PRZYBYTNIAK";"Liczba obwodów"
"140100";"białobrzeski";"mazowieckie";24444;26676;8375;16068;17;89;1;1;0;0;0;0;1;16068;1;1;16067;395;96;299;0;15672;10854;4818;24
"140600";"grójecki";"mazowieckie";71369;78071;22960;48403;62;315;0;0;0;0;0;0;0;48396;0;9;48387;1112;410;702;0;47275;25661;21614;78
"140700";"kozienicki";"mazowieckie";45755;49355;16123;29632;69;206;3;3;0;0;0;0;3;29628;3;0;29628;729;230;499;0;28899;18887;10012;56
"142300";"przysuski";"mazowieckie";31690;34348;10738;20952;51;163;0;0;0;0;0;0;0;20951;0;1;20950;477;153;324;0;20473;15476;4997;37
