"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Konrad Stanisław RĘKAS";"Rafał Artur STACHURA";"Józef ZAJĄC"
"6a3f-b2cf-044b-862a-7c95-826b-d93e-c78b";"060301";"18";"1";"miasto";"stały";"Budynek PKP, ul. Kolejowa 12, 22-170 Rejowiec Fabryczny";"m. Rejowiec Fabryczny";"chełmski";"lubelskie";"878";"987";"439";"439";"2";"3";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"14";"4";"10";"0";"425";"36";"84";"305"
"c666-a9ab-f0ae-7bd6-2e9b-494f-6560-1903";"060301";"18";"2";"miasto";"stały";"Szkoła Podstawowa im. Mikołaja Reja, ul. Lubelska 18, 22-170 Rejowiec Fabryczny";"m. Rejowiec Fabryczny";"chełmski";"lubelskie";"1091";"1196";"552";"539";"3";"2";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"7";"1";"6";"0";"532";"56";"158";"318"
"f371-8f03-68c3-aa14-56c5-b068-246d-cac5";"060301";"18";"3";"miasto";"stały";"Centrum Aktywności Społeczno-Gospodarczej ""Stara Kotłownia"", ul. Wschodnia 32, 22-170 Rejowiec Fabryczny";"m. Rejowiec Fabryczny";"chełmski";"lubelskie";"1320";"1428";"575";"745";"0";"1";"0";"0";"0";"0";"0";"0";"0";"745";"0";"0";"745";"13";"4";"9";"0";"732";"60";"210";"462"
"ef51-bf76-04c6-6dc3-9ec7-a423-76d5-0ac5";"060302";"18";"1";"wieś";"stały";"Urząd Gminy, ul. Chełmska 1, 22-135 Białopole";"gm. Białopole";"chełmski";"lubelskie";"1199";"1322";"607";"592";"0";"2";"0";"0";"0";"0";"0";"0";"0";"592";"0";"0";"592";"14";"1";"13";"0";"578";"56";"125";"397"
"a99a-2cb2-eb2a-466c-9571-c091-1b35-017b";"060302";"18";"2";"wieś";"stały";"Świetlica wiejska, Raciborowice 31, 22-135 Białopole";"gm. Białopole";"chełmski";"lubelskie";"450";"485";"228";"222";"0";"0";"0";"0";"0";"0";"0";"0";"0";"222";"0";"0";"222";"7";"0";"7";"0";"215";"13";"52";"150"
"75c5-7f36-a4ee-5c2f-a61a-f842-fd9c-b037";"060302";"18";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa, Strzelce 43 B, 22-135 Białopole";"gm. Białopole";"chełmski";"lubelskie";"550";"600";"269";"281";"1";"0";"0";"0";"0";"0";"0";"0";"0";"281";"0";"0";"281";"7";"1";"6";"0";"274";"13";"66";"195"
"50ec-41c1-05c9-1e6c-3954-303c-c7fc-d5df";"060303";"18";"1";"wieś";"stały";"Świetlica, Srebrzyszcze ul. Sportowa 18, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"780";"855";"424";"356";"0";"0";"0";"0";"0";"0";"0";"0";"0";"356";"0";"0";"356";"6";"1";"5";"0";"350";"35";"94";"221"
"ec43-acb7-938c-b3cb-78b6-4470-d761-48f8";"060303";"18";"2";"wieś";"stały";"Oddział Przedszkolny Szkoły Podstawowej w Okszowie, ul. Chełmska 14 A, 22-105 Okszów-Kolonia";"gm. Chełm";"chełmski";"lubelskie";"1310";"1427";"509";"801";"0";"8";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"13";"2";"11";"0";"788";"58";"221";"509"
"197c-33d2-f29b-7214-a95c-0860-b579-3119";"060303";"18";"3";"wieś";"stały";"Dom Pomocy Społecznej, Nowiny 101, 22-105 Chełm";"gm. Chełm";"chełmski";"lubelskie";"230";"264";"106";"124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"124";"9";"3";"6";"0";"115";"16";"31";"68"
"5286-9702-6b24-bf3a-32a4-dc1f-bc64-3e11";"060303";"18";"4";"wieś";"stały";"Remiza OSP, Zarzecze 9A, 22-106 Chełm";"gm. Chełm";"chełmski";"lubelskie";"200";"217";"110";"90";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"0";"0";"90";"0";"0";"0";"0";"90";"7";"22";"61"
"4d83-c349-b98b-59a0-92c2-9377-fd58-2891";"060303";"18";"5";"wieś";"stały";"Świetlica, Horodyszcze 43b, 22-151 Chełm";"gm. Chełm";"chełmski";"lubelskie";"730";"791";"323";"407";"0";"1";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"2";"2";"0";"0";"405";"28";"110";"267"
"aa3f-f818-97be-f2b9-a52f-99a8-ea50-cdcd";"060303";"18";"6";"wieś";"stały";"Szkoła Podstawowa, Staw 72, 22-151 Chełm";"gm. Chełm";"chełmski";"lubelskie";"760";"842";"348";"412";"0";"1";"0";"0";"0";"0";"0";"0";"0";"412";"0";"0";"412";"14";"2";"12";"0";"398";"28";"108";"262"
"d7b3-0778-2905-0e53-ca3b-981f-d59b-6b19";"060303";"18";"7";"wieś";"stały";"Szkoła Podstawowa, Stołpie 11, 22-151 Chełm";"gm. Chełm";"chełmski";"lubelskie";"670";"745";"311";"359";"0";"7";"0";"0";"0";"0";"0";"0";"0";"359";"0";"0";"359";"4";"0";"4";"0";"355";"30";"84";"241"
