"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Piotr Benedykt ZIENTARSKI - nr na liście 1";"Tomasz CZUCZAK - nr na liście 2";"Marek Tomasz HOK - nr na liście 3";"Barbara Anna GRYGORCEWICZ - nr na liście 4";"Paweł SUSKI - nr na liście 5";"Adam OSTASZEWSKI - nr na liście 6";"Elżbieta Wiesława KARLIŃSKA - nr na liście 7";"Tomasz STRZĄBAŁA - nr na liście 8";"Wioletta KASZAK - nr na liście 9";"Jacek Jerzy KOZŁOWSKI - nr na liście 10";"Marek Tomasz FIRKOWSKI - nr na liście 11";"Marcin Sylwester URBANIAK - nr na liście 12";"Danuta Zofia BUTRYM - nr na liście 13";"Małgorzata LEŚNIEWSKA - nr na liście 14";"Anna BAŃKOWSKA - nr na liście 15";"Jerzy HARDIE-DOUGLAS - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Krzysztof Robert CHMIELEWSKI - nr na liście 1";"Aleksandra Urszula ZADENCKA - nr na liście 2";"Monika TKACZYK - nr na liście 3";"Edyta BELKA - nr na liście 4";"Piotr KARPIŃSKI - nr na liście 5";"Mieczysław Eugeniusz ARCIUSZKIEWICZ - nr na liście 6";"Małgorzata Dorota KOTWICKA - nr na liście 7";"Mateusz Jacek WOJTASZEWSKI - nr na liście 8";"Agata Anna RADEK - nr na liście 9";"Kamil WĄWOŹNY - nr na liście 10";"Kamilla Maria CZERWIŃSKA - nr na liście 11";"Łukasz KUREK - nr na liście 12";"Artur Jan SZULGANIUK - nr na liście 13";"Michał RAWDANOWICZ - nr na liście 14";"Artur GŁOWACKI - nr na liście 15";"Dariusz Tadeusz KOT - nr na liście 16";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Radosław LUBCZYK - nr na liście 1";"Stefan Józef ROMECKI - nr na liście 2";"Elżbieta Henryka GUMIŃSKA-WASIAK - nr na liście 3";"Lech BANY - nr na liście 4";"Jerzy HARŁACZ - nr na liście 5";"Agnieszka Alicja BRODOWSKA - nr na liście 6";"Stanisław KUCZYŃSKI - nr na liście 7";"Aldona Teresa PIASKOWSKA - nr na liście 8";"Adam DRAPAŁA - nr na liście 9";"Roman WIŚNIEWSKI - nr na liście 10";"Sylwia HALAMA - nr na liście 11";"Agata Anna SŁODKOWSKA - nr na liście 12";"Piotr IWAT - nr na liście 13";"Halina SAMEK - nr na liście 14";"Marcin MAJCZYNA - nr na liście 15";"Ryszard Józef MIĆKO - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Czesław HOC - nr na liście 1";"Paweł Maciej SZEFERNAKER - nr na liście 2";"Małgorzata Joanna GOLIŃSKA - nr na liście 3";"Stefan Zdzisław STRZAŁKOWSKI - nr na liście 4";"Marek Andrzej SUBOCZ - nr na liście 5";"Artur WIŚNIEWSKI - nr na liście 6";"Jan Andrzej OWSIAK - nr na liście 7";"Izabella Marzena SOZAŃSKA-MAJCHRZAK - nr na liście 8";"Jakub Mikołaj PYŻANOWSKI - nr na liście 9";"Ryszard Ambroży CHRUŚCIEL - nr na liście 10";"Barbara NAGÓRSKA - nr na liście 11";"Grzegorz BŁASZCZYK - nr na liście 12";"Barbara KĘDZIOR - nr na liście 13";"Halina Zofia SZTREJA - nr na liście 14";"Jacek Piotr SZADZEWICZ - nr na liście 15";"Emilia Kazimiera NIEMYT - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Małgorzata Barbara PROKOP-PACZKOWSKA - nr na liście 1";"Jerzy Waldemar KOTLĘGA - nr na liście 2";"Jacek Artur WEZGRAJ - nr na liście 3";"Andrzej LEWANDOWSKI - nr na liście 4";"Agnieszka SZUBA - nr na liście 5";"Lech Antoni FABIAŃCZYK - nr na liście 6";"Agnieszka Katarzyna MASTALERZ - nr na liście 7";"Józef Romuald SZKANDERA - nr na liście 8";"Ewa Bożena KOKOT - nr na liście 9";"Katarzyna Petronela PAPROCKA - nr na liście 10";"Magdalena Teresa KUSIAKIEWICZ - nr na liście 11";"Hanna KUJATH - nr na liście 12";"Marcin Dominik ADAMCZYK - nr na liście 13";"Łukasz Patryk OLSZEWSKI - nr na liście 14";"Maciej Walenty BOCK - nr na liście 15";"Małgorzata Genowefa CHYŁA - nr na liście 16";"Liczba obwodów"
"321306";"gmina wiejska";"gm. Sławno";"sławieński";"zachodniopomorskie";6141;6729;3032;3109;1;15;0;0;0;0;0;0;0;3109;0;0;3109;107;84;23;0;3002;612;236;25;14;52;9;9;89;13;7;9;52;2;1;76;12;6;216;103;14;22;13;7;4;8;3;4;6;3;6;1;2;8;12;326;78;19;36;10;7;15;20;13;75;6;13;8;11;5;2;8;1428;431;437;106;36;61;43;29;179;16;6;15;27;14;4;13;11;420;150;61;36;42;34;4;6;3;4;10;2;4;16;15;22;11;7
"321501";"gmina miejska";"m. Szczecinek";"szczecinecki";"zachodniopomorskie";27800;30183;10138;17661;31;135;3;3;0;0;0;0;3;17659;3;0;17659;222;134;88;0;17437;6692;566;73;58;115;56;19;26;27;24;23;4;11;8;47;29;5606;1136;480;26;100;30;50;12;15;13;17;4;15;320;6;6;11;31;1227;945;48;50;11;16;19;39;13;16;20;12;11;3;7;6;11;6603;697;262;5405;23;40;32;27;10;12;9;20;24;8;8;8;18;1779;812;309;147;83;126;26;46;13;56;23;18;15;22;11;20;52;24
"321502";"gmina miejsko-wiejska";"gm. Barwice";"szczecinecki";"zachodniopomorskie";6140;6665;3240;2900;0;14;0;0;0;0;0;0;0;2900;0;1;2899;94;86;8;0;2805;618;133;6;29;10;9;4;14;20;8;1;2;2;4;7;2;367;246;67;2;131;4;1;28;0;1;2;0;1;4;0;0;1;4;300;181;12;23;13;3;6;16;7;16;11;3;0;4;1;1;3;1393;226;103;745;14;24;15;15;9;2;6;5;199;5;3;7;15;248;120;40;20;14;15;4;8;0;5;3;0;3;3;2;1;10;5
"321503";"gmina miejsko-wiejska";"gm. Biały Bór";"szczecinecki";"zachodniopomorskie";3760;4125;1808;1952;1;40;0;0;0;0;0;0;0;1952;0;0;1952;51;34;17;0;1901;469;114;12;11;18;10;1;8;2;2;2;2;1;1;10;3;272;140;62;2;15;6;16;4;0;3;3;1;1;16;0;1;4;6;205;146;7;11;4;5;5;3;6;6;2;4;3;0;1;0;2;857;106;47;646;8;3;11;8;1;6;1;2;7;3;1;2;5;230;96;45;15;10;14;2;7;1;3;5;0;4;6;4;6;12;5
"321504";"gmina miejsko-wiejska";"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";6941;7548;3054;3887;12;81;2;2;0;0;0;0;2;3889;2;0;3889;78;57;21;0;3811;1113;219;13;50;23;16;1;7;15;5;4;0;2;4;14;8;732;236;93;6;50;7;5;1;2;3;7;3;1;42;1;3;4;8;311;201;20;23;7;8;6;20;3;6;3;2;6;1;1;1;3;1579;355;219;886;14;12;10;7;6;4;3;15;18;10;4;2;14;572;248;94;26;34;32;7;11;1;82;6;4;3;6;5;2;11;6
"321505";"gmina wiejska";"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";3529;3831;1872;1657;2;11;0;0;0;0;0;0;0;1657;0;0;1657;51;38;13;0;1606;360;127;6;7;19;4;2;3;8;2;3;0;3;0;2;5;169;113;31;4;36;2;4;3;0;2;6;1;0;20;0;0;1;3;216;134;10;25;3;14;5;5;4;7;2;2;3;0;0;0;2;713;103;45;506;12;6;5;3;3;3;0;2;17;0;3;1;4;204;76;49;17;9;12;4;6;0;2;2;2;0;2;2;7;14;4
"321506";"gmina wiejska";"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";6551;7201;3263;3288;0;19;0;0;0;0;0;0;0;3288;0;0;3288;103;70;33;0;3185;746;108;16;22;21;17;7;8;1;3;3;2;1;0;14;4;519;218;88;8;25;14;8;1;3;4;6;1;1;44;1;3;3;8;314;226;8;17;2;4;7;9;0;6;7;5;4;5;5;2;7;1612;174;109;1226;8;10;18;12;11;4;2;8;14;5;6;0;5;295;134;40;25;23;27;2;9;1;8;2;2;2;5;5;2;8;7
"321601";"gmina miejska";"m. Świdwin";"świdwiński";"zachodniopomorskie";10852;11726;4441;6411;5;45;0;0;0;0;0;0;0;6411;0;0;6411;107;77;30;0;6304;1890;344;55;206;76;31;16;22;960;9;13;5;2;13;27;32;79;361;166;23;44;14;23;3;15;2;11;4;5;17;4;4;7;19;663;93;29;19;25;21;274;19;8;8;12;13;9;9;2;110;12;2339;598;365;145;32;34;16;1030;11;10;3;25;19;20;5;3;23;1051;375;345;41;45;40;12;35;7;11;49;4;6;22;9;7;43;8
"321602";"gmina wiejska";"gm. Brzeżno";"świdwiński";"zachodniopomorskie";1952;2136;967;985;1;14;0;0;0;0;0;0;0;985;0;0;985;26;18;8;0;959;148;41;6;21;6;6;4;0;43;1;2;0;0;1;2;2;13;53;24;3;5;1;5;0;1;2;2;2;0;3;0;1;1;3;260;32;7;5;6;10;163;4;2;5;3;2;3;0;0;6;12;398;171;73;22;10;5;10;77;0;3;1;7;7;2;0;1;9;100;39;31;2;7;10;0;2;1;1;1;0;0;1;1;1;3;2
"321603";"gmina miejsko-wiejska";"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";11385;12383;4936;6449;7;438;0;0;0;0;0;0;0;6447;0;0;6447;109;77;32;0;6338;1865;351;142;151;68;38;27;16;708;18;19;3;4;12;15;10;283;313;134;10;59;13;13;8;9;9;5;4;7;13;3;1;7;18;481;124;37;75;21;47;50;23;10;12;13;15;13;1;9;18;13;2696;858;606;542;52;43;45;81;15;7;2;19;28;341;8;8;41;983;388;249;79;62;35;12;29;7;14;17;10;6;11;9;13;42;10
"321604";"gmina wiejska";"gm. Rąbino";"świdwiński";"zachodniopomorskie";2620;2844;1359;1261;1;2;0;0;0;0;0;0;0;1261;0;0;1261;34;29;5;0;1227;192;40;9;12;5;3;6;5;78;3;5;2;2;0;6;3;13;54;21;0;4;5;3;1;3;0;4;1;0;4;0;0;3;5;204;38;30;17;14;34;42;3;3;2;5;5;4;0;2;4;1;641;245;99;80;80;15;10;65;4;3;3;8;9;9;3;1;7;136;41;38;4;10;7;4;5;0;1;8;2;2;4;3;4;3;4
"321605";"gmina wiejska";"gm. Sławoborze";"świdwiński";"zachodniopomorskie";2920;3177;1538;1382;2;12;0;0;0;0;0;0;0;1382;0;0;1382;36;24;12;0;1346;301;55;11;42;13;5;18;4;124;1;4;2;2;2;5;6;7;81;43;1;4;6;7;0;2;7;2;1;4;0;0;0;0;4;242;43;10;10;28;12;51;4;3;5;2;6;7;3;0;26;32;523;282;87;34;13;15;10;53;3;1;1;1;9;4;1;2;7;199;79;46;14;11;6;1;11;1;7;5;4;1;0;1;1;11;5
"321606";"gmina wiejska";"gm. Świdwin";"świdwiński";"zachodniopomorskie";4269;4632;2182;2086;3;10;0;0;0;0;0;0;0;2087;0;0;2087;59;46;13;0;2028;326;93;11;29;13;16;6;13;112;2;2;2;1;2;5;5;14;130;50;9;14;7;7;4;7;8;2;0;3;6;0;4;0;9;365;47;7;12;12;10;204;8;3;2;12;4;4;2;4;27;7;972;356;169;73;22;7;17;241;7;0;0;10;16;21;2;2;29;235;77;65;14;15;9;2;5;1;7;16;2;3;7;3;3;6;8
"321701";"gmina miejska";"m. Wałcz";"wałecki";"zachodniopomorskie";17877;18932;6309;11568;12;61;2;2;0;1;0;0;1;11568;1;0;11568;119;79;40;0;11449;4467;199;19;48;37;3967;27;8;3;16;19;6;5;33;32;17;31;678;291;25;33;23;19;10;17;11;10;4;12;25;85;7;78;28;912;127;18;24;13;5;16;15;142;10;471;13;16;5;6;7;24;3668;228;70;61;21;3112;65;11;4;5;1;8;20;12;4;0;46;1724;584;622;59;91;75;11;60;9;28;29;14;13;15;70;5;39;13
"321702";"gmina miejsko-wiejska";"gm. Człopa";"wałecki";"zachodniopomorskie";3610;3940;1814;1796;3;10;0;0;0;0;0;0;0;1796;0;0;1796;34;22;12;0;1762;447;63;9;12;15;298;8;4;2;3;6;0;3;4;8;6;6;105;37;11;7;4;7;0;2;3;1;1;3;6;9;0;12;2;186;51;12;24;6;8;12;8;10;2;21;8;4;4;4;0;12;809;78;51;100;7;505;13;9;5;2;2;7;5;6;3;4;12;215;91;44;7;13;20;1;6;0;4;8;3;3;0;4;0;11;4
"321703";"gmina miejsko-wiejska";"gm. Mirosławiec";"wałecki";"zachodniopomorskie";3752;4137;1626;2126;0;31;0;0;0;0;0;0;0;2126;0;0;2126;48;33;15;0;2078;722;68;20;21;12;541;8;3;18;9;5;0;1;3;2;7;4;120;44;8;9;8;5;0;1;4;10;0;1;4;6;1;11;8;194;57;16;7;5;3;3;8;22;5;21;16;6;3;11;1;10;731;150;68;38;9;367;10;7;3;6;4;10;12;2;3;0;42;311;123;53;22;29;28;1;12;4;6;9;4;1;3;6;2;8;5
"321704";"gmina miejsko-wiejska";"gm. Tuczno";"wałecki";"zachodniopomorskie";3490;3831;1709;1781;3;25;0;0;0;0;0;0;0;1781;0;0;1781;50;35;15;0;1731;433;48;12;15;19;301;4;6;3;2;2;1;1;3;6;5;5;107;48;4;4;3;4;1;5;5;3;0;2;4;2;2;20;0;200;53;11;15;12;1;10;8;17;2;48;6;2;0;10;2;3;785;103;67;68;11;393;16;12;3;2;3;8;8;14;1;1;75;206;76;58;10;17;5;2;5;3;2;1;0;1;2;11;3;10;6
"321705";"gmina wiejska";"gm. Wałcz";"wałecki";"zachodniopomorskie";8866;9627;4111;4755;1;23;0;0;0;0;0;0;0;4755;0;0;4755;98;85;13;0;4657;1447;94;17;10;29;1222;2;14;7;8;7;2;5;6;13;5;6;334;92;12;11;7;19;0;8;4;5;5;9;11;105;3;36;7;610;85;16;25;4;8;10;18;291;7;99;14;10;3;4;10;6;1780;183;71;66;11;1232;90;27;11;2;3;15;18;16;6;1;28;486;178;127;19;40;25;7;14;5;9;12;5;5;5;17;2;16;9
"326101";"gmina miejska";"m. Koszalin";"Koszalin";"zachodniopomorskie";74986;81320;21889;53096;80;451;9;9;0;0;0;0;9;53081;9;2;53079;538;341;197;0;52541;20169;6126;7195;663;4126;172;757;110;217;75;45;9;32;43;134;73;392;3129;1563;194;279;136;182;32;117;25;111;31;58;115;9;26;54;197;4074;915;1999;201;49;69;135;81;45;50;63;158;43;195;23;6;42;15545;4724;6732;842;354;387;1141;125;100;485;34;144;146;91;64;51;125;9624;3251;1253;2429;249;282;512;246;39;119;212;43;61;41;97;84;706;54
