"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOMARNICKI";"Janusz MAKSYMOWICZ";"Marek Tomasz SURMACZ";"Anna SYNOWIEC"
"d020-e81b-0676-df8a-a412-ee27-0d31-b346";"080101";"21";"11";"miasto";"stały";"Szkoła Podstawowa Nr 2, Ludwika Banaszaka 1, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"760";"826";"260";"500";"0";"5";"0";"0";"0";"0";"0";"0";"0";"500";"0";"0";"500";"5";"4";"1";"0";"495";"246";"26";"122";"101"
"94ee-046e-e369-97cb-3bbf-a503-bf1d-3c86";"080101";"21";"12";"miasto";"stały";"Przedszkole Miejskie Nr 2, ul. Czereśniowa 1, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"710";"770";"231";"479";"0";"0";"0";"0";"0";"0";"0";"0";"0";"479";"0";"0";"479";"17";"1";"16";"0";"462";"237";"15";"110";"100"
"b96a-ef6b-375f-6d77-d988-85dc-3ff4-b79b";"080101";"21";"13";"miasto";"stały";"Przedszkole Miejskie Nr 2, ul. Czereśniowa 1, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"740";"807";"234";"506";"0";"2";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"10";"3";"7";"0";"496";"263";"19";"98";"116"
"db11-a9be-78ed-1a69-fe80-2680-0583-92ee";"080101";"21";"14";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Mikołaja Reja 32a, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"710";"785";"225";"485";"0";"8";"0";"0";"0";"0";"0";"0";"0";"485";"0";"0";"485";"6";"0";"6";"0";"479";"226";"15";"141";"97"
"e40c-7947-209a-cace-d829-71e2-6cbe-f75f";"080101";"21";"15";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Mikołaja Reja 32a, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"920";"1006";"300";"620";"0";"1";"0";"0";"0";"0";"0";"0";"0";"620";"0";"0";"620";"4";"1";"3";"0";"616";"285";"33";"154";"144"
"2907-4dda-a48b-1c25-9e6d-a356-f926-8749";"080101";"21";"16";"miasto";"zakład leczniczy";"Niepubliczny Zakład Opieki Zdrowotnej Nowy Szpital, Gabriela Narutowicza 6, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"50";"57";"14";"36";"0";"6";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"36";"0";"0";"0";"0";"36";"10";"1";"14";"11"
"3b0e-6be1-8af2-200c-2262-790b-24a7-81f7";"080101";"21";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Dom Seniora"", Gabriela Narutowicza 4a, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"57";"51";"29";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"2";"0";"2";"0";"26";"3";"6";"14";"3"
"36aa-f8a2-3df1-cfeb-56e9-3c94-ad02-9552";"080102";"21";"1";"wieś";"stały";"Szkoła Podstawowa, Pocztowa 7, 66-450 Bogdaniec";"gm. Bogdaniec";"gorzowski";"lubuskie";"1730";"1901";"622";"1108";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1106";"0";"0";"1106";"8";"2";"6";"0";"1098";"409";"44";"326";"319"
"b97f-0ae9-d83f-316f-c015-cb8f-0aa9-f46e";"080102";"21";"2";"wieś";"stały";"Szkoła Podstawowa, Jeniniec 8A, 66-450 Bogdaniec";"gm. Bogdaniec";"gorzowski";"lubuskie";"700";"773";"323";"377";"0";"1";"1";"1";"0";"0";"0";"0";"1";"378";"1";"0";"378";"9";"4";"5";"0";"369";"105";"21";"135";"108"
"4f78-a2e3-470d-7a68-2ee3-7fa0-43c8-a105";"080102";"21";"3";"wieś";"stały";"Szkoła Podstawowa, Lubczyno 55, 66-450 Bogdaniec";"gm. Bogdaniec";"gorzowski";"lubuskie";"560";"624";"234";"326";"0";"1";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"4";"0";"4";"0";"322";"92";"5";"130";"95"
