"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin Rafał BUGAJSKI";"Przemysław Albert GIERADA";"Kazimierz KIK";"Edward RZEPKA";"Krzysztof Marek SŁOŃ"
"9763-df71-1784-88c0-ee96-dd15-23d9-f42b";"260412";"83";"6";"wieś";"stały";"Szkoła Podstawowa w Brzezinach, Brzeziny ul. Szkolna 1, 26-026 Morawica";"gm. Morawica";"kielecki";"świętokrzyskie";"2156";"2390";"641";"1515";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1515";"0";"0";"1515";"19";"7";"12";"0";"1496";"126";"154";"98";"244";"874"
"8ded-2d36-e6eb-06e6-2f2e-122d-c3d9-26de";"260412";"83";"7";"wieś";"stały";"Szkoła Podstawowa w Lisowie, Lisów ul. Szkolna 8, 26-026 Morawica";"gm. Morawica";"kielecki";"świętokrzyskie";"890";"953";"336";"554";"0";"3";"0";"0";"0";"0";"0";"0";"0";"554";"0";"0";"554";"6";"0";"6";"0";"548";"44";"63";"37";"103";"301"
"ec7f-7c34-39c2-5f8f-7658-aa8e-9c13-a124";"260412";"83";"8";"wieś";"stały";"Hala Sportowa ""BILCZA"", Bilcza ul. Szkolna 1, 26-026 Morawica";"gm. Morawica";"kielecki";"świętokrzyskie";"1476";"1637";"327";"1149";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1149";"0";"0";"1149";"10";"1";"9";"0";"1139";"90";"104";"65";"337";"543"
"b317-cde4-2bd2-1ee1-979c-d2ec-dffe-11d7";"260412";"83";"9";"wieś";"stały";"Szkoła Podstawowa w Woli Morawickiej, Wola Morawicka ul. Podemłynie 1, 26-026 Morawica";"gm. Morawica";"kielecki";"świętokrzyskie";"734";"820";"260";"474";"2";"2";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"7";"3";"4";"0";"467";"34";"43";"26";"62";"302"
"edb1-fb1f-72ba-8ccc-0389-2cad-546c-65d8";"260412";"83";"10";"wieś";"zakład leczniczy";"Świętokrzyskie Centrum Psychiatrii w Morawicy, ul. Spacerowa 5, 26-026 Morawica";"gm. Morawica";"kielecki";"świętokrzyskie";"610";"682";"458";"152";"0";"2";"0";"0";"0";"0";"0";"0";"0";"152";"0";"0";"152";"7";"2";"5";"0";"145";"21";"18";"12";"23";"71"
"478f-28b2-3001-c2f6-d1f9-914a-8688-f6a6";"260412";"83";"11";"wieś";"zakład leczniczy";"Świętokrzyskie Centrum Psychiatrii w Morawicy, ul. Kusocińskiego 59, 25-045 Kielce";"gm. Morawica";"kielecki";"świętokrzyskie";"136";"116";"85";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"51";"0";"0";"51";"2";"0";"2";"0";"49";"4";"4";"9";"5";"27"
"e0e8-520d-0317-3886-e41a-4804-f064-20ff";"260413";"83";"1";"miasto i wieś";"stały";"Szkoła Podstawowa w Nowej Słupi, ul. Szkolna 10, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"1364";"1484";"536";"828";"1";"8";"0";"0";"0";"0";"0";"0";"0";"828";"0";"0";"828";"16";"1";"15";"0";"812";"70";"104";"53";"147";"438"
"6b80-d5ea-e66b-d944-643f-fe9b-163d-02bb";"260413";"83";"2";"wieś";"stały";"Szkoła Podstawowa w Mirocicach, Mirocice 45a, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"387";"424";"196";"191";"0";"0";"0";"0";"0";"0";"0";"0";"0";"191";"0";"0";"191";"3";"0";"3";"0";"188";"16";"36";"10";"25";"101"
"cd6f-edf8-9912-0f5f-3cef-a1a0-a1dc-1f35";"260413";"83";"3";"wieś";"stały";"Świętokrzyskie Centrum Doskonalenia Nauczycieli Centrum Edukacyjne w Milanowskiej Wólce, Milanowska Wólka 18a, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"815";"895";"358";"457";"1";"5";"0";"0";"0";"0";"0";"0";"0";"457";"0";"0";"457";"2";"0";"2";"0";"455";"29";"38";"15";"38";"335"
"8803-70b4-514a-ac5f-3330-3c9b-1d5c-751e";"260413";"83";"4";"wieś";"stały";"Szkoła Podstawowa w Jeziorku, Jeziorko 123a, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"899";"994";"372";"527";"4";"8";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"6";"2";"4";"0";"521";"26";"39";"23";"48";"385"
"9ff9-90c7-a5b4-1798-96b9-7ca9-418a-587c";"260413";"83";"5";"wieś";"stały";"Zespół Szkół w Rudkach, Rudki ul. Szkolna 2, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"1707";"1872";"753";"954";"0";"1";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"6";"2";"4";"0";"948";"72";"93";"65";"164";"554"
"6469-c0b2-7e0c-f1d5-8424-2bba-ad59-0f0e";"260413";"83";"6";"wieś";"stały";"Szkoła Podstawowa w Pokrzywiance, Pokrzywianka 33, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"858";"943";"368";"490";"0";"3";"0";"0";"0";"0";"0";"0";"0";"490";"0";"0";"490";"10";"2";"8";"0";"480";"45";"44";"27";"54";"310"
"1395-f1f8-a8f4-548d-22d2-fb8b-173d-cf9e";"260413";"83";"7";"wieś";"stały";"Szkoła Podstawowa w Starej Słupi, Stara Słupia 78, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"687";"742";"289";"398";"2";"2";"0";"0";"0";"0";"0";"0";"0";"398";"0";"0";"398";"10";"0";"10";"0";"388";"22";"46";"23";"60";"237"
"bf90-1785-7fe4-501d-9ced-cc16-cc4e-92f1";"260413";"83";"8";"wieś";"stały";"Szkoła Podstawowa w Jeleniowie, Jeleniów 85, 26-006 Nowa Słupia";"gm. Nowa Słupia";"kielecki";"świętokrzyskie";"480";"518";"225";"255";"1";"0";"0";"0";"0";"0";"0";"0";"0";"255";"0";"0";"255";"2";"1";"1";"0";"253";"10";"32";"16";"22";"173"
"e607-f29c-d6a9-cfdf-e1c3-3717-028d-7363";"260414";"83";"1";"wieś";"stały";"Centrum Kultury w Piekoszowie, ul. Kolejowa 2, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"1004";"1088";"272";"732";"0";"2";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"18";"8";"10";"0";"714";"53";"91";"64";"217";"289"
"79e8-be93-e3ca-eeee-55ee-b1ce-f9c7-0c1f";"260414";"83";"2";"wieś";"stały";"Biblioteka Centrum Kultury w Piekoszowie, ul. Częstochowska 66, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"744";"809";"298";"446";"1";"5";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"4";"0";"4";"0";"442";"32";"48";"38";"85";"239"
"483e-5b8c-c752-cd00-608f-daeb-35d0-3a94";"260414";"83";"3";"wieś";"stały";"Remiza OSP w Piekoszowie, ul. Częstochowska 85A, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"790";"871";"277";"513";"0";"5";"0";"0";"0";"0";"0";"0";"0";"513";"0";"0";"513";"5";"3";"2";"0";"508";"29";"42";"38";"66";"333"
"4db8-83ce-9058-a206-b00d-9b1c-3df1-7237";"260414";"83";"4";"wieś";"stały";"Zespół Placówek Oświatowych w Jaworzni (siedziba Gimnazjum), Jaworznia 93, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"661";"727";"220";"441";"2";"2";"0";"0";"0";"0";"0";"0";"0";"441";"0";"0";"441";"4";"1";"3";"0";"437";"51";"35";"27";"82";"242"
"3a62-80dc-1afc-9662-bfca-638e-12ea-4842";"260414";"83";"5";"wieś";"stały";"Zespół Placówek Oświatowych w Jaworzni (siedziba Szkoły Podstawowej), Jaworznia 93, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"722";"802";"300";"422";"0";"1";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"7";"6";"1";"0";"416";"32";"30";"45";"91";"218"
"c07c-1d8e-cfc7-2596-9d83-66c4-e099-5fc8";"260414";"83";"6";"wieś";"stały";"Szkoła Podstawowa w Brynicy, Brynica 144A, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"791";"871";"270";"521";"0";"1";"0";"0";"0";"0";"0";"0";"0";"521";"0";"0";"521";"11";"2";"9";"0";"510";"40";"23";"31";"59";"357"
"da65-9434-4a26-c0bd-aab9-166c-3696-2008";"260414";"83";"7";"wieś";"stały";"Szkoła Podstawowa w Łosieniu, Łosień 1, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"830";"914";"301";"529";"0";"4";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"11";"4";"7";"0";"518";"33";"51";"15";"36";"383"
"d8d0-efd8-f546-3e82-9b0f-0984-76b5-c325";"260414";"83";"8";"wieś";"stały";"Szkoła Podstawowa w Zajączkowie, Zajączków 86, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"855";"941";"312";"543";"0";"1";"0";"0";"0";"0";"0";"0";"0";"541";"0";"0";"541";"11";"4";"7";"0";"530";"32";"42";"21";"42";"393"
"8e9d-62cd-d5eb-cbd9-f23a-9dd8-7986-b486";"260414";"83";"9";"wieś";"stały";"Szkoła Podstawowa w Rykoszynie, Rykoszyn ul. Świętokrzyska 112, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"1113";"1215";"383";"730";"3";"1";"0";"0";"0";"0";"0";"0";"0";"730";"0";"0";"730";"9";"1";"8";"0";"721";"40";"76";"42";"86";"477"
"6ab1-4e0b-6fcf-bf78-f94b-728a-51df-9e83";"260414";"83";"10";"wieś";"stały";"Świetlica Wiejska w Szczukowicach, Szczukowice 176A, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"958";"1054";"332";"626";"0";"0";"0";"0";"0";"0";"0";"0";"0";"626";"0";"0";"626";"11";"3";"8";"0";"615";"51";"50";"44";"66";"404"
"e1ad-7b7a-81c8-a986-4333-42a4-232c-e46c";"260414";"83";"11";"wieś";"stały";"Zespół Oświatowych Placówek Integracyjnych w Micigoździe, Micigózd ul. Częstochowska 21, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"870";"950";"314";"556";"1";"1";"0";"0";"0";"0";"0";"0";"0";"556";"0";"0";"556";"6";"0";"6";"0";"550";"27";"56";"33";"102";"332"
"9454-1ee2-c5b5-3182-e64a-38a8-5519-1a86";"260414";"83";"12";"wieś";"stały";"Świetlica Wiejska w Wincentowie, Wincentów 66B, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"701";"770";"228";"473";"2";"0";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"6";"2";"4";"0";"467";"38";"54";"27";"53";"295"
"1c8b-b7fb-308d-7085-5c5a-b41f-5ef5-93ad";"260414";"83";"13";"wieś";"stały";"Żłobek Gminny w Piekoszowie, ul. Czarnowska 54, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"533";"584";"193";"340";"0";"1";"0";"0";"0";"0";"0";"0";"0";"340";"0";"0";"340";"2";"2";"0";"0";"338";"22";"40";"31";"77";"168"
"926e-59da-2122-a4f8-7df9-2fd5-8963-e43c";"260414";"83";"14";"wieś";"stały";"Budynek Klubu Sportowego w Skałce, Skałka Osiedle 3A, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"922";"1007";"363";"559";"0";"0";"0";"0";"0";"0";"0";"0";"0";"559";"0";"0";"559";"9";"1";"8";"0";"550";"36";"36";"31";"37";"410"
"98b8-85b1-8d53-e2c9-ef32-d3e0-82d0-0e1a";"260414";"83";"15";"wieś";"stały";"Zespół Placówek Oświatowych w Jaworzni (siedziba Przedszola), Jaworznia 93, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"421";"458";"172";"249";"0";"0";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"1";"1";"0";"0";"248";"13";"30";"12";"35";"158"
"f938-bf84-64c2-d3df-48e6-b780-ed78-874e";"260414";"83";"16";"wieś";"dom pomocy społecznej";"Dom Dla Niepełnosprawnych w Piekoszowie, ul. Czarnowska 2a, 26-065 Piekoszów";"gm. Piekoszów";"kielecki";"świętokrzyskie";"83";"78";"13";"70";"0";"4";"0";"0";"0";"0";"0";"0";"0";"70";"0";"0";"70";"1";"0";"1";"0";"69";"1";"0";"0";"2";"66"
"5397-6099-de94-7bc8-fded-6327-3810-3360";"260415";"83";"1";"wieś";"stały";"Urząd Miasta i Gminy Pierzchnica, ul. Urzędnicza 6, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"536";"601";"207";"329";"1";"8";"0";"0";"0";"0";"0";"0";"0";"329";"0";"0";"329";"4";"0";"4";"0";"325";"10";"30";"17";"51";"217"
"ccbf-0634-62db-c123-bc86-5f81-96fb-409e";"260415";"83";"2";"wieś";"stały";"Szkoła Podstawowa w Drugni, Drugnia 28, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"626";"684";"242";"384";"1";"5";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"8";"1";"7";"0";"376";"18";"34";"14";"28";"282"
"2e34-a306-2b95-eead-3ca2-3c8b-9c13-19e6";"260415";"83";"3";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Skrzelczycach, Skrzelczyce 104, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"708";"768";"282";"426";"1";"1";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"6";"3";"3";"0";"420";"19";"31";"37";"35";"298"
"cf5a-689c-37d0-8d4e-7030-aa1c-0045-c528";"260415";"83";"4";"miasto i wieś";"stały";"Szkoła Podstawowa w Pierzchnicy, ul. Kardynała Stefana Wyszyńskiego 5, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"810";"865";"260";"550";"1";"2";"0";"0";"0";"0";"0";"0";"0";"550";"0";"0";"550";"12";"3";"9";"0";"538";"23";"55";"33";"110";"317"
"b5f8-202e-a305-e94b-e18c-aaa5-23ba-0c3d";"260415";"83";"5";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Gumienicach, Gumienice 17, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"751";"816";"264";"487";"1";"1";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"10";"1";"9";"0";"477";"25";"41";"17";"48";"346"
"6b81-4ebb-2419-e503-7b2a-7462-fed2-588c";"260415";"83";"6";"miasto";"dom pomocy społecznej";"Dom Seniora im. Sue Ryder w Pierzchnicy, ul. Szkolna 36, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"97";"94";"61";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"36";"3";"0";"3";"0";"33";"4";"7";"2";"7";"13"
"73e3-2546-ea58-6f89-99f1-d1f0-e11a-7f33";"260415";"83";"7";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Osinach, Osiny 54B, 26-015 Pierzchnica";"gm. Pierzchnica";"kielecki";"świętokrzyskie";"159";"148";"139";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"3";"0";"3";"0";"17";"2";"5";"0";"0";"10"
"c1ef-0649-5755-814f-35e9-bb47-3fa4-5b84";"260416";"83";"1";"wieś";"stały";"Szkoła Podstawowa, Bardo 86A, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"349";"384";"175";"174";"0";"1";"0";"0";"0";"0";"0";"0";"0";"174";"0";"0";"174";"4";"0";"4";"0";"170";"10";"22";"5";"10";"123"
"c699-7e56-b657-beb2-b1dd-5f92-cb10-ab6e";"260416";"83";"2";"wieś";"stały";"Świetlica Wiejska, Celiny 27A, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"329";"357";"150";"179";"0";"0";"0";"0";"0";"0";"0";"0";"0";"179";"0";"0";"179";"2";"1";"1";"0";"177";"9";"23";"4";"28";"113"
"e762-85bf-c43e-de84-f3f9-ff08-37f7-e25d";"260416";"83";"3";"wieś";"stały";"Świetlica w Budynku Wielofunkcyjnym, Ociesęki 61A, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"502";"534";"230";"272";"0";"0";"0";"0";"0";"0";"0";"0";"0";"272";"0";"0";"272";"8";"1";"7";"0";"264";"19";"33";"12";"32";"168"
"ee69-365e-ac6f-4f5e-9672-4124-2653-f04b";"260416";"83";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Jana Sienieńskiego 20, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"599";"675";"226";"373";"0";"6";"0";"0";"0";"0";"0";"0";"0";"373";"0";"0";"373";"9";"0";"9";"0";"364";"9";"26";"22";"32";"275"
"7192-cc38-c051-3dfd-1335-b288-a17d-cd67";"260416";"83";"5";"wieś";"stały";"Szkoła Podstawowa, Szumsko 42B, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"559";"619";"233";"326";"1";"2";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"5";"1";"4";"0";"321";"21";"30";"25";"43";"202"
"4b08-025c-5524-d993-3a39-933e-9842-9827";"260416";"83";"6";"wieś";"stały";"Świetlica Wiejska, Nowa Huta 68, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"318";"350";"162";"156";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156";"0";"0";"156";"2";"1";"1";"0";"154";"17";"21";"13";"30";"73"
"2cda-8359-1c11-5e1c-2b42-f265-9447-0bc9";"260416";"83";"7";"wieś";"stały";"Remiza OSP, Chańcza 59A, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"301";"346";"85";"216";"0";"13";"0";"0";"0";"0";"0";"0";"0";"216";"0";"0";"216";"0";"0";"0";"0";"216";"11";"22";"13";"31";"139"
"ea64-00c2-83ba-1092-5dd1-bebf-c3fc-23b1";"260416";"83";"8";"wieś";"stały";"Świetlica Wiejska, Życiny 91, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"230";"250";"109";"121";"0";"2";"0";"0";"0";"0";"0";"0";"0";"121";"0";"0";"121";"5";"2";"3";"0";"116";"15";"13";"3";"16";"69"
"938a-329d-4fb6-90da-d4a9-c187-99f5-e941";"260416";"83";"9";"wieś";"stały";"Świetlica, ul. Jana Sienieńskiego 19, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"570";"616";"216";"354";"1";"4";"0";"0";"0";"0";"0";"0";"0";"354";"0";"0";"354";"4";"4";"0";"0";"350";"18";"34";"22";"63";"213"
"92a9-3264-8aa6-4057-f0f5-d06d-aad3-1252";"260416";"83";"10";"wieś";"stały";"Dom Wiejski, Szumsko 37, 26-035 Raków";"gm. Raków";"kielecki";"świętokrzyskie";"500";"544";"252";"248";"0";"3";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"3";"2";"1";"0";"245";"12";"25";"14";"11";"183"
"b5ee-8a40-49e5-5a31-0171-b298-1ebe-35a4";"260417";"83";"1";"wieś";"stały";"Świetlica w Szewcach, Szewce ul. Dewońska 91, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"640";"691";"156";"484";"1";"0";"0";"0";"0";"0";"0";"0";"0";"484";"0";"0";"484";"5";"2";"3";"0";"479";"49";"50";"32";"128";"220"
"c6ed-ff4f-a1d7-6f22-0327-6f62-2b6d-dcb7";"260417";"83";"2";"wieś";"stały";"Gminny Ośrodek Kultury „Perła” w Nowinach, ul. Perłowa 1, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"602";"647";"172";"430";"0";"1";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"4";"1";"3";"0";"426";"35";"49";"37";"145";"160"
"47bd-65ec-a65f-85fe-5bc4-6db8-dc2f-189d";"260417";"83";"3";"wieś";"stały";"Zespół Szkół Ponadpodstawowych w Nowinach, ul. Gimnazjalna 1, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"848";"915";"213";"635";"2";"2";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"4";"0";"4";"0";"631";"59";"84";"50";"186";"252"
"efc2-cf32-8756-d1d7-5aa8-f2e7-7fdf-8f9e";"260417";"83";"4";"wieś";"stały";"Samorządowe Przedszkole w Nowinach, ul. Parkowa 11, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"830";"901";"251";"579";"2";"4";"0";"0";"0";"0";"0";"0";"0";"579";"0";"0";"579";"13";"2";"11";"0";"566";"39";"73";"42";"186";"226"
"35c3-0b25-13be-797d-1b3d-93bd-9611-0afa";"260417";"83";"5";"wieś";"stały";"Szkoła Podstawowa w Nowinach, ul. Białe Zagłębie 21, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"918";"1003";"323";"595";"0";"1";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"10";"2";"8";"0";"585";"57";"86";"40";"150";"252"
"07a8-f75b-2dde-80f7-0c46-703e-75b3-c2c5";"260417";"83";"6";"wieś";"stały";"Zespół Placówek Oświatowych w Bolechowicach, Bolechowice 10, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"757";"831";"230";"527";"1";"2";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"11";"3";"8";"0";"516";"33";"75";"46";"85";"277"
"08df-e47c-b2bd-a6e1-a023-6477-6d21-23fa";"260417";"83";"7";"wieś";"stały";"Zespół Placówek Integracyjnych w Kowali, Kowala 51B, 26-052 Nowiny";"gm. Sitkówka-Nowiny";"kielecki";"świętokrzyskie";"888";"984";"330";"558";"0";"0";"0";"0";"0";"0";"0";"0";"0";"558";"0";"0";"558";"9";"0";"9";"0";"549";"50";"46";"19";"79";"355"
"f1dc-3185-87cd-abfd-9873-1fac-e740-15fb";"260418";"83";"1";"wieś";"stały";"Szkoła Podstawowa w Oblęgorku, Oblęgorek ul. Gimnazjalna 15, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"1440";"1614";"500";"940";"2";"8";"0";"0";"0";"0";"0";"0";"0";"940";"0";"0";"940";"15";"3";"12";"0";"925";"78";"83";"59";"139";"566"
"9577-6c82-c5f5-88fe-c360-39e6-fa53-66b2";"260418";"83";"2";"wieś";"stały";"Samorządowe Centrum Kultury i Sportu w Strawczynie, ul. Żeromskiego 16, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"1548";"1695";"445";"1103";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1103";"0";"0";"1103";"10";"2";"8";"0";"1093";"92";"86";"92";"144";"679"
"827b-7b27-65ba-93fc-386b-3d81-e09c-ff51";"260418";"83";"3";"wieś";"stały";"Szkoła Podstawowa w Rudzie Strawczyńskiej, Ruda Strawczyńska 4, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"1081";"1239";"356";"725";"2";"3";"0";"0";"0";"0";"0";"0";"0";"725";"0";"0";"725";"13";"1";"12";"0";"712";"52";"66";"43";"81";"470"
"6dc5-e256-35f1-b537-d2bb-422c-f8eb-efa3";"260418";"83";"4";"wieś";"stały";"Szkoła Podstawowa w Korczynie, Korczyn 101, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"645";"711";"224";"421";"0";"0";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"5";"0";"5";"0";"416";"17";"44";"11";"17";"327"
"54e0-ef0d-260d-449a-8a51-b86d-64fb-5b2f";"260418";"83";"5";"wieś";"stały";"Szkoła Podstawowa w Chełmcach, Chełmce ul. Kościelna 51, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"1111";"1220";"320";"791";"3";"3";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"8";"1";"7";"0";"782";"58";"34";"36";"82";"572"
"2451-cd6a-4974-aace-c76e-7b76-6650-a7db";"260418";"83";"6";"wieś";"stały";"Szkoła Podstawowa w Promniku, Promnik ul. Szkolna 10, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"1081";"1133";"385";"696";"0";"1";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"17";"6";"11";"0";"679";"52";"40";"34";"96";"457"
"7321-be3f-a7c4-648a-2254-705f-c51a-9baf";"260418";"83";"7";"wieś";"stały";"Świetlica środowiskowa w Strawczynku, Strawczynek ul. Wojewódzka 39, 26-067 Strawczyn";"gm. Strawczyn";"kielecki";"świętokrzyskie";"820";"892";"303";"517";"1";"1";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"7";"1";"6";"0";"510";"42";"50";"41";"66";"311"
"1747-a177-b413-0a8e-6f29-10fe-14ca-0471";"260419";"83";"1";"wieś";"stały";"Urząd Gminy w Zagnańsku, ul. Spacerowa 8, 26-050 Zagnańsk";"gm. Zagnańsk";"kielecki";"świętokrzyskie";"449";"482";"165";"284";"0";"2";"0";"0";"0";"0";"0";"0";"0";"284";"0";"0";"284";"6";"0";"6";"0";"278";"38";"29";"21";"47";"143"
"75c0-5ee1-569b-eff8-9b04-8f03-d712-1d8a";"260419";"83";"2";"wieś";"stały";"Zespół Szkoły Podstawowej Nr 2 i Przedszkola w Zagnańsku, ul. Turystyczna 59, 26-050 Zagnańsk";"gm. Zagnańsk";"kielecki";"świętokrzyskie";"1302";"1399";"348";"954";"3";"10";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"9";"2";"7";"0";"945";"102";"86";"64";"311";"382"
