"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Agnieszka Maria KOŁACZ-LESZCZYŃSKA";"Mirosław Aleksander LUBIŃSKI";"Kamil Krzysztof ZIELIŃSKI"
"3d8c-dcdb-5fc2-1ae0-74f1-9e94-c0cf-8dc5";"021901";"4";"1";"miasto";"stały";"Budynek dawnego Gimnazjum nr 1, ul. Mieczysława Kozara Słobódzkiego 21, 58-105 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1690";"1837";"402";"1288";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1286";"0";"0";"1286";"25";"7";"18";"0";"1261";"723";"121";"417"
"4a9a-f35d-7148-6e5f-dcfd-4869-40ef-be37";"021901";"4";"2";"miasto";"stały";"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi, ul. Galla Anonima 1, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1804";"1924";"522";"1282";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1282";"0";"0";"1282";"22";"7";"15";"0";"1260";"672";"112";"476"
"6083-af10-9052-3b36-f1c9-bf4c-1fc9-33b0";"021901";"4";"3";"miasto";"stały";"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi, ul. Galla Anonima 1, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"2021";"2230";"460";"1561";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1561";"0";"0";"1561";"24";"8";"16";"0";"1537";"911";"124";"502"
"5b84-1771-cf82-146d-ce16-0408-be5c-a3aa";"021901";"4";"4";"miasto";"stały";"Szkoła Podstawowa nr 105, ul. Saperów 27a, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1642";"1772";"633";"1009";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1009";"0";"0";"1009";"22";"5";"17";"0";"987";"559";"76";"352"
"8016-573a-36fd-d05a-a477-fb6c-3cf4-ad66";"021901";"4";"5";"miasto";"stały";"Szkoła Podstawowa nr 105, ul. Saperów 27a, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1762";"1923";"657";"1105";"2";"6";"2";"2";"0";"0";"0";"0";"2";"1107";"2";"0";"1107";"26";"13";"13";"0";"1081";"646";"131";"304"
"dd1f-d26d-3e77-6f16-aec5-7589-ad59-60d2";"021901";"4";"6";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Franciszkańska 18, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1690";"1849";"668";"1022";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1022";"0";"0";"1022";"26";"22";"4";"0";"996";"536";"103";"357"
"e997-55da-7580-6a54-8458-daa3-f281-09dd";"021901";"4";"7";"miasto";"stały";"Przedszkole Miejskie nr 6, ul. Komunardów 2, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1630";"1748";"650";"980";"1";"2";"0";"0";"0";"0";"0";"0";"0";"980";"0";"0";"980";"20";"5";"15";"0";"960";"530";"99";"331"
"8fe6-1318-5be2-23f4-d75b-7967-7373-b034";"021901";"4";"8";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Ofiar Oświęcimskich 30, 58-105 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1560";"1704";"511";"1049";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1049";"0";"0";"1049";"19";"4";"15";"0";"1030";"564";"95";"371"
"f37a-c66e-3909-69af-bf2d-1682-ff20-6d69";"021901";"4";"9";"miasto";"stały";"Przedszkole Miejskie nr 14, ul. Mieczysława Kozara Słobódzkiego 10, 58-105 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1873";"2030";"594";"1279";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1280";"1";"0";"1280";"36";"7";"29";"0";"1244";"641";"126";"477"
"0fda-2063-3436-de7a-9866-c2c5-bbdd-db7a";"021901";"4";"10";"miasto";"stały";"Miejskie Przedszkole Integracyjne nr 16, ul. Karola Marcinkowskiego 10, 58-105 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1712";"1852";"426";"1286";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1284";"0";"0";"1284";"24";"3";"21";"0";"1260";"697";"120";"443"
"963f-be48-125e-e5c4-0ddf-dee3-abf4-acd6";"021901";"4";"11";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Karola Marcinkowskiego 4 - 6, 58-105 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1891";"2042";"488";"1403";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1403";"0";"0";"1403";"22";"2";"20";"0";"1381";"728";"142";"511"
"76c6-bcf1-cb7e-921c-d46d-96bf-d096-4c6d";"021901";"4";"12";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Karola Marcinkowskiego 4 - 6, 58-105 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1982";"2136";"509";"1473";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1473";"0";"0";"1473";"26";"7";"19";"0";"1447";"839";"109";"499"
