"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Władysław Marcin KOSINIAK-KAMYSZ - nr na liście 1";"Joanna Ewa KORDULA - nr na liście 2";"Stanisław Andrzej SORYS - nr na liście 3";"Ryszard DROŻDŻAK - nr na liście 4";"Marcin Stanisław GAWEŁ - nr na liście 5";"Bogusław KAMIŃSKI - nr na liście 6";"Grzegorz DUDA - nr na liście 7";"Anna Teresa SKALAK - nr na liście 8";"Adam Roman BIEDROŃ - nr na liście 9";"Maria Stefania ŁAKOMA - nr na liście 10";"Marian Józef ZALEWSKI - nr na liście 11";"Stella Józefa DĄBROŚ - nr na liście 12";"Tadeusz Kazimierz ŻAK - nr na liście 13";"Magdalena Anna POWROŹNIK - nr na liście 14";"Artur Piotr CHMIELA - nr na liście 15";"Beata Maria MYŚKÓW-SKOCZEK - nr na liście 16";"Małgorzata Anna TOKARCZYK-KOZIOŁ - nr na liście 17";"Marcin Krzysztof MIKOS - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Anna Maria PIECZARKA - nr na liście 1";"Józefa SZCZUREK-ŻELAZKO - nr na liście 2";"Michał Jan WOJTKIEWICZ - nr na liście 3";"Urszula Beata RUSECKA - nr na liście 4";"Wiesław KRAJEWSKI - nr na liście 5";"Piotr Paweł SAK - nr na liście 6";"Anna Małgorzata CZECH - nr na liście 7";"Stanisław Marcin BUKOWIEC - nr na liście 8";"Mariusz Artur ZAJĄC - nr na liście 9";"Norbert Jakub KACZMARCZYK - nr na liście 10";"Jarosław Jan SORYS - nr na liście 11";"Piotr WAJDA - nr na liście 12";"Celina Joanna JACEWICZ - nr na liście 13";"Małgorzata Anna JAŚKO - nr na liście 14";"Magdalena Anna KOPCZYŃSKA - nr na liście 15";"Kazimierz Józef ŻUROWSKI - nr na liście 16";"Dariusz Piotr PIETRUSZKA - nr na liście 17";"Wojciech SKRUCH - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jacek Andrzej JABŁOŃSKI - nr na liście 1";"Jerzy Andrzej WOŹNIAK - nr na liście 2";"Ewa SKOWROŃSKA - nr na liście 3";"Dorota KOCOŃ - nr na liście 4";"Stanisław Andrzej PIWOWARSKI - nr na liście 5";"Agnieszka Anna SIENICKA - nr na liście 6";"Antoni CZAPKIEWICZ - nr na liście 7";"Maria Bernadeta WILCZYŃSKA - nr na liście 8";"Przemysław Tomasz DAŃDA - nr na liście 9";"Przemysław WĘGRZYN - nr na liście 10";"Romana Anna JEWUŁA - nr na liście 11";"Renata Lucyna NIZIOŁEK - nr na liście 12";"Liliana Karolina KONOPKA - nr na liście 13";"Artur Łukasz BOROWICZ - nr na liście 14";"Justyna Magdalena MAŁEK - nr na liście 15";"Maciej Jan MROZOWSKI - nr na liście 16";"Alicja Łucja SERWIN - nr na liście 17";"Andrzej Stefan SZTORC - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Czesław Alfred KWAŚNIAK - nr na liście 1";"Radosław Michał MACOŃ - nr na liście 2";"Konrad Mariusz WÓJCIKIEWICZ - nr na liście 3";"Barbara Janina ŁACH - nr na liście 4";"Grzegorz Wojciech POCIĘGIEL - nr na liście 5";"Andrzej Piotr SZUBA - nr na liście 6";"Agata Magdalena SMOŁA - nr na liście 7";"Ewelina Anna JEZIOREK - nr na liście 8";"Marta Magdalena MUCHA - nr na liście 9";"Maria Barbara LECHOWICZ - nr na liście 10";"Kamil STACHOWICZ - nr na liście 11";"Alina Barbara BORYCZKA - nr na liście 12";"Karol Zygmunt SERAFIN - nr na liście 13";"Maciej Zbigniew SOSIN - nr na liście 14";"Jadwiga Maria NOWAK - nr na liście 15";"Bartłomiej Bogusław NIEDZIUŁKA - nr na liście 16";"Krzysztof Grzegorz GAGATEK - nr na liście 17";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Urszula Danuta AUGUSTYN - nr na liście 1";"Robert Marian WARDZAŁA - nr na liście 2";"Jacek Paweł PAJĄK - nr na liście 3";"Lech Jerzy PANKIEWICZ - nr na liście 4";"Barbara Maria KRUPA - nr na liście 5";"Grzegorz Maciej CYGONIK - nr na liście 6";"Jolanta Agata KRAMARCZYK - nr na liście 7";"Krzysztof Tadeusz JANAS - nr na liście 8";"Anna Beata POLAŃSKA - nr na liście 9";"Adam Marian KRAMARCZYK - nr na liście 10";"Rafał Leszek ROJEWSKI - nr na liście 11";"Łukasz SADKIEWICZ - nr na liście 12";"Piotr SZKLARSKI - nr na liście 13";"Magdalena Joanna ŁACNA - nr na liście 14";"Oliwia Julia BŁESZYŃSKA - nr na liście 15";"Tomasz Antoni KLUZA - nr na liście 16";"Dominika Kinga GONDEK-PODOSEK - nr na liście 17";"Bogusław SAMBOR - nr na liście 18"
"6b48-0c8e-d418-7541-0b59-b3f6-cd0f-a846";"120202";"15";"9";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Brzesku, ul. Królowej Jadwigi 18, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"1442";"1577";"427";"1015";"1";"9";"1";"1";"0";"0";"0";"0";"1";"1015";"1";"0";"1015";"4";"1";"3";"0";"1011";"142";"124";"2";"6";"1";"2";"1";"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"499";"75";"340";"8";"5";"3";"12";"2";"6";"1";"6";"31";"1";"0";"1";"1";"2";"2";"3";"79";"36";"17";"2";"1";"0";"1";"0";"1";"0";"2";"0";"1";"4";"1";"3";"2";"4";"4";"89";"48";"14";"5";"4";"1";"1";"3";"5";"1";"1";"4";"0";"0";"0";"1";"1";"0";"202";"69";"42";"11";"2";"2";"0";"2";"0";"5";"0";"1";"0";"1";"3";"0";"2";"1";"61"
"bfaf-20fc-fca7-b25d-f93b-b084-4088-bbb5";"120202";"15";"10";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Brzesku, ul. Królowej Jadwigi 18, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"1478";"1594";"378";"1100";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1099";"0";"0";"1099";"8";"5";"3";"0";"1091";"155";"128";"2";"7";"0";"0";"2";"2";"1";"3";"2";"4";"0";"0";"2";"0";"0";"0";"2";"545";"81";"362";"4";"2";"5";"8";"3";"6";"0";"9";"60";"2";"0";"1";"0";"0";"0";"2";"70";"42";"7";"4";"2";"3";"1";"1";"1";"0";"2";"1";"0";"0";"0";"2";"1";"0";"3";"94";"32";"22";"3";"3";"1";"1";"1";"7";"2";"1";"4";"0";"4";"0";"2";"1";"10";"227";"80";"50";"8";"6";"1";"0";"3";"1";"7";"3";"0";"1";"0";"0";"0";"0";"0";"67"
"a8ac-9260-4200-0c8e-ef1a-0b0c-1da0-a1e6";"120202";"15";"11";"wieś";"stały";"Publiczna Szkoła Podstawowa, Jasień ul. Zielna 1, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"2297";"2490";"763";"1534";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1534";"0";"0";"1534";"15";"10";"5";"0";"1519";"195";"155";"5";"12";"2";"0";"1";"2";"0";"1";"0";"1";"0";"1";"6";"2";"0";"3";"4";"930";"156";"546";"8";"1";"6";"19";"6";"17";"16";"17";"119";"1";"4";"5";"2";"0";"4";"3";"73";"34";"8";"9";"3";"1";"2";"1";"0";"0";"1";"3";"2";"2";"1";"4";"0";"2";"0";"158";"61";"42";"10";"5";"3";"7";"2";"13";"2";"2";"5";"0";"1";"0";"1";"2";"2";"163";"68";"29";"10";"3";"3";"2";"4";"1";"1";"0";"0";"0";"0";"2";"1";"0";"3";"36"
"accc-87eb-2b3a-1837-aa8f-44df-073f-0b63";"120202";"15";"12";"wieś";"stały";"Publiczna Szkoła Podstawowa, Bucze ul. Okulicka 6, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"993";"1092";"374";"619";"0";"2";"0";"0";"0";"0";"0";"0";"0";"619";"0";"0";"619";"8";"7";"1";"0";"611";"64";"52";"2";"3";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"425";"61";"269";"6";"2";"1";"3";"0";"5";"2";"5";"68";"0";"1";"0";"0";"0";"0";"2";"16";"8";"3";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70";"46";"2";"3";"6";"1";"1";"0";"3";"1";"4";"0";"0";"1";"1";"0";"1";"0";"36";"11";"7";"3";"1";"2";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"7"
"e300-3e4a-a35d-5108-f0fb-41cf-6911-663e";"120202";"15";"13";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Jadownikach, ul. Szkolna 7, 32-851 Jadowniki";"gm. Brzesko";"brzeski";"małopolskie";"1247";"1357";"443";"804";"2";"1";"0";"0";"0";"0";"0";"0";"0";"804";"0";"0";"804";"8";"1";"7";"0";"796";"82";"57";"0";"4";"1";"0";"1";"1";"0";"2";"0";"13";"0";"0";"3";"0";"0";"0";"0";"544";"51";"261";"5";"2";"3";"14";"5";"3";"4";"2";"188";"0";"0";"0";"0";"2";"1";"3";"23";"16";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"56";"32";"8";"3";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"3";"2";"0";"3";"91";"33";"23";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"27"
"b584-5899-8dd7-5080-56df-1619-fb2a-a641";"120202";"15";"14";"wieś";"stały";"Dom Ludowy, ul. Krakowska 98, 32-851 Jadowniki";"gm. Brzesko";"brzeski";"małopolskie";"2395";"2604";"849";"1546";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1546";"0";"0";"1546";"17";"15";"2";"0";"1529";"210";"179";"0";"7";"1";"0";"1";"1";"1";"2";"1";"2";"0";"1";"10";"0";"1";"3";"0";"988";"108";"381";"7";"3";"1";"6";"7";"0";"3";"9";"460";"1";"1";"0";"0";"0";"0";"1";"51";"23";"11";"7";"0";"3";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"1";"137";"84";"22";"4";"0";"1";"1";"3";"3";"3";"2";"2";"2";"0";"1";"0";"2";"7";"143";"51";"37";"7";"3";"1";"1";"4";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"33"
"1da2-11de-a945-ee2b-7333-ee52-2f22-486a";"120202";"15";"15";"wieś";"stały";"Dom Ludowy, Okocim ul. Goetzów Okocimskich 83, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"1418";"1536";"571";"847";"0";"3";"0";"0";"0";"0";"0";"0";"0";"847";"0";"0";"847";"18";"10";"8";"0";"829";"100";"76";"0";"5";"3";"1";"3";"2";"1";"1";"0";"1";"0";"1";"3";"0";"0";"1";"2";"486";"97";"277";"5";"1";"3";"3";"2";"5";"4";"4";"80";"0";"0";"0";"1";"0";"3";"1";"56";"21";"14";"6";"3";"1";"1";"0";"3";"0";"2";"0";"0";"2";"1";"1";"0";"1";"0";"75";"40";"12";"1";"1";"0";"1";"0";"5";"1";"1";"4";"0";"2";"0";"1";"1";"5";"112";"38";"28";"6";"0";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"33"
"240d-b77d-5f43-86f4-abe6-0a78-912f-db2d";"120202";"15";"16";"wieś";"stały";"Publiczna Szkoła Podstawowa, Poręba Spytkowska ul. Kasztelana Spytka 98, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"1554";"1694";"623";"931";"1";"2";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"16";"8";"8";"0";"915";"121";"103";"2";"2";"1";"1";"2";"0";"2";"1";"1";"2";"0";"0";"2";"0";"0";"1";"1";"612";"114";"395";"5";"5";"5";"11";"6";"6";"17";"4";"39";"0";"0";"1";"1";"1";"1";"1";"28";"16";"4";"2";"0";"1";"1";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"97";"23";"7";"5";"2";"0";"0";"1";"50";"1";"1";"1";"1";"0";"1";"0";"0";"4";"57";"19";"10";"2";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"19"
"9ddb-380e-162b-67c8-16d1-63bb-d87e-ae6b";"120202";"15";"17";"wieś";"stały";"Gminny Ośrodek Sportu i Rekreacji, Mokrzyska ul. Kościelna 1, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"2147";"2345";"780";"1367";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1367";"0";"0";"1367";"21";"21";"0";"0";"1346";"184";"153";"2";"8";"1";"0";"0";"0";"0";"1";"1";"7";"0";"2";"2";"0";"3";"1";"3";"850";"109";"539";"6";"5";"10";"24";"11";"12";"5";"13";"107";"2";"0";"1";"1";"0";"1";"4";"54";"33";"7";"6";"2";"2";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"142";"58";"32";"5";"10";"1";"6";"2";"6";"2";"2";"2";"1";"4";"2";"5";"0";"4";"116";"35";"27";"3";"5";"1";"1";"0";"2";"11";"1";"0";"0";"0";"1";"0";"0";"1";"28"
"2c2b-039b-78e6-44a6-9331-7b9c-dcdc-7c29";"120202";"15";"18";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Św. Stanisława 5, 32-823 Szczepanów";"gm. Brzesko";"brzeski";"małopolskie";"964";"1044";"357";"607";"0";"4";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"4";"2";"2";"0";"602";"88";"67";"2";"0";"0";"0";"0";"0";"0";"2";"0";"12";"0";"0";"3";"0";"0";"0";"2";"391";"74";"245";"2";"3";"9";"3";"3";"0";"3";"10";"34";"1";"0";"2";"0";"0";"0";"2";"22";"9";"1";"2";"1";"1";"1";"0";"2";"0";"1";"0";"2";"0";"0";"0";"1";"0";"1";"53";"37";"7";"2";"1";"1";"0";"0";"1";"0";"0";"2";"0";"1";"0";"1";"0";"0";"48";"17";"10";"2";"1";"0";"0";"1";"0";"3";"0";"0";"0";"0";"2";"1";"0";"1";"10"
"91ab-8ab3-82df-39b5-2beb-a7f1-45cf-44ec";"120202";"15";"19";"wieś";"stały";"Dom Kultury, Sterkowiec ul. Sosnowa 18, 32-823 Szczepanów";"gm. Brzesko";"brzeski";"małopolskie";"711";"760";"240";"471";"0";"1";"0";"0";"0";"0";"0";"0";"0";"471";"0";"0";"471";"5";"1";"4";"0";"466";"94";"32";"0";"3";"0";"0";"0";"4";"0";"2";"0";"45";"0";"2";"5";"0";"0";"0";"1";"273";"35";"166";"4";"2";"4";"5";"1";"2";"5";"5";"43";"0";"0";"1";"0";"0";"0";"0";"15";"6";"0";"1";"3";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"36";"20";"4";"2";"0";"1";"2";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"2";"48";"22";"11";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"10"
"5015-1e51-8ac7-07e1-e12b-87be-2cb9-a71b";"120202";"15";"20";"wieś";"stały";"Dom Ludowy Strażak, Wokowice ul. Centralna 44, 32-828 Biadoliny Szlacheckie";"gm. Brzesko";"brzeski";"małopolskie";"369";"392";"131";"238";"0";"1";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"4";"4";"0";"0";"234";"32";"26";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0";"0";"155";"27";"110";"2";"0";"2";"3";"2";"0";"0";"0";"7";"1";"0";"0";"0";"0";"1";"0";"10";"4";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"12";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"25";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4"
"db75-a941-5e9c-216d-debf-d3f1-5acf-dc8b";"120202";"15";"21";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Brzesku, ul. Kościuszki 68, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"210";"113";"147";"63";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63";"0";"0";"63";"1";"1";"0";"0";"62";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"51";"11";"33";"0";"1";"2";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"fd08-7033-0949-dd2c-383d-d53e-e23d-986c";"120202";"15";"22";"miasto";"zakład leczniczy";"Powiatowy Publiczny Zakład Opiekuńczo-Leczniczy w Brzesku, ul. Kościuszki 33, 32-800 Brzesko";"gm. Brzesko";"brzeski";"małopolskie";"65";"57";"57";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"8";"1";"1";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"f24d-bdf4-50e4-f4c5-3eea-46e3-2a78-6c91";"120203";"15";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa w Czchowie, ul. Szkolna 2, 32-860 Czchów";"gm. Czchów";"brzeski";"małopolskie";"1689";"1823";"555";"1135";"2";"22";"0";"0";"0";"0";"0";"0";"0";"1135";"0";"0";"1135";"12";"9";"3";"0";"1123";"203";"156";"4";"0";"1";"1";"15";"0";"0";"7";"1";"6";"0";"0";"4";"1";"1";"2";"4";"671";"228";"337";"9";"8";"8";"5";"22";"5";"9";"22";"9";"1";"0";"1";"1";"2";"1";"3";"78";"41";"5";"8";"7";"0";"0";"1";"1";"1";"2";"2";"1";"4";"4";"0";"0";"1";"0";"88";"32";"5";"5";"6";"0";"3";"3";"1";"2";"1";"1";"0";"1";"0";"0";"0";"28";"83";"45";"15";"5";"2";"7";"0";"0";"2";"2";"1";"0";"2";"0";"1";"0";"0";"0";"1"
"515c-fd88-a049-a850-4ca3-1785-4290-c708";"120203";"15";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Wytrzyszczce, Wytrzyszczka 15, 32-860 Czchów";"gm. Czchów";"brzeski";"małopolskie";"423";"472";"120";"303";"2";"11";"0";"0";"0";"0";"0";"0";"0";"303";"0";"0";"303";"7";"6";"1";"0";"296";"25";"22";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"245";"107";"101";"5";"4";"1";"5";"4";"2";"0";"9";"3";"0";"2";"1";"0";"1";"0";"0";"4";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"5";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"9";"6";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"eff6-b02a-9a24-fa11-8596-2cc4-46d3-36cc";"120203";"15";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Jana Pawła II w Jurkowie, Jurków 150, 32-860 Czchów";"gm. Czchów";"brzeski";"małopolskie";"963";"1053";"339";"624";"0";"3";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"10";"6";"4";"0";"614";"72";"39";"3";"3";"0";"0";"6";"1";"0";"1";"0";"4";"0";"2";"11";"1";"0";"1";"0";"399";"147";"210";"7";"1";"7";"7";"7";"2";"2";"2";"4";"1";"0";"0";"0";"2";"0";"0";"25";"15";"1";"1";"2";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"75";"34";"12";"2";"2";"1";"2";"1";"1";"3";"1";"1";"0";"1";"2";"0";"1";"11";"43";"19";"11";"0";"0";"1";"2";"0";"1";"0";"3";"0";"0";"1";"0";"1";"0";"0";"4"
"81f7-3faf-0f5e-b800-e77c-dbd8-4a4d-a416";"120203";"15";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Adama Mickiewicza w Złotej, Złota 50, 32-859 Złota";"gm. Czchów";"brzeski";"małopolskie";"1019";"1004";"323";"696";"1";"2";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"10";"4";"6";"0";"686";"76";"52";"5";"4";"1";"0";"3";"3";"0";"1";"0";"2";"0";"0";"3";"1";"0";"1";"0";"491";"171";"228";"9";"5";"7";"10";"8";"8";"3";"17";"14";"1";"0";"0";"3";"2";"1";"4";"25";"10";"3";"2";"5";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"44";"24";"1";"2";"1";"1";"2";"0";"3";"2";"0";"1";"2";"1";"1";"0";"0";"3";"50";"25";"9";"3";"0";"2";"0";"0";"5";"0";"1";"0";"1";"0";"0";"0";"0";"0";"4"
"8034-81d3-999c-6120-1f8c-c1d3-d529-08df";"120203";"15";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Św. Urszuli Ledóchowskiej w Tymowej, Tymowa 376, 32-863 Tymowa";"gm. Czchów";"brzeski";"małopolskie";"1168";"1286";"468";"700";"0";"0";"0";"0";"0";"0";"0";"0";"0";"700";"0";"0";"700";"15";"8";"7";"0";"685";"72";"48";"2";"1";"1";"0";"9";"5";"0";"2";"1";"0";"0";"0";"1";"0";"0";"1";"1";"503";"182";"259";"14";"8";"0";"3";"4";"5";"6";"7";"14";"0";"0";"0";"0";"0";"1";"0";"21";"12";"1";"2";"2";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"38";"17";"2";"2";"1";"0";"1";"3";"1";"2";"1";"1";"0";"2";"0";"0";"0";"5";"51";"22";"4";"3";"0";"4";"0";"1";"0";"5";"0";"0";"0";"1";"1";"0";"0";"1";"9"
"091a-ef1e-98e2-5243-f6d5-c434-dca8-75bc";"120203";"15";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Ignacego Jana Paderewskiego w Tworkowej, Tworkowa 36, 32-863 Tymowa";"gm. Czchów";"brzeski";"małopolskie";"784";"858";"283";"501";"1";"3";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"6";"3";"3";"0";"495";"67";"48";"2";"0";"1";"0";"6";"2";"2";"2";"0";"1";"1";"0";"1";"0";"0";"1";"0";"339";"121";"172";"3";"3";"4";"2";"9";"3";"2";"4";"7";"0";"0";"1";"0";"0";"5";"3";"9";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"50";"19";"6";"1";"2";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"14";"30";"13";"6";"0";"0";"4";"0";"1";"1";"1";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"eb5a-dd14-9fa1-5dd4-456a-2499-a521-1401";"120203";"15";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa im. ks. prof. Józefa Tischnera w Domosławicach, Domosławice 24, 32-860 Czchów";"gm. Czchów";"brzeski";"małopolskie";"543";"593";"149";"394";"1";"3";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"6";"6";"0";"0";"388";"45";"23";"0";"5";"0";"1";"10";"0";"1";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"283";"114";"126";"6";"6";"2";"4";"1";"2";"2";"9";"2";"1";"1";"4";"1";"0";"0";"2";"14";"8";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"23";"15";"2";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"23";"10";"7";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"47c4-f16e-f952-aec8-dc23-747a-684a-ff88";"120203";"15";"8";"wieś";"stały";"Budynek Komunalny, Piaski-Drużków 1, 32-860 Czchów";"gm. Czchów";"brzeski";"małopolskie";"325";"378";"131";"194";"0";"12";"0";"0";"0";"0";"0";"0";"0";"194";"0";"0";"194";"3";"1";"2";"0";"191";"23";"15";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"4";"0";"0";"0";"0";"140";"56";"57";"7";"1";"1";"7";"1";"1";"2";"6";"0";"0";"0";"0";"1";"0";"0";"0";"4";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"6";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"16";"13";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
