"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Jacek BŁASZCZYK";"Krzysztof Mariusz DEBICH";"Dariusz Andrzej PIGŁOWSKI";"Liczba obwodów"
"100200";"kutnowski";"łódzkie";72250;78510;28021;44228;66;169;7;7;0;0;0;0;7;44221;7;0;44221;1017;275;742;0;43204;23172;15538;4494;83
"100400";"łęczycki";"łódzkie";38132;41482;15455;22677;22;69;0;0;0;0;0;0;0;22674;0;0;22674;487;153;334;0;22187;13846;6510;1831;49
"100500";"łowicki";"łódzkie";58110;63591;20091;38014;13;167;1;1;0;0;0;0;1;38013;1;0;38013;1088;280;808;0;36925;22255;11352;3318;71
"101100";"poddębicki";"łódzkie";30541;33668;10964;19577;15;200;0;0;0;0;0;0;0;19575;0;4;19571;542;114;428;0;19029;10725;5982;2322;51
