"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Helena Adela CZAKOWSKA";"Andrzej KOBIAK";"Leszek Józef POSŁUSZNY";"Liczba obwodów"
"040300";"bydgoski";"kujawsko-pomorskie";80493;88902;25393;55100;48;306;1;1;1;0;0;0;0;55090;0;0;55090;935;216;719;0;54155;17821;28383;7951;103
"041400";"świecki";"kujawsko-pomorskie";69011;75318;28783;40228;48;199;4;4;0;0;0;0;4;40230;4;0;40230;895;166;729;0;39335;16189;17619;5527;90
"041600";"tucholski";"kujawsko-pomorskie";33872;37344;12943;20928;24;176;2;2;0;0;0;0;2;20930;2;0;20930;439;71;368;0;20491;9272;8636;2583;51
"046100";"Bydgoszcz";"kujawsko-pomorskie";239753;261549;65108;174643;157;1324;57;55;4;0;0;0;51;174675;51;4;174671;2935;630;2305;0;171736;54531;95834;21371;204
