"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Kazimierz Sławomir KLIMEK";"Krzysztof Stanisław MRÓZ";"Jerzy Jan POKÓJ"
"4097-bc57-eb49-373c-42f7-6cf6-1240-08cb";"020604";"2";"1";"miasto";"stały";"Budynek po byłej Szkole Podstawowej Nr 3, ul. Kolejowa 22, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"300";"377";"80";"220";"4";"10";"0";"0";"0";"0";"0";"0";"0";"220";"0";"0";"220";"6";"0";"6";"0";"214";"47";"72";"95"
"1404-2fef-c79c-fdb4-8fda-b201-ae51-28df";"020604";"2";"2";"miasto";"stały";"Ośrodek Szkoleniowo-Wypoczynkowy Rzemieślnik, ul. Górna 21, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"600";"722";"174";"426";"0";"47";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"10";"0";"10";"0";"416";"108";"123";"185"
"dbce-7492-fd38-c9de-59fd-1bc3-afec-2195";"020604";"2";"3";"miasto";"stały";"Miejski Ośrodek Kultury, Sportu i Aktywności Lokalnej, ul. Słowackiego 13, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"700";"864";"185";"515";"2";"97";"0";"0";"0";"0";"0";"0";"0";"515";"0";"0";"515";"15";"4";"11";"0";"500";"112";"166";"222"
"2208-fc9b-d189-9c4d-f0f8-1378-f60f-810d";"020604";"2";"4";"miasto";"stały";"Zespół Szkół Ogólnokształcących i Mistrzostwa Sportowego, ul. Obrońców Pokoju 17, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"600";"679";"129";"471";"5";"119";"0";"0";"0";"0";"0";"0";"0";"471";"0";"0";"471";"11";"3";"8";"0";"460";"82";"158";"220"
"2da6-9bc9-6317-a1c3-892d-3816-d294-bcd6";"020604";"2";"5";"miasto";"stały";"Urząd Miejski, ul. Granitowa 2, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"1100";"1401";"228";"872";"1";"192";"0";"0";"0";"0";"0";"0";"0";"872";"0";"0";"872";"14";"6";"8";"0";"858";"172";"252";"434"
"f6ea-2fdd-4aec-5f64-66a2-095e-b99f-dce1";"020604";"2";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. 1 Maja 32, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"1450";"1766";"149";"1301";"0";"426";"0";"0";"0";"0";"0";"0";"0";"1301";"0";"0";"1301";"32";"10";"22";"0";"1269";"293";"370";"606"
"633e-25ba-1119-f946-88f3-b802-7bae-b8d9";"020604";"2";"7";"miasto";"zakład leczniczy";"Izerskie Centrum Pulmonologii i Chemioterapii „Izer-Med” Sp. z o. o., ul. Sanatoryjna 1, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"117";"83";"89";"28";"0";"3";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"2";"1";"1";"0";"26";"3";"17";"6"
"e539-7c44-b40a-d7b3-c01c-034c-9670-76ec";"020604";"2";"8";"miasto";"zakład leczniczy";"Izerskie Centrum Pulmonologii i Chemioterapii „Izer-Med” Sp. z o. o., ul. Szpitalna 1, 58-580 Szklarska Poręba";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"36";"29";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"47bd-4205-c3b5-96f8-cabb-a91c-be19-53a2";"020605";"2";"1";"wieś";"stały";"Świetlica Wiejska, Komarno 88, 58-508 Jelenia Góra";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"612";"678";"224";"388";"0";"7";"0";"0";"0";"0";"0";"0";"0";"388";"0";"0";"388";"9";"5";"4";"0";"379";"80";"153";"146"
"1679-c6c3-8044-40b3-8ae7-d141-ad10-82d6";"020605";"2";"2";"wieś";"stały";"Centrum Informacji Turystycznej, Radomierz 60 a, 58-520 Janowice Wielkie";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"300";"381";"86";"214";"0";"4";"0";"0";"0";"0";"0";"0";"0";"214";"0";"0";"214";"1";"0";"1";"0";"213";"42";"84";"87"
"5b84-d7de-d8ba-d87d-2f3f-da8e-d3dd-fa7c";"020605";"2";"3";"wieś";"stały";"Świetlica Wiejska, Trzcińsko 71, 58-520 Janowice Wielkie";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"400";"456";"162";"238";"1";"2";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"5";"2";"3";"0";"233";"58";"102";"73"
"b533-bb32-f2f6-e1e1-e155-2f85-71b5-b327";"020605";"2";"4";"wieś";"stały";"Szkoła Podstawowa im. W. Rutkiewicz, ul. Partyzantów 4, 58-520 Janowice Wielkie";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"1615";"1775";"620";"995";"1";"24";"0";"0";"0";"0";"0";"0";"0";"995";"0";"0";"995";"30";"8";"22";"0";"965";"183";"308";"474"
"7e1a-e2ab-244a-45c3-89c5-54b5-1743-34fc";"020605";"2";"5";"wieś";"zakład leczniczy";"Wojewódzki Szpital Rehabilitacyjny w Janowicach Wielkich, ul. Sudecka 15, 58-520 Janowice Wielkie";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"130";"103";"51";"79";"0";"8";"0";"0";"0";"0";"0";"0";"0";"79";"0";"0";"79";"2";"0";"2";"0";"77";"12";"42";"23"
"ae6e-0d61-3030-199a-bf8c-d789-6666-e67a";"020606";"2";"1";"wieś";"stały";"Urząd Gminy, ul. Długa 63, 58-521 Jeżów Sudecki";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"2107";"2334";"540";"1562";"5";"13";"0";"0";"0";"0";"0";"0";"0";"1562";"0";"0";"1562";"36";"4";"32";"0";"1526";"348";"443";"735"
"bcb4-d8c8-c01e-6308-3828-bead-c40a-0e01";"020606";"2";"2";"wieś";"stały";"Punkt Biblioteczny, Dziwiszów 157, 58-508 Jelenia Góra";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"1000";"1129";"324";"676";"0";"9";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"14";"6";"8";"0";"662";"170";"194";"298"
"8991-610a-22af-d194-279e-fd96-5030-f815";"020606";"2";"3";"wieś";"stały";"Szkoła Podstawowa, Siedlęcin ul. Kościelna 5, 58-508 Jelenia Góra";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"1099";"1219";"425";"674";"0";"1";"0";"0";"0";"0";"0";"0";"0";"674";"0";"0";"674";"10";"3";"7";"0";"664";"149";"253";"262"
"e7d8-8842-36b5-9a52-e021-3d9f-5313-4ee8";"020606";"2";"4";"wieś";"stały";"Szkoła Podstawowa, Czernica 125, 58-521 Jeżów Sudecki";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"1002";"1070";"481";"521";"0";"0";"0";"0";"0";"0";"0";"0";"0";"521";"0";"0";"521";"11";"4";"7";"0";"510";"102";"190";"218"
"2173-34c6-8a55-e58b-6369-1b35-b6ee-32e6";"020607";"2";"1";"wieś";"stały";"Gminny Ośrodek Kultury w Mysłakowicach, ul. Ignacego Daszyńskiego 29, 58-533 Mysłakowice";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"1512";"1585";"575";"937";"1";"7";"0";"0";"0";"0";"0";"0";"0";"936";"0";"0";"936";"31";"8";"23";"0";"905";"223";"305";"377"
"94f2-8452-c78c-8bc9-1e2c-fc62-7a10-4e17";"020607";"2";"2";"wieś";"stały";"Szkoła Podstawowa w Mysłakowicach, ul. Sułkowskiego 1, 58-533 Mysłakowice";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"1715";"1842";"670";"1045";"3";"20";"0";"0";"0";"0";"0";"0";"0";"1045";"0";"0";"1045";"23";"5";"18";"0";"1022";"234";"332";"456"
"ffd4-77fb-9e25-6c8c-63bc-886d-864a-9886";"020607";"2";"3";"wieś";"stały";"Świetlica Wiejska w Łomnicy przy Gminnym Ośrodku Kultury w Mysłakowicach, Łomnica ul. Karkonoska 36, 58-508 Jelenia Góra";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"1399";"1541";"471";"928";"0";"22";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"17";"5";"12";"0";"911";"141";"375";"395"
"f000-1339-02bb-7a58-beeb-1785-80c3-827a";"020607";"2";"4";"wieś";"stały";"Pałac Bukowiec, Bukowiec ul. Robotnicza 6, 58-533 Mysłakowice";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"1099";"1226";"423";"676";"2";"9";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"10";"3";"7";"0";"666";"135";"277";"254"
"0bc6-2727-bb3d-d111-a257-fe5e-f4c9-f398";"020607";"2";"5";"wieś";"stały";"Świetlica Wiejska w Karpnikach przy Gminnym Ośrodku Kultury w Mysłakowicach, Karpniki ul. Rudawska 8, 58-533 Mysłakowice";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"812";"828";"369";"443";"0";"0";"0";"0";"0";"0";"0";"0";"0";"443";"0";"0";"443";"8";"1";"7";"0";"435";"90";"176";"169"
"2f1a-5b00-97ff-6d16-d611-48fa-14b5-633e";"020607";"2";"6";"wieś";"stały";"Świetlica, Dąbrowica 45, 58-508 Jelenia Góra";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"300";"364";"91";"209";"0";"1";"0";"0";"0";"0";"0";"0";"0";"209";"0";"0";"209";"6";"2";"4";"0";"203";"37";"110";"56"
"0437-e5ba-36de-9462-67c9-9f4b-a650-4c16";"020607";"2";"7";"wieś";"stały";"Świetlica Wiejska w Wojanowie przy Gminnym Ośrodku Kultury w Mysłakowicach, Wojanów 38, 58-508  Jelenia Góra";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"515";"557";"189";"326";"0";"2";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"16";"9";"7";"0";"310";"57";"123";"130"
"42dd-fde1-4117-ed33-883d-805f-deac-5152";"020608";"2";"1";"wieś";"stały";"Centrum Aktywności Społecznej „Pogórze"" w Podgórzynie, ul. Żołnierska 13, 58-562 Podgórzyn";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"1602";"1728";"564";"1038";"4";"23";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"29";"10";"19";"0";"1009";"220";"327";"462"
"41a1-0316-ab58-9263-e641-8ef6-0db8-5d8a";"020608";"2";"2";"wieś";"stały";"Harcerska Baza Karkonoska w Przesiece, Przesieka ul. Karkonoska 27, 58-562 Podgórzyn";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"400";"421";"143";"257";"1";"12";"0";"0";"0";"0";"0";"0";"0";"257";"0";"0";"257";"1";"1";"0";"0";"256";"62";"78";"116"
"8231-20f4-8634-3887-a430-94ce-060a-7a9a";"020608";"2";"3";"wieś";"stały";"Młodzieżowe Schronisko Turystyczne w Staniszowie, Staniszów 59, 58-500 Jelenia Góra";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"800";"910";"233";"567";"0";"12";"0";"0";"0";"0";"0";"0";"0";"567";"0";"0";"567";"14";"6";"8";"0";"553";"131";"169";"253"
"bbf6-79b4-f2bb-f1ab-6a0f-67e1-85b0-6170";"020608";"2";"4";"wieś";"stały";"Szkoła Podstawowa w Sosnówce, ul. Szkolna 5, 58-564 Sosnówka";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"900";"1001";"334";"566";"0";"14";"0";"0";"0";"0";"0";"0";"0";"566";"0";"0";"566";"20";"5";"15";"0";"546";"131";"170";"245"
"ed15-287b-ab92-9a0c-53f9-682d-b64a-9a09";"020608";"2";"5";"wieś";"stały";"Szkoła Podstawowa w Miłkowie, ul. Szkolna 95, 58-535 Miłków";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"1400";"1548";"558";"842";"1";"3";"0";"0";"0";"0";"0";"0";"0";"842";"0";"0";"842";"16";"5";"11";"0";"826";"139";"312";"375"
"abc8-c253-0937-9afb-e187-0b42-1197-7a18";"020608";"2";"6";"wieś";"stały";"Szkoła Podstawowa w Ścięgnach, Ścięgny 110b, 58-535 Miłków";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"800";"835";"343";"456";"0";"10";"0";"0";"0";"0";"0";"0";"0";"457";"0";"0";"457";"7";"1";"6";"0";"450";"93";"130";"227"
"d697-09ef-6860-b1a7-5636-756b-0125-f2b3";"020608";"2";"7";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Sosnówce, ul. Liczyrzepy 87, 58-564 Sosnówka";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"63";"61";"28";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0";"35";"3";"0";"3";"0";"32";"11";"19";"2"
"0d4d-49c3-1976-1e0f-15a4-49d8-098e-5bde";"020609";"2";"1";"wieś";"stały";"Szkoła Podstawowa w Starej Kamienicy, Stara Kamienica 70, 58-512 Stara Kamienica";"gm. Stara Kamienica";"jeleniogórski";"dolnośląskie";"1200";"1294";"564";"636";"1";"4";"0";"0";"0";"0";"0";"0";"0";"636";"0";"0";"636";"17";"6";"11";"0";"619";"166";"239";"214"
"f90b-1037-f606-aeeb-97c9-edcf-b658-c78e";"020609";"2";"2";"wieś";"stały";"Świetlica Wiejska w Rybnicy, Rybnica 137, 58-512 Stara Kamienica";"gm. Stara Kamienica";"jeleniogórski";"dolnośląskie";"1015";"998";"528";"487";"0";"4";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"14";"2";"12";"0";"473";"92";"212";"169"
"ee76-f183-3490-2f00-0ba4-12ca-0cd5-ce8d";"020609";"2";"3";"wieś";"stały";"Szkoła Podstawowa w Kopańcu, Kopaniec 78, 58-512 Stara Kamienica";"gm. Stara Kamienica";"jeleniogórski";"dolnośląskie";"912";"920";"386";"526";"3";"17";"0";"0";"0";"0";"0";"0";"0";"526";"0";"0";"526";"15";"11";"4";"0";"511";"121";"192";"198"
"a6cd-6e09-a2c6-1125-87dc-78ca-8b02-5a48";"020609";"2";"4";"wieś";"stały";"Świetlica Wiejska w Wojcieszycach, Wojcieszyce ul. Karkonoska 1, 58-560 Jelenia Góra";"gm. Stara Kamienica";"jeleniogórski";"dolnośląskie";"910";"946";"398";"512";"1";"2";"0";"0";"0";"0";"0";"0";"0";"512";"0";"0";"512";"2";"2";"0";"0";"510";"102";"189";"219"
"6e0e-5d64-5576-d345-9c27-181c-2318-c005";"020701";"2";"1";"miasto";"stały";"Centrum Obsługi Jednostek Gminy Miejskiej Kamienna Góra, ul. Lubawska 8, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1799";"1991";"845";"954";"2";"4";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"35";"7";"28";"0";"919";"185";"400";"334"
"4c20-a39c-64ab-979e-4622-97ba-629a-eecc";"020701";"2";"2";"miasto";"stały";"Muzeum Tkactwa, Plac Wolności 11, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1700";"1814";"829";"871";"3";"3";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"36";"7";"29";"0";"835";"151";"402";"282"
"cbef-8117-1082-5a3c-7a2f-7e67-5fdd-c4be";"020701";"2";"3";"miasto";"stały";"Powiatowy Urząd Pracy, ul. Henryka Sienkiewicza 6a, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1700";"1822";"748";"952";"0";"9";"0";"0";"0";"0";"0";"0";"0";"951";"0";"0";"951";"28";"10";"18";"0";"923";"194";"404";"325"
"777b-3795-4f0a-493c-a6bf-6bfa-3928-81b6";"020701";"2";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Jeleniogórska 7, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1801";"1893";"751";"1050";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1050";"0";"0";"1050";"26";"3";"23";"0";"1024";"184";"472";"368"
"348d-63e0-7585-5e10-7558-3ece-27c2-cd8a";"020701";"2";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1, Plac Kościelny 1, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1801";"1899";"808";"993";"3";"7";"0";"0";"0";"0";"0";"0";"0";"993";"0";"0";"993";"25";"0";"25";"0";"968";"198";"427";"343"
"184d-5cb3-2d1b-f98e-85c9-dfee-2c3c-285e";"020701";"2";"6";"miasto";"stały";"Liceum Ogólnokształcące, ul. Marii Skłodowskiej-Curie 2, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1099";"1240";"337";"762";"0";"6";"0";"0";"0";"0";"0";"0";"0";"762";"0";"0";"762";"22";"5";"17";"0";"740";"161";"276";"303"
"336e-8e10-25b0-e109-03fc-8f4f-be44-8ee0";"020701";"2";"7";"miasto";"stały";"Zespół Szkół Zawodowych i Ogólnokształcących, ul. Romualda Traugutta 2, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"2099";"2211";"706";"1393";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1393";"0";"0";"1393";"35";"7";"28";"0";"1358";"260";"505";"593"
"46c8-dcca-7095-48a7-3530-98c7-fc0c-f3e9";"020701";"2";"8";"miasto";"stały";"Osiedle Krzeszowskie, ul. Wałbrzyska 26, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1900";"2008";"644";"1256";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1254";"0";"0";"1254";"42";"9";"33";"0";"1212";"278";"471";"463"
"9cfa-88c5-7109-779d-3567-2f07-de02-3cdb";"020701";"2";"9";"miasto";"zakład leczniczy";"Dolnośląskie Centrum Rehabilitacji Sp. z o. o. w Kamiennej Górze, ul. Janusza Korczaka 1, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"299";"187";"207";"92";"0";"10";"0";"0";"0";"0";"0";"0";"0";"92";"0";"0";"92";"2";"0";"2";"0";"90";"14";"46";"30"
"9161-1973-947a-66e5-950e-6217-ab09-a11a";"020701";"2";"10";"miasto";"zakład leczniczy";"Powiatowe Centrum Zdrowia w Kamiennej Górze Sp. z o. o., ul. Bohaterów Getta 10, 58-400 Kamienna Góra";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"121";"76";"101";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"0";"0";"0";"0";"20";"1";"13";"6"
"1916-2115-231e-b552-86d6-5e75-895d-cb4c";"020702";"2";"1";"wieś";"stały";"Centrum Biblioteczno-Kulturalne Filia Biblioteki, Leszczyniec 100, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1098";"1159";"514";"584";"1";"2";"1";"1";"0";"0";"0";"0";"1";"585";"1";"0";"585";"16";"1";"15";"0";"569";"110";"239";"220"
"54e2-8a87-ad1f-215a-22ba-350a-771d-82d0";"020702";"2";"2";"wieś";"stały";"Zespół Szkół w Pisarzowicach, Pisarzowice 149, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1199";"1310";"490";"709";"0";"4";"0";"0";"0";"0";"0";"0";"0";"709";"0";"0";"709";"20";"8";"12";"0";"689";"114";"280";"295"
"e683-ee52-aa48-9ff2-1941-e0cd-3d11-1f4d";"020702";"2";"3";"wieś";"stały";"Świetlica Wiejska, Przedwojów 43A, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"700";"811";"254";"446";"0";"0";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"17";"6";"11";"0";"429";"88";"167";"174"
"66ae-4f6c-975c-2fad-769a-5144-1972-57db";"020702";"2";"4";"wieś";"stały";"Szkoła Podstawowa, Ptaszków 49, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"613";"630";"282";"331";"0";"0";"0";"0";"0";"0";"0";"0";"0";"331";"0";"0";"331";"13";"0";"13";"0";"318";"53";"144";"121"
"11f5-26ae-7b33-ad9b-97a1-a182-38c1-a196";"020702";"2";"5";"wieś";"stały";"Centrum Biblioteczno-Kulturalne, Krzeszów ul. Kalwaria 1, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"1712";"1801";"555";"1157";"0";"43";"0";"0";"0";"0";"0";"0";"0";"1157";"0";"0";"1157";"16";"7";"9";"0";"1141";"167";"574";"400"
"fb82-f4d1-7a74-a125-c942-e8d6-9228-0a74";"020702";"2";"6";"wieś";"stały";"Świetlica Wiejska, Gorzeszów 113, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"515";"532";"235";"280";"1";"2";"0";"0";"0";"0";"0";"0";"0";"280";"0";"0";"280";"10";"3";"7";"0";"270";"45";"162";"63"
"8030-1e12-b07f-d628-2202-d505-1415-4da8";"020702";"2";"7";"wieś";"stały";"Świetlica Wiejska, Czadrów 26, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"615";"631";"242";"373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"373";"0";"0";"373";"8";"2";"6";"0";"365";"65";"115";"185"
"59c7-aae6-4a6c-fb46-0e04-6db3-8799-cffd";"020702";"2";"8";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Szarocinie, Szarocin 1, 58-400 Kamienna Góra";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"25";"25";"7";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"18";"2";"0";"2";"0";"16";"4";"8";"4"
"4307-6195-31d0-911d-f9c6-9f22-1b9e-629a";"020703";"2";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Lubawce, ul. Mickiewicza 4, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"1200";"1267";"482";"718";"0";"16";"0";"0";"0";"0";"0";"0";"0";"718";"0";"0";"718";"17";"8";"9";"0";"701";"194";"203";"304"
"ec9f-7179-3e74-b5ca-2d1b-2430-77d5-286b";"020703";"2";"2";"miasto";"stały";"Dom Kultury w Lubawce, ul. Kamiennogórska 19, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"1600";"1762";"674";"926";"3";"20";"0";"0";"0";"0";"0";"0";"0";"926";"0";"0";"926";"16";"4";"12";"0";"910";"214";"326";"370"
"aea5-6525-af57-1f8a-c6e1-cfcf-16a2-b4a6";"020703";"2";"3";"miasto";"stały";"Dom Kultury w Lubawce, ul. Kamiennogórska 19, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"1599";"1748";"557";"1042";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1042";"0";"0";"1042";"23";"11";"12";"0";"1019";"257";"369";"393"
"5510-3aa3-ac20-3451-f0b6-5c85-72e6-363d";"020703";"2";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Chełmsku Śląskim, Chełmsko Śląskie ul. Kolonia 14, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"1900";"2029";"748";"1152";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1151";"0";"0";"1151";"24";"5";"19";"0";"1127";"201";"588";"338"
"8d25-2d71-0ea1-93d7-1873-2b56-a7cb-92c5";"020703";"2";"5";"wieś";"stały";"Świetlica Wiejska, Stara Białka 35, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"399";"473";"144";"255";"2";"1";"0";"0";"0";"0";"0";"0";"0";"255";"0";"0";"255";"10";"1";"9";"0";"245";"34";"127";"84"
"7d67-ffbf-f1b7-373c-5269-3820-fc5a-36cb";"020703";"2";"6";"wieś";"stały";"Szkoła Podstawowa w Miszkowicach, Miszkowice 8, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"700";"787";"294";"406";"1";"4";"0";"0";"0";"0";"0";"0";"0";"406";"0";"0";"406";"8";"3";"5";"0";"398";"90";"176";"132"
"5750-f9f4-9aa9-dba7-8ef3-f7b8-9273-89b2";"020703";"2";"7";"wieś";"stały";"Świetlica Wiejska, Opawa 59, 58-420 Lubawka";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"600";"662";"209";"391";"0";"2";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"15";"3";"12";"0";"376";"66";"185";"125"
"c6c9-e93b-a560-d7bb-0e33-c3ca-9bc6-fc95";"020704";"2";"1";"wieś";"stały";"Urząd Gminy w Marciszowie, ul. Szkolna 6, 58-410 Marciszów";"gm. Marciszów";"kamiennogórski";"dolnośląskie";"1099";"1210";"483";"616";"0";"2";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"10";"3";"7";"0";"606";"137";"271";"198"
"ddbf-7ab6-f96b-b4f0-ea4a-f74e-52b5-6a69";"020704";"2";"2";"wieś";"stały";"Świetlica wiejska w Ciechanowicach, Ciechanowice 19a, 58-410 Marciszów";"gm. Marciszów";"kamiennogórski";"dolnośląskie";"715";"736";"337";"378";"0";"10";"0";"0";"0";"0";"0";"0";"0";"378";"0";"0";"378";"9";"0";"9";"0";"369";"85";"187";"97"
"5f71-d9f9-9dce-88ce-5d8b-db3f-2c3c-48e2";"020704";"2";"3";"wieś";"stały";"Świetlica wiejska w Domanowie, Domanów 44, 58-410 Marciszów";"gm. Marciszów";"kamiennogórski";"dolnośląskie";"300";"330";"140";"160";"0";"1";"0";"0";"0";"0";"0";"0";"0";"160";"0";"0";"160";"3";"1";"2";"0";"157";"28";"95";"34"
"ad40-b028-a032-b246-815e-b1a7-c1f6-22ac";"020704";"2";"4";"wieś";"stały";"Świetlica wiejska w Pastewniku, Pastewnik 49, 58-410 Marciszów";"gm. Marciszów";"kamiennogórski";"dolnośląskie";"200";"211";"87";"113";"0";"1";"0";"0";"0";"0";"0";"0";"0";"113";"0";"0";"113";"1";"0";"1";"0";"112";"24";"55";"33"
