"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jacek PROTAS - nr na liście 1";"Bernadeta Justyna HORDEJUK - nr na liście 2";"Elżbieta Kazimiera GELERT - nr na liście 3";"Piotr CIEŚLIŃSKI - nr na liście 4";"Ewa Barbara DEMBEK - nr na liście 5";"Katarzyna KRÓLAK - nr na liście 6";"Marian JANICKI - nr na liście 7";"Leszek Jan DZIĄG - nr na liście 8";"Elżbieta ZABŁOCKA - nr na liście 9";"Antoni CZYŻYK - nr na liście 10";"Ryszard KOWALSKI - nr na liście 11";"Krystyna JANCZEWSKA - nr na liście 12";"Marek BORKOWSKI - nr na liście 13";"Angelika Jolanta DOMAŃSKA - nr na liście 14";"Łukasz PIŚKIEWICZ - nr na liście 15";"Miron SYCZ - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej Piotr WYRĘBEK - nr na liście 1";"Kaja Ewelina SZYNKIELEWSKA - nr na liście 2";"Krystian Maciej ŁOŻYŃSKI - nr na liście 3";"Tomasz Jacek KACZKOWSKI - nr na liście 4";"Marek HUL - nr na liście 5";"Agnieszka Maria POŁEĆ - nr na liście 6";"Teresa Genowefa RUKSZTEŁŁO - nr na liście 7";"Marika ZENOWICZ - nr na liście 8";"Genowefa Grażyna SZCZEPAŃSKA - nr na liście 9";"Marek CHRAPAN - nr na liście 10";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Zbigniew ZIEJEWSKI - nr na liście 1";"Piotr ŻUCHOWSKI - nr na liście 2";"Dariusz FREJNIK - nr na liście 3";"Edward Mieczysław PIETRULEWICZ - nr na liście 4";"Paweł SZAKIEWICZ - nr na liście 5";"Małgorzata Dorota SOWICKA - nr na liście 6";"Monika Barbara MARCHALEWSKA - nr na liście 7";"Robert Jan HUSZCZA - nr na liście 8";"Katarzyna GRANACKA - nr na liście 9";"Andrzej Janusz WIŚNIEWSKI - nr na liście 10";"Anetta Krystyna SŁOMCZYŃSKA-KĄDZIOŁKA - nr na liście 11";"Wioletta JASKÓLSKA - nr na liście 12";"Adam Jacek ŻYLIŃSKI - nr na liście 13";"Ewa NISIEWICZ - nr na liście 14";"Krzysztof GROBLEWSKI - nr na liście 15";"Stanisław ŻELICHOWSKI - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Leonard Seweryn KRASULSKI - nr na liście 1";"Jerzy Zbigniew WILK - nr na liście 2";"Zbigniew BABALSKI - nr na liście 3";"Marcin KAZIMIERCZUK - nr na liście 4";"Monika Anna MODZELEWSKA-KOZIOŁ - nr na liście 5";"Damian Jan GODZIŃSKI - nr na liście 6";"Paweł Andrzej KOWSZYŃSKI - nr na liście 7";"Adam OŁDAKOWSKI - nr na liście 8";"Anna WĘGŁOWSKA - nr na liście 9";"Karolina Ewa GOIK - nr na liście 10";"Anna PIĄTEK - nr na liście 11";"Grażyna KAMIŃSKA - nr na liście 12";"Jolanta Wiesława ANDRUSZKIEWICZ - nr na liście 13";"Robert GONTARZ - nr na liście 14";"Grzegorz KIEROZALSKI - nr na liście 15";"Jacek Roman PAWLIK - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Monika Walentyna FALEJ - nr na liście 1";"Andrzej Jan ZIELONKA - nr na liście 2";"Emilia BARTKOWSKA - nr na liście 3";"Ryszard KLIM - nr na liście 4";"Daniel Adrian ZDANOWSKI - nr na liście 5";"Sylwia PIEKART - nr na liście 6";"Janusz PASJAK - nr na liście 7";"Jakub Przemysław GIEREJ - nr na liście 8";"Robert KOLIŃSKI - nr na liście 9";"Milena FALKOWSKA-HOJAN - nr na liście 10";"Piotr PACYNO - nr na liście 11";"Urszula Klara PĄGOWSKA - nr na liście 12";"Wincenty Marian PRZYBOROWSKI - nr na liście 13";"Mirosław Józef SZULC - nr na liście 14";"Paweł WÓJCIK - nr na liście 15";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Wojciech Adam PENKALSKI - nr na liście 1";"Agnieszka FALKOWSKA - nr na liście 2";"Stanisław Czesław JASINA - nr na liście 3";"Agnieszka Anna KUCIŃSKA - nr na liście 4";"Krzysztof KĘPIŃSKI - nr na liście 5";"Anita KOWALSKA - nr na liście 6";"Tomasz ORŁOWSKI - nr na liście 7";"Monika Marcjanna LEWANDOWSKA - nr na liście 8";"Jarosław DREWA - nr na liście 9";"Jolanta KWAŚNIEWSKA - nr na liście 10";"Piotr Roman BANACH - nr na liście 11";"Ryszard NAŁĘCZ - nr na liście 12";"Anna ŁOŻYŃSKA - nr na liście 13";"Mariusz Wojciech ZAORSKI - nr na liście 14";"Anna SYCZ - nr na liście 15";"Liczba obwodów"
"280101";"gmina miejska";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";17067;18238;6670;10397;10;99;0;0;0;0;0;0;0;10397;0;0;10397;150;114;36;0;10247;3708;1260;17;104;258;13;9;3;8;1318;4;4;3;14;11;5;677;492;274;38;18;32;28;35;8;23;22;14;639;105;45;20;14;21;27;13;228;10;7;4;51;13;17;4;60;3960;293;125;84;487;41;10;12;2074;30;11;55;32;583;13;6;104;1251;462;135;75;13;22;24;324;9;11;11;8;12;3;8;134;197;28;17;4;19;5;6;11;12;3;24;5;11;3;1;48;13
"280102";"gmina miejska";"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";3004;3217;1288;1716;3;7;0;0;0;0;0;0;0;1716;0;0;1716;26;25;1;0;1690;790;184;1;6;19;0;1;0;0;11;0;1;0;1;0;0;566;71;35;10;4;6;2;8;2;0;0;4;82;19;11;4;2;10;7;1;9;0;3;0;6;2;3;0;5;550;77;58;44;70;12;5;0;141;6;2;19;10;59;2;2;43;150;61;15;5;1;5;6;7;1;2;2;1;2;2;1;39;47;4;1;1;0;1;3;2;1;1;8;5;2;0;2;16;2
"280103";"gmina wiejska";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";7800;8464;3854;3946;4;43;0;0;0;0;0;0;0;3946;0;0;3946;102;86;16;0;3844;840;337;2;25;77;9;10;3;2;151;0;2;1;9;2;0;210;234;134;16;13;10;11;25;3;10;5;7;475;67;16;6;5;14;18;9;273;6;4;7;25;1;5;1;18;1940;147;52;66;80;11;8;11;1000;16;1;14;10;437;4;4;79;275;114;34;22;2;8;5;31;4;4;3;4;4;4;8;28;80;14;1;5;5;3;3;5;2;1;9;2;13;0;0;17;9
"280104";"gmina miejsko-wiejska";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";4661;4995;2534;2127;1;14;0;0;0;0;0;0;0;2127;0;0;2127;67;58;9;0;2060;370;197;10;6;16;9;6;2;3;11;2;2;2;6;7;0;91;122;65;13;5;10;6;12;1;3;2;5;200;30;15;5;7;10;4;3;5;5;3;4;96;1;0;2;10;873;95;49;58;90;22;6;10;299;22;1;21;17;106;3;3;71;450;71;19;13;1;0;3;6;1;2;5;1;3;0;3;322;45;9;4;1;3;2;4;3;3;0;5;2;4;0;1;4;6
"280105";"gmina wiejska";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";5929;6388;3605;2324;2;15;0;0;0;0;0;0;0;2324;0;0;2324;68;45;23;0;2256;878;257;10;15;27;13;12;2;1;20;2;4;10;6;12;1;486;92;64;7;4;6;3;2;0;3;1;2;178;30;17;5;10;13;11;5;30;5;4;5;11;4;5;4;19;853;133;96;59;94;30;11;12;200;12;8;40;39;71;5;1;42;180;76;14;13;5;4;5;8;1;1;6;1;2;1;3;40;75;24;6;2;0;4;1;4;3;0;6;14;2;1;2;6;8
"280106";"gmina miejsko-wiejska";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";4595;4973;2578;2017;2;37;0;0;0;0;0;0;0;2017;0;0;2017;59;42;17;0;1958;507;128;8;15;18;5;3;4;1;37;2;0;4;2;4;0;276;78;39;8;2;5;5;8;1;1;7;2;155;39;12;4;4;9;18;5;27;2;2;4;4;5;2;1;17;985;82;45;40;34;12;4;6;580;18;2;23;12;108;5;0;14;177;63;21;15;3;8;9;8;0;4;3;1;3;0;3;36;56;4;3;1;1;2;1;2;6;3;7;0;10;1;0;15;7
"280201";"gmina miejska";"m. Braniewo";"braniewski";"warmińsko-mazurskie";12217;13263;4791;7426;14;36;0;0;0;0;0;0;0;7426;0;0;7426;112;91;21;0;7314;2244;603;27;379;337;13;29;6;640;17;15;2;7;8;17;6;138;460;238;31;19;14;15;34;93;4;4;8;772;114;34;15;14;404;26;9;4;5;6;19;8;6;73;2;33;2334;571;532;40;160;691;17;40;28;29;10;34;26;41;65;2;48;923;402;180;87;18;15;37;4;7;8;17;8;7;80;14;39;581;503;16;12;4;4;4;3;7;3;10;1;1;3;0;10;10
"280202";"gmina wiejska";"gm. Braniewo";"braniewski";"warmińsko-mazurskie";4361;4772;2322;2039;3;8;0;0;0;0;0;0;0;2039;0;0;2039;53;46;7;0;1986;374;91;4;39;38;7;4;1;141;3;3;0;1;0;4;1;37;115;52;12;4;4;1;3;33;0;2;4;362;44;11;6;1;240;8;2;1;0;0;5;15;0;23;1;5;845;207;156;38;90;219;5;13;9;9;2;21;15;24;24;3;10;144;56;20;6;2;7;4;0;0;2;1;2;1;34;1;8;146;125;1;3;0;0;2;1;5;0;3;0;0;0;0;6;5
"280203";"gmina miejsko-wiejska";"gm. Frombork";"braniewski";"warmińsko-mazurskie";2875;3079;1356;1519;6;40;0;0;0;0;0;0;0;1518;0;0;1518;20;15;5;0;1498;447;134;1;173;31;2;5;6;53;5;5;1;2;0;3;2;24;91;53;10;4;2;1;4;7;4;2;4;146;50;4;4;10;46;6;3;1;1;3;0;3;0;8;1;6;542;98;140;16;26;183;3;19;6;5;4;13;6;8;6;2;7;200;105;52;13;2;1;6;0;0;0;5;1;1;6;2;6;72;47;3;6;3;0;1;0;3;0;3;0;1;0;2;3;4
"280204";"gmina wiejska";"gm. Lelkowo";"braniewski";"warmińsko-mazurskie";2142;2332;1261;881;1;2;0;0;0;0;0;0;0;881;0;0;881;39;31;8;0;842;248;26;2;8;11;0;2;0;54;0;1;1;0;1;4;0;138;30;19;3;3;1;1;0;1;1;0;1;101;35;8;2;2;19;6;1;2;3;0;17;0;0;0;2;4;390;49;55;93;15;118;3;4;14;4;0;7;4;15;4;0;5;55;32;4;4;3;1;3;0;0;0;0;1;1;3;0;3;18;13;0;1;0;0;0;0;0;0;1;0;0;0;0;3;4
"280205";"gmina miejsko-wiejska";"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";4759;5069;2544;2215;1;14;0;0;0;0;0;0;0;2215;0;0;2215;35;19;16;0;2180;557;166;9;32;74;4;4;0;43;4;1;0;2;2;3;1;212;91;57;7;3;4;4;11;1;2;0;2;309;43;13;5;4;64;8;1;2;2;2;137;1;4;5;1;17;1020;236;209;200;63;141;10;19;39;14;3;17;14;23;5;0;27;158;65;43;3;3;6;7;0;3;1;3;1;0;7;5;11;45;12;2;10;0;1;1;2;0;0;8;1;1;0;0;7;7
